bus_10001,bus_10022,bus_10025,bus_10033,bus_10035,bus_10093,bus_10228,bus_10525,bus_10558,bus_10570,bus_10600,bus_10677,bus_10750,bus_11014,bus_13000,bus_13366,bus_13420,bus_13446,bus_13499,bus_20000,bus_20007,bus_20026,bus_20136,bus_20487,bus_21121,bus_21646,bus_23054,bus_23060,bus_23263,bus_23377,bus_25160,bus_25289,bus_25403,bus_25439,bus_25598,bus_25675,bus_25714,bus_25829,bus_26012,bus_26097,bus_26133,bus_26197,bus_28078,bus_28122,bus_28365,bus_28667,bus_30001,bus_30144,bus_30146,bus_30220,bus_30221,bus_30372,bus_40001,bus_40003,bus_40004,bus_40006,bus_40007,bus_40008,bus_40050,bus_40595,bus_40602,bus_40691,bus_40786,bus_40843,bus_40878,bus_40884,bus_40993,bus_50000,bus_50007,bus_50024,bus_50196,bus_50316,bus_53000,bus_53002,bus_53012,bus_53215,bus_60000,bus_60003,bus_60577,bus_60662,bus_70000,bus_70016,bus_70063,bus_70153,bus_70172,bus_74001,bus_74053,bus_74104,bus_74132,bus_74235,bus_77001,bus_77173,bus_77258,bus_80007
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,946.4209999999999,263.83,0.0,39.652,4.101,0.0,69.295,998.6510000000001,1279.471,24.994999999999997,127.172,0.0,493.799,1880.211,0.0,42.108000000000004,120.12800000000001,315.0830000000001,0.0,0.0,0.0,26.427,134.875,0.0,0.0,0.613,57.080000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82,0.0,0.0,0.0,0.0,6.295999999999999,0.0,0.0,163.419,0.0,0.0,0.0,0.0,7.899,15.883000000000001,0.0,42.974,0.0,10.030999999999999,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,24.109,0.0,43.603,10.578,0.0,0.0,0.0,14.908999999999999,9.143,29.569000000000003,0.0,9.179,23.006999999999998,0.0,0.0,0.0,41.760000000000005,59.766999999999996,41.702,42.321000000000005,15.934000000000001,347.773,52.441,0.0,132.92899999999997,2.677
0.0,0.0,0.0,52.441,0.0,941.2970000000001,263.459,0.0,41.804,4.101,0.0,67.369,1031.89,1332.5769999999998,24.853,124.82300000000001,0.0,534.133,1987.1680000000003,0.0,42.858,120.22900000000001,338.9609999999999,0.0,0.0,0.0,32.169,181.30800000000002,0.0,0.0,0.609,57.123999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.564,0.0,0.0,0.0,0.0,6.72,0.0,0.0,163.416,0.0,0.0,0.0,0.0,7.899,15.979,0.0,42.974,0.0,10.022,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,23.845,0.0,43.58100000000001,11.486,0.0,0.0,0.0,14.908000000000001,9.143,29.564999999999998,0.0,9.229,22.941,0.0,0.0,0.0,42.872,59.229,41.657999999999994,41.93899999999999,15.934000000000001,355.51,52.441,0.0,139.823,2.677
0.0,0.0,0.0,52.441,0.0,941.2970000000001,263.459,0.0,41.804,4.101,0.0,67.369,1031.89,1332.5769999999998,24.853,124.82300000000001,0.0,534.133,1987.1680000000003,0.0,42.858,120.22900000000001,338.9609999999999,0.0,0.0,0.0,32.169,181.30800000000002,0.0,0.0,0.609,57.123999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.564,0.0,0.0,0.0,0.0,6.72,0.0,0.0,163.416,0.0,0.0,0.0,0.0,7.899,15.979,0.0,42.974,0.0,10.022,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,23.845,0.0,43.58100000000001,11.486,0.0,0.0,0.0,14.908000000000001,9.143,29.564999999999998,0.0,9.229,22.941,0.0,0.0,0.0,42.872,59.229,41.657999999999994,41.93899999999999,15.934000000000001,355.51,52.441,0.0,139.823,2.677
0.0,0.0,0.0,52.441,0.0,941.2970000000001,263.459,0.0,41.804,4.101,0.0,67.369,1031.89,1332.5769999999998,24.853,124.82300000000001,0.0,534.133,1987.1680000000003,0.0,42.858,120.22900000000001,338.9609999999999,0.0,0.0,0.0,32.169,181.30800000000002,0.0,0.0,0.609,57.123999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.564,0.0,0.0,0.0,0.0,6.72,0.0,0.0,163.416,0.0,0.0,0.0,0.0,7.899,15.979,0.0,42.974,0.0,10.022,0.0,0.0,80.898,0.0,0.0,0.0,0.0,0.0,23.845,0.0,43.58100000000001,11.486,0.0,0.0,0.0,14.908000000000001,9.143,29.564999999999998,0.0,9.229,22.941,0.0,0.0,0.0,42.872,59.229,41.657999999999994,41.93899999999999,15.934000000000001,355.51,52.441,0.0,139.823,2.677
