Name,Bus,Fuel,Max_Cap,Min_Cap,MarginalCost
RICHLAND,13499,NUC (Nuclear),1200.0,469.13,8.45
GOLDENDALE,13499,NG (Natural Gas),284.3,60.76,15.195
HERMISTON,13499,NG (Natural Gas),1310.6,566.03,17.37285714285714
BOARDMAN,13499,NG (Natural Gas),929.2,288.65,11.89
VANCOUVER,10093,NG (Natural Gas),248.0,115.79,16.91
LONGVIEW,10093,NG (Natural Gas),319.0,62.459999999999994,15.695
CLATSKANIE,10093,NG (Natural Gas),1360.52,364.52000000000004,12.846666666666668
TACOMA,10228,NG (Natural Gas),560.1,185.20999999999998,12.272
ANACORTES,10228,NG (Natural Gas),166.8,46.7,11.865
CENTRALIA,10228,BIT (Bituminous Coal),1459.8,669.44,10.715
SUMAS,10228,NG (Natural Gas),125.5,58.730000000000004,7.22
BURLINGTON,10228,NG (Natural Gas),376.0,118.95,15.8475
BLAINE,10228,NG (Natural Gas),169.2,54.89,14.365
CHEHALIS,10228,NG (Natural Gas),698.01,212.89999999999998,17.583333333333332
ELMA,10228,NG (Natural Gas),650.01,143.54,17.220000000000002
FERNDALE,10228,NG (Natural Gas),285.51,60.370000000000005,15.803333333333333
NEWPLYMOUTH,13446,NG (Natural Gas),318.5,113.28,16.075
RATHDRUM,10677,NG (Natural Gas),467.9,125.36999999999999,15.780000000000001
PASCO,10600,NG (Natural Gas),45.6,10.110000000000001,3.455
KLAMATHFALLS,13366,NG (Natural Gas),619.1099999999999,165.12,9.111428571428572
BOARDMAN_2,13420,NG (Natural Gas),266.3,78.25,15.774999999999999
BATTLEMOUNTAIN,74001,BIT (Bituminous Coal),242.0,52.07,21.15
MOUNTAINHOME,74001,NG (Natural Gas),310.9,93.78,6.008
MCCLELLAN,20136,NG (Natural Gas),77.0,23.9,18.03
YUBACITY,20136,NG (Natural Gas),894.8,309.24,15.023333333333333
ROSEVILLE,20136,NG (Natural Gas),164.01,45.03,16.156666666666666
ELKGROVE,20136,NG (Natural Gas),35.75,12.61,17.72
SACRAMENTO,20136,NG (Natural Gas),367.29999999999995,112.77000000000001,11.496666666666664
REDBLUFF,20136,NG (Natural Gas),46.38000000000001,13.700000000000001,7.848333333333333
VACAVILLE,20136,NG (Natural Gas),60.5,26.37,17.74
LODI,20136,NG (Natural Gas),54.8,14.73,17.335
MAXWELL,21596,NG (Natural Gas),741.01,198.23000000000002,18.3825
HERALD,21596,NG (Natural Gas),530.01,186.49,19.11
ANTIOCH,21596,NG (Natural Gas),828.0,166.97,17.825
HAYWARD,21596,NG (Natural Gas),654.99,253.0,18.096666666666668
LODI_3,21596,NG (Natural Gas),288.9,70.55,17.795
PITTSBURG,21121,NG (Natural Gas),1621.8199999999997,469.25,16.14142857142857
ANTIOCH_4,21121,NG (Natural Gas),666.71,197.48,18.21
SANTACLARA,21121,NG (Natural Gas),299.1700000000001,70.5,13.23846153846154
STANFORD,21121,NG (Natural Gas),52.8,14.919999999999998,16.375
SUISUNCITY,21121,NG (Natural Gas),141.0,44.51,17.37
BYRON,21121,NG (Natural Gas),199.6,75.93,13.337499999999999
OAKLAND,21121,BIT (Bituminous Coal),223.5,58.330000000000005,11.126666666666665
BENICIA,21121,NG (Natural Gas),98.0,44.599999999999994,17.04
MARTINEZ,21121,NG (Natural Gas),213.47999999999996,60.17,17.885
TRACY,21121,NG (Natural Gas),336.09000000000003,59.910000000000004,17.453333333333333
ALAMEDA,21121,NG (Natural Gas),83.3,26.53,8.73
CROCKETT,21121,NG (Natural Gas),247.4,49.35,18.62
SANJOSE,21121,NG (Natural Gas),338.1,90.13,7.347142857142857
ELSOBRANTE,21121,NG (Natural Gas),155.6,48.14,16.863333333333333
EUREKA,20026,NG (Natural Gas),166.97999999999996,56.29,14.865
ELKGROVE_5,23060,NG (Natural Gas),89.75,20.88,17.825000000000003
LEMOORE,23060,NG (Natural Gas),186.0,49.39000000000001,6.076666666666667
MODESTO,23060,NG (Natural Gas),388.88,99.87,15.812222222222223
RIPON,23060,NG (Natural Gas),170.5,47.7,12.293333333333331
SANGER,23060,NG (Natural Gas),97.69999999999999,31.930000000000003,13.1675
TURLOCK,23060,NG (Natural Gas),374.4,102.49000000000001,17.028333333333332
HANFORD,23060,NG (Natural Gas),92.2,32.7,16.705
CHOWCHILLA,23060,NG (Natural Gas),49.61999999999999,13.43,2.48
SPARKS,30001,NG (Natural Gas),1402.5,332.12,13.580555555555556
VALMY,30001,BIT (Bituminous Coal),567.0,231.03,21.18
YERINGTON,30001,NG (Natural Gas),230.0,68.02,20.28
SANJOSE_6,23377,BIT (Bituminous Coal),55.3,9.78,19.79
GILROY,23377,NG (Natural Gas),265.0,99.12,14.956
COYOTE,23377,NG (Natural Gas),635.01,198.49,18.426666666666666
SANJOAQUIN,23377,NG (Natural Gas),432.0,115.51,17.975
MOSSLANDING,23377,NG (Natural Gas),2802.0,1120.65,17.338749999999997
PITTSBURG_7,21646,NG (Natural Gas),1403.91,468.26,13.723333333333334
LODI_8,23054,NG (Natural Gas),77.4,18.95,18.005000000000003
MODESTO_9,23054,BIT (Bituminous Coal),176.00000000000003,43.75000000000001,6.316666666666666
LATHROP,23054,NG (Natural Gas),46.0,6.59,17.94
LAPUENTE,25289,NG (Natural Gas),500.0,152.42,18.526000000000003
BURBANK,25289,NG (Natural Gas),557.8,126.11999999999999,14.842000000000002
NORWALK,25289,NG (Natural Gas),65.14999999999999,16.78,8.545
PASADENA,25289,NG (Natural Gas),89.3,34.980000000000004,17.63
LOSANGELES,25289,NG (Natural Gas),170.79,63.87,13.310000000000002
SUNVALLEY,25289,NG (Natural Gas),690.5,169.24,15.0875
WHITTIER,25289,NG (Natural Gas),59.88,27.450000000000003,11.4925
NEWHALL,25289,NG (Natural Gas),161.10000000000002,55.300000000000004,11.354999999999999
GLENDALE,25289,NG (Natural Gas),300.92,80.66,14.85875
DESERTHOTSPRINGS,25289,NG (Natural Gas),807.1800000000002,218.65999999999997,15.695714285714285
REDLANDS,25289,NG (Natural Gas),1036.8,235.48999999999998,17.94
RANCHOCUCAMONGA,25289,NG (Natural Gas),715.8,204.17,18.28333333333333
ONTARIO,25289,NG (Natural Gas),114.6,36.64,11.9925
TRONA,25289,BIT (Bituminous Coal),92.49,26.66,10.828
COLTON,25289,NG (Natural Gas),150.1,51.04,13.193333333333335
VICTORVILLE,25289,NG (Natural Gas),872.0,314.97,14.5
CORONA,25289,NG (Natural Gas),96.0,22.330000000000002,11.743333333333334
RIVERSIDE,25289,NG (Natural Gas),236.0,88.33,9.075
SANARDO,26133,NG (Natural Gas),77.1,24.53,16.375
KINGCITY,26133,NG (Natural Gas),180.5,43.56,18.326666666666664
FIREBAUGH,26133,NG (Natural Gas),250.20000000000002,86.38,17.892500000000002
SANJOAQUIN_10,26133,NG (Natural Gas),82.59,25.259999999999998,17.12333333333333
COALINGA,26133,NG (Natural Gas),38.4,15.82,16.45
GOLETA,26133,NG (Natural Gas),49.3,16.97,16.72
AVILABEACH,26133,NUC (Nuclear),2323.0,296.08000000000004,8.44
JEAN,30220,NG (Natural Gas),695.91,287.04,14.219999999999999
HENDERSON,30220,NG (Natural Gas),127.19999999999999,31.42,20.11666666666667
OXNARD,25829,NG (Natural Gas),2413.0999999999995,725.6300000000001,14.751666666666665
GOLETA_11,25829,NG (Natural Gas),58.0,25.65,18.62
CARSON,25598,NG (Natural Gas),286.11,89.21000000000001,7.010714285714286
LONGBEACH,25598,NG (Natural Gas),93.0,34.81,18.085
LOSANGELES_12,25598,NG (Natural Gas),34.5,7.43,17.28
WILMINGTON,25598,NG (Natural Gas),175.89999999999998,66.63,14.376
TORRANCE,25598,NG (Natural Gas),49.3,13.3,5.696666666666666
TUPMAN,26163,NG (Natural Gas),669.6,191.51,6.752000000000001
DELANO,26163,NG (Natural Gas),105.5,27.26,6.646666666666667
MCKITTRICK,26163,NG (Natural Gas),1645.3000000000002,522.37,19.03125
FELLOWS,26163,NG (Natural Gas),878.5000000000001,215.49999999999997,15.422857142857143
TAFT,26163,NG (Natural Gas),56.3,9.190000000000001,11.066666666666668
CARSON_13,28078,NG (Natural Gas),405.0,135.72,14.963333333333333
LONGBEACH_14,28078,NG (Natural Gas),3592.759999999998,1065.31,16.035
WILMINGTON_15,28078,NG (Natural Gas),548.11,163.17000000000002,18.215
REDONDOBEACH,28078,NG (Natural Gas),1316.4,454.78000000000003,20.055
PLAYADELREY,28078,NG (Natural Gas),823.1999999999999,271.8,20.293333333333337
IRVINE,28078,NG (Natural Gas),39.0,10.22,16.09
ANAHEIM,28078,NG (Natural Gas),270.2,72.77000000000001,12.397142857142857
STANTON,28078,NG (Natural Gas),49.8,10.51,16.98
HUNTINGTONBEACH,28078,NG (Natural Gas),436.0,100.92999999999999,10.05
BREA,28078,NG (Natural Gas),37.2,8.11,9.284
SUNCITY,28078,NG (Natural Gas),819.0,228.42000000000002,9.39
PASADENA_16,25714,NG (Natural Gas),164.3,44.2,16.906666666666666
POMONA,25714,NG (Natural Gas),56.6,11.84,9.285
LEBEC,26197,NG (Natural Gas),779.0,285.99,18.887999999999998
ELSEGUNDO,25403,NG (Natural Gas),1059.52,374.24999999999994,15.826363636363636
NORWALK_17,25675,NG (Natural Gas),22.05,6.83,0.0
LOSANGELES_18,25160,NG (Natural Gas),42.99,16.6,5.386666666666667
LONGBEACH_19,26097,NG (Natural Gas),320.33,56.99,20.04
ESCONDIDO,28365,NG (Natural Gas),160.2,55.080000000000005,17.715000000000003
CARLSBAD,28365,NG (Natural Gas),18.0,5.75,16.3
BRAWLEY,28667,NG (Natural Gas),58.699999999999996,17.3,11.459999999999999
COACHELLA,28667,NG (Natural Gas),92.4,28.25,17.67
NILAND,28667,NG (Natural Gas),121.0,38.57,9.26
SANDIEGO,28549,NG (Natural Gas),1230.9,371.15000000000003,16.334705882352946
ELCAJON,28549,NG (Natural Gas),116.6,30.409999999999997,19.2
PALA,28549,NG (Natural Gas),118.0,50.89,17.85
RANCHOSANTAFE,28549,NG (Natural Gas),33.0,9.309999999999999,10.323333333333332
ESCONDIDO_20,28549,NG (Natural Gas),558.99,189.19,19.463333333333335
CORONADO,28549,NG (Natural Gas),65.9,12.38,8.4625
CARLSBAD_21,28549,NG (Natural Gas),981.5999999999999,258.76000000000005,19.189999999999998
CHULAVISTA,28549,NG (Natural Gas),44.0,6.81,17.39
BLYTHE,40004,NG (Natural Gas),591.0,205.54000000000002,16.599999999999998
ELCENTRO,40004,NG (Natural Gas),358.30000000000007,105.86,18.133333333333333
YUMA,40004,NG (Natural Gas),522.6,156.08,10.0725
GOLDENVALLEY,40006,NG (Natural Gas),130.0,33.97,13.31
LAKEHAVASUCITY,40006,NG (Natural Gas),436.26,113.36000000000001,20.365000000000002
MOUNTAINHOME_22,74104,NG (Natural Gas),193.60000000000002,69.19,10.766666666666666
LASVEGAS,30146,NG (Natural Gas),2010.32,449.62,17.067272727272726
MOAPA,30146,BIT (Bituminous Coal),294.8,132.05,19.87
NORTHLASVEGAS,30146,NG (Natural Gas),358.92,117.58,20.669999999999998
LASVEGAS_23,30221,NG (Natural Gas),136.28,27.750000000000004,3.1166666666666667
LASVEGAS_24,30372,NG (Natural Gas),1465.6200000000001,385.15999999999997,13.848333333333334
CHANDLER,40369,NG (Natural Gas),789.48,248.77,17.842222222222222
TUCSON,40369,NG (Natural Gas),224.4,53.830000000000005,8.975
CASAGRANDE,40369,NG (Natural Gas),646.11,164.05,20.516666666666666
NOGALES,80007,NG (Natural Gas),108.0,27.39,14.185
DOUGLAS,80007,BIT (Bituminous Coal),26.1,7.8,0.0
TYRONE,80007,BIT (Bituminous Coal),45.42,14.32,6.16
SUNLANDPARK,80007,NG (Natural Gas),372.48999999999995,89.5,18.095
LORDSBURG,80007,NG (Natural Gas),274.0,79.44,13.351666666666667
HURLEY,80007,NG (Natural Gas),54.0,15.06,18.12
ELPASO,80007,NG (Natural Gas),993.52,343.12,13.912
TEMPE,40367,NG (Natural Gas),937.1,261.79,14.290666666666668
CHANDLER_25,40367,NG (Natural Gas),9.2,3.12,19.27
GILBERT,40367,NG (Natural Gas),1326.0,379.11,20.611666666666668
JOSEPHCITY,40367,BIT (Bituminous Coal),1128.8,393.08000000000004,19.785
PAGE,40786,BIT (Bituminous Coal),2627.9700000000003,886.78,14.905000000000001
MOHAVEVALLEY,40008,NG (Natural Gas),708.0,278.15,14.296666666666667
LAKEHAVASUCITY_26,40008,NG (Natural Gas),218.13,103.98,21.13
SAINTJOHNS,40878,BIT (Bituminous Coal),821.8,299.65,21.095
SPRINGERVILLE,40878,BIT (Bituminous Coal),1765.8,384.93,14.942499999999999
COCHISE,40824,BIT (Bituminous Coal),660.68,160.30999999999997,13.25
CHANDLER_27,40824,NG (Natural Gas),726.0,184.71,20.583333333333332
TUCSON_28,40824,BIT (Bituminous Coal),558.5,189.10999999999999,17.135
GLENDALE_29,40993,NG (Natural Gas),613.29,181.37000000000003,19.60833333333333
ARLINGTON,40993,NG (Natural Gas),3236.4900000000007,962.6200000000001,13.87133333333333
PHOENIX,40843,NG (Natural Gas),5416.98,1496.6200000000001,13.484545454545453
GILABEND,40843,NG (Natural Gas),1237.98,419.44000000000005,12.793333333333331
TONOPAH,40912,NG (Natural Gas),1325.1,393.07000000000005,16.73
OREM,50397,NG (Natural Gas),1392.48,370.21999999999997,13.215714285714284
SUNNYSIDE,50397,BIT (Bituminous Coal),58.1,6.34,15.36
SALTLAKECITY,50397,NG (Natural Gas),783.4899999999999,218.84,12.476470588235296
CASTLEDALE,50397,BIT (Bituminous Coal),1577.19,296.35,17.89
MONA,50397,NG (Natural Gas),648.99,208.1,17.956666666666667
BOUNTIFUL,50397,NG (Natural Gas),30.39,8.9,10.65
HELPER,50397,BIT (Bituminous Coal),208.6,49.9,17.83
PAYSON,50397,NG (Natural Gas),140.0,43.07,15.535
MAGNA,50397,BIT (Bituminous Coal),213.8,41.0,14.830000000000002
HUNTINGTON,50397,BIT (Bituminous Coal),1037.3,382.51,8.285
VERNAL,50316,BIT (Bituminous Coal),499.5,191.6,13.45
GREENRIVER,50316,BIT (Bituminous Coal),70.98,23.54,13.735
KEMMERER,50316,NG (Natural Gas),108.0,44.7,25.74
DELTA,50385,BIT (Bituminous Coal),1654.0,221.07,12.045
SAINTGEORGE,50385,NG (Natural Gas),80.0,20.46,8.25
GRANTSVILLE,50007,NG (Natural Gas),48.0,17.07,15.38
WATERFLOW,53215,BIT (Bituminous Coal),1848.0,380.84999999999997,16.4725
BLOOMFIELD,60000,NG (Natural Gas),121.6,36.76,12.287500000000001
PREWITT,53297,BIT (Bituminous Coal),257.0,53.25,16.31
ALGODONES,53297,NG (Natural Gas),45.0,13.059999999999999,11.58
BELEN,53297,NG (Natural Gas),159.5,74.28,16.81
ALBUQUERQUE,53297,NG (Natural Gas),317.68999999999994,108.3,16.904999999999998
FRUITLAND,53297,BIT (Bituminous Coal),1636.2,482.75,21.494999999999997
FARMINGTON,53297,NG (Natural Gas),91.60000000000001,19.689999999999998,16.574
HAYDEN,53297,BIT (Bituminous Coal),465.4,95.3,14.885000000000002
NUCLA,53297,BIT (Bituminous Coal),113.8,28.740000000000002,13.9175
RIFLE,53297,NG (Natural Gas),63.0,19.7,6.426666666666667
CRAIG,53297,BIT (Bituminous Coal),1427.6100000000001,461.14,14.83
FORTLUPTON,60194,NG (Natural Gas),497.69999999999993,120.82000000000002,20.08375
BOULDER,60194,BIT (Bituminous Coal),426.20000000000005,114.95,12.427142857142858
BURLINGTON_30,60194,BIT (Bituminous Coal),180.4,58.629999999999995,10.513333333333334
PLATTEVILLE,60194,NG (Natural Gas),1185.48,481.17,11.904285714285715
LAMAR,60194,BIT (Bituminous Coal),147.5,62.02,8.2975
AURORA,60194,NG (Natural Gas),397.8,147.60000000000002,21.325
DENVER,60194,BIT (Bituminous Coal),855.3199999999997,218.54999999999998,13.311111111111112
BRUSH,60194,NG (Natural Gas),1149.52,235.35000000000005,13.607
COMMERCECITY,60194,NG (Natural Gas),154.2,29.25,19.175
ARVADA,60194,NG (Natural Gas),231.59999999999997,82.55000000000001,11.135
KEENESBURG,60194,NG (Natural Gas),685.11,246.77,19.84
FREDERICK,60194,NG (Natural Gas),394.0,136.49,10.5
WELLINGTON,60194,BIT (Bituminous Coal),800.4000000000001,247.36,13.956666666666665
CHEYENNE,60194,NG (Natural Gas),139.99,33.480000000000004,24.75
FOUNTAIN,60662,NG (Natural Gas),1051.5900000000001,266.09,17.483333333333334
PUEBLO,60662,BIT (Bituminous Coal),2035.2799999999997,742.6099999999999,17.215454545454545
COLORADOSPRINGS,60662,NG (Natural Gas),316.62,97.87,7.291666666666667
ALAMOSA,53002,NG (Natural Gas),53.2,16.51,20.6
RIFLE_31,60003,NG (Natural Gas),47.6,13.29,18.79
GLENROCK,70097,BIT (Bituminous Coal),1485.5,505.5,2.475
GILLETTE,70063,BIT (Bituminous Coal),929.0,251.69,24.291249999999998
WRIGHT,70063,BIT (Bituminous Coal),483.7,106.38,27.77
WHEATLAND,70172,BIT (Bituminous Coal),1710.0,414.31,29.22666666666667
KEMMERER_32,70153,BIT (Bituminous Coal),831.99,304.11,27.790000000000003
POINTOFROCKS,70153,BIT (Bituminous Coal),2441.92,729.29,29.377499999999998
ANACONDA,74132,NG (Natural Gas),67.7,26.84,17.57
BUTTE,74132,NG (Natural Gas),54.9,14.64,14.28
ANACONDA_33,77258,NG (Natural Gas),135.4,50.08,8.225
BILLINGS,77258,BIT (Bituminous Coal),240.8,51.169999999999995,15.99
COLSTRIP,77258,BIT (Bituminous Coal),2272.0,641.4200000000001,17.625
COLSTRIP_34,77001,BIT (Bituminous Coal),46.1,9.01,0.0
