COAL,Trans,,,
Nodes,25%,50%,75%,100%
50,0.001131687,0.000714527,0.000577823,0.000532725
75,0.000494268,0.000128728,1.82E-05,1.21E-06
100,0.000219695,2.58E-05,7.54E-06,5.38E-06
125,0.000214612,5.30E-05,6.39E-06,1.83E-06
150,0.000315068,0.00012481,3.20E-05,9.89E-06
200,0.000633562,0.000430936,0.000272831,0.000131279
225,0.001564688,0.00105175,0.000717402,0.000483511
250,N/A,0.000542922,0.00039726,0.000277169
275,N/A,0.000102117,5.98E-05,2.99E-05
300,N/A,0.000173516,7.72E-05,3.73E-05
