ResourceID,Generating_Unit_Name/Description,Net_Dependable_Capacity_(MW),Unit_Type,Nameplate_Capacity_(MW)
ELCAP1SOLAR,2097 Helton,1.5,PHOTO VOLTAIC,1.5
PTLOMA6NTCCGN,AEI MCRD STEAM TURBINE,2.58,STEAM,2.58
CHEVCO6UNIT2,AERA ENERGY LLC. (Coalinga),12.5,,12.5
COLTON6AGUAM1,AGUA MANSA GENERATING FACILITY,43,COMBUSTION TURBINE,43
LASSEN6AGV1,AGV 1,1.8,STEAM,2.2
BNNIEN7ALTAPH,ALTA POWER HOUSE,1,HYDRO,1
FLOWD22UNIT1,ALTAMONT POWER (AGGREGATE),42.1,WIND,42.1
ANAHM7CT,ANAHEIM COMBUSTION TURBINE,42.81,COMBUSTION TURBINE,49.2
ANTLPE2QF,ANTELOPE VALLEY AREA LUMPED UNITS,206.5,WIND,206.5
VALLEY5SOLAR2,AP North Lake Solar,20,PHOTO VOLTAIC,20
AVSOLR2SOLAR,AV Solar Ranch 1,241.5,PHOTO VOLTAIC,250
ADMEST6SOLAR,Adams East,19,PHOTO VOLTAIC,19
VICTOR1SOLAR4,Adelanto Solar,20,PHOTO VOLTAIC,20
VICTOR1SOLAR3,Adelanto Solar 2,7,PHOTO VOLTAIC,7
ADERA1SOLAR1,Adera Solar,20,PHOTO VOLTAIC,20
ADOBEE1SOLAR,Adobe Solar,20,PHOTO VOLTAIC,20
CALPIN1AGNEW,Agnews Power Plant,28,COMBINED CYCLE,32
AGUCAL5SOLAR1,Agua Caliente Solar,290,PHOTO VOLTAIC,290
ADLIN1UNITS,Aidlin Power Plant,22,STEAM,23
ALMEGT1UNIT1,Alameda GT Unit 1,23.8,COMBUSTION TURBINE,25.4
ALMEGT1UNIT2,Alameda GT Unit 2,25.4,COMBUSTION TURBINE,25.4
ALAMIT7UNIT1,Alamitos 1,174.56,STEAM,175
ALAMIT7UNIT2,Alamitos 2,175,STEAM,176
ALAMIT7UNIT3,Alamitos 3,332.18,STEAM,322
ALAMIT7UNIT4,Alamitos 4,335.67,STEAM,320
ALAMIT7UNIT5,Alamitos 5,497.97,STEAM,482
ALAMIT7UNIT6,Alamitos 6,495,STEAM,481
ALAMO6UNIT,Alamo R (CDWR),17,HYDRO,18
VICTOR1SOLAR2,Alamo Solar,20,PHOTO VOLTAIC,20
ALPSLR1SPSSLR,Alpaugh 50 LLC,50,PHOTO VOLTAIC,50
ALPSLR1NTHSLR,"Alpaugh North, LLC",20,PHOTO VOLTAIC,20
NEENCH6SOLAR,Alpine Solar,66,PHOTO VOLTAIC,66
ALT6DN2WIND7,Alta 2012 Alta Wind 7,168,WIND,168
ALTA6E2WIND10,Alta Wind 10,138,WIND,138
ALTA6B2WIND11,Alta Wind 11,90,WIND,90
CHINO6SMPPAP,AltaGas Pomona Energy Inc.,44,COMBUSTION TURBINE,44
ALTWD1QF,Altwind,47,WIND,47.08
ESQUON6LNDFIL,Ameresco Butte County LFG Project,2.1,RECIPROCATING ENGINE,4
CORRAL6SJOAQN,Ameresco San Joaquin,4.3,RECIPROCATING ENGINE,4.3
BIGSKY2SOLAR1,Antelope Big Sky Ranch,20,PHOTO VOLTAIC,20
GLOW6SOLAR,Antelope Power Plant,20,PHOTO VOLTAIC,20
ARLVAL5SOLAR,Arlington Valley Solar Energy II,127,PHOTO VOLTAIC,127
ASTORA2SOLAR1,Astoria 1,100,PHOTO VOLTAIC,100
ASTORA2SOLAR2,Astoria 2,75,PHOTO VOLTAIC,75
ATWELL1SOLAR,Atwell Island PV Solar Generating Faci.,20,PHOTO VOLTAIC,20
ATWEL21SOLAR1,Atwell West,20,PHOTO VOLTAIC,20
AVENAL6AVPARK,Avenal Park Solar Project,6,PHOTO VOLTAIC,6
BDGRCK1UNITS,BADGER CREEK LIMITED,47.49,COMBUSTION TURBINE,58.48
VOLTA6BAILCK,BAILEY CREEK RANCH,0.63,HYDRO,0.63
BARRE2QF,BARRE AREA LUMPED UNITS,0.2,,0.37
RICHMN7BAYENV,BAY EVIRONMENTAL MANAGEMENT,2.5,RECIPROCATING ENGINE,3
BEARMT1UNIT,BEAR MOUNTAIN LIMITED,47.49,COMBUSTION TURBINE,58.48
UNVRSY1UNIT1,BERRY COGEN 38,38,COMBUSTION TURBINE,37.2
TANHIL6SOLART,BERRY PETROLEUM COGEN 18,17,COMBUSTION TURBINE,6
BIGCRK2EXESWD,BIG CREEK HYDRO PROJECT PSP,820,HYDRO,820
BGCRK17PORTAL,Big Creek - Portal Unit,10.8,HYDRO,10.8
BGCRK17UNIT1,Big Creek PH 1 Unit 1,19.8,HYDRO,19.8
BGCRK17UNIT2,Big Creek PH 1 Unit 2,15.8,HYDRO,15.75
BGCRK17UNIT3,Big Creek PH 1 Unit 3,21.6,HYDRO,21.6
BGCRK17UNIT4,Big Creek PH 1 Unit 4,31.2,HYDRO,31.2
BGCRK27UNIT1,Big Creek PH 2 Unit 1,55,HYDRO,55
BGCRK27UNIT2,Big Creek PH 2 Unit 2,55,HYDRO,55
BGCRK27UNIT3,Big Creek PH 2 Unit 3,15.8,HYDRO,15.75
BGCRK27UNIT4,Big Creek PH 2 Unit 4,15.8,HYDRO,15.75
BGCRK27UNIT5,Big Creek PH 2 Unit 5,17.5,HYDRO,17.5
BGCRK27UNIT6,Big Creek PH 2 Unit 6,17.5,HYDRO,17.5
BGCRK37UNIT1,Big Creek PH 3 Unit 1,34,HYDRO,34
BGCRK37UNIT2,Big Creek PH 3 Unit 2,34,HYDRO,34
BGCRK37UNIT3,Big Creek PH 3 Unit 3,34,HYDRO,34
BGCRK37UNIT4,Big Creek PH 3 Unit 4,36,HYDRO,36
BGCRK37UNIT5,Big Creek PH 3 Unit 5,36.5,HYDRO,36.45
BGCRK47UNIT1,Big Creek PH 4 Unit 1,50,HYDRO,50
BGCRK47UNIT2,Big Creek PH 4 Unit 2,50,HYDRO,50
BGCRK87UNIT1,Big Creek PH 8 Unit 1,30,HYDRO,30
