PLANT,unitid,fipscode,state,facilityname,CO2rate,NOXrate,SO2rate
358,"3-1",71,"CA","Mountainview Generating Station",.9603305,.21747,.0048482
358,"3-2",71,"CA","Mountainview Generating Station",.9139903,.1915586,.0046141
358,"4-1",71,"CA","Mountainview Generating Station",.9506837,.2393807,.0047994
358,"4-2",71,"CA","Mountainview Generating Station",.8954378,.139338,.0045204
377,"4",37,"CA","Grayson Power Plant",1.865356,.4344315,.0149663
377,"5",37,"CA","Grayson Power Plant",1.846633,.4261288,.0140409
377,"9",37,"CA","Grayson Power Plant",1.125255,.2480516,.0056827
389,"2-2",25,"CA","El Centro",1.082397,.3230414,.0054647
389,"3",25,"CA","El Centro",,,
389,"3-1",25,"CA","El Centro",.9158181,.0420335,.0046242
389,"3-2",25,"CA","El Centro",.9102941,.0514338,.0045964
389,"4",25,"CA","El Centro",1.434143,.9758772,.0072417
399,"**10A",37,"CA","Harbor Generating Station",1.235969,.3451657,.0066727
399,"**10B",37,"CA","Harbor Generating Station",1.209183,.291856,.0064471
399,"10",37,"CA","Harbor Generating Station",1.364746,.4292562,.0077858
399,"11",37,"CA","Harbor Generating Station",1.334584,.3844516,.0075942
399,"12",37,"CA","Harbor Generating Station",1.407075,.5753474,.0082434
399,"13",37,"CA","Harbor Generating Station",1.327567,.4034007,.0074287
399,"14",37,"CA","Harbor Generating Station",1.320649,.3866708,.0075092
400,"1",37,"CA","Haynes Generating Station",1.440213,.0396633,.007401
400,"10",37,"CA","Haynes Generating Station",.8465866,.0820399,.004346
400,"11",37,"CA","Haynes Generating Station",1.064597,.0895438,.0054703
400,"12",37,"CA","Haynes Generating Station",1.071226,.095568,.0055068
400,"13",37,"CA","Haynes Generating Station",1.050114,.0945769,.0053985
400,"14",37,"CA","Haynes Generating Station",1.08973,.1205289,.0056
400,"15",37,"CA","Haynes Generating Station",1.065385,.1030174,.0054771
400,"16",37,"CA","Haynes Generating Station",1.067913,.1035476,.005489
400,"2",37,"CA","Haynes Generating Station",1.389115,.0768292,.0071347
400,"5",37,"CA","Haynes Generating Station",,,
400,"6",37,"CA","Haynes Generating Station",,,
400,"9",37,"CA","Haynes Generating Station",.8382712,.0774038,.004305
404,"1",37,"CA","Scattergood Generating Station",1.356917,.0117793,.0113625
404,"2",37,"CA","Scattergood Generating Station",1.345566,.069556,.0101368
404,"3",37,"CA","Scattergood Generating Station",,,
404,"4",37,"CA","Scattergood Generating Station",1.308997,.0751054,.0067194
404,"6",37,"CA","Scattergood Generating Station",1.076828,.1076009,.0055292
404,"7",37,"CA","Scattergood Generating Station",1.099035,.112612,.0056436
408,"5",37,"CA","Valley Generating Station",1.323398,.7376918,.0070314
408,"6",37,"CA","Valley Generating Station",.9418898,.1965624,.0048462
408,"7",37,"CA","Valley Generating Station",.9013763,.1630424,.0046377
420,"B3",37,"CA","Broadway",,,
