PLANT,facilityname,yr,fuel,NERC,fips,SO2_lbs_MD,NOX_lbs_MD,PM_MD_KWH
228,"Contra Costa Generating Station",2017,"GAS","CA",6013,35.664,14.8785,7.069397
246,"Humboldt Bay",2017,"GAS","CA",6023,3.81425,1.4762,.247253
259,"Morro Bay Power Plant, LLC",2017,"GAS","CA",6079,15.1175,5.5555,1.368487
260,"Moss Landing",2017,"GAS","CA",6053,12.625,4.59495,.3967329
271,"Pittsburg Generating Station (CA)",2017,"GAS","CA",6013,35.664,14.8785,7.069397
273,"Potrero Generating Station",2017,"GAS","CA",6075,30.055,12.3305,6.952893
302,"Cabrillo Power I Encina Power Station",2017,"GAS","CA",6073,42.4165,13.772,7.76438
310,"Dynegy South Bay, LLC",2017,"GAS","CA",6073,42.4165,13.772,4.557959
315,"AES Alamitos",2017,"GAS","CA",6037,84.67,44.4715,12.63779
329,"Coolwater Generating Station",2017,"GAS","CA",6071,7.5925,6.163,1.339397
330,"El Segundo",2017,"GAS","CA",6037,84.67,44.4715,12.63779
331,"Etiwanda Generating Station",2017,"GAS","CA",6071,7.5925,6.163,1.339397
335,"AES Huntington Beach",2017,"GAS","CA",6059,33.3115,13.2275,5.50648
341,"Long Beach Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
345,"Mandalay Generating Station",2017,"GAS","CA",6111,18.6465,6.5475,2.061651
350,"Ormond Beach Generating Station",2017,"GAS","CA",6111,18.6465,6.5475,2.061651
356,"AES Redondo Beach",2017,"GAS","CA",6037,84.67,44.4715,12.63779
358,"Mountainview Generating Station",2017,"GAS","CA",6071,7.5925,6.163,1.339397
377,"Grayson Power Plant",2017,"GAS","CA",6037,84.67,44.4715,12.63779
389,"El Centro",2017,"GAS","CA",6025,9.7295,2.473,.6165938
399,"Harbor Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
400,"Haynes Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
404,"Scattergood Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
408,"Valley Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
420,"Broadway",2017,"GAS","CA",6037,84.67,44.4715,12.63779
422,"Glenarm",2017,"GAS","CA",6037,84.67,44.4715,12.63779
6013,"Olive",2017,"GAS","CA",6037,84.67,44.4715,12.63779
7266,"Woodland Generation Station",2017,"GAS","CA",6099,17.2765,8.5,2.041721
7307,"Redding Power Plant",2017,"GAS","CA",6089,4.42145,1.64915,.3145398
7315,"Almond Power Plant",2017,"GAS","CA",6099,17.2765,8.5,2.041721
7449,"NCPA Combustion Turbine Project #2",2017,"GAS","CA",6077,24.1875,12.3325,3.38229
7527,"Carson Cogeneration",2017,"GAS","CA",6067,21.227,9.8895,3.330889
7551,"SCA Cogen II",2017,"GAS","CA",6067,21.227,9.8895,3.330889
7552,"Sacramento Power Authority Cogen",2017,"GAS","CA",6067,21.227,9.8895,3.330889
7693,"Anaheim Combustion Turbine",2017,"GAS","CA",6059,33.3115,13.2275,5.50648
7987,"Lake",2017,"GAS","CA",6037,84.67,44.4715,12.63779
10034,"Calpine Gilroy Cogen, LP",2017,"GAS","CA",6085,30.5035,11.2815,4.547334
10156,"Fresno Cogeneration Partners, LP",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
10169,"Carson Cogeneration Company",2017,"GAS","CA",6037,84.67,44.4715,12.63779
10294,"King City Power Plant",2017,"GAS","CA",6053,12.625,4.59495,1.018351
10349,"Yuba City Energy Center",2017,"GAS","CA",6101,11.2095,3.9407,1.172481
10350,"Greenleaf One",2017,"GAS","CA",6101,11.2095,3.9407,1.172481
10405,"Kingsburg Cogen Facility",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
10812,"North Island",2017,"GAS","CA",6073,42.4165,13.772,4.557959
50131,"Coalinga Cogeneration Facility",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
50864,"Sargent Canyon Cogen Facility",2017,"GAS","CA",6053,12.625,4.59495,1.018351
50865,"Salinas River Cogeneration Facility",2017,"GAS","CA",6053,12.625,4.59495,1.018351
54238,"DTE Stockton",2017,"Other","CA",6077,24.1875,12.3325,4.26322
54749,"Goal Line",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55112,"Calpine Sutter Energy Center",2017,"GAS","CA",6101,11.2095,3.9407,1.172481
55151,"La Paloma Generating Plant",2017,"GAS","CA",6029,6.124,5.6725,1.414905
55182,"Sunrise Power Company",2017,"GAS","CA",6029,6.124,5.6725,1.414905
55217,"Los Medanos Energy Center, LLC",2017,"GAS","CA",6013,35.664,14.8785,7.069397
55295,"Blythe Energy",2017,"GAS","CA",6065,34.979,9.918,2.940709
55333,"Delta Energy Center, LLC",2017,"GAS","CA",6013,35.664,14.8785,7.069397
55345,"Otay Mesa Energy Center, LLC",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55393,"Metcalf Energy Center",2017,"GAS","CA",6085,30.5035,11.2815,4.547334
55400,"Elk Hills Power",2017,"GAS","CA",6029,6.124,5.6725,1.414905
55499,"CalPeak Power - Vaca Dixon",2017,"GAS","CA",6095,25.727,11.021,4.476259
55508,"CalPeak Power - Panoche",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
55510,"CalPeak Power - Border",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55512,"Cuyamaca Peak Energy",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55513,"CalPeak Power - Enterprise",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55518,"High Desert Power Project",2017,"GAS","CA",6071,7.5925,6.163,1.339397
55538,"Escondido Energy Center, LLC",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55540,"Chula Vista Energy Center",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55541,"Indigo Generation Facility",2017,"GAS","CA",6065,34.979,9.918,2.940709
55542,"Larkspur Energy Faciity",2017,"GAS","CA",6073,42.4165,13.772,4.557959
55625,"Creed Energy Center",2017,"GAS","CA",6095,25.727,11.021,4.476259
55626,"Lambie Energy Center",2017,"GAS","CA",6095,25.727,11.021,4.476259
55627,"Goose Haven Energy Center",2017,"GAS","CA",6095,25.727,11.021,4.476259
55656,"Pastoria Energy Facility",2017,"GAS","CA",6029,6.124,5.6725,1.414905
55698,"Hanford Energy Park Peaker",2017,"GAS","CA",6031,13.3325,5.7175,1.234983
55748,"Los Esteros Critical Energy Facility",2017,"GAS","CA",6085,30.5035,11.2815,4.547334
55807,"Henrietta Peaker Plant",2017,"GAS","CA",6031,13.3325,5.7175,1.234983
55810,"Gilroy Energy Center, LLC",2017,"GAS","CA",6085,30.5035,11.2815,4.547334
55847,"Feather River Energy Center",2017,"GAS","CA",6101,11.2095,3.9407,1.172481
55853,"Inland Empire Energy Center",2017,"GAS","CA",6065,34.979,9.918,2.940709
55855,"Wolfskill Energy Center",2017,"GAS","CA",6095,25.727,11.021,4.476259
55875,"Wellhead Power Gates, LLC",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
55933,"Tracy Combined Cycle Power Plant",2017,"GAS","CA",6077,24.1875,12.3325,3.38229
55951,"Agua Mansa Power",2017,"GAS","CA",6071,7.5925,6.163,1.339397
55963,"Riverview Energy Center",2017,"GAS","CA",6013,35.664,14.8785,7.069397
55970,"Cosumnes Power Plant",2017,"Other","CA",6067,21.227,9.8895,4.198431
55985,"Palomar Energy Center",2017,"GAS","CA",6073,42.4165,13.772,4.557959
56026,"Donald Von Raesfeld",2017,"GAS","CA",6085,30.5035,11.2815,4.547334
56041,"Malburg Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
56046,"Magnolia",2017,"GAS","CA",6037,84.67,44.4715,12.63779
56078,"Walnut Energy Center",2017,"GAS","CA",6099,17.2765,8.5,2.041721
56135,"Ripon Generation Station",2017,"GAS","CA",6077,24.1875,12.3325,3.38229
56143,"Riverside Energy Resource Center",2017,"GAS","CA",6065,34.979,9.918,2.940709
56232,"Miramar Energy Facility",2017,"GAS","CA",6073,42.4165,13.772,4.557959
56239,"Malaga Power",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
56298,"Roseville Energy Park",2017,"GAS","CA",6061,12.8595,4.21265,1.428058
56467,"Russell City Energy Company LLC",2017,"GAS","CA",6001,27.8565,11.45,4.988439
56471,"McGrath Generating Station",2017,"GAS","CA",6111,18.6465,6.5475,2.061651
56472,"Grapeland Generating Station",2017,"GAS","CA",6071,7.5925,6.163,1.339397
56473,"Mira Loma Generating Station",2017,"GAS","CA",6071,7.5925,6.163,1.339397
56474,"Barre Generating Station",2017,"GAS","CA",6059,33.3115,13.2275,5.50648
56475,"Center Generating Station",2017,"GAS","CA",6037,84.67,44.4715,12.63779
56476,"Gateway Generating Station",2017,"GAS","CA",6013,35.664,14.8785,7.069397
56532,"Colusa Generating Station",2017,"GAS","CA",6011,12.1105,4.30935,1.192814
56569,"Niland Gas Turbine Plant",2017,"GAS","CA",6025,9.7295,2.473,.6165938
56639,"Midway Peaking",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
56803,"Panoche Energy Center",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
56914,"Orange Grove Project",2017,"GAS","CA",6073,42.4165,13.772,4.557959
57001,"El Cajon Energy Center",2017,"GAS","CA",6073,42.4165,13.772,4.557959
57027,"Canyon Power Plant",2017,"GAS","CA",6059,33.3115,13.2275,5.50648
57073,"Ivanpah 2",2017,"Other","CA",6071,7.5925,6.163,1.688248
57074,"Ivanpah 1",2017,"Other","CA",6071,7.5925,6.163,1.688248
57075,"Ivanpah 3",2017,"Other","CA",6071,7.5925,6.163,1.688248
57267,"Marsh Landing Generating Station",2017,"GAS","CA",6013,35.664,14.8785,7.069397
57482,"Sentinel Energy Center, LLC",2017,"GAS","CA",6065,34.979,9.918,2.940709
57483,"Mariposa Energy Project",2017,"GAS","CA",6001,27.8565,11.45,4.988439
57515,"Walnut Creek Energy Park",2017,"GAS","CA",6037,84.67,44.4715,12.63779
57555,"Pio Pico Energy Center LLC",2017,"GAS","CA",6073,42.4165,13.772,4.557959
57564,"Algonquin Power Sanger",2017,"GAS","CA",6019,14.3775,5.5695,1.258577
57978,"Lodi Energy Center",2017,"GAS","CA",6077,24.1875,12.3325,3.38229
58122,"Delano Energy Center, LLC",2017,"GAS","CA",6107,4.90315,3.6716,.7742778
