ORISPL,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
60079,,,,
60080,,,,
60081,,,,
56475,0.109,0.007,"1,444.758",0.003
224,,,,
58430,,,,
60281,,,,
59963,,,,
10048,,,,
58258,1.576,0.016,595.917,0.001
58978,202.658,0.100,0.000,0.004
55934,4.923,0.051,"1,847.791",0.003
10677,,,,
62378,,,,
62150,,,,
50003,2.214,0.023,841.288,0.002
56821,,,,
412,,,,
10175,2.230,0.024,843.211,0.002
225,,,,
56185,28.145,0.033,"1,212.288",0.002
58506,,,,
57011,,,,
55540,0.274,0.013,"2,319.935",0.004
59183,,,,
59738,,,,
62052,,,,
58525,32.102,0.049,8.639,0.002
57682,,,,
57714,34.581,0.052,"1,500.645",0.003
59329,,,,
59395,,,,
10623,1.588,0.017,637.774,0.001
50128,,,,
56356,2.183,0.023,825.417,0.002
60813,,,,
58949,,,,
6060,4.961,0.052,"1,924.857",0.004
226,,,,
52086,1.595,0.016,603.190,0.001
52083,,,,
50131,,,,
50750,1.701,0.017,634.565,0.001
57807,,,,0.002
58379,0.000,0.400,0.000,0.000
227,,,,
454,,,,
60825,,,,
54555,,,,
10661,1.098,0.144,0.000,0.053
59798,,,,
59597,,,,
59598,,,,
58502,,,,
59979,,,,
56532,0.033,0.004,858.080,0.002
846,,,,
10090,3.053,2.170,"1,523.207",0.128
58545,,,,
59264,,,,
59263,,,,
393,,,,
329,,,,
294,,,,
295,,,,
54299,,,,
54298,,,,
54750,,,,
60450,,,,
58374,,,,
59413,,,,
59900,,,,
61475,,,,
61476,,,,
61464,,,,
61482,,,,
61474,,,,
480,,,,
10635,,,,
59638,,,,
59536,,,,
59537,,,,
10875,0.000,0.935,160.340,
10873,0.000,0.935,160.340,
10874,0.000,0.935,160.340,
55970,0.043,0.004,836.348,0.001
394,,,,
59087,,,,
59086,,,,
59703,,,,
62242,,,,
10840,,,,
10837,,,,
50632,3.852,0.204,"1,900.216",0.177
10707,,,,
229,,,,
483,,,,
58170,,,,
61285,,,,
55625,0.248,0.008,"1,528.054",0.003
231,,,,
55084,1.839,0.019,700.020,0.001
58527,,,,
59130,,,,
59129,,,,
57042,,,,0.001
56813,,,,
62028,,,,
58422,,,,0.002
50851,2.134,0.022,805.131,0.002
60979,,,,
60978,,,,
58169,1.524,0.016,574.647,0.001
54300,,,,
60043,,,,
55512,0.128,0.007,"1,328.748",0.003
52081,1.606,0.017,604.318,0.001
52104,1.650,0.017,621.282,0.001
52082,1.597,0.016,601.551,0.001
232,,,,
7507,,,,
233,,,,
10632,0.000,0.935,160.340,
58122,0.114,0.007,"1,446.856",0.003
61116,,,,
55333,0.054,0.004,851.165,0.002
58119,,,,
60861,,,,
57959,,,,
62177,,,,
58514,,,,
59871,,,,
58542,,,,
57993,,,,
10300,1.211,0.397,17.963,0.147
60699,,,,
62460,,,,
436,,,,
58593,13.627,1.265,715.401,0.008
6099,,,,
62175,,,,
56271,,,,
7942,,,,
59405,,,,
54681,,,,
54682,,,,
54685,,,,
54686,,,,
10815,,,,
54687,,,,
56791,,,,
10005,,,,
60100,,,,
57827,,,,
380,,,,
62571,,,,
300,,,,
59094,,,,
59095,,,,
59096,,,,
54449,1.960,0.020,737.591,0.001
52064,,,,0.000
62872,,,,
439,,,,
56026,0.049,0.005,944.164,0.002
415,,,,
50493,3.185,0.033,"1,209.931",0.002
55935,6.734,0.069,"2,510.178",0.005
585,,,,
385,,,,
386,,,,
387,,,,
314,,,,
235,,,,
236,,,,
59746,,,,
54238,0.260,0.001,48.096,0.063
60182,,,,
237,,,,
413,,,,
57301,,,,
50818,,,,
6211,15.234,0.009,"2,709.679",0.023
10776,2.348,0.024,884.147,0.002
60446,,,,
59132,,,,
59133,,,,
586,,,,
50375,,,,
50820,,,,
54453,,,,
50553,,,,
62892,,,,
437,,,,
58076,,,,
301,,,,
57001,0.133,0.007,"1,333.628",0.002
60569,0.000,0.000,0.000,0.000
389,0.105,0.005,955.662,0.002
238,,,,
56707,0.911,0.005,2.918,0.168
330,0.042,0.005,"1,013.945",0.002
10213,3.090,0.032,"1,235.434",0.002
56814,,,,
61168,,,,
61169,,,,
239,,,,
59964,,,,
55950,,,,
55400,0.030,0.003,666.686,0.001
62564,,,,
8076,4.446,0.046,"1,688.832",0.003
10634,0.000,0.935,160.340,
10026,41.683,0.061,92.894,0.002
58168,21.907,0.030,"1,110.145",0.002
60646,,,,
59122,,,,
59978,,,,
50530,0.858,0.002,662.276,0.001
62671,,,,
62704,,,,
62702,,,,
62703,,,,
62705,,,,
60223,,,,0.002
55538,0.093,0.006,"1,248.415",0.002
60570,0.000,0.000,0.000,0.000
50819,,,,
745,,,,
331,,,,
409,,,,
58306,,,,
