ORISPL,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
284,,,,
60491,,,,
59532,,,,
59840,,,,
56144,4.318,0.045,"1,641.222",0.003
56125,,,,
57537,,,,
57545,,,,
50537,1.844,0.019,696.762,0.001
61791,,,,
7066,,,,
62020,,,,
285,,,,
60698,,,,
57683,,,,
59804,,,,0.002
58646,,,,
61607,,,,
7151,,,,
60219,,,,
62113,,,,
57497,,,,
58757,,,,
58753,,,,
58754,,,,
58755,,,,
58756,,,,
60280,,,,
57360,,,,
59687,,,,
60791,,,,
59916,,,,
60032,,,,
57010,,,,
57007,,,,
57008,,,,
57004,,,,
57012,,,,
57557,0.000,0.153,512.448,0.002
10437,,,,
10438,,,,
55182,0.038,0.004,831.816,0.002
61754,24.761,0.030,"1,080.150",0.002
57559,,,,
58429,0.000,0.427,0.000,0.000
54650,,,,
50134,1.865,0.019,701.620,0.001
10387,0.000,0.740,0.000,0.000
59443,,,,
52085,1.619,0.017,608.026,0.001
58149,,,,
58232,,,,
55603,0.000,0.369,0.000,0.000
61824,,,,
62246,,,,
59330,,,,
58303,,,,0.002
59661,,,,
58291,,,,
10191,,,,
54909,,,,
57594,,,,
55846,,,,
479,,,,
57656,,,,
60035,,,,
54343,,,,
59541,,,,
52161,,,,
56570,,,,
55937,,,,
10601,,,,0.000
10502,,,,
438,,,,
7129,,,,
58190,,,,
54308,,,,
56051,3.231,0.033,"1,224.853",0.002
57923,,,,
287,,,,
714,,,,
61366,,,,
57695,,,,
50624,0.794,0.002,546.074,0.001
10091,5.018,0.067,19.510,0.002
54647,,,,
55933,0.076,0.005,985.874,0.002
58619,15.710,0.018,663.398,0.001
50826,,,,
451,,,,
59599,,,,
58642,,,,
10222,,,,
61846,,,,
289,,,,
57913,,,,
416,,,,
56631,,,,
161,,,,
59872,,,,
61995,,,,
62016,,,,
57122,1.610,0.018,646.782,0.001
60120,,,,0.001
52073,1.094,0.017,617.257,0.001
57735,,,,0.002
6612,,,,
50064,1.900,0.020,716.271,0.001
57856,,,,
50089,19.236,0.023,839.946,0.002
57584,1.878,0.019,712.409,0.001
489,,,,
407,,,,
50115,1.664,0.017,630.565,0.001
60846,,,,
61682,,,,
61683,,,,
61250,,,,
60086,,,,
57420,,,,
58249,,,,
59256,0.000,0.000,0.000,0.000
57041,,,,
59058,,,,
61418,,,,
62288,,,,
55851,1.426,0.015,595.945,0.001
55852,,,,
60509,,,,
58906,,,,
58907,,,,
408,0.083,0.004,872.420,0.002
60824,,,,
487,,,,
57307,,,,
61107,0.000,0.000,0.000,0.000
61463,,,,
57700,,,,
59555,,,,
58289,,,,
58290,,,,
72,,,,
59261,,,,0.002
7436,,,,
60918,66.831,0.098,0.000,0.004
62418,,,,
62419,,,,
58418,,,,
58419,,,,
59269,,,,
59270,,,,
59271,,,,
59272,,,,
57254,,,,
62726,,,,
50532,,,,
52160,,,,
58450,,,,
58509,,,,
61661,0.000,0.000,0.000,0.000
58053,,,,
290,,,,
180,,,,
60594,,,,
61582,,,,
61583,,,,
61584,,,,
50210,0.000,0.935,160.340,
6196,,,,
59458,1.825,0.019,687.811,0.001
448,0.000,0.000,0.000,0.000
50293,1.376,0.343,5.640,0.127
58233,,,,
57006,,,,
4256,265.600,2.760,"121,798.400",0.425
57515,0.110,0.006,"1,170.931",0.002
56078,0.057,0.005,993.601,0.002
54261,,,,
57164,,,,
59299,0.000,0.379,0.000,0.000
60466,,,,
57715,55.016,0.066,"2,416.150",0.005
50216,1.417,0.015,657.324,0.002
58454,,,,
54447,1.946,0.020,731.983,0.001
10199,,,,
58206,,,,
291,,,,
58244,,,,
10685,,,,
59961,,,,
58626,,,,
58627,,,,
54410,2.239,0.023,846.220,0.002
58616,,,,
61249,,,,
60914,,,,
61593,,,,
61348,,,,
61349,,,,
61594,,,,
60275,,,,
57499,,,,
54258,,,,
60255,,,,
50298,,,,
50950,,,,
50876,,,,
50881,2.704,0.451,0.000,0.167
7189,,,,
58373,,,,
58973,,,,
435,,,,
60193,,,,
56012,,,,
10162,,,,
60975,,,,
57102,,,,
57181,,,,
62875,,,,
59380,,,,
59253,,,,
60325,,,,
60324,,,,
55557,,,,0.000
59878,,,,
59969,,,,
50386,,,,
10027,,,,
60321,,,,
62902,,,,
57774,,,,
50276,,,,
292,,,,
61750,,,,
55855,0.196,0.006,"1,429.548",0.003
10836,0.894,0.445,8.377,0.165
7266,0.050,0.004,864.810,0.002
419,,,,
59008,,,,
50218,,,,
59525,,,,
56036,22.899,0.037,7.656,0.001
62286,,,,
58299,,,,0.001
59805,,,,0.002
59257,0.000,0.000,0.000,0.000
57422,,,,
6647,,,,
52186,2.428,0.024,883.181,0.002
10349,0.102,0.001,143.200,0.002
55813,3.774,0.037,"1,360.753",0.003
56276,,,,
60220,14.744,0.038,0.000,0.001
