,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE
197,SENTNL_2_CTG7,ngct,SCE,91.84,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.8,CPV Sentinel Unit 7,"Sentinel Energy Center, LLC",57482
198,SENTNL_2_CTG8,ngct,SCE,91.56,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6409.2,CPV Sentinel Unit 8,"Sentinel Energy Center, LLC",57482
23,LMBEPK_2_UNITA2,ngct,PGE_bay,48,9.46,9.53,9.59,17,48,1,1,3.17,20.21917808,3360,CREED ENERGY CENTER,Creed Energy Center,55625
2,CROKET_7_UNIT,ngcc,PGE_bay,240,4.36,4.62,4.88,96,240,5,5,2,110.2583026,16800,CROCKETT COGEN,Crockett Cogen Project,55084
110,CASTVL_2_FCELL,ngct,PGE_valley,1.4,6.49,6.55,6.62,1,2,1,1,3.17,0.547945205,98,CSUEB Fuel Cell Station,CSU East Bay,57042
241,ELCAJN_6_UNITA1,ngct,SDGE,45.42,11.9,11.97,12.03,6,46,1,1,3.17,19.17808219,3179.4,Cuyamaca Peak Energy Plant,Cuyamaca Peak Energy,55512
13,DELTA_2_PL1X4,ngcc,PGE_bay,880,10.22,10.48,10.74,352,880,4,4,2,404.3542435,61600,DELTA ENERGY CENTER (AGGREGATE),"Delta Energy Center, LLC",55333
9,DUANE_1_PL1X3,ngcc,PGE_bay,147.8,7.86,8.12,8.38,60,148,2,2,2,67.89667897,10346,DONALD VON RAESFELD POWER PLANT,Donald Von Raesfeld,56026
75,DOUBLC_1_UNITS,ngct,PGE_valley,52.23,8.68,8.75,8.81,19,53,1,1,3.17,21.91780822,3656.1,DOUBLE C LIMITED,Double C Generation Limited Partnership,50493
164,DREWS_6_PL1X4,ngct,SCE,41.4,13.67,13.74,13.8,15,42,1,1,3.17,17.53424658,2898,DREWS (AGGREGATE),Drews Generating Facility,55935
156,SNCLRA_6_OXGEN,ngct,SCE,48.9,7.23,7.29,7.36,18,49,1,1,3.17,20.54794521,3423,"E. F. OXNARD, INCORPORATED",E F Oxnard Energy Facility,10776
246,ELCAJN_6_LM6K,ngct,SDGE,48.1,8.13,8.2,8.26,16,49,1,1,3.17,20.2739726,3367,El Cajon Energy Center,El Cajon Energy Center,57001
236,ELCAJN_7_GT1,ngct,SDGE,16.36,17.15,17.22,17.28,9,17,1,1,3.17,6.849315068,1145.2,El Cajon GT,El Cajon,301
135,ELSEGN_2_UN1011,ngcc,SCE,263,9.29,9.55,9.81,106,263,1,1,2,121.0332103,18410,El Segundo Energy Center 5/6,El Segundo,330
136,ELSEGN_2_UN2021,ngcc,SCE,263.68,9.29,9.55,9.81,106,264,1,1,2,121.0332103,18457.6,El Segundo Energy Center 7/8,El Segundo,330
43,ELKHIL_2_PL1X3,ngcc,PGE_valley,551.7,8.77,9.03,9.3,221,552,2,2,2,253.5055351,38619,ELK HILLS GENERATING PROJECT (AGGREGATE),Elk Hills Power,55400
178,GOLETA_6_ELLWOD,ngct,SCE,54,11.53,11.6,11.66,19,54,1,1,3.17,22.73972603,3780,Ellwood Generating Station,Ellwood,8076
254,ESCNDO_6_PL1X2,ngct,SDGE,48.71,7.63,7.7,7.76,38,49,1,1,3.17,20.54794521,3409.7,Escondido Energy Center,"Escondido Energy Center, LLC",55538
207,ETIWND_7_UNIT3,ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,ETIWANDA UNIT 3,Etiwanda Generating Station,331
208,ETIWND_7_UNIT4,ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,ETIWANDA UNIT 4,Etiwanda Generating Station,331
137,GOLETA_6_EXGEN,ngct,SCE,48.2,9.59,9.65,9.72,17,49,1,1,3.17,20.2739726,3374,"EXXON COMPANY, USA",ExxonMobil Santa Ynez Facility,50270
71,BOGUE_1_UNITA1,ngct,PGE_valley,46.3,9.15,9.21,9.28,17,47,1,1,3.17,19.45205479,3241,FEATHER RIVER ENERGY CENTER,Feather River Energy Center,55847
50,AGRICO_7_UNIT,ngcc,PGE_valley,50.6,6.64,6.9,7.16,21,51,4,4,2,23.24723247,3542,FRESNO COGEN PLANT,"Fresno Cogeneration Partners, LP",10156
83,AGRICO_6_PL3N5,ngct,PGE_valley,22.69,8.02,8.08,8.15,8,23,1,1,3.17,9.589041096,1588.3,FRESNO PEAKER PLANT,"Fresno Cogeneration Partners, LP",10156
113,FRITO_1_LAY,ngct,PGE_valley,6,5.86,5.93,5.99,3,6,1,1,3.17,2.465753425,420,FRITO-LAY,Frito-Lay Cogen Plant,10110
3,GATWAY_2_PL1X3,ngcc,PGE_bay,562.5,5.91,6.17,6.43,225,563,1,1,2,258.4870849,39375,Gateway Generating Station,Gateway Generating Station,56476
158,GOLETA_6_GAVOTA,ngct,SCE,9.9,5.72,5.78,5.85,4,10,1,1,3.17,4.109589041,693,GAVIOTA OIL HEATING FACILITY,Gaviota Oil Plant,50623
18,COCOPP_2_CTG1,ngct,PGE_bay,204.2,8.65,8.71,8.78,72,205,1,1,3.17,86.08219178,14294,GENON MARSH LANDING GEN STATION UNIT 1,Marsh Landing Generating Station,57267
19,COCOPP_2_CTG2,ngct,PGE_bay,202.7,8.65,8.71,8.78,71,203,1,1,3.17,85.45205479,14189,GENON MARSH LANDING GEN STATION UNIT 2,Marsh Landing Generating Station,57267
20,COCOPP_2_CTG3,ngct,PGE_bay,208.96,8.65,8.71,8.78,74,209,1,1,3.17,88.08219178,14627.2,GENON MARSH LANDING GEN STATION UNIT 3,Marsh Landing Generating Station,57267
21,COCOPP_2_CTG4,ngct,PGE_bay,204.29,8.65,8.71,8.78,72,205,1,1,3.17,86.10958904,14300.3,GENON MARSH LANDING GEN STATION UNIT 4,Marsh Landing Generating Station,57267
32,CSCGNR_1_UNIT_1,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5,Gianera GT 1,Gianera,7231
33,CSCGNR_1_UNIT_2,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5,Gianera GT 2,Gianera,7231
5,GILROY_1_UNIT,ngcc,PGE_bay,120,6.63,6.89,7.15,48,120,6,6,2,55.12915129,8400,GILROY COGEN,"Gilroy Energy Center, LLC",55810
27,GILRPP_1_PL3X4,ngct,PGE_bay,46.2,11.9,11.96,12.03,17,47,1,1,3.17,19.45205479,3234,Gilroy Energy Center Unit 3,"Gilroy Energy Center, LLC",55810
185,GLNARM_7_UNIT1,ngct,SCE,22.07,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1544.9,Glen Arm Power Plant 1,Glenarm,422
186,GLNARM_7_UNIT2,ngct,SCE,22.3,8.06,8.13,8.19,8,23,1,1,3.17,9.315068493,1561,Glen Arm Power Plant 2,Glenarm,422
187,GLNARM_7_UNIT3,ngct,SCE,44.83,8.06,8.13,8.19,16,45,1,1,3.17,18.90410959,3138.1,Glen Arm Power Plant 3,Glenarm,422
188,GLNARM_7_UNIT4,ngct,SCE,42.42,8.06,8.13,8.19,15,43,1,1,3.17,17.80821918,2969.4,Glen Arm Power Plant 4,Glenarm,422
234,ESCO_6_GLMQF,ngct,SDGE,49.9,6.97,7.04,7.1,113,50,1,1,3.17,21.09589041,3493,Goal Line Cogen,Goal Line,54749
24,LMBEPK_2_UNITA3,ngct,PGE_bay,48,9.66,9.73,9.79,17,48,1,1,3.17,20.21917808,3360,GOOSE HAVEN ENERGY CENTER,Goose Haven Energy Center,55627
173,ETIWND_6_GRPLND,ngct,SCE,46,11.9,11.97,12.03,17,46,1,1,3.17,19.45205479,3220,Grapeland Peaker,Grapeland Generating Station,56472
51,GRNLF1_1_UNITS,ngcc,PGE_valley,49.5,6.64,6.9,7.16,20,50,6,6,2,22.87822878,3465,GREENLEAF UNIT #1 (Aggregate),Greenleaf One,10350
84,GRNLF2_1_UNIT,ngct,PGE_valley,63.75,8.02,8.08,8.15,23,64,1,1,3.17,26.84931507,4462.5,GREENLEAF UNIT #2,Greenleaf One,10350
166,VERNON_6_GONZL1,ngct,SCE,5.75,12.7,12.77,12.83,3,6,1,1,3.17,2.465753425,402.5,H. GONZALES GAS TURBINE 1,H. Gonzales,56039
167,VERNON_6_GONZL2,ngct,SCE,5.75,12.7,12.77,12.83,3,6,1,1,3.17,2.465753425,402.5,H. GONZALES GAS TURBINE 2,H. Gonzales,56039
