,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE
90,GRZZLY_1_BERKLY,ngct,PGE_valley,32.5,7.98,8.05,8.11,12,33,1,1,3.17,13.69863014,2275,"PE - BERKELEY, INC.",PE Berkeley,50849
85,KINGCO_1_KINGBR,ngct,PGE_valley,34.5,8.02,8.08,8.15,13,35,1,1,3.17,14.52054795,2415,"PE - KES KINGSBURG,LLC",Kingsburg Cogen Facility,10405
14,UNOCAL_1_UNITS,ngct,PGE_bay,57.3,6.37,6.43,6.5,21,58,1,1,3.17,24.1369863,4011,Phillips 66 - Rodeo Plant,Phillips 66 Rodeo Refinery,50119
249,PIOPIC_2_CTG1,ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,Pio Pico Unit 1,Pio Pico Energy Center LLC,57555
250,PIOPIC_2_CTG2,ngct,SDGE,106,7.87,7.94,8,34,106,1,1,3.17,44.65753425,7420,Pio Pico Unit 2,Pio Pico Energy Center LLC,57555
251,PIOPIC_2_CTG3,ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,Pio Pico Unit 3,Pio Pico Energy Center LLC,57555
34,PITTSP_7_UNIT_5,ngst,PGE_bay,312,12.15,12.85,13.56,125,312,6,6,2,64.52322738,21840,Pittsburg Unit 5,Pittsburg Generating Station (CA),271
35,PITTSP_7_UNIT_6,ngst,PGE_bay,317,12.15,12.85,13.56,127,317,6,6,2,65.56234719,22190,Pittsburg Unit 6,Pittsburg Generating Station (CA),271
36,PITTSP_7_UNIT_7,ngst,PGE_bay,530,12.15,12.85,13.56,212,530,6,6,2,109.608802,37100,Pittsburg Unit 7,Pittsburg Generating Station (CA),271
66,REDBLF_6_UNIT,ngct,PGE_valley,44,9.48,9.54,9.61,16,44,1,1,3.17,18.63013699,3080,RED BLUFF PEAKER PLANT,Red Bluff,56184
218,REDOND_7_UNIT5,ngst,SCE,178.87,11.19,11.89,12.6,72,179,6,6,2,37.17791411,12520.9,Redondo Unit 5,AES Redondo Beach,356
219,REDOND_7_UNIT6,ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,Redondo Unit 6,AES Redondo Beach,356
220,REDOND_7_UNIT7,ngst,SCE,505.96,11.19,11.89,12.6,203,506,6,6,2,105.0306748,35417.2,Redondo Unit 7,AES Redondo Beach,356
221,REDOND_7_UNIT8,ngst,SCE,495.9,11.19,11.89,12.6,199,496,6,6,2,102.9447853,34713,Redondo Unit 8,AES Redondo Beach,356
69,SMPRIP_1_SMPSON,ngct,PGE_valley,46.05,9.37,9.43,9.5,17,47,1,1,3.17,19.45205479,3223.5,Ripon Cogeneration Unit 1,Ripon Generation Station,56135
138,RVSIDE_6_RERCU1,ngct,SCE,48.35,8.49,8.56,8.62,17,49,1,1,3.17,20.2739726,3384.5,Riverside Energy Res. Ctr Unit 1,Riverside Energy Resource Center,56143
139,RVSIDE_6_RERCU2,ngct,SCE,48.5,8.49,8.56,8.62,17,49,1,1,3.17,20.54794521,3395,Riverside Energy Res. Ctr Unit 2,Riverside Energy Resource Center,56143
22,RVRVEW_1_UNITA1,ngct,PGE_bay,48.7,9.3,9.37,9.43,18,49,1,1,3.17,20.52054795,3409,RIVERVIEW ENERGY CENTER,Riverview Energy Center,55963
12,RUSCTY_2_UNITS,ngcc,PGE_bay,620,10.06,10.32,10.58,248,620,1,1,2,284.9077491,43400,Russell City Energy Center,Russell City Energy Company LLC,56467
86,SALIRV_2_UNIT,ngct,PGE_valley,57,8.02,8.08,8.15,20,57,1,1,3.17,24.10958904,3990,SALINAS RIVER COGENERATION,Salinas River Cogeneration Facility,50865
31,CSCCOG_1_UNIT_1,ngct,PGE_bay,7,18.41,18.48,18.54,3,7,1,1,3.17,2.931506849,490,SANTA CLARA COGEN,Santa Clara Cogen,7232
88,SARGNT_2_UNIT,ngct,PGE_valley,57.1,8.02,8.08,8.15,20,58,1,1,3.17,24.10958904,3997,SARGENT CANYON COGENERATION,Sargent Canyon Cogen Facility,50864
72,KERNRG_1_UNITS,ngct,PGE_valley,55.2,9.02,9.09,9.15,20,56,1,1,3.17,23.28767123,3864,South Belridge Cogen Facility,South Belridge Cogeneration Facility,50752
168,RVSIDE_6_SPRING,ngct,SCE,36,12.28,12.35,12.41,13,36,1,1,3.17,15.06849315,2520,Springs Generation Project,Springs Generating Station,56144
15,SRINTL_6_UNIT,ngct,PGE_bay,6.9,7.4,7.46,7.53,3,7,1,1,3.17,2.904109589,483,SRI INTERNATIONAL,SRI International Cogen Project,50537
40,SUNRIS_2_PL1X3,ngcc,PGE_valley,586.02,9.84,10.1,10.36,235,587,4,4,2,269.3726937,41021.4,SUNRISE POWER PROJECT (AGGREGATE),Sunrise Power Company,55182
151,SYCAMR_2_UNIT1,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 1,Sycamore Cogeneration,50134
152,SYCAMR_2_UNIT2,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 2,Sycamore Cogeneration,50134
153,SYCAMR_2_UNIT3,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 3,Sycamore Cogeneration,50134
154,SYCAMR_2_UNIT4,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,SYCAMORE COGENERATION UNIT 4,Sycamore Cogeneration,50134
52,SCHLTE_1_PL1X3,ngcc,PGE_valley,332.28,6.33,6.59,6.85,133,333,1,1,2,152.7675277,23259.6,Tracy Combined Cycle Power Plant,Tracy Combined Cycle Power Plant,55933
141,HOLGAT_1_BORAX,ngct,SCE,48.2,8.06,8.13,8.19,17,49,1,1,3.17,20.2739726,3374,U.S. BORAX AND CHEMICAL CORP. (#1),US Borax,50115
200,WALCRK_2_CTG1,ngct,SCE,96.43,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6750.1,Walnut Creek Energy Park Unit 1,Walnut Creek Energy Park,57515
201,WALCRK_2_CTG2,ngct,SCE,96.91,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6783.7,Walnut Creek Energy Park Unit 2,Walnut Creek Energy Park,57515
202,WALCRK_2_CTG3,ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,Walnut Creek Energy Park Unit 3,Walnut Creek Energy Park,57515
203,WALCRK_2_CTG4,ngct,SCE,96.49,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6754.3,Walnut Creek Energy Park Unit 4,Walnut Creek Energy Park,57515
204,WALCRK_2_CTG5,ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,Walnut Creek Energy Park Unit 5,Walnut Creek Energy Park,57515
120,ARCOGN_2_UNITS,ngcc,SCE,416.6,6.01,6.27,6.53,167,417,5,5,2,191.5129151,29162,WATSON COGENERATION COMPANY,Watson Cogeneration,50216
199,VESTAL_2_WELLHD,ngct,SCE,49,7.63,7.7,7.76,18,49,1,1,3.17,20.54794521,3430,Wellhead Power Delano,"Delano Energy Center, LLC",58122
78,DEXZEL_1_UNIT,ngct,PGE_valley,36.8,8.08,8.14,8.21,13,37,1,1,3.17,15.61643836,2576,Western Power and Steam Cogeneration,Western Power & Steam Inc,54410
70,WOLFSK_1_UNITA1,ngct,PGE_valley,46.9,9.31,9.38,9.44,17,47,1,1,3.17,19.7260274,3283,WOLFSKILL ENERGY CENTER,Wolfskill Energy Center,55855
94,YUBACT_1_SUNSWT,ngct,PGE_valley,49.97,7.63,7.69,7.76,18,50,1,1,3.17,21.09589041,3497.9,YUBA CITY COGEN (SUNSWEET),Yuba City Cogen Partners,52186
64,YUBACT_6_UNITA1,ngct,PGE_valley,46,10.84,10.91,10.97,17,46,1,1,3.17,19.45205479,3220,Yuba City Energy Center,Yuba City Energy Center,10349
142,CHINO_6_SMPPAP,ngct,SCE,44,8.02,8.08,8.15,16,44,1,1,3.17,18.63013699,3080,AltaGas Pomona Energy Inc.,,
252,VESTAL_2_UNIT1,ngct,SDGE,11.2,7.63,7.7,7.76,17,12,1,1,3.17,4.657534247,784,CALGREN-PIXLEY,,
119,CENTER_2_QF,ngcc,SCE,31,7.12,7.38,7.64,13,31,6,6,2,14.39114391,2170,CENTER AREA LUMPED UNITS,,
229,LAROA2_2_UNITA1,ngcc,SDGE,322,7.86,8.12,8.38,129,322,4,4,2,147.9704797,22540,CENTRAL LA ROSITA II COMBINED CYCLE (AGGREGATE),,
121,CHEVMN_2_UNITS,ngcc,SCE,124.87,6.64,6.9,7.16,50,125,5,5,2,57.56457565,8740.9,Chevron CIC,,
8,STOILS_1_UNITS,ngcc,PGE_bay,113.9,7.12,7.38,7.64,46,114,5,5,2,52.32472325,7973,CHEVRON RICHMOND REFINERY,,
80,CHEVCY_1_UNIT,ngct,PGE_valley,24.3,8.02,8.08,8.15,9,25,1,1,3.17,10.1369863,1701,CHEVRON USA (CYMRIC),,
253,LAROA1_2_UNITA1,ngct,SDGE,180,7.63,7.7,7.76,17,180,1,1,3.17,75.89041096,12600,CICLO COMBINADO MEXICALI,,
48,CLRMTK_1_QF,ngcc,PGE_valley,1.25,7.12,7.38,7.64,1,2,6,6,2,0.73800738,87.5,CLAIRMONT AREA LUMPED QF UNITS,,
126,CORONS_6_CLRWTR,ngcc,SCE,28,7.49,7.75,8.02,12,28,4,4,2,12.91512915,1960,Clearwater Power Plant,,
112,COLGA1_6_SHELLW,ngct,PGE_valley,52.9,6.23,6.29,6.36,19,53,1,1,3.17,22.19178082,3703,COALINGA COGENERATION,,
30,PALALT_7_COBUG,ngct,PGE_bay,4.5,11.9,11.96,12.03,2,5,1,1,3.17,1.890410959,315,Cooperatively Owned Back Up Generator,,
122,SAUGUS_6_PTCHGN,ngcc,SCE,29.8,8.12,8.38,8.64,12,30,5,5,2,13.65313653,2086,COUNTY OF LOS ANGELES (PITCHESS HONOR RANCH),,
134,MRCHNT_2_PL1X3,ngcc,SCE,494.58,5.84,6.1,6.36,198,495,1,1,2,227.3062731,34620.6,Desert Star Energy Center,,
226,DIVSON_6_NSQF,ngcc,SDGE,47,6.64,6.9,7.16,19,47,6,6,2,21.77121771,3290,DIVISON NAVAL STATION COGEN,,
237,ENCINA_7_GT1,ngct,SDGE,14.5,16.27,16.34,16.4,15,15,1,1,3.17,6.02739726,1015,Encina GT 1,,
255,ENCINA_7_EA1,ngst,SDGE,106,11.93,12.64,13.34,43,106,6,6,2,21.96319018,7420,Encina Unit 1,,
256,ENCINA_7_EA2,ngst,SDGE,104,11.93,12.64,13.34,42,104,6,6,2,21.59509202,7280,Encina Unit 2,,
257,ENCINA_7_EA3,ngst,SDGE,110,11.93,12.64,13.34,44,110,6,6,2,22.82208589,7700,Encina Unit 3,,
258,ENCINA_7_EA4,ngst,SDGE,300,11.93,12.64,13.34,120,300,6,6,2,62.33128834,21000,Encina Unit 4,,
259,ENCINA_7_EA5,ngst,SDGE,330,11.93,12.64,13.34,132,330,6,6,2,68.46625767,23100,Encina Unit 5,,
242,ESCNDO_6_UNITB1,ngct,SDGE,48.04,11.9,11.97,12.03,13,49,1,1,3.17,20.2739726,3362.8,Enterprise,,
63,FELLOW_7_QFUNTS,ngct,PGE_valley,10.5,11.09,11.15,11.22,4,11,1,1,3.17,4.383561644,735,FELLOW QF UNIT AGGREGATE,,
117,LAPAC_6_UNIT,ngst,PGE_valley,20,13.79,14.49,15.2,7,20,1,1,3.17,4.171779141,1400,Freshwater Tissue Company,,
28,GILRPP_1_PL1X2,ngct,PGE_bay,95.4,11.9,11.96,12.03,34,96,1,1,3.17,40.21917808,6678,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),,
7,CONTAN_1_UNIT,ngcc,PGE_bay,27.7,6.63,6.89,7.15,12,28,1,1,2,12.69372694,1939,Graphic Packaging Cogen,,
60,GWFPWR_1_UNITS,ngct,PGE_valley,98.46,11.9,11.97,12.03,35,99,1,1,3.17,41.64383562,6892.2,GWF HEP PEAKER PLANT (AGGREGATE),,
239,KEARNY_7_KY3,ngct,SDGE,61,14.23,14.3,14.36,13,61,1,1,3.17,25.75342466,4270,KEARNY KY3 (AGGREGATE),,
147,OMAR_2_UNIT1,ngct,SCE,78,7.43,7.5,7.56,28,78,1,1,3.17,32.87671233,5460,KERN RIVER COGENERATION UNIT 1,,
148,OMAR_2_UNIT2,ngct,SCE,78.11,7.43,7.5,7.56,28,79,1,1,3.17,32.87671233,5467.7,KERN RIVER COGENERATION UNIT 2,,
149,OMAR_2_UNIT3,ngct,SCE,81.41,7.43,7.5,7.56,29,82,1,1,3.17,34.24657534,5698.7,KERN RIVER COGENERATION UNIT 3,,
150,OMAR_2_UNIT4,ngct,SCE,81.44,7.43,7.5,7.56,29,82,1,1,3.17,34.24657534,5700.8,KERN RIVER COGENERATION UNIT 4,,
6,TIDWTR_2_UNITS,ngcc,PGE_bay,114.8,6.63,6.89,7.15,46,115,6,6,2,52.73062731,8036,Martinez Cogen Limited Partnership,,
238,MRGT_7_UNITS,ngct,SDGE,36,15.31,15.38,15.44,18,36,1,1,3.17,15.06849315,2520,MIRAMAR GT PLANT (AGGREGATE),,
47,MISSIX_1_QF,ngcc,PGE_valley,1,7.12,7.38,7.64,1,1,6,6,2,0.36900369,70,MISSIX AREA (SAB FRABCUSCI) LUMPED QF UNITS,,
118,MOORPK_6_QF,ngcc,SCE,34.8,7.12,7.38,7.64,14,35,6,6,2,15.86715867,2436,MOORE PARK AREA LUMPED UNITS,,
41,MOSSLD_2_PSP1,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700,Moss Landing CC Plant 1 (Aggregate),,
42,MOSSLD_2_PSP2,ngcc,PGE_valley,510,9.36,9.62,9.88,204,510,3,3,2,234.3173432,35700,Moss Landing CC Plant 2 (Aggregate),,
144,ETIWND_2_UNIT1,ngct,SCE,33.6,8.02,8.08,8.15,12,34,1,1,3.17,14.24657534,2352,"New-Indy Ontario, LLC",,
145,SNCLRA_2_UNIT1,ngct,SCE,27.8,8.02,8.08,8.15,10,28,1,1,3.17,11.78082192,1946,New-Indy Oxnard LLC,,
231,PTLOMA_6_NTCQF,ngct,SDGE,22.3,8.63,8.69,8.76,17,23,1,1,3.17,9.315068493,1561,NTC/MCRD COGENERATION,,
37,OAK_C_7_UNIT_1,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850,Oakland GT #1,,
38,OAK_C_7_UNIT_2,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850,Oakland GT #2,,
39,OAK_C_7_UNIT_3,oil,PGE_bay,55,13.68,13.75,13.81,20,55,1,1,3.17,23.17808219,3850,Oakland GT #3,,
58,OROVIL_6_UNIT,ngct,PGE_valley,7.5,15.36,15.42,15.49,3,8,1,1,3.17,3.287671233,525,OROVILLE COGEN,,
146,SNCLRA_6_PROCGN,ngct,SCE,49.5,8.02,8.08,8.15,18,50,1,1,3.17,20.82191781,3465,PROCTER & GAMBLE PAPER PROD. (OXNARD II),,
16,STAUFF_1_UNIT,ngct,PGE_bay,4.6,8.01,8.08,8.14,2,5,1,1,3.17,1.917808219,322,RHODIA INC. (RHONE-POULENC),,
225,VESTAL_6_ULTRGN,coal,SCE,38,15.59,15.99,16.39,13,29,10,10,4.6,44.66257669,2660,RIO BRAVO JASMIN,,
179,RVSIDE_2_RERCU3,ngct,SCE,49,8.49,8.56,8.62,18,49,1,1,3.17,20.54794521,3430,Riverside Energy Resource Center (RERC) Unit 3,,
180,RVSIDE_2_RERCU4,ngct,SCE,49,8.49,8.56,8.62,18,49,1,1,3.17,20.54794521,3430,Riverside Energy Resource Center (RERC) Unit 4,,
123,SBERDO_2_QF,ngcc,SCE,10.6,7.12,7.38,7.64,5,11,5,5,2,4.79704797,742,SAN BERNARDINO AREA LUMPED UNITS,,
87,SGREGY_6_SANGER,ngct,PGE_valley,48.3,8.02,8.08,8.15,17,49,1,1,3.17,20.2739726,3381,"SANGER POWER, LLC",,
224,SEARLS_7_ARGUS,coal,SCE,62.5,10.4,10.8,11.2,20,47,10,10,4.6,44.66257669,4375,"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)",,
97,DALYCT_1_FCELL,ngct,PGE_valley,1.6,7.57,7.64,7.7,1,2,1,1,3.17,0.547945205,112,SF State Fuel Cell Station,,
230,TERMEX_2_PL1X3,ngcc,SDGE,625,7.86,8.12,8.38,250,625,4,4,2,287.0848708,43750,TERMOELCTRICA DE MEXICALI (Aggregate),,
89,VEDDER_1_SEKERN,ngct,PGE_valley,39.7,8.02,8.08,8.15,14,40,1,1,3.17,16.71232877,2779,TEXACO EXPLORATION & PRODUCTION INC. (SE KERN),,
61,VACADX_1_UNITA1,ngct,PGE_valley,50.61,11.9,11.97,12.03,18,51,1,1,3.17,21.36986301,3542.7,Vaca Dixon Peaker Plant,,
62,PNOCHE_1_PL1X2,ngct,PGE_valley,49.97,11.9,11.97,12.03,18,50,1,1,3.17,21.09589041,3497.9,WELLHEAD - PANOCHE PEAKER,,
260,HELMS_PS,psh,PGE_valley,1212,0,0,0,0,1212,1,1,0,0,0,,,
261,EASTWOOD_PS,psh,SCE,148,0,0,0,0,148,1,1,0,0,0,,,
262,HODGES_PS,psh,SDGE,80,0,0,0,0,80,1,1,0,0,0,,,
263,SLACK1,slack,PGE_valley,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,,,
264,SLACK2,slack,PGE_bay,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,,,
265,SLACK3,slack,SCE,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,,,
266,SLACK4,slack,SDGE,10000,10000,10000,10000,0,5000,1,1,0,10000000000,10000000000,,,
267,SCE_hydro,hydro,SCE,2082.666175,0,0,0,0,455,1,1,0,0,0,,,
268,PGEV_hydro,hydro,PGE_valley,4185.568692,0,0,0,0,725,1,1,0,0,0,,,
269,P46I_SCE,imports,WECC_SCE,1716.274635,0,0,0,0,366,1,1,0,0,0,,,
270,P46I_SDGE,imports,WECC_SDGE,99,0,0,0,0,99,1,1,0,0,0,,,
271,P66I,imports,WECC_PGEV,4121.588058,0,0,0,0,860,1,1,0,0,0,,,
272,P61I,imports,WECC_SCE,1323.032957,0,0,0,0,348,1,1,0,0,0,,,
273,P45I,imports,WECC_SDGE,485,0,0,0,0,99,1,1,0,0,0,,,
274,P24I,imports,WECC_PGEV,99,0,0,0,0,47,1,1,0,0,0,,,
275,P42I,imports,WECC_SCE,438,0,0,0,0,47,1,1,0,0,0,,,
