Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,yr,SO2_lbs_MD,NOX_lbs_MD,PM_MD_KWH,CO2rate,NOXrate,SO2rate
46,CHEVCO_6_UNIT_2,ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2.0,5.904059041,875.0,AERA ENERGY LLC. (Coalinga),Coalinga Cogeneration Facility,50131.0,,,,,2017.0,14.3775,5.5695,1.258577,,,
44,CALPIN_1_AGNEW,ngcc,PGE_valley,28.0,8.05,8.31,8.57,12,28,5,5,2.0,12.91512915,1960.0,Agnews Power Plant,Agnews Power Plant,50748.0,2.9810000000000003,0.031,"1,120.486",0.002,,,,,,,
169,COLTON_6_AGUAM1,ngct,SCE,43.0,11.9,11.97,12.03,16,43,1,1,3.17,18.08219178,3010.0,AGUA MANSA GENERATING FACILITY,Agua Mansa Power,55951.0,0.209,0.008,"1,307.454",0.003,2017.0,7.5925,6.1629999999999985,1.339397,1.047485,0.2065605,0.005278
25,ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,11.48,11.55,11.61,9,24,1,1,3.17,10.02739726,1666.0,Alameda GT Unit 1,Alameda,7450.0,4.627,0.048,"1,759.545",0.003,,,,,,,
26,ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,11.48,11.55,11.61,9,26,1,1,3.17,10.68493151,1778.0,Alameda GT Unit 2,Alameda,7450.0,4.627,0.048,"1,759.545",0.003,,,,,,,
209,ALAMIT_7_UNIT1,ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2.0,36.19631902,12219.2,Alamitos 1,AES Alamitos,315.0,0.104,0.008,"1,576.744",0.003,2017.0,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695
210,ALAMIT_7_UNIT2,ngst,SCE,175.0,11.19,11.89,12.6,70,175,6,6,2.0,36.3190184,12250.0,Alamitos 2,AES Alamitos,315.0,0.104,0.008,"1,576.744",0.003,2017.0,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695
211,ALAMIT_7_UNIT3,ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2.0,68.95705521,23252.6,Alamitos 3,AES Alamitos,315.0,0.104,0.008,"1,576.744",0.003,2017.0,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695
212,ALAMIT_7_UNIT4,ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2.0,69.69325153,23496.9,Alamitos 4,AES Alamitos,315.0,0.104,0.008,"1,576.744",0.003,2017.0,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695
213,ALAMIT_7_UNIT5,ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2.0,103.3128834,34857.9,Alamitos 5,AES Alamitos,315.0,0.104,0.008,"1,576.744",0.003,2017.0,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695
214,ALAMIT_7_UNIT6,ngst,SCE,495.0,11.19,11.89,12.6,198,495,6,6,2.0,102.6993865,34650.0,Alamitos 6,AES Alamitos,315.0,0.104,0.008,"1,576.744",0.003,2017.0,84.67,44.4715,12.63779,2.073872,0.1316536,0.0104695
170,ANAHM_7_CT,ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,7693.0,0.18,0.006,"1,073.758",0.002,2017.0,33.3115,13.2275,5.506480000000002,1.09812,0.2596201,0.005543600000000001
98,BDGRCK_1_UNITS,ngct,PGE_valley,47.49,7.52,7.58,7.65,17,48,1,1,3.17,20.0,3324.3,BADGER CREEK LIMITED,Badger Creek Limited,10650.0,11.674,0.004,809.167,0.002,,,,,1.068279,8.739692,0.0054028
171,BARRE_6_PEAKER,ngct,SCE,47.0,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290.0,Barre Peaker,Barre Generating Station,56474.0,0.124,0.006,"1,209.116",0.002,2017.0,33.3115,13.2275,5.506480000000002,0.912993,0.10946310000000001,0.0046093
109,BEARMT_1_UNIT,ngct,PGE_valley,47.49,7.1,7.17,7.23,17,48,1,1,3.17,20.0,3324.3,BEAR MOUNTAIN LIMITED,Bear Mountain Limited,10649.0,11.595999999999998,0.004,803.689,0.002,,,,,0.9964654000000001,9.789285000000001,0.0050297
105,UNVRSY_1_UNIT1,ngct,PGE_valley,38.0,7.26,7.32,7.39,14,38,1,1,3.17,15.89041096,2660.0,BERRY COGEN 38,Berry Cogen,50170.0,1.68,0.017,634.850,0.001,,,,,,,
155,TENGEN_2_PL1X2,ngct,SCE,40.2,7.26,7.32,7.39,15,41,1,1,3.17,16.98630137,2814.0,Berry Cogen 42,Berry Placerita Cogen,52096.0,1.733,0.018000000000000002,655.058,0.001,,,,,,,
100,TANHIL_6_SOLART,ngct,PGE_valley,17.0,7.49,7.56,7.62,6,17,1,1,3.17,7.123287671,1190.0,BERRY PETROLEUM COGEN 18,Berry Cogen Tanne Hills 18,50622.0,2.019,0.021,763.162,0.001,,,,,,,
133,BUCKBL_2_PL1X3,ngcc,SCE,493.63,9.91,10.17,10.43,198,494,1,1,2.0,226.9372694,34554.1,Blythe Energy Project,Blythe Energy,55295.0,0.054000000000000006,0.004,890.354,0.002,2017.0,34.979,9.918,2.940709,1.324998,0.10248610000000001,0.006689199999999999
240,BORDER_6_UNITA1,ngct,SDGE,51.25,11.9,11.97,12.03,6,52,1,1,3.17,21.64383562,3587.5,BORDER,CalPeak Power - Border,55510.0,0.123,0.006999999999999999,"1,291.837",0.002,2017.0,42.4165,13.772,4.5579589999999985,,,
215,BRDWAY_7_UNIT3,ngst,SCE,65.0,11.19,11.89,12.6,26,65,6,6,2.0,13.49693252,4550.0,Broadway 3,Broadway,420.0,,,,,2016.0,84.67,44.4715,12.63779,,,
49,BASICE_2_UNITS,ngcc,PGE_valley,135.0,6.64,6.9,7.16,54,135,5,5,2.0,61.99261993,9450.0,CALPINE AMERICAN I COGEN (Aggregate),"Calpine Gilroy Cogen, LP",10034.0,0.166,0.004,848.902,0.002,2017.0,30.5035,11.2815,4.547333999999998,0.9505190999999998,0.34053979999999995,0.0047983999999999995
181,ANAHM_2_CANYN1,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 1,Canyon Power Plant,57027.0,0.092,0.006,"1,271.966",0.002,2017.0,33.3115,13.2275,5.506480000000002,1.058235,0.10020230000000001,0.005342100000000001
182,ANAHM_2_CANYN2,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 2,Canyon Power Plant,57027.0,0.092,0.006,"1,271.966",0.002,2017.0,33.3115,13.2275,5.506480000000002,1.058235,0.10020230000000001,0.005342100000000001
183,ANAHM_2_CANYN3,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 3,Canyon Power Plant,57027.0,0.092,0.006,"1,271.966",0.002,2017.0,33.3115,13.2275,5.506480000000002,1.058235,0.10020230000000001,0.005342100000000001
184,ANAHM_2_CANYN4,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458.0,Canyon Power Plant Unit 4,Canyon Power Plant,57027.0,0.092,0.006,"1,271.966",0.002,2017.0,33.3115,13.2275,5.506480000000002,1.058235,0.10020230000000001,0.005342100000000001
143,LGHTHP_6_ICEGEN,ngct,SCE,48.0,8.02,8.08,8.15,17,48,1,1,3.17,20.273972600000004,3360.0,CARSON COGENERATION COMPANY,Carson Cogeneration Company,10169.0,,,,,2017.0,84.67,44.4715,12.63779,1.081572,5.743040000000001,0.0054619
172,CENTER_6_PEAKER,ngct,SCE,47.0,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290.0,Center Peaker,Center Generating Station,56475.0,0.109,0.006999999999999999,"1,444.758",0.003,2017.0,84.67,44.4715,12.63779,1.107216,0.14237979999999997,0.005591
165,CENTRY_6_PL1X4,ngct,SCE,41.4,13.16,13.23,13.29,15,42,1,1,3.17,17.53424658,2898.0,CENTURY (AGGREGATE),Century Generating Facility,55934.0,4.923,0.051,"1,847.791",0.003,,,,,,,
101,CHALK_1_UNIT,ngct,PGE_valley,47.49,7.41,7.48,7.54,17,48,1,1,3.17,20.0,3324.3,CHALK CLIFF LIMITED,Chalk Cliff Limited,50003.0,2.214,0.023,841.288,0.002,,,,,,,
79,CHEVCO_6_UNIT1,ngct,PGE_valley,19.0,8.02,8.08,8.15,7,19,1,1,3.17,7.945205479,1330.0,CHEVRON USA (COALINGA),Coalinga 25D Cogen,52086.0,1.595,0.016,603.190,0.001,,,,,,,
81,DISCOV_1_CHEVRN,ngct,PGE_valley,56.2,8.02,8.08,8.15,20,57,1,1,3.17,23.56164384,3934.0,CHEVRON USA (EASTRIDGE),Kern River Eastridge Cogen,52107.0,1.544,0.016,583.424,0.001,,,,,,,
82,CHEVCD_6_UNIT,ngct,PGE_valley,11.5,8.02,8.08,8.15,5,12,1,1,3.17,4.931506849,805.0,CHEVRON USA (TAFT/CADET),Taft 26C Cogen,52085.0,1.619,0.017,608.026,0.001,,,,,,,
74,CHWCHL_1_UNIT,ngct,PGE_valley,48.6,8.71,8.77,8.84,18,49,1,1,3.17,20.54794521,3402.0,CHOW 2 PEAKER PLANT,Chowchilla II,56185.0,28.145,0.033,"1,212.288",0.002,,,,,,,
235,OTAY_6_PL1X2,ngct,SDGE,35.5,19.33,19.39,19.46,8,36,1,1,3.17,15.06849315,2485.0,Chula Vista Energy Center,Chula Vista Energy Center,55540.0,0.274,0.013,"2,319.935",0.004,2017.0,42.4165,13.772,4.5579589999999985,2.152354,0.3451732,0.010867700000000001
114,COLUSA_2_PL1X3,ngct,PGE_valley,641.0,5.31,5.37,5.44,225,641,1,1,3.17,270.1369863,44870.0,Colusa Generating Station,Colusa Generating Station,56532.0,0.033,0.004,858.080,0.002,2017.0,12.1105,4.30935,1.192814,0.9006613000000001,0.1174098,0.0045467
1,UNCHEM_1_UNIT,ngcc,PGE_bay,19.0,15.58,15.98,16.38,8,19,6,6,2.0,2.62,1330.0,CONTRA COSTA CARBON PLANT,Contra Costa Generating Station,228.0,,,,,2013.0,33.37758,13.6799,7.555372,,,
140,MIRLOM_6_DELGEN,ngct,SCE,50.05,8.09,8.15,8.22,18,51,1,1,3.17,21.09589041,3503.5,"CORONA ENERGY PARTNERS, LTD.","Corona Energy Partners, Ltd",10635.0,,,,,,,,,,,
232,SAMPSN_6_KELCO1,ngct,SDGE,25.0,8.02,8.08,8.15,202,25,1,1,3.17,10.4109589,1750.0,CP Kelco Cogeneration Facility,C P Kelco San Diego Plant,52147.0,1.768,0.018000000000000002,658.665,0.001,,,,,,,
