ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,NetCap,PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
138400,Participating Unit,No,No,VLCNTR_6_VCSLR,Cole Grade,2.33,SDGE,"NLP Valley Center Solar, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/7/2016,,2.33,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
121000,Participating Unit,No,No,BREGGO_6_DEGRSL,Desert Green Solar Farm,6.3,SDGE,"Desert Green Solar Farm, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,11/26/2014,,6.5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
127000,Participating Unit,No,No,IVWEST_2_SOLAR1,Imperial Solar Energy Center West,150,SDGE,"CSolar IV West, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,1/21/2016,,153.6,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
109800,Participating Unit,No,No,CSLR4S_2_SOLAR,Imperial Valley (Csolar IV),130,SDGE,"CSOLAR IV South, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,10/11/2013,,130,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
136400,Participating Unit,No,No,LILIAC_6_SOLAR,Mesa Crest,3,SDGE,"NLP Granger A82, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,9/17/2016,,3,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
138100,Participating Unit,No,No,MSOLAR_2_SOLAR3,"Mesquite Solar 3, LLC",152,SDGE,"Mesquite Solar 3, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,,,152,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
115600,Participating Unit,No,No,CRELMN_6_RAMON1,Ramona 1,2,SDGE,"Sol Orchard San Diego 20, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,2,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
115700,Participating Unit,No,No,CRELMN_6_RAMON2,Ramona 2,5,SDGE,"Sol Orchard San Diego 21, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
110200,Participating Unit,No,No,IVSLRP_2_SOLAR1,Silver Ridge Mount Signal,200,SDGE,Silver Ridge Mount Signal,SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,3/4/2014,,200,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
115400,Participating Unit,No,No,VLCNTR_6_VCSLR1,Valley Center 1,2.5,SDGE,"Sol Orchard San Diego 22, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,2.5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
115500,Participating Unit,No,No,VLCNTR_6_VCSLR2,Valley Center 2,5,SDGE,"Sol Orchard San Diego 23, LLC",SUN,PHOTO VOLTAIC,SOLAR,SP15,SDG1,12/31/2013,,5,A,,,-999,-999,-999,-999,-999,-999,-999,-999,0,-999
