a1,a2,a3,a4,Resource_ID,Name_Description,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
96300,Participating Unit,No,No,OTAY_6_PL1X2,Chula Vista Energy Center,35.5,SDGE,"Chula Vista Energy Center, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/8/2006,,44.02,A,,21.23834144
9100,Participating Unit,No,No,ELCAJN_7_GT1,El Cajon GT,16.36,SDGE,"Cabrillo Power II, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1968,,15,A,,19.06141249
9800,Participating Unit,No,No,ENCINA_7_GT1,Encina GT 1,14.5,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1968,,18,A,,18.18345324
21600,Participating Unit,No,Yes,MRGT_7_UNITS,MIRAMAR GT PLANT (AGGREGATE),36,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1972,,36,A,,17.22305953
18100,Participating Unit,No,Yes,KEARNY_7_KY3,KEARNY KY3 (AGGREGATE),61,SDGE,DYNEGY,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1969,,61,A,,16.14288111
3400,Participating Unit,No,No,BORDER_6_UNITA1,BORDER,51.25,SDGE,CalPeak Power LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,10/26/2001,,49.96,A,,13.8123968
9000,Participating Unit,No,No,ELCAJN_6_UNITA1,Cuyamaca Peak Energy Plant,45.42,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,5/29/2002,,47.3,A,,13.8123968
10400,Participating Unit,No,No,ESCNDO_6_UNITB1,Enterprise,48.04,SDGE,CalPeak Power LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,10/23/2001,,46.9,A,,13.8123968
19300,Participating Unit,No,No,LARKSP_6_UNIT 1,Larkspur 1,46.1,SDGE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,9/13/2001,,45,A,,13.8123968
19400,Participating Unit,No,No,LARKSP_6_UNIT 2,Larkspur 2,47.98,SDGE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,9/13/2001,,45,A,,13.8123968
