ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,Net Capacity (MW),PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
58300,Participating Unit,Yes,Yes,MOORPK_6_QF,MOORE PARK AREA LUMPED UNITS,34.8,SCE,VARIOUS,NATURAL GAS,COMBINED CYCLE,VARIOUS,SP15,SCE1,1/1/1976,,30.02,A,,8.51,7.121681446,7.382627186,7.643572926,14,35,6,6,2,43.33766771,2436
38900,Participating Unit,Yes,Yes,CENTER_2_QF,CENTER AREA LUMPED UNITS,31,SCE,COGENERATION,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SCE1,1/1/1987,,31.01,A,,8.51,7.121681446,7.382627186,7.643572926,13,31,6,6,2,38.60539365,2170
74400,Participating Unit,Yes,Yes,ARCOGN_2_UNITS,WATSON COGENERATION COMPANY,416.6,SCE,Watson Cogeneration Company,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SCE1,12/4/1987,,405.78,A,,7.398834522,6.010515969,6.271461709,6.532407449,167,417,5,5,2,518.8066772,29162
40000,Participating Unit,Yes,Yes,CHEVMN_2_UNITS,Chevron CIC,124.87,SCE,"Chevron USA, Inc.",NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SCE1,12/29/1987,,170.7,A,,8.02602874,6.637710187,6.898655927,7.159601666,50,125,5,5,2,155.5050163,8740.9
43500,Participating Unit,Yes,No,SAUGUS_6_PTCHGN,COUNTY OF LOS ANGELES (PITCHESS HONOR RANCH),29.8,SCE,Southern California Edison Company,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SCE1,7/14/1988,,28.71,A,,9.509999778,8.121681225,8.382626965,8.643572705,12,30,5,5,2,37.11099131,2086
66400,Participating Unit,Yes,Yes,SBERDO_2_QF,SAN BERNARDINO AREA LUMPED UNITS,10.6,SCE,VARIOUS,NATURAL GAS,COMBINED CYCLE,COGENERATION,SP15,SCE1,1/1/1989,,11.85,A,,8.51,7.121681446,7.382627186,7.643572926,5,11,5,5,2,13.20055396,742
90700,Participating Unit,No,Yes,HARBGN_7_UNITS,HARBOR COGEN COMBINED CYCLE PLANT,109.01,SCE,Harbor Cogeneration Company,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,6/14/2001,,107.45,A,,12.03676457,10.64844602,10.90939176,11.1703375,44,110,4,4,2,135.7539988,7630.7
82800,Participating Unit,No,Yes,HIDSRT_2_UNITS,HIGH DESERT POWER PROJECT (AGGREGATE),830,SCE,"High Desert Power, LLC",NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,4/21/2003,,854.9,A,,8.682673096,7.294354542,7.555300282,7.816246022,332,830,4,4,2,1033.628282,58100
91300,Participating Unit,No,Yes,CORONS_6_CLRWTR,Clearwater Power Plant,28,SCE,City of Riverside (MSSA),NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,2/28/2005,,32.27,A,,8.882108002,7.493789449,7.754735188,8.015680928,12,28,4,4,2,34.86938781,1960
91700,Participating Unit,No,Yes,LEBECS_2_UNITS,PASTORIA ENERGY FACILITY,799.47,SCE,Calpine,NATURAL GAS,COMBINED CYCLE,THERMAL,SP15,SCE1,5/4/2005,,800,A,,11.01068723,9.622368673,9.883314413,10.14426015,320,800,3,3,2,995.6081954,55962.9
