,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
52,8043,ID,Cargill Dry Creek Biofactory,57344,GS2,0,OP,IC,OBG,0.8,0.518,3628,1523.333,Distributed from 923 Generation And Fuel,2008,,IPCO,Idaho Power Co,42.424937,-114.229225,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
53,8044,ID,Cargill Dry Creek Biofactory,57344,GS3,0,OP,IC,OBG,0.8,0.518,3628,1523.333,Distributed from 923 Generation And Fuel,2008,,IPCO,Idaho Power Co,42.424937,-114.229225,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
54,8045,ID,Cargill Kettle Butte Biofactory,57345,1,0,OP,IC,OBG,0.9,0.398,3140,1318.5,Distributed from 923 Generation And Fuel,2011,,PACE,PacifiCorp,43.631944,-112.279722,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
55,8046,ID,Cargill Kettle Butte Biofactory,57345,2,0,OP,IC,OBG,0.9,0.398,3140,1318.5,Distributed from 923 Generation And Fuel,2011,,PACE,PacifiCorp,43.631944,-112.279722,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
56,8048,ID,Cascade Dam,813,1,0,OP,HY,WAT,6.2,0.389,21124,10293.5,Distributed from 923 Generation And Fuel,1984,,IPCO,Idaho Power Co,44.5256,-116.0483,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0
57,8049,ID,Cascade Dam,813,2,0,OP,HY,WAT,6.2,0.389,21124,10293.5,Distributed from 923 Generation And Fuel,1983,,IPCO,Idaho Power Co,44.5256,-116.0483,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0
58,8050,ID,Cassia Gulch,56935,1,0,OP,WT,WND,18.9,0.261,43190,14446,Distributed from 923 Generation And Fuel,2009,,IPCO,Idaho Power Co,42.8744,-115.0172,Idaho,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0
59,8051,ID,Cassia Wind,56934,1,0,OP,WT,WND,10.5,0.266,24506,8197,Distributed from 923 Generation And Fuel,2009,,IPCO,Idaho Power Co,42.8444,-115.0369,Idaho,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0
60,8052,ID,Chester Diversion Hydroelectric Project,56893,1,0,OP,HY,WAT,1.2,0.211,2221,1082.333,Distributed from 923 Generation And Fuel,2014,,BPAT,Fall River Rural Elec Coop Inc,44.018333,-111.583611,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
61,8053,ID,Chester Diversion Hydroelectric Project,56893,2,0,OP,HY,WAT,1.2,0.211,2221,1082.333,Distributed from 923 Generation And Fuel,2014,,BPAT,Fall River Rural Elec Coop Inc,44.018333,-111.583611,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
