,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
0,4760,CO,Adams Community Solar Garden III LLC,59850,23376,0,OP,PV,SUN,1.2,0.279,2935,1318,Distributed from 923 Generation And Fuel,2015,,PSCO,Public Service Co of Colorado,39.7867,-104.5877,Colorado,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
1,4761,CO,Adams Community Solar Garden LLC,59849,23377,0,OP,PV,SUN,1.2,0.279,2935,1318,Distributed from 923 Generation And Fuel,2015,,PSCO,Public Service Co of Colorado,39.7876,-104.5859,Colorado,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0
2,4762,CO,AFA Solar Farm,57554,AFA1,0,OP,PV,SUN,5.5,0.24,11563,5191,Distributed from 923 Generation And Fuel,2011,,WACM,City of Colorado Springs - (CO),38.957901,-104.806627,Colorado,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0
3,4763,CO,Airport 1 Solar (DIA),59807,GBDIA,0,OP,PV,SUN,1.5,0.192,2523,1133,Distributed from 923 Generation And Fuel,2009,,SWPP,Public Service Co of Colorado,39.899444,-104.675338,Colorado,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
4,4764,CO,Airport Industrial,7995,IC1,0,OP,IC,DFO,2.5,,-52.25,-16.133,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2002,,PSCO,Black Hills/Colorado Elec.Util,38.2844,-104.5308,Colorado,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
5,4765,CO,Airport Industrial,7995,IC2,0,OP,IC,DFO,2.5,,-52.25,-16.133,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2002,,PSCO,Black Hills/Colorado Elec.Util,38.2844,-104.5308,Colorado,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
6,4766,CO,Airport Industrial,7995,IC3,0,OP,IC,DFO,2.5,,-52.25,-16.133,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2002,,PSCO,Black Hills/Colorado Elec.Util,38.2844,-104.5308,Colorado,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
7,4767,CO,Airport Industrial,7995,IC4,0,OP,IC,DFO,2.5,,-52.25,-16.133,Data from EIA-923 Generator File overwritten with distributed data from EIA-923 Generation and Fuel,2002,,PSCO,Black Hills/Colorado Elec.Util,38.2844,-104.5308,Colorado,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
8,4768,CO,Alamosa,464,CT1,0,OP,GT,NG,26.6,0.009,2036,983.5,Distributed from 923 Generation And Fuel,1973,,PSCO,Public Service Co of Colorado,37.4594,-105.8947,Colorado,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4769,CO,Alamosa,464,CT2,0,OP,GT,NG,26.6,0.009,2036,983.5,Distributed from 923 Generation And Fuel,1977,,PSCO,Public Service Co of Colorado,37.4594,-105.8947,Colorado,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4772,CO,American Gypsum Cogeneration,54630,T-1,0,OP,GT,NG,2.8,0.348,8540,4164.562,Distributed from 923 Generation And Fuel,1990,,PSCO,"Holy Cross Electric Assn, Inc",39.648565,-106.949394,Colorado,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4773,CO,American Gypsum Cogeneration,54630,T-2,0,OP,GT,NG,3.6,0.348,10980,5354.438,Distributed from 923 Generation And Fuel,1990,,PSCO,"Holy Cross Electric Assn, Inc",39.648565,-106.949394,Colorado,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4774,CO,Ames Hydro,6207,1,0,OP,HY,WAT,3.6,0.221,6972,3144,Distributed from 923 Generation And Fuel,1906,,WACM,"Tri-State G & T Assn, Inc",37.866,-107.8831,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
13,4780,CO,Arapahoe Combustion Turbine Project,55200,UN5,0,OP,CT,NG,71.1,0.039,24123,13731,EIA-923 Generator File,2000,,PSCO,Public Service Co of Colorado,39.6692,-105.0018,Colorado,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4781,CO,Arapahoe Combustion Turbine Project,55200,UN6,0,OP,CT,NG,71.1,0.036,22346,12984,EIA-923 Generator File,2000,,PSCO,Public Service Co of Colorado,39.6692,-105.0018,Colorado,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4782,CO,Arapahoe Combustion Turbine Project,55200,UN7,2,OP,CA,NG,51.8,0.028,12808,7269,EIA-923 Generator File,2002,,PSCO,Public Service Co of Colorado,39.6692,-105.0018,Colorado,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4783,CO,Basalt,7458,1,0,OP,HY,WAT,5,0.518,22690,10231,Distributed from 923 Generation And Fuel,1985,,PSCO,"Holy Cross Electric Assn, Inc",39.363056,-106.821944,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
17,4785,CO,Big Thompson,515,1,0,OP,HY,WAT,4.5,0.145,5722,5263,Distributed from 923 Generation And Fuel,1959,,WACM,WAPA-- Western Area Power Administration,40.421031,-105.223804,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
18,4786,CO,Bison Solar LLC,60351,BSPV1,0,OP,PV,SUN,30,0.043,11305,0,Distributed from 923 Generation And Fuel,2016,,PSCO,Platte River Power Authority,40.863809,-105.0111,Colorado,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
19,4787,CO,Blue Mesa,512,1,0,OP,HY,WAT,43.2,0.334,126457.5,57018.5,Distributed from 923 Generation And Fuel,1967,,WACM,WAPA-- Western Area Power Administration,38.453191,-107.337483,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,0.0,0.0
20,4788,CO,Blue Mesa,512,2,0,OP,HY,WAT,43.2,0.334,126457.5,57018.5,Distributed from 923 Generation And Fuel,1967,,WACM,WAPA-- Western Area Power Administration,38.453191,-107.337483,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,0.0,0.0
21,4789,CO,Blue Spruce Energy Center,55645,CT01,0,OP,GT,NG,198.9,0.052,90972.5,47886.5,Distributed from 923 Generation And Fuel,2003,,PSCO,Public Service Co of Colorado,39.747875,-104.681404,Colorado,0.0,198.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4790,CO,Blue Spruce Energy Center,55645,CT02,0,OP,GT,NG,198.9,0.052,90972.5,47886.5,Distributed from 923 Generation And Fuel,2003,,PSCO,Public Service Co of Colorado,39.747875,-104.681404,Colorado,0.0,198.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
