,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
185,1491,AZ,Ocotillo,116,2,1,OP,ST,NG,113.6,0.066,65603,37512,EIA-923 Generator File,1960,,AZPS,Arizona Public Service Co,33.4225,-111.9122,Arizona,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,1492,AZ,Ocotillo,116,GT1,0,OP,GT,NG,53.1,0.003,1493.5,821,Distributed from 923 Generation And Fuel,1972,,AZPS,Arizona Public Service Co,33.4225,-111.9122,Arizona,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,1493,AZ,Ocotillo,116,GT2,0,OP,GT,NG,53.1,0.003,1493.5,821,Distributed from 923 Generation And Fuel,1973,,AZPS,Arizona Public Service Co,33.4225,-111.9122,Arizona,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1502,AZ,Palo Verde,6008,1,1,OP,ST,NUC,1403.2,0.878,10792492.333,4525005.667,Distributed from 923 Generation And Fuel,1986,,SRP,Salt River Project,33.3881,-112.8617,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.2,0.0
189,1503,AZ,Palo Verde,6008,2,1,OP,ST,NUC,1403.2,0.878,10792492.333,4525005.667,Distributed from 923 Generation And Fuel,1986,,SRP,Salt River Project,33.3881,-112.8617,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.2,0.0
190,1504,AZ,Palo Verde,6008,3,1,OP,ST,NUC,1403.2,0.878,10792492.333,4525005.667,Distributed from 923 Generation And Fuel,1988,,SRP,Salt River Project,33.3881,-112.8617,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.2,0.0
191,1505,AZ,Paloma Solar,57562,PV1,0,OP,PV,SUN,17.6,0.244,37662,18571,Distributed from 923 Generation And Fuel,2011,,AZPS,Arizona Public Service Co,33.021111,-112.661389,Arizona,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0
192,1506,AZ,Paradise Valley H.S. PV,58293,PVH,0,OP,PV,SUN,1.3,0.229,2607,1285,Distributed from 923 Generation And Fuel,2013,,AZPS,Arizona Public Service Co,33.6416,-111.9997,Arizona,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0
193,1507,AZ,PB2 - Gila River,60768,CTG3,0,OP,CT,NG,174,0.04,61681,0,EIA-923 Generator File,2003,,GRMA,Arizona Public Service Co,32.975,-112.694444,Arizona,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,1508,AZ,PB2 - Gila River,60768,CTG4,0,OP,CT,NG,174,0.007,10104,0,EIA-923 Generator File,2003,,GRMA,Arizona Public Service Co,32.975,-112.694444,Arizona,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,1509,AZ,PB2 - Gila River,60768,ST10,2,OP,CA,NG,271,0.02,48106,0,EIA-923 Generator File,2003,,GRMA,Arizona Public Service Co,32.975,-112.694444,Arizona,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1510,AZ,Perrin Ranch Wind LLC,58155,GEN1,0,OP,WT,WND,99.2,0.256,222162,85651,Distributed from 923 Generation And Fuel,2012,,AZPS,Arizona Public Service Co,35.415556,-112.271111,Arizona,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0
197,1511,AZ,Phoenix Airport East Economy Lot,58708,PAEEL,0,OP,PV,SUN,1.1,0.215,2072,1022,Distributed from 923 Generation And Fuel,2012,,AZPS,Arizona Public Service Co,33.45,-111.98,Arizona,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0
198,1512,AZ,Phoenix Airport Rental Car Center,58709,PARCC,0,OP,PV,SUN,1.6,0.463,6495,3203,Distributed from 923 Generation And Fuel,2012,,AZPS,Arizona Public Service Co,33.45,-111.98,Arizona,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
199,1513,AZ,"Picture Rocks Solar, LLC",58486,1,0,OP,PV,SUN,20,0.318,55748,27489,Distributed from 923 Generation And Fuel,2012,,TEPC,Tucson Electric Power Co,32.369722,-111.242778,Arizona,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
200,1516,AZ,Prairie Fire,58171,GEN1,0,OP,PV,SUN,4.5,0.225,8886,4382,Distributed from 923 Generation And Fuel,2012,,TEPC,Tucson Electric Power Co,32.116389,-110.82,Arizona,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
201,1517,AZ,Prescott Airport,56228,PV1,0,OP,PV,SUN,2.1,0.295,5432,2678,Distributed from 923 Generation And Fuel,2002,,AZPS,Arizona Public Service Co,34.6584,-112.4008,Arizona,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0
202,1519,AZ,Prescott Solar Plant,58147,PV1,0,OP,PV,SUN,10.8,0.276,26142,12891,Distributed from 923 Generation And Fuel,2011,,AZPS,Arizona Public Service Co,34.649444,-112.4275,Arizona,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0
203,1520,AZ,Queen Creek Solar Farm,57883,GEN1,0,OP,PV,SUN,19,0.313,52143,25711,Distributed from 923 Generation And Fuel,2012,,SRP,Salt River Project,33.2675,-111.612222,Arizona,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
204,1521,AZ,RE Ajo 1 LLC,57795,1,0,OP,PV,SUN,4.5,0.234,9224,4548,Distributed from 923 Generation And Fuel,2011,,AZPS,Arizona Public Service Co,32.367013,-112.831401,Arizona,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
205,1522,AZ,RE Bagdad Solar I LLC,57790,1,0,OP,PV,SUN,16.6,0.24,34860,17189,Distributed from 923 Generation And Fuel,2011,,AZPS,Arizona Public Service Co,34.585833,-113.177222,Arizona,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,0.0
206,1523,AZ,Red Hawk,55455,CT1A,0,OP,CT,NG,187.5,0.498,818050,405187,EIA-923 Generator File,2002,,SRP,Salt River Project,33.334562,-112.840641,Arizona,187.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
