,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
0,24669,WA,Alder,3913,11,0,OP,HY,WAT,25,0.574,125627.5,49293,Distributed from 923 Generation And Fuel,1947,,TPWR,City of Tacoma  - (WA),46.8016,-122.3102,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
1,24670,WA,Alder,3913,12,0,OP,HY,WAT,25,0.574,125627.5,49293,Distributed from 923 Generation And Fuel,1945,,TPWR,City of Tacoma  - (WA),46.8016,-122.3102,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2,24671,WA,Big Horn Wind II,57319,1,0,OP,WT,WND,50,0.281,123028,47617,Distributed from 923 Generation And Fuel,2011,,BPAT,Bonneville Power Administration,45.9192,-120.3039,Washington,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
3,24672,WA,Big Horn Wind Project,56361,1,0,OP,WT,WND,199,0.288,502920,218558,Distributed from 923 Generation And Fuel,2006,,BPAT,Bonneville Power Administration,45.8877,-120.2896,Washington,0.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0
4,24674,WA,Black Creek,54860,GEN1,0,OP,HY,WAT,3.7,0.379,12276,4817,Distributed from 923 Generation And Fuel,1994,,PSEI,Puget Sound Energy Inc,47.534465,-121.702596,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0
5,24675,WA,Boulder Park,8022,1,0,OP,IC,NG,4.1,0.085,3059.667,1595.167,Distributed from 923 Generation And Fuel,2002,,AVA,Avista Corp,47.697222,-117.147222,Washington,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24676,WA,Boulder Park,8022,2,0,OP,IC,NG,4.1,0.085,3059.667,1595.167,Distributed from 923 Generation And Fuel,2002,,AVA,Avista Corp,47.697222,-117.147222,Washington,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,24677,WA,Boulder Park,8022,3,0,OP,IC,NG,4.1,0.085,3059.667,1595.167,Distributed from 923 Generation And Fuel,2002,,AVA,Avista Corp,47.697222,-117.147222,Washington,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24678,WA,Boulder Park,8022,4,0,OP,IC,NG,4.1,0.085,3059.667,1595.167,Distributed from 923 Generation And Fuel,2002,,AVA,Avista Corp,47.697222,-117.147222,Washington,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24679,WA,Boulder Park,8022,5,0,OP,IC,NG,4.1,0.085,3059.667,1595.167,Distributed from 923 Generation And Fuel,2002,,AVA,Avista Corp,47.697222,-117.147222,Washington,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
