,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
0,17420,NV,Apex Generating Station,55514,CTG1,0,OP,CT,NG,174,0.719,1095877,426339,EIA-923 Generator File,2003,,NEVP,Nevada Power Co,36.415999,-114.960916,Nevada,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17421,NV,Apex Generating Station,55514,CTG2,0,OP,CT,NG,174,0.738,1124326,460627,EIA-923 Generator File,2003,,NEVP,Nevada Power Co,36.415999,-114.960916,Nevada,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,17422,NV,Apex Generating Station,55514,STG1,2,OP,CA,NG,252.6,0.544,1203552,523335,EIA-923 Generator File,2003,,NEVP,Nevada Power Co,36.415999,-114.960916,Nevada,252.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,17423,NV,Apex Solar PV Power Project,58489,1,0,OP,PV,SUN,20,0.298,52232,23187,Distributed from 923 Generation And Fuel,2012,,NEVP,Nevada Power Co,36.39,-114.97,Nevada,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
4,17429,NV,Beowawe Power,10287,GEN1,0,OP,ST,GEO,17,0.626,93185,35602,Distributed from 923 Generation And Fuel,1985,,SPPC,Sierra Pacific Power Co,40.5547,-116.6175,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
5,17430,NV,Beowawe Power,10287,GEN2,0,OP,BT,GEO,3.6,0.361,11399,4355,Distributed from 923 Generation And Fuel,2011,,SPPC,Sierra Pacific Power Co,40.5547,-116.6175,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
6,17432,NV,"Boulder Solar Power, LLC",60352,BSP,0,OP,PV,SUN,100,0.012,10740,0,Distributed from 923 Generation And Fuel,2016,,NEVP,Nevada Power Co,35.348,-114.97,Nevada,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
7,17433,NV,Brady,55991,OEC,0,OP,ST,GEO,6.5,0.185,10547.584,3333.176,Distributed from 923 Generation And Fuel,2002,,SPPC,Sierra Pacific Power Co,39.796032,-119.010013,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
8,17434,NV,Brady,55991,TG-1,0,OP,ST,GEO,9.2,0.185,14928.888,4717.726,Distributed from 923 Generation And Fuel,1992,,SPPC,Sierra Pacific Power Co,39.796032,-119.010013,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
9,17435,NV,Brady,55991,TG-2,0,OP,ST,GEO,9.2,0.185,14928.888,4717.726,Distributed from 923 Generation And Fuel,1992,,SPPC,Sierra Pacific Power Co,39.796032,-119.010013,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
10,17436,NV,Brady,55991,TG-3,0,OP,ST,GEO,8,0.185,12981.641,4102.371,Distributed from 923 Generation And Fuel,1992,,SPPC,Sierra Pacific Power Co,39.796032,-119.010013,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
11,17440,NV,"CC Landfill Energy, LLC",60792,GT1,0,OP,GT,LFG,6,0.282,14816.5,6221,Distributed from 923 Generation And Fuel,2012,,NEVP,Nevada Power Co,36.35867,-114.87483,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
12,17441,NV,"CC Landfill Energy, LLC",60792,GT2,0,OP,GT,LFG,6,0.282,14816.5,6221,Distributed from 923 Generation And Fuel,2012,,NEVP,Nevada Power Co,36.35867,-114.87483,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
13,17442,NV,Chuck Lenzie Generating Station,55322,CTG1,0,OP,CT,NG,201.5,0.622,1097055,503075,EIA-923 Generator File,2006,,NEVP,Nevada Power Co,36.383719,-114.921779,Nevada,201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,17443,NV,Chuck Lenzie Generating Station,55322,CTG2,0,OP,CT,NG,201.5,0.592,1044659,495870,EIA-923 Generator File,2006,,NEVP,Nevada Power Co,36.383719,-114.921779,Nevada,201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,17444,NV,Chuck Lenzie Generating Station,55322,CTG3,0,OP,CT,NG,201.5,0.565,998124,459327,EIA-923 Generator File,2006,,NEVP,Nevada Power Co,36.383719,-114.921779,Nevada,201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17445,NV,Chuck Lenzie Generating Station,55322,CTG4,0,OP,CT,NG,201.5,0.561,989781,456297,EIA-923 Generator File,2006,,NEVP,Nevada Power Co,36.383719,-114.921779,Nevada,201.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17446,NV,Chuck Lenzie Generating Station,55322,ST1,2,OP,CA,NG,329.8,0.398,1148560,539123,EIA-923 Generator File,2006,,NEVP,Nevada Power Co,36.383719,-114.921779,Nevada,329.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,17447,NV,Chuck Lenzie Generating Station,55322,ST2,2,OP,CA,NG,329.8,0.369,1066703,497055,EIA-923 Generator File,2006,,NEVP,Nevada Power Co,36.383719,-114.921779,Nevada,329.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,17448,NV,CityCenter Central Plant Cogen Units,57348,UNITA,0,OP,GT,NG,4.3,0.868,32698.5,15388.5,Distributed from 923 Generation And Fuel,2009,,NEVP,Nevada Power Co,36.1039,-115.1794,Nevada,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,17449,NV,CityCenter Central Plant Cogen Units,57348,UNITB,0,OP,GT,NG,4.3,0.868,32698.5,15388.5,Distributed from 923 Generation And Fuel,2009,,NEVP,Nevada Power Co,36.1039,-115.1794,Nevada,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
