Name,Bus ID,Bus Name,Long Name,ServiceStatus,Commission Date,Retirement Date,DevStatus,Area Name,Region Name,State
Columbia_Ridge8,1000,Bus1000,Waste Management Columbia Ridge LFGTE-GEN8,#FALSE#,#2009-03-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
Coyote_Crest,1000,Bus1000,Coyote Crest Wind-WT (47 x 2.5),#FALSE#,#2013-12-01#,#2050-12-31#,Pre-Const Reg Approval-Review,PNM,SW_PNM,WA
Darrington_GEN1,1000,Bus1000,Darrington-GEN1,#FALSE#,#2006-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Echanis_Wind,1000,Bus1000,Echanis Wind Project-WT (1),#FALSE#,#2015-12-01#,#2050-04-15#,Future-Planned,PNM,SW_PNM,OR
EsquatzelCanal,1000,Bus1000,Esquatzel Canal-HY1,#FALSE#,#2011-12-01#,#2030-04-15#,Existing,PNM,SW_PNM,WA
Finley_Bio2,1000,Bus1000,Finley BioEnergy-IC2,#FALSE#,#2009-05-01#,#2030-04-15#,Existing,PNM,SW_PNM,OR
Finley_Bio3,1000,Bus1000,Finley BioEnergy-IC3,#FALSE#,#2009-05-01#,#2030-04-15#,Existing,PNM,SW_PNM,OR
FranklinGrays2,1000,Bus1000,Franklin_Grays-GT2,#FALSE#,#2002-07-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Goodnoe_Hills2,1000,Bus1000,Goodnoe Hills 2-WT(1),#FALSE#,#2014-12-01#,#2050-12-31#,Future-Planned,PNM,SW_PNM,WA
Hellroaring1,1000,Bus1000,Hellroaring Hydro-HY1,#FALSE#,#1916-04-01#,#2030-04-15#,Existing,PNM,SW_PNM,MT
Hellroaring2,1000,Bus1000,Hellroaring Hydro-HY2,#FALSE#,#1916-04-02#,#2030-04-15#,Existing,PNM,SW_PNM,MT
HutchinsnCreek1,1000,Bus1000,Hutchinson Creek-1,#FALSE#,#1983-01-01#,#2030-04-15#,Existing,PNM,SW_PNM,WA
Kings_Estate,1000,Bus1000,Kings Estate Solar-PV(4144),#FALSE#,#2012-04-01#,#2030-04-15#,Existing,PNM,SW_PNM,OR
LOTTWWTP,1000,Bus1000,LOTT WWTP,#FALSE#,#2010-05-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
LSRW_DutchFlats,1000,Bus1000,Lower Snake River Wind Energy Project (Dutch Flats)-1,#FALSE#,#2013-06-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
LSRW_KuhlRidge,1000,Bus1000,Lower Snake River Wind Energy Project (Kuhl Ridge)-1,#FALSE#,#2013-06-01#,#2050-12-31#,Existing,PNM,SW_PNM,WA
Lund_Hill,1000,Bus1000,Lund Hill Wind-WT (32 x 2.5),#FALSE#,#2014-12-01#,#2050-04-15#,Future-Planned,PNM,SW_PNM,WA
MiddleForkIrrD2,1000,Bus1000,Middle Fork Irrigation District-GEN2,#FALSE#,#1986-03-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
MiddleForkIrrD3,1000,Bus1000,Middle Fork Irrigation District-GEN3,#FALSE#,#1986-03-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
MillCreek_OR,1000,Bus1000,Mill Creek (Cove FERC P-5390)-HY1,#FALSE#,#1984-01-01#,#2030-04-15#,Existing,PNM,SW_PNM,OR
Miller_North,1000,Bus1000,Miller North-WT (1),#FALSE#,#2014-12-01#,#2030-04-15#,Pre-Const Reg Approval-Review,PNM,SW_PNM,WA
MoyieSprings2,1000,Bus1000,Moyie Springs-2,#FALSE#,#1921-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
MoyieSprings3,1000,Bus1000,Moyie Springs-3,#FALSE#,#1950-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,ID
