,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
0,14692,MT,Basin Creek Plant,55866,1,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14693,MT,Basin Creek Plant,55866,2,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14694,MT,Basin Creek Plant,55866,3,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,14695,MT,Basin Creek Plant,55866,4,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14696,MT,Basin Creek Plant,55866,5,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14697,MT,Basin Creek Plant,55866,6,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14698,MT,Basin Creek Plant,55866,7,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14699,MT,Basin Creek Plant,55866,8,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14700,MT,Basin Creek Plant,55866,9,0,OP,IC,NG,6.1,0.192,10249.111,5320.333,Distributed from 923 Generation And Fuel,2006,,NWMT,NorthWestern Energy LLC - (MT),45.9293,-112.5194,Montana,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14701,MT,Big Fork,6459,1,0,OP,HY,WAT,1.7,0.821,12224.659,5265.024,Distributed from 923 Generation And Fuel,1927,,PACE,PacifiCorp,48.0592,-114.0708,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
10,14702,MT,Big Fork,6459,2,0,OP,HY,WAT,1.7,0.821,12224.659,5265.024,Distributed from 923 Generation And Fuel,1928,,PACE,PacifiCorp,48.0592,-114.0708,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0
11,14703,MT,Big Fork,6459,3,0,OP,HY,WAT,0.7,0.821,5033.683,2167.951,Distributed from 923 Generation And Fuel,1910,,PACE,PacifiCorp,48.0592,-114.0708,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
12,14705,MT,Black Eagle,2181,BLA1,0,OP,HY,WAT,7.8,0.563,38443.6,16556.8,Distributed from 923 Generation And Fuel,1927,,NWMT,NorthWestern Energy LLC - (MT),47.521331,-111.261442,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0
13,14706,MT,Black Eagle,2181,BLA2,0,OP,HY,WAT,7.8,0.563,38443.6,16556.8,Distributed from 923 Generation And Fuel,1927,,NWMT,NorthWestern Energy LLC - (MT),47.521331,-111.261442,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0
14,14707,MT,Black Eagle,2181,BLA3,0,OP,HY,WAT,8.4,0.563,41400.8,17830.4,Distributed from 923 Generation And Fuel,1927,,NWMT,NorthWestern Energy LLC - (MT),47.521331,-111.261442,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0
15,14709,MT,Broadwater Power Project,54006,GEN1,0,OP,HY,WAT,9.7,0.569,48339,20818,Distributed from 923 Generation And Fuel,1989,,NWMT,NorthWestern Energy LLC - (MT),46.12061,-111.407656,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0
