,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,num
44,CALPIN_1_AGNEW,ngcc,PGE_valley,28,8.05,8.31,8.57,12,28,5,5,2,12.91512915,1960,Agnews Power Plant,1
25,ALMEGT_1_UNIT_1,ngct,PGE_bay,23.8,11.48,11.55,11.61,9,24,1,1,3.17,10.02739726,1666,Alameda GT Unit 1,2
26,ALMEGT_1_UNIT_2,ngct,PGE_bay,25.4,11.48,11.55,11.61,9,26,1,1,3.17,10.68493151,1778,Alameda GT Unit 2,3
142,CHINO_6_SMPPAP,ngct,SCE,44,8.02,8.08,8.15,16,44,1,1,3.17,18.63013699,3080,AltaGas Pomona Energy Inc.,4
98,BDGRCK_1_UNITS,ngct,PGE_valley,47.49,7.52,7.58,7.65,17,48,1,1,3.17,20,3324.3,BADGER CREEK LIMITED,5
109,BEARMT_1_UNIT,ngct,PGE_valley,47.49,7.1,7.17,7.23,17,48,1,1,3.17,20,3324.3,BEAR MOUNTAIN LIMITED,6
105,UNVRSY_1_UNIT1,ngct,PGE_valley,38,7.26,7.32,7.39,14,38,1,1,3.17,15.89041096,2660,BERRY COGEN 38,7
155,TENGEN_2_PL1X2,ngct,SCE,40.2,7.26,7.32,7.39,15,41,1,1,3.17,16.98630137,2814,Berry Cogen 42,8
100,TANHIL_6_SOLART,ngct,PGE_valley,17,7.49,7.56,7.62,6,17,1,1,3.17,7.123287671,1190,BERRY PETROLEUM COGEN 18,9
240,BORDER_6_UNITA1,ngct,SDGE,51.25,11.9,11.97,12.03,6,52,1,1,3.17,21.64383562,3587.5,BORDER,10
252,VESTAL_2_UNIT1,ngct,SDGE,11.2,7.63,7.7,7.76,17,12,1,1,3.17,4.657534247,784,CALGREN-PIXLEY,11
119,CENTER_2_QF,ngcc,SCE,31,7.12,7.38,7.64,13,31,6,6,2,14.39114391,2170,CENTER AREA LUMPED UNITS,12
229,LAROA2_2_UNITA1,ngcc,SDGE,322,7.86,8.12,8.38,129,322,4,4,2,147.9704797,22540,CENTRAL LA ROSITA II COMBINED CYCLE (AGGREGATE),13
165,CENTRY_6_PL1X4,ngct,SCE,41.4,13.16,13.23,13.29,15,42,1,1,3.17,17.53424658,2898,CENTURY (AGGREGATE),14
