num,num_1,Name,DOE,,,,,,,,,,,,,
1,1,Agnews Power Plant,50748,,,,,,,,,,,,,
2,2,Alameda,7450,,,,,,,,,,,,,
3,3,Alameda,7450,,,,,,,,,,,,,
4,4,AltaGas Pomona Energy Inc.,50300,,,,,,,,,,,,,
5,5,Badger Creek Limited,10650,,,,,,,,,,,,,
6,6,Bear Mountain Limited,10649,,,,,,,,,,,,,
7,7,Berry Cogen,50170,,,,,,,,,,,,,
8,7,Berry Cogen Tanne Hills 18,50622,,,,,,,,,,,,,
9,7,Berry NMW Cogens,62176,,,,,,,,,,,,,
10,7,Berry Placerita Cogen,52096,,,,,,,,,,,,,
11,7,Berry Placerita Cogen,52096,,,,,,,,,,,,,
12,8,0,0,,,,,,,,,,,,,
13,9,0,0,,,,,,,,,,,,,
14,10,CalPeak Power - Border,55510,,,,,,,,,,,,,
15,11,0,0,,,,,,,,,,,,,
16,12,Center Generating Station,56475,,,,,,,,,,,,,
17,13,Central Utilities Plant LAX,10048,,,,,,,,,,,,,
18,13,Central Utilities Plant LAX 2,58258,,,,,,,,,,,,,
19,14,Century Generating Facility,55934,,,,,,,,,,,,,
20,15,Chalk Cliff Limited,50003,,,,,,,,,,,,,
21,16,0,0,,,,,,,,,,,,,
22,17,Richmond Cogen,52109,,,,,,,,,,,,,
23,17,Richmond Refinery TG800,52105,,,,,,,,,,,,,
24,18,Coalinga 25D Cogen,52086,,,,,,,,,,,,,
25,18,Coalinga 6C Cogen,52083,,,,,,,,,,,,,
26,18,Coalinga Cogeneration Facility,50131,,,,,,,,,,,,,
27,18,Coalinga Cogeneration Facility,50750,,,,,,,,,,,,,
28,19,Cymric 31X Cogen,52081,,,,,,,,,,,,,
29,19,Cymric 36W Cogen,52104,,,,,,,,,,,,,
30,19,Cymric 6Z Cogen,52082,,,,,,,,,,,,,
31,20,Kern River Eastridge Cogen,52107,,,,,,,,,,,,,
32,21,Taft 26C Cogen,52085,,,,,,,,,,,,,
33,22,Chowchilla II,56185,,,,,,,,,,,,,
34,23,0,0,,,,,,,,,,,,,
35,24,0,0,,,,,,,,,,,,,
