PNAME,ORISPL,PLPRMFL,PLFUELCT,NAMEPCAP
North Rosamond Solar LLC,59879,SUN,SOLAR,151
North Sky River Energy LLC,58154,WND,WIND,162
North Star Solar,58713,SUN,SOLAR,62.5
Nove Power Plant,50831,LFG,BIOMASS,3
NRG Energy San Diego,54337,NG,GAS,1.6
NRG Solar Blythe LLC,56939,SUN,SOLAR,21
NRG Solar Borrego I,57455,SUN,SOLAR,26
NRG Solar Oasis LLC,59528,SUN,SOLAR,20
NTC/MCRD Energy Facility,10810,NG,GAS,25.6
Nunn,58448,SUN,SOLAR,1
Oak Creek Energy Systems I,50754,WND,WIND,34.5
Oak Flat,626,WAT,HYDRO,1.4
Oakley Generating Station,57552,NG,GAS,672.3
Oakley Solar Project,58376,SUN,SOLAR,1.5
Oasis Wind,56302,WND,WIND,59
Occidental College Solar Project,57311,SUN,SOLAR,1
Ocotillo Express LLC,57514,WND,WIND,265.4
Olinda Landfill Gas Recovery Plant,10648,LFG,BIOMASS,5.4
Olive,6013,NG,GAS,171.9
Olive View Medical Center,10884,NG,GAS,5.6
OLS Energy Chino,50850,NG,GAS,30.8
Olsen,50180,WAT,HYDRO,5
Oltmans SCE at Champagne,58581,SUN,SOLAR,1
Oltmans SCE at Jurupa,58582,SUN,SOLAR,1.5
One Market Plaza,58607,NG,GAS,1.5
One Ten Partners PV,61419,SUN,SOLAR,2
ONeill,446,WAT,HYDRO,25.2
Orange County Energy Storage 2,62497,MWH,OTHF,9
Orange County Energy Storage 3,62499,MWH,OTHF,6
Orange Grove Project,56914,NG,GAS,118
Ord Mountain Solar,61372,SUN,SOLAR,60
Orion Solar I,58718,SUN,SOLAR,12
Orion Solar II,58721,SUN,SOLAR,8
Ormesa I,50766,GEO,GEOTHERMAL,55.2
Ormesa IE,50764,GEO,GEOTHERMAL,14.4
Ormesa IH,50762,GEO,GEOTHERMAL,14.4
Ormesa II,54724,GEO,GEOTHERMAL,48
Ormond Beach Generating Station,350,NG,GAS,"1,612.00"
ORNI 34 LLC,62801,MWH,OTHF,10
Oro Loma,59915,SUN,SOLAR,20
Oroville Cogeneration LP,54477,NG,GAS,7.7
Ortega Highway Energy Storage,60567,MWH,OTHF,2
"Otay Landfill Gas, LLC",52204,LFG,BIOMASS,10.5
"Otay Mesa Energy Center, LLC",55345,NG,GAS,688.5
Otoe Solar Power Generation Station 1 LL,58612,SUN,SOLAR,1.5
Owens Valley Solar Project 11,60953,SUN,SOLAR,1
Oxbow (CA),426,WAT,HYDRO,6.1
Oxnard,50464,NG,GAS,68.7
Oxnard Paper Mill,57585,NG,GAS,29
Oxnard Wastewater Treatment Plant,50224,OBG,BIOMASS,1.5
P Plant,59456,NG,GAS,9.2
Pacific Cruise Ship Terminals Berth 93,57309,SUN,SOLAR,1.1
Pacific Ethanol Madera Solar Array,61989,SUN,SOLAR,4.3
Pacific Ethanol Stockton Cogen Plant,61027,NG,GAS,4.8
Pacific Rim Dairy Digester,59447,OBG,BIOMASS,1
Pacific Union College BESS,61795,MWH,OTHF,1
Pacific Wind LLC,57757,WND,WIND,151.7
Pacific-Ultrapower Chinese Station,50560,WDS,BIOMASS,25
Painted Hills Wind Park,50533,WND,WIND,19
Painter Energy Storage,62729,MWH,OTHF,10
Pala Energy Storage Yard,60566,MWH,OTHF,1.5
Palo Verde College,57773,SUN,SOLAR,1.2
Palomar Energy Center,55985,NG,GAS,559
Palos Verdes Gas to Energy,10473,LFG,BIOMASS,13
Panoche Energy Center,56803,NG,GAS,432
Panoche Valley Solar Farm,57340,SUN,SOLAR,140
Paramount Refinery,58058,NG,GAS,6.7
Pardee,376,WAT,HYDRO,23.6
Park Meridian #1,59539,SUN,SOLAR,1.5
Parker,428,WAT,HYDRO,2.7
Parker Dam,447,WAT,HYDRO,120
Parnassus Central Utility Plant,58198,NG,GAS,13.4
Pastoria Energy Facility,55656,NG,GAS,779
Patterson Pass,56213,WND,WIND,21.9
PE Berkeley,50849,NG,GAS,28.5
Peak Valley Solar Farm,61167,SUN,SOLAR,200
Pebbly Beach,6704,DFO,OIL,12.9
Perris,481,WAT,HYDRO,7.9
PFMG Solar Grossmont Helix LLC,62611,SUN,SOLAR,1.2
Phillips 66 Carbon Plant,50388,PC,OIL,27.3
Phillips 66 Rodeo Refinery,50119,OG,OFSL,54.9
Phoenix,264,WAT,HYDRO,1.6
Phoenix Wind Power LLC,55339,WND,WIND,2.1
Pierce College,58248,SUN,SOLAR,1.9
Pilot Knob,388,WAT,HYDRO,33
Pine Flat,7907,WAT,HYDRO,165
Pine Tree Solar Project,57306,SUN,SOLAR,8.5
Pine Tree Wind Power Project,56433,WND,WIND,135
Pinyon Pine I,57834,WND,WIND,168
Pinyon Pine II,57837,WND,WIND,132
Pio Pico Energy Center LLC,57555,NG,GAS,395.4
Pit 1,265,WAT,HYDRO,69.2
Pit 3,266,WAT,HYDRO,80.1
Pit 4,267,WAT,HYDRO,103.4
Pit 5,268,WAT,HYDRO,141.6
Pit 6,269,WAT,HYDRO,79.2
Pit 7,270,WAT,HYDRO,109.8
Pitchess Cogen Station,10478,NG,GAS,28.3
Pixar - Emeryville,59803,NG,GAS,1.1
Plant No 1 Orange County,50696,OBG,BIOMASS,7.5
Plant No 2 Orange County,52099,OBG,BIOMASS,16
Pleasant Valley Hydro,402,WAT,HYDRO,3.2
Ples I,10479,GEO,GEOTHERMAL,15
Poe,272,WAT,HYDRO,142.8
"Pomerado Energy Storage, LLC",61390,MWH,OTHF,6
Ponderosa Bailey Creek,10709,WAT,HYDRO,1.1
Poole,353,WAT,HYDRO,11.3
Port of LA Solar FiT Project,61319,SUN,SOLAR,1.1
Portal,354,WAT,HYDRO,10.8
"Portal Ridge Solar A, LLC",60309,SUN,SOLAR,18.5
"Portal Ridge Solar B, LLC",60310,SUN,SOLAR,20
"Portal Ridge Solar C, LLC",60311,SUN,SOLAR,11.4
Porterville 6 and 7,59219,SUN,SOLAR,3
Porterville Solar,58309,SUN,SOLAR,3.5
Portola,6524,DFO,OIL,6
Potrero Hills Energy Producers,59952,LFG,BIOMASS,8
Potter Valley,274,WAT,HYDRO,9.4
Power Generation Station (PGS) 2,57696,OBG,BIOMASS,4.6
Powhatan Solar Power Generation Station 1 LLC,58611,SUN,SOLAR,1.5
PRC-Desoto Intl/PPG Aerospace,58085,DFO,OIL,1.5
Preferred Freezer San Leandro,62578,SUN,SOLAR,2
Prima Plant,55601,LFG,BIOMASS,6
Puente Hills Energy Recovery,10472,LFG,BIOMASS,62.7
Pumpjack Solar I,59322,SUN,SOLAR,20
Putah Creek Solar Farm,59550,SUN,SOLAR,2
"PVN Milliken, LLC",60790,SUN,SOLAR,3
Q Plant,59457,NG,GAS,4.6
Quinto Solar PV Project,59339,SUN,SOLAR,108
R C Kirkwood,382,WAT,HYDRO,115.5
R E Badger Filtration Plant,50147,WAT,HYDRO,1.4
Radiance Solar 4,58354,SUN,SOLAR,1.5
Radiance Solar 5,58355,SUN,SOLAR,1.5
Ralston,427,WAT,HYDRO,79.2
Ramona 1,58909,SUN,SOLAR,2
Ramona 2,58911,SUN,SOLAR,5
Ramona Solar Energy,60995,SUN,SOLAR,4.3
Rancho Cucamonga Dist #1,59540,SUN,SOLAR,1.8
Rancho Penasquitos,56615,WAT,HYDRO,4.6
Rancho Seco Solar,529,SUN,SOLAR,2
"Rancho Seco Solar, LLC",60226,SUN,SOLAR,10.8
Ratkovich Alhambra,62458,NG,GAS,1
RCWD PV Project,60426,SUN,SOLAR,5
RCWMD Badlands Landfill Gas Project,55820,LFG,BIOMASS,2.5
"RE Adams East, LLC",58984,SUN,SOLAR,19
RE Astoria,59976,SUN,SOLAR,100
RE Astoria 2,59977,SUN,SOLAR,75
RE Barren Ridge 1,60389,SUN,SOLAR,60
RE Bruceville 1,57783,SUN,SOLAR,5
RE Bruceville 2,57784,SUN,SOLAR,5
RE Bruceville 3,57785,SUN,SOLAR,5
RE Camelot LLC,58983,SUN,SOLAR,45
"RE Columbia Two, LLC",58990,SUN,SOLAR,15
RE Dillard 1,57777,SUN,SOLAR,3
RE Dillard 2,57779,SUN,SOLAR,3
RE Dillard 3,57781,SUN,SOLAR,3
RE Dillard 4,57806,SUN,SOLAR,0.4
RE Garland,60233,SUN,SOLAR,185
RE Garland A,60386,SUN,SOLAR,20
RE Gaskell West 1 LLC,61445,SUN,SOLAR,20
RE Gaskell West 2 LLC,61446,SUN,SOLAR,45
RE Gaskell West 3 LLC,61447,SUN,SOLAR,20
RE Gaskell West 4 LLC,61448,SUN,SOLAR,20
RE Gaskell West 5 LLC,61449,SUN,SOLAR,20
RE Kammerer 1,57778,SUN,SOLAR,5
RE Kammerer 2,57780,SUN,SOLAR,5
RE Kammerer 3,57782,SUN,SOLAR,5
"RE Kansas Solar, LLC",58985,SUN,SOLAR,20
RE Kansas South LLC,58148,SUN,SOLAR,20
"RE Kent South, LLC",58991,SUN,SOLAR,20
RE McKenzie 1,57816,SUN,SOLAR,5
RE McKenzie 2,57817,SUN,SOLAR,5
RE McKenzie 3,57818,SUN,SOLAR,5
RE McKenzie 4,57819,SUN,SOLAR,5
RE McKenzie 5,57820,SUN,SOLAR,5
RE McKenzie 6,57821,SUN,SOLAR,5
RE Mustang LLC,59150,SUN,SOLAR,100
"RE Old River One, LLC",58986,SUN,SOLAR,20
RE Tranquillity,59939,SUN,SOLAR,205.3
RE Victor Phelan Solar One LLC,58202,SUN,SOLAR,20
Red Bluff,56184,NG,GAS,46.4
Red Mountain,484,WAT,HYDRO,5.9
Redcrest Solar Farm,58831,SUN,SOLAR,16.6
Redding Power Plant,7307,NG,GAS,183.1
Redwood 4 Solar Farm,60490,SUN,SOLAR,20
Regional Wastewater Control Facility,56134,DFO,OIL,4.8
Regulus Solar Project,57650,SUN,SOLAR,60
Renew Solar ABC Sacramento LLC,62545,SUN,SOLAR,1.7
Richard J Donovan Correctional Facility,54936,NG,GAS,2.6
Richmond Cogen,52109,NG,GAS,198.6
Richmond Refinery TG800,52105,OG,OFSL,21
Ridgetop,54931,WND,WIND,46.8
Ridgetop Energy LLC,10597,WND,WIND,29
Rio Bravo Fresno,10767,WDS,BIOMASS,28
Rio Bravo Hydro Project,50037,WAT,HYDRO,14
Rio Bravo Rocklin,10772,WDS,BIOMASS,27.9
Rio Bravo Solar 1 LLC,59249,SUN,SOLAR,20
Rio Bravo Solar II LLC,59250,SUN,SOLAR,20
Rio Grande Solar,58500,SUN,SOLAR,5
Rio Hondo,482,WAT,HYDRO,1.9
Ripon Generation Station,56135,NG,GAS,121
Rising Tree Wind Farm,57621,WND,WIND,79.2
Rising Tree Wind Farm II,59235,WND,WIND,19.8
Rising Tree Wind Farm III,59236,WND,WIND,99
Riverside Energy Resource Center,56143,NG,GAS,196
Riverside RWQCP Fuel Cell,59877,OBG,BIOMASS,1.4
Riverview Energy Center,55963,NG,GAS,47
Roaring Creek Water Power,10881,WAT,HYDRO,2
Robbs Peak,433,WAT,HYDRO,25.5
Robert O Schulz Solar Farm,57579,SUN,SOLAR,1.3
Rock Creek,275,WAT,HYDRO,126
Rock Creek Dam,56822,WAT,HYDRO,3.6
Rock Creek LP,50892,WAT,HYDRO,3
Rockwood,7824,NG,GAS,49.8
Rodeo Solar C2,58751,SUN,SOLAR,1.5
Rodeo Solar D2,58752,SUN,SOLAR,1.5
"Rohr Inc., a Collins Aerospace Company",57713,NG,GAS,9.6
Roll Delano,58297,NG,GAS,1.1
Roll Delano 2,58296,NG,GAS,1
Roll Lost Hills,58298,NG,GAS,1.1
Rollins,34,WAT,HYDRO,12.1
Rosamond One,58498,SUN,SOLAR,20
Rosamond Two,58499,SUN,SOLAR,20
Roseburg Forest Products Biomass,56469,WDS,BIOMASS,13.4
Roseville,7452,NG,GAS,54.8
Roseville Energy Park,56298,NG,GAS,164
Roseville Solar,62114,SUN,SOLAR,1
RPI Fuel Cell LLC,57419,OBG,BIOMASS,3
"Rudy Solar, LLC",59410,SUN,SOLAR,1.5
Rugged Solar LLC,57960,SUN,SOLAR,80
Rush Creek,357,WAT,HYDRO,13.1
Russell City Energy Company LLC,56467,NG,GAS,655
Rutan,58449,SUN,SOLAR,4
Sacramento (SMUD),59323,SUN,SOLAR,1.5
Sacramento Fairbain Water Treatment Plan,58636,SUN,SOLAR,1
Sacramento Power Authority Cogen,7552,NG,GAS,173.9
Sacramento Regional County Sanitation PV,61209,SUN,SOLAR,3.5
Sacramento Soleil LLC,56875,SUN,SOLAR,1
Saint Agnes Medical Center,54800,NG,GAS,7.7
Saint Johns Health Center,50610,NG,GAS,1.2
Salinas River Cogeneration Facility,50865,NG,GAS,38.9
Salt Springs,279,WAT,HYDRO,42
Salton Sea Power Gen Co - Unit 2,10879,GEO,GEOTHERMAL,20
Salton Sea Power Gen Co - Unit 3,10759,GEO,GEOTHERMAL,53.9
Salton Sea Power Gen Co - Unit 4,54996,GEO,GEOTHERMAL,47.5
Salton Sea Power Gen Co Unit 1,10878,GEO,GEOTHERMAL,10
Salton Sea Power LLC - Unit 5,55983,GEO,GEOTHERMAL,58.3
San Antonio Regional Hospital,50234,NG,GAS,2.7
San Antonio West Solar Rooftop,57904,SUN,SOLAR,1.5
San Diego International Airport BESS,62754,MWH,OTHF,2
San Diego State University,50061,NG,GAS,17.6
San Dimas,6646,WAT,HYDRO,9.9
San Dimas Wash Generating Station,50233,WAT,HYDRO,1
San Fernando,403,WAT,HYDRO,5.6
San Francisco Electric Reliability Proj,56305,NG,GAS,151.5
San Francisco Intl Airport Ct Project,56306,NG,GAS,48
San Francisquito 1,6479,WAT,HYDRO,65.5
San Francisquito 2,6480,WAT,HYDRO,46
San Gabriel Hydro Project,54017,WAT,HYDRO,5
San Gorgonio 1,7148,WAT,HYDRO,1.5
San Gorgonio Farms Wind Farm,50281,WND,WIND,31
San Gorgonio Westwinds II LLC,50690,WND,WIND,43.4
San Gorgonio Windplant WPP1993,54454,WND,WIND,84
San Jacinto Solar,60972,SUN,SOLAR,1.5
San Joaquin 2,276,WAT,HYDRO,2.8
San Joaquin 3,277,WAT,HYDRO,4
San Joaquin Solar,60678,SUN,SOLAR,21.3
San Jose Cogeneration,10548,NG,GAS,6
San Onofre Nuclear Generating Station,360,NUC,NUCLEAR,"2,254.00"
San Pablo Raceway,62004,SUN,SOLAR,100
Sand Bar Power Plant,50400,WAT,HYDRO,16.2
Sand Drag LLC,57361,SUN,SOLAR,19
Santa Ana 1,361,WAT,HYDRO,3.2
Santa Ana 3,363,WAT,HYDRO,3.1
Santa Clara (85C),50534,WND,WIND,18
Santa Clara Cogen,7232,NG,GAS,7.8
Santa Cruz Energy,57876,LFG,BIOMASS,1.6
Santa Fe Springs Rooftop Solar BLDG H,58913,SUN,SOLAR,1.5
Santa Fe Springs Rooftop Solar BLDG M,58912,SUN,SOLAR,1.8
Santa Felicia Dam,50076,WAT,HYDRO,1.3
Santa Maria Cogen Plant,10733,NG,GAS,9
Santa Maria EPG,56284,PRG,OTHF,5.5
Santa Maria LFG Power Plant,57100,LFG,BIOMASS,1.1
Santa Paula Energy Storage,60946,MWH,OTHF,5
Santa Rita Jail,58625,NG,GAS,6.7
Santa Rita Jail Fuel Cell,60385,NG,GAS,1.4
Santa Rosa Junior College Petaluma Solar,62039,SUN,SOLAR,1.2
Sargent Canyon Cogen Facility,50864,NG,GAS,38.2
"SC 1 Data Center, Phase 2",59074,DFO,OIL,92.7
SCA Cogen II,7551,NG,GAS,193.4
Scattergood Generating Station,404,NG,GAS,"1,718.80"
SCDA Solar 1,61006,SUN,SOLAR,7
SCE-Snowline-Duncan Road (North),59359,SUN,SOLAR,1.5
SCE-Snowline-Duncan Road (South),59360,SUN,SOLAR,1
SCE-Snowline-White Rd (Central),59423,SUN,SOLAR,1.5
SCE-Snowline-White Road (North),59422,SUN,SOLAR,1.5
SCE-Snowline-White Road (South),59421,SUN,SOLAR,1.5
Scott Flat,839,WAT,HYDRO,1
SDCCD - Miramar,59138,SUN,SOLAR,1.1
SDCWA - Twin Oaks,59139,SUN,SOLAR,1.1
SeaWorld Aquatica,61843,SUN,SOLAR,1
Second Imperial Geothermal,54111,GEO,GEOTHERMAL,80
SEGS III,10439,NG,GAS,34.2
SEGS IV,10440,NG,GAS,34.2
SEGS IX,10446,NG,GAS,92
SEGS V,10441,NG,GAS,34.2
SEGS VI,10442,NG,GAS,35
SEGS VII,10443,NG,GAS,35
SEGS VIII,10444,NG,GAS,92
"Sentinel Energy Center, LLC",57482,NG,GAS,800
Sepulveda Canyon,316,WAT,HYDRO,8.5
SEPV 1,58073,SUN,SOLAR,2
SEPV 18,59730,SUN,SOLAR,2
SEPV 2,58074,SUN,SOLAR,2
SEPV 8,58234,SUN,SOLAR,12
SEPV Imperial Dixieland East,60745,SUN,SOLAR,2
SEPV Imperial Dixieland West,60744,SUN,SOLAR,3
SEPV Mojave West,59740,SUN,SOLAR,20
SEPV Palmdale East,59273,SUN,SOLAR,10
SEPV9 Power Plant,58227,SUN,SOLAR,9
Seville 1,59722,SUN,SOLAR,20
Seville 2,59723,SUN,SOLAR,30
SF Southeast Cogen Plant,57971,OBG,BIOMASS,2.1
SF State University,57043,NG,GAS,1.6
SFDK Solar,62649,SUN,SOLAR,6.3
Shafter Solar LLC,59408,SUN,SOLAR,20
Shasta,445,WAT,HYDRO,714
Shasta Solar Farm,58814,SUN,SOLAR,3
Shelter Creek Condominiums Solar,62806,SUN,SOLAR,2.5
Shiloh I Wind Project,56362,WND,WIND,150
Shiloh III Wind Project LLC,57586,WND,WIND,102.5
Shiloh IV Wind Project LLC,57725,WND,WIND,102.5
Shiloh Wind Project 2 LLC,56874,WND,WIND,150
"Sierra Energy Storage, LLC",61803,MWH,OTHF,10
Sierra Nevada Brewing Co,58585,NG,GAS,5.2
Sierra Pacific Anderson Facility,55049,WDS,BIOMASS,4
Sierra Pacific Burney Facility,50110,WDS,BIOMASS,20
Sierra Pacific Lincoln Facility,10144,WDS,BIOMASS,32.2
Sierra Pacific Loyalton Facility,50111,WDS,BIOMASS,20
Sierra Pacific Quincy Facility,50112,WDS,BIOMASS,62.7
Sierra Pacific Sonora,54517,WDS,BIOMASS,15
Sierra Solar Greenworks,59431,SUN,SOLAR,20
Sierra SunTower Solar Gen Station,57323,SUN,SOLAR,7.5
Signal Hill West Unit,57702,PRG,OTHF,5.7
Silicon Valley Clean Water,60249,OBG,BIOMASS,1.2
Silver Gate,309,DFO,OIL,247
Siphon Drop Power Plant,57364,WAT,HYDRO,4.4
Site 980 65,50322,WAT,HYDRO,2.1
SJ/SC WPCP,56080,NG,GAS,28.4
Sky River LLC,50536,WND,WIND,76.9
Slate Creek,50961,WAT,HYDRO,4.2
Sly Creek,776,WAT,HYDRO,12.1
SMUD at Fleshman,57671,SUN,SOLAR,2.9
SMUD at Grundman,57669,SUN,SOLAR,17
SMUD at Lawrence,57753,SUN,SOLAR,1
SMUD at Van Conett,57670,SUN,SOLAR,2.9
Soboba Community Solar Project,61834,SUN,SOLAR,1
Sol Orchard El Centro PV,58621,SUN,SOLAR,20
Solano County Cogen Plant,50985,NG,GAS,2.8
Solano Wind,7526,WND,WIND,228.2
Solar Blythe 2,60558,SUN,SOLAR,20
Solar Gen 2,58592,SUN,SOLAR,155.1
Solar Photovoltaic Project #01,56976,SUN,SOLAR,2
Solar Photovoltaic Project #02,56996,SUN,SOLAR,1
Solar Photovoltaic Project #03,57217,SUN,SOLAR,1
Solar Photovoltaic Project #04,57218,SUN,SOLAR,1.5
Solar Photovoltaic Project #05,57219,SUN,SOLAR,2.5
Solar Photovoltaic Project #06,57220,SUN,SOLAR,2
Solar Photovoltaic Project #07,57221,SUN,SOLAR,2.5
Solar Photovoltaic Project #08,57222,SUN,SOLAR,2.5
Solar Photovoltaic Project #09,57223,SUN,SOLAR,1.5
Solar Photovoltaic Project #10,57224,SUN,SOLAR,2
Solar Photovoltaic Project #11,57225,SUN,SOLAR,3.5
Solar Photovoltaic Project #12,57226,SUN,SOLAR,1
Solar Photovoltaic Project #13,57227,SUN,SOLAR,3.5
Solar Photovoltaic Project #14,57228,SUN,SOLAR,1.5
Solar Photovoltaic Project #15,57229,SUN,SOLAR,3.5
Solar Photovoltaic Project #16,57230,SUN,SOLAR,1.5
Solar Photovoltaic Project #17,57231,SUN,SOLAR,4
Solar Photovoltaic Project #18,57232,SUN,SOLAR,2
Solar Photovoltaic Project #19,57233,SUN,SOLAR,5
Solar Photovoltaic Project #20,57234,SUN,SOLAR,3.5
Solar Photovoltaic Project #21,57235,SUN,SOLAR,2.5
Solar Photovoltaic Project #22,57237,SUN,SOLAR,2
Solar Photovoltaic Project #23,57236,SUN,SOLAR,3
Solar Photovoltaic Project #24,57127,SUN,SOLAR,4
Solar Photovoltaic Project #25,57528,SUN,SOLAR,4.5
Solar Photovoltaic Project #26,57245,SUN,SOLAR,6
Solar Photovoltaic Project #27,57246,SUN,SOLAR,3
Solar Photovoltaic Project #28,57247,SUN,SOLAR,4
Solar Photovoltaic Project #30,57532,SUN,SOLAR,1.5
Solar Photovoltaic Project #31,57533,SUN,SOLAR,1
Solar Photovoltaic Project #32,57534,SUN,SOLAR,1.5
Solar Photovoltaic Project #33,57535,SUN,SOLAR,1
Solar Photovoltaic Project #40,57538,SUN,SOLAR,10
Solar Photovoltaic Project #41,57539,SUN,SOLAR,10
Solar Photovoltaic Project #42,57441,SUN,SOLAR,5
Solar Photovoltaic Project #44,57540,SUN,SOLAR,8
Solar Photovoltaic Project #45,57541,SUN,SOLAR,6
Solar Photovoltaic Project #47,57543,SUN,SOLAR,1
Solar Photovoltaic Project #48,57900,SUN,SOLAR,5
Solar Star 1,58388,SUN,SOLAR,318
Solar Star 2,58389,SUN,SOLAR,279
Solar Star California II LLC,57933,SUN,SOLAR,2
"Solar Star California, XLI, LLC",60591,SUN,SOLAR,54
"Solar Star California, XLIV, LLC",60869,SUN,SOLAR,9.5
"Solar Star Palo Alto I, LLC",62732,SUN,SOLAR,1.3
Solverde 1,60185,SUN,SOLAR,85
Sonoma California Geothermal,510,GEO,GEOTHERMAL,78
Sonoma Central Landfill Phase I,55752,LFG,BIOMASS,3.2
Sonoma Central Landfill Phase II,55753,LFG,BIOMASS,3.2
Sonoma Central Landfill Phase III,55880,LFG,BIOMASS,1.6
Sonoma County Fuel Cell,57793,NG,GAS,1.4
Sonora 1,58578,SUN,SOLAR,1.5
South,280,WAT,HYDRO,6.7
South Bay Fuel Cell Plant,57770,OBG,BIOMASS,1.5
South Belridge Cogeneration Facility,50752,NG,GAS,94.2
Southeast Kern River Cogen,50751,NG,GAS,30.8
Southeast Resource Recovery,50837,MSW,BIOMASS,35.6
Southern Owens Valley Solar Ranch,57304,SUN,SOLAR,200
Spadra Landfill Gas to Energy,10471,LFG,BIOMASS,10.6
Spaulding 1,281,WAT,HYDRO,7
Spaulding 2,282,WAT,HYDRO,3.7
Spaulding 3,283,WAT,HYDRO,6.6
SPI Anderson 2,59658,WDS,BIOMASS,30.2
Spicer Meadow Project,54554,WAT,HYDRO,5.9
Spreckels Sugar Company,57916,NG,GAS,8.9
Spring Creek,450,WAT,HYDRO,180
Spring Gap,284,WAT,HYDRO,6
Springbok 3 Solar Farm,60491,SUN,SOLAR,90
Springbok Solar Farm 1,59532,SUN,SOLAR,105
Springbok Solar Farm 2,59840,SUN,SOLAR,155
Springs Generating Station,56144,NG,GAS,40
Springville Hydroelectric,56125,WAT,HYDRO,1
SPVP #35,57537,SUN,SOLAR,7
SPVP #46,57545,SUN,SOLAR,3.5
SRI International Cogen Project,50537,NG,GAS,6
Stage Gulch Solar,61791,SUN,SOLAR,1
Stampede,7066,WAT,HYDRO,3.6
Stanford Campus Solar,62020,SUN,SOLAR,3.4
Stanislaus,285,WAT,HYDRO,81.9
Stanton Energy Reliability Center,60698,NG,GAS,121
"Staples La Mirada, CA",57683,SUN,SOLAR,1.1
Starbucks - Evolution Fresh,59804,NG,GAS,1.1
Stateline Solar,58646,SUN,SOLAR,299.5
Stenner Creek Solar,61607,SUN,SOLAR,4.5
Stony Gorge,7151,WAT,HYDRO,5
Strata Roof 1,60219,SUN,SOLAR,1
Strauss Wind Farm,62113,WND,WIND,98.8
Stroud Solar Station,57497,SUN,SOLAR,20
Summer North Solar,58757,SUN,SOLAR,6.5
Summer Solar A2,58753,SUN,SOLAR,1.5
Summer Solar B2,58754,SUN,SOLAR,1.5
Summer Solar C2,58755,SUN,SOLAR,1.5
Summer Solar D2,58756,SUN,SOLAR,1
Summer Solar LLC,60280,SUN,SOLAR,20
Sun City Project LLC,57360,SUN,SOLAR,20
Sun Harvest Solar NDP1,59687,SUN,SOLAR,1.5
SunAnza,60791,SUN,SOLAR,2
SunE- E Philadelphia Ontario,59916,SUN,SOLAR,1
SunE Rochester,60032,SUN,SOLAR,1
SunEdison Anheuser Busch Fairfield,57010,SUN,SOLAR,1
SunEdison Ironwood State Prison,57007,SUN,SOLAR,1
SunEdison Procter & Gamble Oxnard,57008,SUN,SOLAR,1
SunEdison Walgreens Moreno Valley,57004,SUN,SOLAR,1
SunEdison Walmart Apple Valley DC,57012,SUN,SOLAR,1
Sunnyvale City of WPCP,57557,LFG,BIOMASS,1.6
Sunray 2,10437,SUN,SOLAR,33.8
Sunray 3,10438,SUN,SOLAR,43.8
Sunrise Power Company,55182,NG,GAS,605.4
SunSelect1,61754,NG,GAS,6.6
Sunset Reservoir North Basin,57559,SUN,SOLAR,4.5
Sunshine Gas Producers,58429,LFG,BIOMASS,23
Swanmill Windfarm I,54650,WND,WIND,18.7
Sycamore Cogeneration,50134,NG,GAS,300
Sycamore Energy 1,10387,LFG,BIOMASS,7.2
"TA-Acacia, LLC",59443,SUN,SOLAR,20
Taft 26C Cogen,52085,NG,GAS,12.4
TA-High Desert LLC,58149,SUN,SOLAR,20
Tahquitz High School,58232,SUN,SOLAR,1
Tajiguas Plant,55603,LFG,BIOMASS,3
Target Shafter,61824,SUN,SOLAR,3
Target Woodland Solar Project,62246,SUN,SOLAR,2.3
Taylor Farms,59330,WND,WIND,1
Taylor Farms Salinas,58303,NG,GAS,1.1
Tehachapi Energy Storage Project,59661,MWH,OTHF,8
Tehachapi Spindle,58291,MWH,OTHF,20
Tehachapi Wind Resource I,10191,WND,WIND,9.3
Tehachapi Wind Resource II,54909,WND,WIND,37.4
Teichert Materials-Teichert Vernalis,57594,WND,WIND,1
Telephone Flat,55846,GEO,GEOTHERMAL,49.9
Temescal,479,WAT,HYDRO,2.9
"Temescal Canyon RV, LLC",57656,SUN,SOLAR,1.5
Tequesquite Landfill Solar PV Project,60035,SUN,SOLAR,7.3
Terminus Hydroelectric Project,54343,WAT,HYDRO,20.1
Terra Francesco,59541,SUN,SOLAR,1.5
Terra-Gen 251 Wind LLC,52161,WND,WIND,18.4
Terra-Gen VG Wind LLC,56570,WND,WIND,7.4
TESLA Power Project,55937,NG,GAS,"1,322.00"
Tesoro Wilmington Calciner,10601,WH,OTHF,34
Thermal Energy Development Part LP,10502,WDS,BIOMASS,23
Thermalito,438,WAT,HYDRO,115.1
Thermalito Diverson Dam,7129,WAT,HYDRO,3.4
Thomas M Knott Cogen Facility,58190,NG,GAS,1.4
Three Forks Water Power Project,54308,WAT,HYDRO,1.3
THUMS,56051,NG,GAS,57.4
Tierra Bonita Solar,57923,SUN,SOLAR,22
Tiger Creek,287,WAT,HYDRO,52.2
Toadtown,714,WAT,HYDRO,1.8
Top Gun Energy Storage,61366,MWH,OTHF,30
Topaz Solar Farm,57695,SUN,SOLAR,585.9
"Torrance Refining Company, LLC",50624,PRG,OTHF,49.3
Total Energy Facilities,10091,OBG,BIOMASS,58.2
TPC Windfarms LLC,54647,WND,WIND,28.7
Tracy Combined Cycle Power Plant,55933,NG,GAS,336.1
Transamerica Pyramid,58619,NG,GAS,1
