num,num_1,Name,DOE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Name_Description,netcap,typ,PLPRMFL,PLFUELCT,NAMEPCAP
57,38,El Cajon Energy Storage,60569,,,,,,,,,,,,,,El Cajon GT,16.36,ngct,MWH,OTHF,7.5
58,39,Elk Hills Cogen,55950,,,,,,,,,,,,,,ELK HILLS GENERATING PROJECT (AGGREGATE),551.7,ngcc,NG,GAS,46.6
59,39,Elk Hills Power,55400,,,,,,,,,,,,,,ELK HILLS GENERATING PROJECT (AGGREGATE),551.7,ngcc,NG,GAS,623
60,40,Ellwood,8076,,,,,,,,,,,,,,Ellwood Generating Station,54.0,ngct,NG,GAS,58
61,41,Encina Water Pollution Control,10026,,,,,,,,,,,,,,Encina GT 1,14.5,ngct,OBG,BIOMASS,4.7
62,42,Encina Water Pollution Control,10026,,,,,,,,,,,,,,Encina Unit 1,106.0,ngst,OBG,BIOMASS,4.7
63,43,Encina Water Pollution Control,10026,,,,,,,,,,,,,,Encina Unit 2,104.0,ngst,OBG,BIOMASS,4.7
64,44,Encina Water Pollution Control,10026,,,,,,,,,,,,,,Encina Unit 3,110.0,ngst,OBG,BIOMASS,4.7
65,45,Encina Water Pollution Control,10026,,,,,,,,,,,,,,Encina Unit 4,300.0,ngst,OBG,BIOMASS,4.7
66,46,Encina Water Pollution Control,10026,,,,,,,,,,,,,,Encina Unit 5,330.0,ngst,OBG,BIOMASS,4.7
67,47,0,0,,,,,,,,,,,,,,Enterprise,48.04,ngct,,,
68,48,ExxonMobil Santa Ynez Facility,50270,,,,,,,,,,,,,,"EXXON COMPANY, USA",48.2,ngct,NG,GAS,49.3
69,49,0,0,,,,,,,,,,,,,,FELLOW QF UNIT AGGREGATE,10.5,ngct,,,
70,50,0,0,,,,,,,,,,,,,,Freshwater Tissue Company,20.0,ngst,,,
71,51,Frito-Lay Cogen Plant,10110,,,,,,,,,,,,,,FRITO-LAY,6.0,ngct,NG,GAS,6
72,52,Gaviota Oil Plant,50623,,,,,,,,,,,,,,GAVIOTA OIL HEATING FACILITY,9.9,ngct,NG,GAS,14
73,53,Gianera,7231,,,,,,,,,,,,,,Gianera GT 1,24.75,ngct,NG,GAS,64.6
74,54,Gianera,7231,,,,,,,,,,,,,,Gianera GT 2,24.75,ngct,NG,GAS,64.6
75,55,"Gilroy Energy Center, LLC",55810,,,,,,,,,,,,,,GILROY COGEN,120.0,ngcc,NG,GAS,135
76,56,"Gilroy Energy Center, LLC",55810,,,,,,,,,,,,,,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),95.4,ngct,NG,GAS,135
77,57,0,0,,,,,,,,,,,,,,Graphic Packaging Cogen,27.7,ngcc,,,
78,58,0,0,,,,,,,,,,,,,,GWF HEP PEAKER PLANT (AGGREGATE),98.46,ngct,,,
79,59,H. Gonzales,56039,,,,,,,,,,,,,,H. GONZALES GAS TURBINE 1,5.75,ngct,NG,GAS,11.8
80,60,H. Gonzales,56039,,,,,,,,,,,,,,H. GONZALES GAS TURBINE 2,5.75,ngct,NG,GAS,11.8
81,61,High Sierra Cogeneration Plant,57977,,,,,,,,,,,,,,High Sierra Cogeneration Aggregate,6.0,ngct,NG,GAS,6
82,62,High Sierra Limited,50495,,,,,,,,,,,,,,HIGH SIERRA LIMITED,52.43,ngct,NG,GAS,49.8
83,63,Houweling Nurseries,58432,,,,,,,,,,,,,,"Houweling Nurseries Oxnard, Inc",13.0,ngct,NG,GAS,13.2
84,64,Kearny,303,,,,,,,,,,,,,,KEARNY KY3 (AGGREGATE),61.0,ngct,NG,GAS,161.5
85,64,Kearny Mesa Storage LLC,62441,,,,,,,,,,,,,,KEARNY KY3 (AGGREGATE),61.0,ngct,MWH,OTHF,1
