AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
2.6625,2.0493,2.584363636363637,1.933695555555556,2.0221,2.584363636363637,2.0221,2.245533333333333,2.0221,2.584363636363637,2.08455,2.23025,2.913333333333334,1.738638888888889,1.999769230769231,2.416699242424243,2.147,2.16,1.605166666666667,2.0221,2.0221,2.842333333333333,2.315,2.584363636363637,2.0221,1.397192307692308,2.373298787878788,2.006
