,SelectedNodes
0,2026
1,4129
2,4188
3,7273
4,7294
5,7405
6,4191
7,4149
8,7229
9,7049
10,4071
11,5449
12,5385
13,6199
14,7039
15,5103
16,4040
17,5084
18,7127
19,7004
20,7248
21,5323
22,5465
23,7201
24,7183
25,7410
26,4042
27,7084
28,4088
29,7101
30,7177
31,7091
32,6035
33,5161
34,7246
35,7330
36,6120
37,4147
38,4066
39,6230
40,4103
41,5305
42,5287
43,7343
44,5048
45,4007
46,5422
47,5016
48,5480
49,6058
50,4193
51,5181
52,7404
53,6016
54,5316
55,6241
56,5351
57,5126
58,4079
59,7221
60,6236
61,7185
62,8140
63,5158
64,4171
65,5440
66,6223
67,5335
68,6288
69,5250
70,5379
71,6335
72,7124
73,4005
74,7157
75,7353
76,6147
77,7208
78,7400
79,5037
80,7098
81,5262
82,8060
83,6349
84,7335
85,5444
86,8129
87,6214
88,8070
89,8087
90,4085
91,1081
92,6078
93,6244
94,7138
95,7375
96,7428
97,4192
98,7422
99,7110
100,5302
101,2115
102,5067
103,5364
104,6111
105,6007
106,2004
107,5319
108,1048
109,6069
110,7406
111,5360
112,6302
113,4061
114,6164
115,8033
116,8077
117,3048
118,1063
119,3060
120,2057
121,2103
122,5281
123,2019
124,5206
125,3055
126,8116
127,5057
128,4030
129,6295
130,5415
131,4010
132,7311
133,7389
134,3045
135,4075
136,7045
137,5382
138,4026
139,4194
140,3028
141,1004
142,4181
143,3127
144,3084
145,1033
146,8155
147,4047
148,1082
149,2127
150,7075
151,7387
152,5463
153,4015
154,4067
155,6344
156,5373
157,7427
158,5098
159,5224
160,5447
161,5053
162,6355
163,7235
164,6047
165,7120
166,7181
167,7279
168,6043
169,5329
170,6061
171,6037
172,5203
173,8095
174,5157
175,4122
176,7259
177,3051
178,5441
179,5412
180,5291
181,7145
182,5307
183,7317
184,5234
185,5116
186,7220
187,6208
188,7051
189,5022
190,7424
191,5183
192,5245
193,6168
194,7013
195,5478
196,7161
197,5173
198,5266
199,6280
