Name,Bus,Fuel,Max_Cap,Min_Cap,MarginalCost
VANCOUVER,13265,NG (Natural Gas),248.0,115.79,16.91
TACOMA,10209,NG (Natural Gas),560.1,185.20999999999998,12.272
CHEHALIS,10209,NG (Natural Gas),698.01,212.89999999999998,17.583333333333332
ANACORTES,10228,NG (Natural Gas),166.8,46.7,11.865
SUMAS,10228,NG (Natural Gas),125.5,58.730000000000004,7.22
BURLINGTON,10228,NG (Natural Gas),376.0,118.95,15.8475
BLAINE,10228,NG (Natural Gas),169.2,54.89,14.365
FERNDALE,10228,NG (Natural Gas),285.51,60.370000000000005,15.803333333333333
GOLDENDALE,13669,NG (Natural Gas),284.3,60.76,15.195
RATHDRUM,10677,NG (Natural Gas),467.9,125.36999999999999,15.780000000000001
RICHLAND,10811,NUC (Nuclear),1200.0,469.13,8.45
CENTRALIA,10859,BIT (Bituminous Coal),1459.8,669.44,10.715
ELMA,10859,NG (Natural Gas),650.01,143.54,17.220000000000002
PASCO,10609,NG (Natural Gas),45.6,10.110000000000001,3.455
LONGVIEW,13693,NG (Natural Gas),319.0,62.459999999999994,15.695
CLATSKANIE,13693,NG (Natural Gas),1360.52,364.52000000000004,12.846666666666668
KLAMATHFALLS,13366,NG (Natural Gas),117.6,30.82,8.057500000000001
NEWPLYMOUTH,13446,NG (Natural Gas),318.5,113.28,16.075
HERMISTON,13509,NG (Natural Gas),1310.6,566.03,17.37285714285714
BOARDMAN,13420,NG (Natural Gas),266.3,78.25,15.774999999999999
KLAMATHFALLS_2,20390,NG (Natural Gas),501.51,134.3,10.516666666666667
YUBACITY,20390,NG (Natural Gas),636.0,229.73999999999998,11.986666666666666
EUREKA,20390,NG (Natural Gas),166.97999999999996,56.29,14.865
BOARDMAN_3,13698,NG (Natural Gas),929.2,288.65,11.89
MOUNTAINHOME,74001,NG (Natural Gas),310.9,93.78,6.008
MCCLELLAN,20136,NG (Natural Gas),77.0,23.9,18.03
YUBACITY_4,20136,NG (Natural Gas),258.8,79.5,16.541666666666668
ROSEVILLE,20136,NG (Natural Gas),164.01,45.03,16.156666666666666
ELKGROVE,20136,NG (Natural Gas),35.75,12.61,17.72
SACRAMENTO,20136,NG (Natural Gas),367.29999999999995,112.77000000000001,11.496666666666664
REDBLUFF,20136,NG (Natural Gas),46.38000000000001,13.700000000000001,7.848333333333333
VACAVILLE,20136,NG (Natural Gas),60.5,26.37,17.74
LODI,20136,NG (Natural Gas),54.8,14.73,17.335
MAXWELL,21596,NG (Natural Gas),741.01,198.23000000000002,18.3825
HERALD,21596,NG (Natural Gas),530.01,186.49,19.11
ANTIOCH,21596,NG (Natural Gas),828.0,166.97,17.825
HAYWARD,21596,NG (Natural Gas),654.99,253.0,18.096666666666668
LODI_5,21596,NG (Natural Gas),288.9,70.55,17.795
CROCKETT,21121,NG (Natural Gas),247.4,49.35,18.62
ELSOBRANTE,21121,NG (Natural Gas),125.2,35.19,16.88
ELKGROVE_6,23060,NG (Natural Gas),89.75,20.88,17.825000000000003
MODESTO,23060,NG (Natural Gas),388.88,99.87,15.812222222222223
RIPON,23060,NG (Natural Gas),170.5,47.7,12.293333333333331
TURLOCK,23060,NG (Natural Gas),374.4,102.49000000000001,17.028333333333332
SPARKS,30001,NG (Natural Gas),369.6,98.46,10.195
YERINGTON,30001,NG (Natural Gas),230.0,68.02,20.28
PITTSBURG,21497,NG (Natural Gas),1621.8199999999997,469.25,16.14142857142857
ANTIOCH_7,21497,NG (Natural Gas),619.71,178.19,17.853333333333335
SANTACLARA,21497,NG (Natural Gas),299.1700000000001,70.5,13.23846153846154
SANJOSE,21497,BIT (Bituminous Coal),393.4,99.91,8.9025
STANFORD,21497,NG (Natural Gas),52.8,14.919999999999998,16.375
GILROY,21497,NG (Natural Gas),265.0,99.12,14.956
BYRON,21497,NG (Natural Gas),199.6,75.93,13.337499999999999
TRACY,21497,NG (Natural Gas),336.09000000000003,59.910000000000004,17.453333333333333
LODI_8,21497,NG (Natural Gas),77.4,18.95,18.005000000000003
BATTLEMOUNTAIN,30390,BIT (Bituminous Coal),242.0,52.07,21.15
VALMY,30390,BIT (Bituminous Coal),567.0,231.03,21.18
SPARKS_9,30390,NG (Natural Gas),1032.9,233.66,17.8125
PITTSBURG_10,21646,NG (Natural Gas),1403.91,468.26,13.723333333333334
SUISUNCITY,21165,NG (Natural Gas),141.0,44.51,17.37
ANTIOCH_11,21165,NG (Natural Gas),47.0,19.29,19.28
BENICIA,21165,NG (Natural Gas),98.0,44.599999999999994,17.04
MARTINEZ,21165,NG (Natural Gas),213.47999999999996,60.17,17.885
ELSOBRANTE_12,21165,NG (Natural Gas),30.4,12.95,16.83
OAKLAND,21140,BIT (Bituminous Coal),223.5,58.330000000000005,11.126666666666665
ALAMEDA,21140,NG (Natural Gas),83.3,26.53,8.73
COYOTE,23377,NG (Natural Gas),635.01,198.49,18.426666666666666
SANJOAQUIN,23377,NG (Natural Gas),432.0,115.51,17.975
MOSSLANDING,23377,NG (Natural Gas),2802.0,1120.65,17.338749999999997
LEMOORE,23230,NG (Natural Gas),186.0,49.39000000000001,6.076666666666667
FIREBAUGH,23230,NG (Natural Gas),250.20000000000002,86.38,17.892500000000002
SANJOAQUIN_13,23230,NG (Natural Gas),82.59,25.259999999999998,17.12333333333333
COALINGA,23230,NG (Natural Gas),38.4,15.82,16.45
HANFORD,23230,NG (Natural Gas),92.2,32.7,16.705
BAKERSFIELD,23230,BIT (Bituminous Coal),84.2,34.43,9.82
DELANO,23230,NG (Natural Gas),48.5,17.35,19.94
