num,num.1,DOE,Name,PNAME,PLPRMFL,PLFUELCT,NAMEPCAP
62,42,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7
63,43,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7
64,44,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7
65,45,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7
66,46,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7
68,48,ExxonMobil Santa Ynez Facility,50270,ExxonMobil Santa Ynez Facility,NG,GAS,49.3
71,51,Frito-Lay Cogen Plant,10110,Frito-Lay Cogen Plant,NG,GAS,6
72,52,Gaviota Oil Plant,50623,Gaviota Oil Plant,NG,GAS,14
73,53,Gianera,7231,Gianera,NG,GAS,64.6
74,54,Gianera,7231,Gianera,NG,GAS,64.6
75,55,"Gilroy Energy Center, LLC",55810,"Gilroy Energy Center, LLC",NG,GAS,135
76,56,"Gilroy Energy Center, LLC",55810,"Gilroy Energy Center, LLC",NG,GAS,135
79,59,H. Gonzales,56039,H. Gonzales,NG,GAS,11.8
80,60,H. Gonzales,56039,H. Gonzales,NG,GAS,11.8
81,61,High Sierra Cogeneration Plant,57977,High Sierra Cogeneration Plant,NG,GAS,6
82,62,High Sierra Limited,50495,High Sierra Limited,NG,GAS,49.8
83,63,Houweling Nurseries,58432,Houweling Nurseries,NG,GAS,13.2
84,64,Kearny,303,Kearny,NG,GAS,161.5
85,64,Kearny Mesa Storage LLC,62441,Kearny Mesa Storage LLC,MWH,OTHF,1
86,65,Kern Front Limited,50494,Kern Front Limited,NG,GAS,49.8
87,66,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4
88,66,Kern River 3,339,Kern River 3,WAT,HYDRO,40.3
89,66,Kern River Cogeneration,10496,Kern River Cogeneration,NG,GAS,300
90,66,Kern River Eastridge Cogen,52107,Kern River Eastridge Cogen,NG,GAS,48.8
91,66,Kern River Fee A Cogen,52094,Kern River Fee A Cogen,NG,GAS,7.4
92,66,Kern River Fee B Cogen,52092,Kern River Fee B Cogen,NG,GAS,3.7
93,66,Kern River Fee C Cogen,52095,Kern River Fee C Cogen,NG,GAS,7.9
94,67,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4
95,68,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4
96,69,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4
97,70,Live Oak Limited,54768,Live Oak Limited,NG,GAS,46
98,71,Lodi Energy Center,57978,Lodi Energy Center,NG,GAS,288.9
99,72,Lodi,7451,Lodi,NG,GAS,27.4
100,73,Martinez Sulfuric Acid Regeneration Plt,52063,Martinez Sulfuric Acid Regeneration Plt,WH,OTHF,4
101,74,Martinez Refining,54912,Martinez Refining,NG,GAS,100
102,75,McKittrick Cogen,52076,McKittrick Cogen,NG,GAS,21.6
103,76,McKittrick Limited,50612,McKittrick Limited,NG,GAS,46
104,77,Mid-Set Cogeneration,10501,Mid-Set Cogeneration,NG,GAS,39.1
105,78,Midway Sunset Cogen,52169,Midway Sunset Cogen,NG,GAS,234
106,79,Miramar Energy Facility,56232,Miramar Energy Facility,NG,GAS,106
107,79,Miramar,305,Miramar,NG,GAS,49
108,80,Miramar Energy Facility,56232,Miramar Energy Facility,NG,GAS,106
111,83,Moss Landing,260,Moss Landing,NG,GAS,"3,102.00"
112,84,Moss Landing,260,Moss Landing,NG,GAS,"3,102.00"
113,85,New-Indy Ontario Mill,10427,New-Indy Ontario Mill,NG,GAS,67
115,87,NTC/MCRD Energy Facility,10810,NTC/MCRD Energy Facility,NG,GAS,25.6
116,88,OLS Energy Chino,50850,OLS Energy Chino,NG,GAS,30.8
117,89,Dynegy Oakland Power Plant,6211,Dynegy Oakland Power Plant,JF,OIL,223.5
118,90,Dynegy Oakland Power Plant,6211,Dynegy Oakland Power Plant,JF,OIL,223.5
119,91,Dynegy Oakland Power Plant,6211,Dynegy Oakland Power Plant,JF,OIL,223.5
121,93,Oroville Cogeneration LP,54477,Oroville Cogeneration LP,NG,GAS,7.7
122,94,PE Berkeley,50849,PE Berkeley,NG,GAS,28.5
123,95,Phillips 66 Rodeo Refinery,50119,Phillips 66 Rodeo Refinery,OG,OFSL,54.9
124,96,SunEdison Procter & Gamble Oxnard,57008,SunEdison Procter & Gamble Oxnard,SUN,SOLAR,1
125,97,Red Bluff,56184,Red Bluff,NG,GAS,46.4
128,100,Riverside Energy Resource Center,56143,Riverside Energy Resource Center,NG,GAS,196
129,101,Riverside Energy Resource Center,56143,Riverside Energy Resource Center,NG,GAS,196
130,102,Amazon San Bernardino,59800,Amazon San Bernardino,NG,GAS,1.1
131,103,Algonquin Power Sanger,57564,Algonquin Power Sanger,NG,GAS,74
132,104,Santa Clara Cogen,7232,Santa Clara Cogen,NG,GAS,7.8
135,107,South Belridge Cogeneration Facility,50752,South Belridge Cogeneration Facility,NG,GAS,94.2
136,108,Springs Generating Station,56144,Springs Generating Station,NG,GAS,40
137,109,SRI International Cogen Project,50537,SRI International Cogen Project,NG,GAS,6
138,110,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300
139,111,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300
140,112,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300
141,113,Sycamore Cogeneration,50134,Sycamore Cogeneration,NG,GAS,300
144,116,US Borax,50115,US Borax,NG,GAS,48.2
146,118,Watson Cogeneration,50216,Watson Cogeneration,NG,GAS,499.2
148,120,Western Power & Steam Inc,54410,Western Power & Steam Inc,NG,GAS,36
149,121,Yuba City Cogen Partners,52186,Yuba City Cogen Partners,NG,GAS,49
