num,num.1,DOE,Name,PNAME,PLPRMFL,PLFUELCT,NAMEPCAP,Name_Description,netcap,typ
58,39,Elk Hills Cogen,55950,Elk Hills Cogen,NG,GAS,46.6,ELK HILLS GENERATING PROJECT (AGGREGATE),551.7,ngcc
59,39,Elk Hills Power,55400,Elk Hills Power,NG,GAS,623,ELK HILLS GENERATING PROJECT (AGGREGATE),551.7,ngcc
60,40,Ellwood,8076,Ellwood,NG,GAS,58,Ellwood Generating Station,54.0,ngct
61,41,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7,Encina GT 1,14.5,ngct
62,42,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7,Encina Unit 1,106.0,ngst
63,43,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7,Encina Unit 2,104.0,ngst
64,44,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7,Encina Unit 3,110.0,ngst
65,45,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7,Encina Unit 4,300.0,ngst
66,46,Encina Water Pollution Control,10026,Encina Water Pollution Control,OBG,BIOMASS,4.7,Encina Unit 5,330.0,ngst
68,48,ExxonMobil Santa Ynez Facility,50270,ExxonMobil Santa Ynez Facility,NG,GAS,49.3,"EXXON COMPANY, USA",48.2,ngct
71,51,Frito-Lay Cogen Plant,10110,Frito-Lay Cogen Plant,NG,GAS,6,FRITO-LAY,6.0,ngct
72,52,Gaviota Oil Plant,50623,Gaviota Oil Plant,NG,GAS,14,GAVIOTA OIL HEATING FACILITY,9.9,ngct
73,53,Gianera,7231,Gianera,NG,GAS,64.6,Gianera GT 1,24.75,ngct
74,54,Gianera,7231,Gianera,NG,GAS,64.6,Gianera GT 2,24.75,ngct
75,55,"Gilroy Energy Center, LLC",55810,"Gilroy Energy Center, LLC",NG,GAS,135,GILROY COGEN,120.0,ngcc
76,56,"Gilroy Energy Center, LLC",55810,"Gilroy Energy Center, LLC",NG,GAS,135,GILROY ENERGY CENTER UNITS 1 & 2 (AGGREGATE),95.4,ngct
79,59,H. Gonzales,56039,H. Gonzales,NG,GAS,11.8,H. GONZALES GAS TURBINE 1,5.75,ngct
80,60,H. Gonzales,56039,H. Gonzales,NG,GAS,11.8,H. GONZALES GAS TURBINE 2,5.75,ngct
81,61,High Sierra Cogeneration Plant,57977,High Sierra Cogeneration Plant,NG,GAS,6,High Sierra Cogeneration Aggregate,6.0,ngct
82,62,High Sierra Limited,50495,High Sierra Limited,NG,GAS,49.8,HIGH SIERRA LIMITED,52.43,ngct
83,63,Houweling Nurseries,58432,Houweling Nurseries,NG,GAS,13.2,"Houweling Nurseries Oxnard, Inc",13.0,ngct
84,64,Kearny,303,Kearny,NG,GAS,161.5,KEARNY KY3 (AGGREGATE),61.0,ngct
85,64,Kearny Mesa Storage LLC,62441,Kearny Mesa Storage LLC,MWH,OTHF,1,KEARNY KY3 (AGGREGATE),61.0,ngct
86,65,Kern Front Limited,50494,Kern Front Limited,NG,GAS,49.8,KERN FRONT LIMITED,52.4,ngct
87,66,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4,KERN RIVER COGENERATION UNIT 1,78.0,ngct
88,66,Kern River 3,339,Kern River 3,WAT,HYDRO,40.3,KERN RIVER COGENERATION UNIT 1,78.0,ngct
89,66,Kern River Cogeneration,10496,Kern River Cogeneration,NG,GAS,300,KERN RIVER COGENERATION UNIT 1,78.0,ngct
90,66,Kern River Eastridge Cogen,52107,Kern River Eastridge Cogen,NG,GAS,48.8,KERN RIVER COGENERATION UNIT 1,78.0,ngct
91,66,Kern River Fee A Cogen,52094,Kern River Fee A Cogen,NG,GAS,7.4,KERN RIVER COGENERATION UNIT 1,78.0,ngct
92,66,Kern River Fee B Cogen,52092,Kern River Fee B Cogen,NG,GAS,3.7,KERN RIVER COGENERATION UNIT 1,78.0,ngct
93,66,Kern River Fee C Cogen,52095,Kern River Fee C Cogen,NG,GAS,7.9,KERN RIVER COGENERATION UNIT 1,78.0,ngct
94,67,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4,KERN RIVER COGENERATION UNIT 2,78.11,ngct
95,68,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4,KERN RIVER COGENERATION UNIT 3,81.41,ngct
96,69,Kern River 1,340,Kern River 1,WAT,HYDRO,26.4,KERN RIVER COGENERATION UNIT 4,81.44,ngct
97,70,Live Oak Limited,54768,Live Oak Limited,NG,GAS,46,LIVE OAK LIMITED,47.49,ngct
98,71,Lodi Energy Center,57978,Lodi Energy Center,NG,GAS,288.9,Lodi Energy Center,302.58,ngcc
99,72,Lodi,7451,Lodi,NG,GAS,27.4,LODI GAS TURBINE,25.3,ngct
100,73,Martinez Sulfuric Acid Regeneration Plt,52063,Martinez Sulfuric Acid Regeneration Plt,WH,OTHF,4,Martinez Cogen Limited Partnership,114.8,ngcc
101,74,Martinez Refining,54912,Martinez Refining,NG,GAS,100,Martinez Refining Company (Aggregate),100.0,ngcc
102,75,McKittrick Cogen,52076,McKittrick Cogen,NG,GAS,21.6,McKittrick Cogen,11.2,ngct
