ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,AVISTA CORPORATION,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",EL PASO ELECTRIC COMPANY,PUD NO. 1 OF DOUGLAS COUNTY,SEATTLE CITY LIGHT,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,NORTHWESTERN ENERGY (NWMT),WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC SERVICE COMPANY OF COLORADO,IMPERIAL IRRIGATION DISTRICT,SALT RIVER PROJECT,PUBLIC SERVICE COMPANY OF NEW MEXICO,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",TUCSON ELECTRIC POWER COMPANY,BONNEVILLE POWER ADMINISTRATION
2.215,6.097551020408162,2.825,3.2425,2.8766666666666665,3.0900000000000003,2.94,3.2700000000000005,3.7417392102672093,3.3663878553172393,3.930640633864235,2.293551548350833,3.9373756379155695,3.9574092211335365,2.7250790875290996,2.610003041951588,15.967596043241304,5.87136901789634,4.082461168922128,4.8829405478785555,2.5671481743325733,2.1541020502941577,3.947008343626822,4.567369966990336,4.702284198590889,3.9411782710410064,2.721837782875891,3.8602897316562172
2.215,6.097551020408162,2.825,3.2425,2.8766666666666665,3.0900000000000003,2.94,3.2700000000000005,3.7417392102672093,3.3663878553172393,3.930640633864235,2.293551548350833,3.9373756379155695,3.9574092211335365,2.7250790875290996,2.610003041951588,15.967596043241304,5.87136901789634,4.082461168922128,4.8829405478785555,2.5671481743325733,2.1541020502941577,3.947008343626822,4.567369966990336,4.702284198590889,3.9411782710410064,2.721837782875891,3.8602897316562172
1.6469999999999998,5.57265306122449,2.115,2.6275,2.23,2.13,2.473333333333333,2.382222222222222,3.030857790784383,2.683882663485404,3.1996712695037353,1.643739024381657,3.1922501292090373,3.150784565712386,2.0921448809588465,1.922907742546976,15.30377216477007,5.26335687608719,3.425560514050579,4.2543211519694655,1.97610396733963,1.5088928021146866,3.172011531157583,3.9457608010641554,4.019904306361342,3.1914461451501364,2.0998264815253127,3.1520021527155477
1.5239999999999998,5.593673469387754,2.21,2.37,2.2433333333333336,2.26,2.2000000000000006,2.365555555555556,2.997095512289616,2.641406009168109,3.1536266069304393,1.585179208546405,3.148843026542388,3.1120889484279384,2.019945022957557,1.8878414950366522,15.262734315045176,5.220237879160052,3.3815087245732083,4.185858476365137,1.8722437465812805,1.4493806419455364,3.130484262437031,3.908106194003776,3.9809748976825916,3.132767064831334,2.0215648576499006,3.1435254663811936
1.5260000000000002,5.619591836734693,2.21,2.3725,2.2433333333333336,2.26,2.2000000000000006,2.365555555555556,2.999134894342737,2.6463996454982217,3.155255248255515,1.589065953094899,3.1504266643936654,3.112850137613324,2.0249235787427833,1.8905135253118248,15.265708078777626,5.232073690279853,3.3845778706473104,4.191396866862196,1.875134098814638,1.4530494644603684,3.131648251440647,3.9192964129695604,3.9838184835110115,3.133908091461343,2.025996356121778,3.1453582353128584
1.5260000000000002,5.619591836734693,2.21,2.3725,2.2433333333333336,2.26,2.2000000000000006,2.365555555555556,2.999134894342737,2.6463996454982217,3.155255248255515,1.589065953094899,3.1504266643936654,3.112850137613324,2.0249235787427833,1.8905135253118248,15.265708078777626,5.232073690279853,3.3845778706473104,4.191396866862196,1.875134098814638,1.4530494644603684,3.131648251440647,3.9192964129695604,3.9838184835110115,3.133908091461343,2.025996356121778,3.1453582353128584
1.69,5.715102040816326,2.515,2.7275,2.6700000000000004,2.535,2.4133333333333336,2.6377777777777776,3.271912619337681,2.90107124980519,3.4218537690423245,1.8504948709841391,3.4178392649602882,3.379834497343687,2.2807072661022545,2.1719938123251765,15.561139600848746,5.44155017124748,3.680238120911917,4.428927429237779,2.0686856247502363,1.7186065908942791,3.3985994427791026,4.132356808115759,4.2650709956459,3.3959100095583876,2.262253503932461,3.4243995382972625
1.707,5.51265306122449,2.76,2.9275,2.81,2.795,2.7300000000000004,2.9744444444444444,3.4954253892601934,3.059436191827477,3.670525407523755,1.9820731051578273,3.6713884486044726,3.676886633195445,2.3875916212896775,2.361666132638387,15.717854228910209,5.464626668375766,3.826819751288249,4.521192759026801,2.1168447513812425,1.8451044003361252,3.674086537516368,4.17484532452931,4.4475011934584145,3.6718469129322027,2.351993497600219,3.644533122134306
1.6989999999999998,5.227142857142857,3.140000000000001,2.9775,2.8866666666666667,3.1700000000000004,3.023333333333333,3.6133333333333337,3.796236307132964,3.237291706393492,4.0275029424780975,2.1151135571010453,4.0504598501193545,4.180802969051566,2.472694616590378,2.5926106072932535,15.878546931570119,5.4495052071878956,3.968748949723066,4.597923441825628,2.144392556282725,1.9667101903939055,4.114707315122311,4.191611567388517,4.664159309778542,4.092284348224294,2.423193552295967,3.937739721343414
1.7129999999999996,5.413469387755102,3.155,2.8549999999999995,2.7366666666666664,3.16,3.036666666666666,3.8,3.827845632264875,3.2594241086060354,4.084715550972976,2.1167518593369827,4.120149631155419,4.30618009422472,2.47154562963021,2.600285622780021,15.858341293530055,5.509908915271284,3.943752135609639,4.612506875162643,2.15486989103169,1.9605527421761084,4.211486160778893,4.252620076903558,4.669216065246042,4.178329747775235,2.428072765055982,3.955212918751953
