,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,AVISTA CORPORATION,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",EL PASO ELECTRIC COMPANY,PUD NO. 1 OF DOUGLAS COUNTY,SEATTLE CITY LIGHT,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,NORTHWESTERN ENERGY (NWMT),WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC SERVICE COMPANY OF COLORADO,IMPERIAL IRRIGATION DISTRICT,SALT RIVER PROJECT,PUBLIC SERVICE COMPANY OF NEW MEXICO,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",TUCSON ELECTRIC POWER COMPANY,BONNEVILLE POWER ADMINISTRATION
2021-01-01,2.9081818181818186,5.034200000000001,2.89,3.105,3.003333333333334,2.4949999999999997,2.9066666666666667,3.086666666666666,3.045834558430882,3.244638721802373,3.037746329695418,3.1784427556594563,3.054531456152107,3.062489437352112,3.2662262003111873,3.0968804554806906,3.1317093881266542,3.847370335384105,3.1395512219220363,3.3008706256719886,3.0180280095067844,3.1620931940197496,3.0559107078701966,3.7884036542259993,3.1115759777826204,3.037759802192353,3.198880332494532,3.0066379336440465
2021-01-02,2.9063636363636367,5.043599999999999,2.885,3.1025,3.003333333333334,2.485,2.9066666666666663,3.0777777777777784,3.0418539441486803,3.24242966999942,3.033082959705745,3.1766801501096085,3.0495387097974467,3.055731154055943,3.2651554458502634,3.093888296042832,3.1297522175880905,3.849454590013328,3.137838762724172,3.299985123843959,3.0163942842493627,3.160428474098662,3.050048943605526,3.789939489452274,3.1087971068055587,3.032412396090697,3.197652937215832,3.0026087144843348
2021-01-03,2.9063636363636367,5.043599999999999,2.885,3.1025,3.003333333333334,2.485,2.9066666666666663,3.0777777777777784,3.0418539441486803,3.24242966999942,3.033082959705745,3.1766801501096085,3.0495387097974467,3.055731154055943,3.2651554458502634,3.093888296042832,3.1297522175880905,3.849454590013328,3.137838762724172,3.299985123843959,3.0163942842493627,3.160428474098662,3.050048943605526,3.789939489452274,3.1087971068055587,3.032412396090697,3.197652937215832,3.0026087144843348
2021-01-04,2.9063636363636367,5.043599999999999,2.885,3.1025,3.003333333333334,2.485,2.9066666666666663,3.0777777777777784,3.0418539441486803,3.24242966999942,3.033082959705745,3.1766801501096085,3.0495387097974467,3.055731154055943,3.2651554458502634,3.093888296042832,3.1297522175880905,3.849454590013328,3.137838762724172,3.299985123843959,3.0163942842493627,3.160428474098662,3.050048943605526,3.789939489452274,3.1087971068055587,3.032412396090697,3.197652937215832,3.0026087144843348
2021-01-05,2.7518181818181824,4.7524000000000015,2.625,2.8075,2.746666666666666,2.545,2.6466666666666665,2.7999999999999994,2.825370537903341,3.041113677852276,2.8121261240553808,2.9607820376009806,2.821276481762979,2.8045959524106787,3.0424401330118225,2.8724599809864713,2.903655907584428,3.6018401968031033,2.911684544245236,3.0839522580722494,2.8408913272373106,2.944153881219703,2.81123975878017,3.5493724478873756,2.8872750141999783,2.7982745588173428,2.989542614521681,2.790348500115858
2021-01-06,2.820909090909091,4.746999999999999,2.6100000000000003,2.8575,2.75,2.5999999999999996,2.61,2.763333333333333,2.8247381881754645,3.053287547661972,2.80483385873036,2.9802383699954573,2.8114988654692183,2.7810446835616522,3.0667749660590573,2.878369412116002,2.915603527805681,3.6135057816499816,2.925888640943593,3.1091937186438816,2.894692817152107,2.965492428503926,2.7947088779729086,3.5589881382746635,2.8945802837851997,2.7820511069296883,3.0215638068438775,2.791729028447056
2021-01-07,2.89,4.5994,2.6799999999999997,2.8925,2.786666666666667,2.705,2.68,2.8588888888888895,2.884729954786153,3.087050291351506,2.872054887306169,3.0191644120044923,2.880216880402595,2.8632374785391557,3.0952916143359195,2.928072745676562,2.9569035466180584,3.5844121764125005,2.965500878157905,3.135705508741587,2.951508496867036,3.005037973050407,2.87022935131432,3.5365920616340363,2.94225724228994,2.8566300122326678,3.058090826164549,2.8518691730355763
2021-01-08,2.9745454545454546,4.522200000000001,2.7649999999999997,2.9575000000000005,2.8699999999999997,2.7600000000000002,2.7533333333333334,2.9466666666666668,2.9513805865765566,3.1335689524109154,2.9414454822231235,3.0781935434136924,2.950987725749893,2.942094643933747,3.148230893112509,2.9918919937520894,3.0202075952836482,3.5930763729195228,3.028788433633467,3.185829650263216,3.0261856089209744,3.0660325193319102,2.944958717429002,3.5480747890522943,3.0052160414718143,2.930147386926238,3.116888266173647,2.9195129017799104
2021-01-09,3.002727272727273,4.2004,2.74,2.895,2.7933333333333334,2.785,2.733333333333333,2.9466666666666668,2.914957728392695,3.064022781084416,2.913119960779627,3.023231102426255,2.923840254011862,2.928890688862651,3.0807889019762413,2.943329377897447,2.9618988072844044,3.4392453826148275,2.9693899913522026,3.118034809358124,3.0243366844361974,3.012897056740322,2.92491925678051,3.4019853016869392,2.9544516660842217,2.909756523657855,3.067955643136556,2.883603778418798
2021-01-10,3.002727272727273,4.2004,2.74,2.895,2.7933333333333334,2.785,2.733333333333333,2.9466666666666668,2.914957728392695,3.064022781084416,2.913119960779627,3.023231102426255,2.923840254011862,2.928890688862651,3.0807889019762413,2.943329377897447,2.9618988072844044,3.4392453826148275,2.9693899913522026,3.118034809358124,3.0243366844361974,3.012897056740322,2.92491925678051,3.4019853016869392,2.9544516660842217,2.909756523657855,3.067955643136556,2.883603778418798
2021-01-11,3.002727272727273,4.2004,2.74,2.895,2.7933333333333334,2.785,2.733333333333333,2.9466666666666668,2.914957728392695,3.064022781084416,2.913119960779627,3.023231102426255,2.923840254011862,2.928890688862651,3.0807889019762413,2.943329377897447,2.9618988072844044,3.4392453826148275,2.9693899913522026,3.118034809358124,3.0243366844361974,3.012897056740322,2.92491925678051,3.4019853016869392,2.9544516660842217,2.909756523657855,3.067955643136556,2.883603778418798
2021-01-12,2.9654545454545453,4.590200000000001,2.635,2.8375000000000004,2.7633333333333336,2.455,2.6199999999999997,2.7922222222222217,2.8123145528134317,3.011871486138329,2.7957169141989726,2.985950388538599,2.80679398306025,2.791806281890095,3.06914471142429,2.868287514147798,2.912246253211368,3.5504703937333177,2.926320765021597,3.115043679930679,2.993195847944368,2.9770160367829632,2.7972340775857547,3.492811898678145,2.8850767399484463,2.7813682425613813,3.0509688063886857,2.7781010064748344
2021-01-13,3.027272727272728,4.790999999999999,2.745,2.9524999999999997,2.866666666666666,2.62,2.7399999999999998,2.9188888888888886,2.938819553429898,3.148375201300053,2.923636152757194,3.102788977076281,2.9343561090475783,2.9192200063393905,3.1870847527379693,2.9918643015526816,3.0310988741794147,3.700670065921258,3.043321250237917,3.232955621412214,3.0733162840609176,3.090926120101356,2.924826642949191,3.6440693865965974,3.008258893508486,2.909258729978518,3.158527841369372,2.9032823857336503
2021-01-14,2.9690909090909092,4.474799999999998,2.6999999999999997,2.8825,2.776666666666667,2.575,2.7066666666666666,2.884444444444444,2.8732902904547615,3.050863167107514,2.8650103135849756,3.013477812113721,2.876642032538544,2.8738089613696314,3.0868262587059023,2.915597062442558,2.94557171684718,3.530446425356306,2.9558438345195124,3.128778643124233,3.002232894275323,3.0025692339106276,2.873375087423806,3.4810459582644073,2.929556300875273,2.858349625065211,3.066137365895398,2.8391365811109734
2021-01-15,2.8781818181818184,4.395999999999999,2.6550000000000002,2.835,2.7533333333333334,2.54,2.646666666666667,2.825555555555555,2.821593393394003,2.9969665113844437,2.811607141692959,2.9558646782096094,2.8225292358721097,2.817145376737291,3.027241167377464,2.8647289304809065,2.896163366794231,3.4669293934229155,2.9059247136976065,3.065528060039842,2.921618240944131,2.9451539040850645,2.818036547522383,3.4191144677277183,2.878376307152418,2.8029763880438088,3.00040598073123,2.789586744874624
2021-01-16,2.9009090909090913,4.2878,2.665,2.865,2.776666666666666,2.54,2.66,2.8322222222222226,2.825585457197574,2.989407862658507,2.8160077764456846,2.958410266239161,2.826914067913209,2.8227801000366854,3.0268959953344337,2.8686665355214664,2.9018963872674393,3.4304218715962937,2.9121257525690574,3.0618630083106186,2.9368251383526864,2.9495927597931506,2.823058458986006,3.3842314683897503,2.8821174339833853,2.8082926115760234,3.0038553404799955,2.7941605968231387
2021-01-17,2.9009090909090913,4.2878,2.665,2.865,2.776666666666666,2.54,2.66,2.8322222222222226,2.825585457197574,2.989407862658507,2.8160077764456846,2.958410266239161,2.826914067913209,2.8227801000366854,3.0268959953344337,2.8686665355214664,2.9018963872674393,3.4304218715962937,2.9121257525690574,3.0618630083106186,2.9368251383526864,2.9495927597931506,2.823058458986006,3.3842314683897503,2.8821174339833853,2.8082926115760234,3.0038553404799955,2.7941605968231387
2021-01-18,2.9009090909090913,4.2878,2.665,2.865,2.776666666666666,2.54,2.66,2.8322222222222226,2.825585457197574,2.989407862658507,2.8160077764456846,2.958410266239161,2.826914067913209,2.8227801000366854,3.0268959953344337,2.8686665355214664,2.9018963872674393,3.4304218715962937,2.9121257525690574,3.0618630083106186,2.9368251383526864,2.9495927597931506,2.823058458986006,3.3842314683897503,2.8821174339833853,2.8082926115760234,3.0038553404799955,2.7941605968231387
2021-01-19,2.898181818181818,4.289399999999999,2.665,2.865,2.776666666666666,2.545,2.6633333333333336,2.841111111111111,2.8286020276982837,2.9917381734467616,2.8201855760100676,2.959430209037734,2.8315068608811558,2.8294848772963253,3.027514492216423,2.8707322360040513,2.9031798663371737,3.431774737454581,2.913179535260368,3.062449509682863,2.9352413751520032,2.950357355661373,2.8286922704249915,3.385911847763836,2.884098200132382,2.813646948747955,3.003895502800914,2.7963600632198022
2021-01-20,2.722727272727272,4.2372000000000005,2.545,2.7225,2.6166666666666667,2.415,2.5433333333333334,2.7377777777777776,2.707051725052028,2.8729639485421616,2.701928563148684,2.8260219293124966,2.714569280953615,2.719206355791939,2.8947823705937465,2.74448761711442,2.769629246698531,3.3293398611695766,2.7775096378446795,2.9308886456539978,2.7738036815275793,2.8139515021307826,2.7150224991706176,3.28388568865035,2.7569163373811305,2.699035756792491,2.863475770371656,2.6738217448291963
2021-01-21,2.6654545454545455,4.042800000000001,2.485,2.5975,2.5533333333333332,2.365,2.486666666666667,2.6822222222222223,2.635215332245834,2.7829459443554776,2.633803264025427,2.743062404990367,2.646858753277221,2.657924627336418,2.8031236379409736,2.6672854520641245,2.6897756585874966,3.201657011090412,2.6972061328966848,2.8393455267549617,2.7063755195553854,2.732155977883616,2.6505984961909945,3.1603618456379725,2.6786645460123215,2.634888150775905,2.7791958043211613,2.602751889330812
2021-01-22,2.6554545454545457,4.104999999999999,2.54,2.6675,2.603333333333333,2.45,2.533333333333333,2.7288888888888883,2.6897500362373075,2.840748277141113,2.687348964221427,2.7868346092142087,2.699409546020955,2.707645701114408,2.846861077251432,2.720377356694421,2.7397303775618336,3.2569053406939554,2.745447207780708,2.8796732473498574,2.7137463062521547,2.7742397985925393,2.701847522349616,3.217449917414091,2.7310280761816514,2.686518713899988,2.8123925720095926,2.659124715982577
