,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",IMPERIAL IRRIGATION DISTRICT,PUD NO. 1 OF DOUGLAS COUNTY,PUBLIC SERVICE COMPANY OF COLORADO,BONNEVILLE POWER ADMINISTRATION,NORTHWESTERN ENERGY (NWMT),SALT RIVER PROJECT,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,EL PASO ELECTRIC COMPANY,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,PUBLIC SERVICE COMPANY OF NEW MEXICO,AVISTA CORPORATION,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,TUCSON ELECTRIC POWER COMPANY,SEATTLE CITY LIGHT,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
2019-01-01,3.29,6.290434782608696,3.8600000000000003,4.0625,3.8000000000000003,3.9400000000000004,3.8166666666666664,4.154444444444445,4.079713125103911,4.168079480681475,4.091829580425142,4.04313245616584,4.034282793518744,4.080872806167459,3.5635148348061456,4.904530678022166,4.101591766588202,4.066936935964045,4.3048779785828515,4.025591671522003,4.070019604798511,4.147420879494611,4.868139814328098,4.086315028283746,3.98641925223171,4.114781164658444,4.076455941341397,4.056853814667742
2019-01-02,3.29,6.290434782608696,3.8600000000000003,4.0625,3.8000000000000003,3.9400000000000004,3.8166666666666664,4.154444444444445,4.079713125103911,4.168079480681475,4.091829580425142,4.04313245616584,4.034282793518744,4.080872806167459,3.5635148348061456,4.904530678022166,4.101591766588202,4.066936935964045,4.3048779785828515,4.025591671522003,4.070019604798511,4.147420879494611,4.868139814328098,4.086315028283746,3.98641925223171,4.114781164658444,4.076455941341397,4.056853814667742
2019-01-03,3.472,7.333478260869565,3.75,4.455,4.193333333333333,3.745,3.7600000000000002,3.8911111111111114,3.9921749482084197,4.463752999869955,4.0516657007980115,4.282253284033793,4.0578281227842705,4.203184477608253,3.774746639740162,5.431508610322239,4.00533906222463,4.293117254689146,4.502759000696781,4.2618764399000835,4.100853869593426,4.442752646288703,5.349300047986889,4.227990167160542,4.2544513515010385,3.962941827513786,4.049983184548229,4.27447958284459
2019-01-04,3.467,6.533478260869563,3.8149999999999995,4.325,4.116666666666667,3.7300000000000004,3.763333333333333,4.011111111111111,4.0128247809740145,4.304168580504378,4.050524015820203,4.181159016657789,4.028100346614115,4.13459591201655,3.7259330165648685,5.066103728816682,4.033317688871624,4.181836570756669,4.354520521210103,4.154824139199213,4.066046395400193,4.29276692513169,5.005401721168749,4.151387384982473,4.1329279746487675,4.020592578212863,4.0399734290313765,4.17896733171209
2019-01-05,2.739,5.81978260869565,3.2749999999999995,3.5875000000000004,3.3533333333333335,3.3449999999999998,3.2699999999999996,3.4966666666666666,3.4831085138199187,3.6420311865439814,3.5054349451725715,3.525381338917134,3.4714284099191888,3.535885136848021,3.0210238582395625,4.398683906802612,3.4985176430186593,3.536746647314649,3.7652797297308913,3.4991988040588384,3.505072963655768,3.626733572334352,4.356076069203328,3.544959871863322,3.458335791602712,3.4944745692290105,3.4964134136002865,3.534670280501018
2019-01-06,2.739,5.81978260869565,3.2749999999999995,3.5875000000000004,3.3533333333333335,3.3449999999999998,3.2699999999999996,3.4966666666666666,3.4831085138199187,3.6420311865439814,3.5054349451725715,3.525381338917134,3.4714284099191888,3.535885136848021,3.0210238582395625,4.398683906802612,3.4985176430186593,3.536746647314649,3.7652797297308913,3.4991988040588384,3.505072963655768,3.626733572334352,4.356076069203328,3.544959871863322,3.458335791602712,3.4944745692290105,3.4964134136002865,3.534670280501018
2019-01-07,2.739,5.81978260869565,3.2749999999999995,3.5875000000000004,3.3533333333333335,3.3449999999999998,3.2699999999999996,3.4966666666666666,3.4831085138199187,3.6420311865439814,3.5054349451725715,3.525381338917134,3.4714284099191888,3.535885136848021,3.0210238582395625,4.398683906802612,3.4985176430186593,3.536746647314649,3.7652797297308913,3.4991988040588384,3.505072963655768,3.626733572334352,4.356076069203328,3.544959871863322,3.458335791602712,3.4944745692290105,3.4964134136002865,3.534670280501018
2019-01-08,2.793,5.393913043478261,3.1450000000000005,3.5475000000000003,3.2566666666666664,3.2700000000000005,3.1733333333333333,3.3633333333333333,3.3632027125766166,3.5357376250129686,3.3852910039843875,3.42134311946689,3.353698053197367,3.420582047234072,3.0233484844109517,4.180207077872482,3.3758525526043948,3.4373971469647824,3.626961830166898,3.406595027846719,3.3877002711260724,3.522758652329567,4.140051908862979,3.4306131829759146,3.3829061000399756,3.368826969728172,3.3782936313896994,3.426788557448037
2019-01-09,2.7479999999999998,5.295434782608695,3.1049999999999995,3.465,3.22,3.1750000000000003,3.1133333333333333,3.282222222222222,3.289943436460395,3.470365210902911,3.313661084206122,3.361668908132032,3.290855171474941,3.3564179546437853,2.972036737358676,4.101091948112892,3.3018564542257973,3.374279745166448,3.5532813183195264,3.345291062883699,3.320676725532517,3.457632098047323,4.060582321612422,3.3663830473068037,3.3217781924225926,3.292466360408312,3.3076396401496426,3.366207522195291
2019-01-10,2.7019999999999995,4.9104347826086965,2.965,3.27,3.0433333333333334,2.9699999999999998,2.94,3.1366666666666667,3.1227372033672385,3.2947359098687645,3.1435538875325095,3.185582677405557,3.117841125426572,3.1783504088517587,2.8837189908704777,3.8455557674528023,3.1371685188721994,3.2036726470286716,3.348347065209456,3.1791636527897604,3.145407532920989,3.2796581058389123,3.8066353441412315,3.1876150900942957,3.169100950771917,3.133603234885479,3.1351966680442613,3.1882012209735966
2019-01-11,2.645,5.095217391304348,2.925,3.2425,3.026666666666667,2.96,2.9200000000000004,3.108888888888889,3.1053207491964896,3.2983451503247654,3.1283409767515664,3.1778538641611793,3.1018399162322248,3.1688321214961714,2.8451408600193675,3.9089313276357736,3.118993991098383,3.197671544850647,3.359557045717525,3.1705641174493953,3.1324933305092526,3.280236672342067,3.866534216987924,3.179304313192408,3.1591967494800572,3.1124203236633012,3.1206518831306953,3.180555893335443
2019-01-12,2.553,4.643913043478259,3.04,3.3825000000000003,3.0999999999999996,3.095,3.0400000000000005,3.2722222222222226,3.2188058840049485,3.256352187570389,3.2272987467521754,3.2060825824067516,3.183200333169116,3.2248424437958607,2.7776066180510766,3.7632796860094713,3.234258498971747,3.200600648384892,3.3719057876788048,3.1728720953948524,3.2118057850860104,3.2600319716500854,3.7393590239801515,3.229190600340256,3.123543969499086,3.2437664465534133,3.2161034647742746,3.2162732150426665
2019-01-13,2.553,4.643913043478259,3.04,3.3825000000000003,3.0999999999999996,3.095,3.0400000000000005,3.2722222222222226,3.2188058840049485,3.256352187570389,3.2272987467521754,3.2060825824067516,3.183200333169116,3.2248424437958607,2.7776066180510766,3.7632796860094713,3.234258498971747,3.200600648384892,3.3719057876788048,3.1728720953948524,3.2118057850860104,3.2600319716500854,3.7393590239801515,3.229190600340256,3.123543969499086,3.2437664465534133,3.2161034647742746,3.2162732150426665
