region_name,tech_id,tech_name,plant_id,unit_size_mw,xcoord,ycoord,index,buffer_in_km,sited_year,retirement_year,lmp_zone,locational_marginal_price_usd_per_mwh,generation_mwh_per_year,operating_cost_usd_per_year,net_operational_value_usd_per_year,interconnection_cost_usd_per_year,net_locational_cost_usd_per_year,capacity_factor_fraction,carbon_capture_rate_fraction,fuel_co2_content_tons_per_btu,fuel_price_usd_per_mmbtu,fuel_price_esc_rate_fraction,heat_rate_btu_per_kWh,lifetime_yrs,operational_life_yrs,variable_om_usd_per_mwh,variable_om_esc_rate_fraction,carbon_tax_usd_per_ton,carbon_tax_esc_rate_fraction,interconnect
california,35,cerf_wind_onshore_hubheight080m,95722972020,4.0,-1914115.228,-63065.8293000001,9572297,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,0.0,-691456.1238871297,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,97142982020,4.0,-1873115.228,-89065.8293000001,9714298,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,0.0,-691456.1238871297,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,74862922020,4.0,-2199115.228,318934.1706999999,7486292,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,44104.87298442752,-647778.7845409302,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,90260672020,4.0,-2144115.228,36934.1706999999,9026067,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,44104.87298442752,-647368.765182332,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,98234432020,4.0,-1928115.228,-109065.8293000001,9823443,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,44104.87298442752,-647351.2509027022,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,76336632020,4.0,-2248115.228,291934.1706999999,7633663,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,51455.68514849877,-640427.9723768589,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,91245912020,4.0,-1900115.228,18934.1706999999,9124591,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,51455.68514849877,-640000.438738631,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95559182020,4.0,-1913115.228,-60065.8293000001,9555918,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,51455.68514849877,-640000.438738631,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,90206372020,4.0,-2114115.228,37934.1706999999,9020637,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,62373.71373155012,-629099.9244352094,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,98125222020,4.0,-1929115.228,-107065.8293000001,9812522,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,62373.71373155012,-629082.4101555796,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,76063612020,4.0,-2250115.228,296934.1706999999,7606361,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,72769.33268680847,-619114.3248385492,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,72241752020,4.0,-2236115.228,366934.1706999999,7224175,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,72769.33268680847,-619114.3248385492,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,90479382020,4.0,-2113115.228,32934.1706999999,9047938,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,72769.33268680847,-618704.3054799511,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,73278902020,4.0,-2261115.228,347934.1706999999,7327890,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,88209.74596885503,-603673.9115565027,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,73388082020,4.0,-2263115.228,345934.1706999999,7338808,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,88209.74596885503,-603673.9115565027,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,72296292020,4.0,-2242115.228,365934.1706999999,7229629,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,88209.74596885503,-603673.9115565027,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,86055932020,4.0,-2198115.228,113934.1706999999,8605593,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,88209.74596885503,-603263.8921979045,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,85837532020,4.0,-2198115.228,117934.1706999999,8583753,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,88209.74596885503,-603263.8921979045,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,90206092020,4.0,-2142115.228,37934.1706999999,9020609,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,88209.74596885503,-603263.8921979045,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,90206052020,4.0,-2146115.228,37934.1706999999,9020605,1,2020,2050,261331,60.21866356326424,11482.71312,0.0,691473.6381667595,88209.74596885503,-603263.8921979045,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,97143002020,4.0,-1871115.228,-89065.8293000001,9714300,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95395142020,4.0,-1937115.228,-57065.8293000001,9539514,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,97142962020,4.0,-1875115.228,-89065.8293000001,9714296,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,89116242020,4.0,-1927115.228,57934.1706999999,8911624,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95067452020,4.0,-1946115.228,-51065.8293000001,9506745,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95722952020,4.0,-1916115.228,-63065.8293000001,9572295,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95832172020,4.0,-1914115.228,-65065.8293000001,9583217,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95285852020,4.0,-1946115.228,-55065.8293000001,9528585,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95176632020,4.0,-1948115.228,-53065.8293000001,9517663,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95285962020,4.0,-1935115.228,-55065.8293000001,9528596,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,95176672020,4.0,-1944115.228,-53065.8293000001,9517667,1,2020,2050,280991,60.21713828962491,11482.71312,0.0,691456.1238871297,88209.74596885503,-603246.3779182747,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,77155742020,4.0,-2237115.228,276934.1706999999,7715574,1,2020,2050,230171,60.19697971778167,11482.71312,0.0,691224.6487897448,88209.74596885503,-603014.9028208898,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,77046522020,4.0,-2239115.228,278934.1706999999,7704652,1,2020,2050,230171,60.19697971778167,11482.71312,0.0,691224.6487897448,88209.74596885503,-603014.9028208898,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
california,35,cerf_wind_onshore_hubheight080m,74862942020,4.0,-2197115.228,318934.1706999999,7486294,1,2020,2050,211211,60.25437109634576,11482.71312,0.0,691883.6575253577,98621.49558015502,-593262.1619452026,0.327703,0.0,0.0,0.0,0.0,3412.0,30.0,30.0,0.0,0.0,0.0,0.0,wecc
