Name,Latitude,Longitude
OKGEIODINE4LD2,36.143,-99.244
WFECVICILD2,36.142,-99.244
OKGEWDWRD1LD2,36.311,-99.368
OKGEWDWRDEHVUKEENAN_WIND,36.312,-99.373
OKGEKEENANWIND,36.275,-99.491
OKGECEDAR5LD2,36.375,-99.371
OKGESPIRITWIND,36.334,-99.48
OKGE_SEILING,36.122,-98.992
OKGECEDAVLD2,36.426,-99.392
WFEC_MOORELAND_2,36.436,-99.226
GAGE AIRPORT,36.504,-99.767
