EIA_ID,plant,state,bal_auth,Latitude,Longitude,bus
905,Alamo,CA,CISO,34.8158,-118.6867,26085
917,Quincy Chute,WA,GCPD,46.982514,-119.257764,10901
2181,Black Eagle,MT,NWMT,47.521331,-111.261442,77200
2182,Cochrane,MT,NWMT,47.5375,-111.194969,77267
2186,Holter,MT,NWMT,46.9915,-112.0047,77270
2188,Séliš Ksanka QÍispé,MT,NWMT,47.6777,-114.2339,77236
2191,Morony,MT,NWMT,47.581737,-111.060898,77294
2194,Ryan,MT,NWMT,47.569939,-111.122546,77291
2195,Thompson Falls,MT,NWMT,47.593155,-115.358237,77252
2199,Noxon Rapids,MT,AVA,47.96048,-115.73361,77274
2204,Yellowtail,MT,WAUW,45.307406,-107.957515,77216
3013,Hells Canyon,OR,IPCO,45.2439,-116.7008,13597
3014,Oxbow,OR,IPCO,44.971643,-116.835042,13543
3020,Clearwater 1,OR,PACW,43.251244,-122.337924,13603
3021,Clearwater 2,OR,PACW,43.266894,-122.409807,13659
3024,Eagle Point,OR,PACW,42.514575,-122.757062,13632
3025,East Side,OR,PACW,42.224847,-121.795496,13522
3026,Fish Creek,OR,PACW,43.274221,-122.448978,13600
3028,John C Boyle,OR,PACW,42.093611,-122.0703,13460
3029,Lemolo 1,OR,PACW,43.3558,-122.2494,13633
3032,Prospect 1,OR,PACW,42.730717,-122.515122,13612
3033,Prospect 2,OR,PACW,42.731237,-122.513974,13612
3034,Prospect 3,OR,PACW,42.730606,-122.41846,13612
3035,Prospect 4,OR,PACW,42.733073,-122.515079,13612
3036,Slide Creek,OR,PACW,43.2939,-122.4728,13600
3037,Soda Springs,OR,PACW,43.3061,-122.5014,13600
3040,Toketee,OR,PACW,43.272729,-122.447498,13680
3045,Faraday,OR,PGE,45.268045,-122.32009,13593
3047,North Fork,OR,PGE,45.243287,-122.27995,13593
3048,Pelton,OR,PGE,44.694374,-121.231379,13663
3049,River Mill,OR,PGE,45.299991,-122.350023,13593
3050,Round Butte,OR,PGE,44.605837,-121.277334,13526
3053,Sullivan,OR,PGE,45.354004,-122.618954,11050
3067,Carmen Smith,OR,BPAT,44.285977,-122.041352,13454
3068,Leaburg,OR,BPAT,44.1011,-122.6892,13586
3071,Walterville,OR,BPAT,44.069636,-122.835046,13563
3646,Cutler,UT,PACE,41.834702,-112.052114,50379
3847,Merwin,WA,PACW,45.9567,-122.554444,10955
3850,Swift 1,WA,PACW,46.060833,-122.201667,10742
3852,Yale,WA,PACW,45.96277,-122.335467,10813
3854,Electron,WA,PSEI,46.990967,-122.174921,10836
