ORISPL,PNAME,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
60814,7-Mile Ridge Wind Project,,,,,,,,
54452,Agrium Kenai Nitrogen Operations,,,,,,,,
57053,Alakanuk,,,,,,,,
58982,Allison Creek Hydro,,,,,,,,
60243,Ambler,20,2,996,16,33.602,2.933,"1,651.948",0.013
75,Anchorage 1,62,1,"22,650",87,4.284,0.044,"1,565.501",0.003
7462,Angoon,28,3,"1,433",23,34.109,3.078,"1,733.445",0.014
7182,Aniak,46,4,"2,225",36,42.466,3.634,"2,046.756",0.017
62,Annex Creek,,,,,,,,
7250,Auke Bay,2,1,259,4,0.000,0.000,0.000,0.000
79,Aurora Energy LLC Chena,272,"1,023","173,611","5,726",3.062,11.507,"1,952.669",0.032
7173,Barrow,121,1,"44,307",167,5.027,0.050,"1,836.464",0.003
57583,Battery Energy Storage System,,,,,0.000,0.000,0.000,0.000
6580,Beaver Falls,,,,,,,,
96,Beluga,113,1,"41,267",156,5.972,0.060,"2,181.570",0.004
6292,Bernice Lake,4,0,"1,385",5,19.071,0.191,"6,994.432",0.013
6566,Bethel,659,57,"32,382",525,32.497,2.836,"1,597.456",0.013
7752,Black Bear Lake,,,,,,,,
93,Blue Lake Hydro,,,,,,,,
7367,Bradley Lake,,,,,,,,
60260,Brevig Mission,19,2,923,15,32.324,2.821,"1,588.981",0.013
7112,Centennial,102,9,"5,200",84,36.684,3.310,"1,864.367",0.015
7168,Chester Lake,,,,,,,,
6311,Chevak,31,3,"1,533",25,36.188,3.158,"1,778.773",0.014
6291,Cooper Lake,,,,,,,,
421,Craig (AK),39,4,"1,981",32,33.042,2.995,"1,686.588",0.014
56325,Delta Power,0,0,0,0,0.000,0.000,0.000,0.000
58511,Delta Wind Farm,,,,,,,,
109,Dillingham,294,27,"14,999",243,30.899,2.803,"1,578.472",0.013
7502,Dutch Harbor,793,72,"40,319",653,29.174,2.634,"1,483.298",0.012
50392,Eielson AFB Central Heat & Power Plant,52,237,"40,256","1,327",1.530,7.000,"1,188.374",0.020
58989,Eklutna Generation Station,"7,397",9,"311,750","1,176",24.064,0.028,"1,014.167",0.002
77,Eklutna Hydro Project,,,,,,,,
57060,Elim,0,0,967,16,0.000,0.000,"1,469.371",0.012
6314,Emmonak,84,7,"4,112",67,31.290,2.731,"1,538.140",0.012
58405,ESS Battery Microgrid,,,,,0.000,0.000,0.000,0.000
57935,Eva Creek Wind,,,,,,,,
62714,Eyak Service Center BESS,,,,,,,,
6286,Fairbanks,42,23,"7,442",121,21.632,11.717,"3,789.972",0.031
56146,False Island,24,2,"1,243",20,30.924,2.803,"1,578.401",0.013
58425,Fire Island Wind,,,,,,,,
60563,Flywheel Energy Storage System Microgrid,,,,,0.000,0.000,0.000,0.000
54834,Fort Greely Power Plant,1,0,50,1,28.399,2.558,"1,441.276",0.012
7437,Galena Electric Utility,94,9,"5,020",81,33.847,3.212,"1,809.090",0.015
57062,Gambell,0,0,"1,190",19,0.000,0.000,"1,655.170",0.013
6559,George M Sullivan Generation Plant 2,"1,132",11,"413,587","1,560",2.685,0.027,980.845,0.002
6305,Glennallen,155,14,"7,854",127,32.013,2.887,"1,625.803",0.013
7751,Goat Lake Hydro,,,,,,,,
63,Gold Creek,0,0,8,0,0.077,0.007,3.821,0.000
313,Green Lake,,,,,,,,
7174,Gwitchyaa Zhee,47,4,"2,386",39,39.153,3.533,"1,989.808",0.016
69,Haines,24,2,"1,234",20,42.941,3.892,"2,191.696",0.018
6288,Healy,341,152,"399,161","13,183",2.601,1.161,"3,041.630",0.050
59037,Hiilangaay Hydro,,,,,,,,
7463,Hoonah,58,5,"2,955",48,26.821,2.420,"1,363.070",0.011
6319,Hooper Bay,47,4,"2,309",37,33.666,2.938,"1,654.851",0.013
7042,Humpback Creek,,,,,,,,
423,Hydaburg,0,0,23,0,304.667,27.333,"15,353.333",0.124
59793,Industrial Plant,3,1,459,7,39.108,21.835,"7,061.954",0.057
6293,International,1,0,335,1,0.000,0.000,0.000,0.000
6801,Jarvis Street,10,1,504,8,0.000,0.000,0.000,0.000
58380,JBER Landfill Gas Power Plant,0,7,165,1,0.000,0.333,7.703,0.000
7464,Kake,33,3,"1,653",27,30.498,2.752,"1,549.948",0.013
56542,Kasidaya Creek Hydro,,,,,,,,
57066,Kasigluk,0,0,"1,936",31,0.000,0.000,"1,544.195",0.013
84,Ketchikan,,,,,,,,
6323,Kiana,27,2,"1,319",21,32.882,2.870,"1,616.545",0.013
7493,King Cove,13,1,614,10,5.514,0.480,270.566,0.002
57065,Kivalina,0,0,908,15,0.000,0.000,"1,440.349",0.012
7466,Klawock,,,,,,,,
61684,Klawock Power Generation Station,23,2,"1,149",19,33.820,3.065,"1,726.394",0.014
6281,Kodiak Microgrid,17,2,881,14,467.520,42.265,"23,803.943",0.193
57064,Kotlik,0,0,"1,408",23,0.000,0.000,"1,465.169",0.012
6304,Kotzebue,252,23,"12,906",209,23.693,2.152,"1,211.994",0.010
57059,Koyuk,0,0,910,15,0.000,0.000,"1,410.128",0.011
57085,Lake Dorothy Hydroelectric Project,,,,,,,,
64,Lemon Creek,6,1,496,8,0.000,0.000,0.000,0.000
59027,Mahoney Lake Hydroelectric,,,,,,,,
60244,Marshall,23,2,"1,148",19,31.862,2.781,"1,566.190",0.013
6555,McGrath,34,3,"1,623",26,31.911,2.731,"1,538.094",0.012
6329,Mountain Village,45,4,"2,195",36,32.790,2.862,"1,611.793",0.013
6301,Naknek,214,19,"10,539",171,17.594,1.538,866.406,0.007
60245,New Stuyahok,31,3,"1,514",25,34.169,2.983,"1,679.726",0.014
7183,Newhalen,1,0,70,1,0.825,0.075,42.159,0.000
55966,Nikiski Co-Generation,553,6,"209,303",790,2.730,0.028,"1,034.248",0.002
57051,Noatak,0,0,"1,468",24,0.000,0.000,"1,547.120",0.013
6330,Noorvik,31,3,"1,536",25,31.684,2.765,"1,557.475",0.013
6285,North Pole,"1,469",578,"299,786","23,075",7.958,3.128,"1,623.758",0.062
7169,Northway,19,2,985,16,35.013,3.173,"1,787.247",0.014
7487,NSB Anaktuvuk Pass,66,6,"3,402",55,34.955,3.176,"1,788.855",0.014
7482,NSB Atqasuk Utility,59,5,"3,003",49,39.580,3.596,"2,025.406",0.016
7483,NSB Kaktovik Utility,78,7,"4,012",65,35.247,3.202,"1,803.595",0.015
7484,NSB Nuiqsut Utility,126,2,"6,247",33,37.169,0.557,"1,842.847",0.005
7485,NSB Point Hope Utility,124,11,"6,368",103,38.218,3.472,"1,955.670",0.016
7486,NSB Point Lay Utility,59,5,"3,016",49,29.236,2.656,"1,496.018",0.012
7488,NSB Wainwright Utility,122,11,"6,245",101,35.135,3.192,"1,797.923",0.015
6333,Nunapitchuk,,,,,,,,
7723,Nymans Plant Microgrid,,,,,,,,
789,Orca,116,11,"5,914",96,33.149,2.991,"1,684.598",0.014
6702,Pelican,3,0,159,3,4.457,0.430,242.182,0.002
91,Petersburg,7,1,358,6,1.510,0.136,76.785,0.001
57187,Pillar Mountain Wind Project Microgrid,,,,,,,,
57058,Pilot Station,0,0,"1,413",23,0.000,0.000,"1,568.543",0.013
6282,Port Lions Microgrid,,,,,,,,
7862,Power Creek,,,,,,,,
6302,Purple Lake,,,,,,,,
57057,Quinhagak,0,0,"1,141",18,0.000,0.000,"1,434.839",0.012
85,S W Bailey,300,27,"15,323",248,32.284,2.923,"1,646.401",0.013
65,Salmon Creek 1,,,,,,,,
57052,Savoonga,0,0,"1,595",26,0.000,0.000,"1,522.399",0.012
57056,Scammon Bay,0,0,"1,320",21,0.000,0.000,"1,609.070",0.013
6341,Selawik,44,4,"2,163",35,32.781,2.861,"1,611.298",0.013
6283,Seldovia,2,0,81,1,39.694,3.405,"1,917.624",0.016
92,Seward (AK),3,0,156,3,42.833,3.847,"2,165.194",0.018
6345,Shishmaref,28,2,"1,399",23,35.791,3.124,"1,759.296",0.014
57063,Shungnak,0,0,"1,309",21,0.000,0.000,"1,653.687",0.013
6581,Silvis,,,,,,,,
66,Skagway,1,0,70,1,1.394,0.127,71.324,0.001
61685,Slana Generating Station,21,2,"1,048",17,30.750,2.787,"1,569.446",0.013
90,Snake River,413,37,"20,979",340,25.612,2.311,"1,301.610",0.011
78,Snettisham,,,,,,,,
57206,Soldotna,45,0,"16,410",62,3.767,0.038,"1,381.550",0.003
390,Solomon Gulch,,,,,,,,
56265,South Fork,,,,,,,,
57036,Southcentral Power Project,"1,018",10,"372,009","1,403",2.498,0.025,912.497,0.002
6338,St Marys IC,55,5,"2,722",44,36.626,3.197,"1,800.364",0.015
57061,St. Michael,,,,,,,,
57055,Stebbins,0,0,"2,713",44,0.000,0.000,"1,567.586",0.013
60250,Swampy Acres,,,,,,,,
70,Swan Lake,,,,,,,,
60588,Sweetheart Lake Hydroelectric Facility,,,,,,,,
71,Terror Lake Microgrid,,,,,,,,
52184,Tesoro Kenai Cogeneration Plant,56,1,"18,698",71,1.720,0.016,577.753,0.001
7414,Thorne Bay Plant,2,0,115,2,58.338,5.286,"2,978.052",0.024
58278,TNSG North Plant,128,1,"44,904",169,4.207,0.040,"1,472.057",0.003
58117,TNSG South Plant,2,0,72,0,0.000,0.000,0.000,0.000
6348,Togiak,54,5,"2,631",43,35.475,3.096,"1,743.856",0.014
406,Tok,144,13,"7,327",119,31.258,2.833,"1,595.453",0.013
57067,Toksook Bay,0,0,"2,200",36,0.000,0.000,"1,524.669",0.012
61166,Tyee Lake Hydroelectric Facility,,,,,,,,
6299,Unalakleet,53,5,"2,655",43,31.956,2.859,"1,610.081",0.013
7503,Unalaska Power Module,3,0,161,3,31.622,2.850,"1,604.816",0.013
54422,Unisea G 2,453,41,"22,804",414,29.722,2.690,"1,494.549",0.014
50711,University of Alaska Fairbanks,37,138,"24,750",769,1.769,6.634,"1,188.837",0.018
57054,Upper Kalskag,0,0,"1,211",20,0.000,0.000,"1,581.732",0.013
50308,Utility Plants Section,93,354,"59,651","1,967",2.054,7.851,"1,322.975",0.022
6306,Valdez,6,3,"1,100",18,13.405,7.657,"2,476.372",0.020
7841,Valdez Cogen,60,18,"12,250","1,337",7.088,2.088,"1,441.724",0.079
56147,Viking,,,,,,,,
54305,Westward Seafoods,87,8,"4,733",77,14.827,1.425,802.489,0.006
58977,Whitman,,,,,,,,
95,Wrangell,9,1,434,7,34.623,2.964,"1,669.381",0.014
6637,Yakutat,88,8,"4,321",70,30.784,2.687,"1,513.230",0.012
56076,ABC Coke,0,0,"1,551",7,0.087,0.006,586.456,0.001
54429,Alabama Pine Pulp,193,778,"8,110","13,430",0.936,3.766,39.268,0.033
10216,Alabama River Pulp,139,399,"10,837","10,775",0.905,2.592,70.356,0.035
7924,Albertville,,,,,,,,
56018,AMEA Sylacauga Plant,15,0,"22,763",85,0.879,0.006,"1,316.945",0.002
60680,ANAD Solar Array,,,,,,,,
7708,APC1,,,,,,,,
7876,APC2,,,,,,,,
7877,APC3,,,,,,,,
2,Bankhead Dam,,,,,0.000,0.000,0.000,0.000
3,Barry,"2,560","5,257","8,026,101","140,830",0.489,1.005,"1,533.906",0.013
702,Bartletts Ferry,,,,,,,,
6150,Bellefonte,,,,,,,,
55044,Boise Cascade Pulp & Paper Mill,31,125,"15,245","2,074",0.507,2.036,249.238,0.017
46,Browns Ferry,,,,,,,,
55409,Calhoun Energy Center,54,1,"139,242",912,0.546,0.007,"1,416.616",0.005
56,Charles R Lowman,"2,371",808,"1,464,650","52,087",3.773,1.286,"2,331.054",0.041
47,Colbert,352,4,"59,659",197,10.343,0.114,"1,754.674",0.003
54985,Crestwood Dothan,14,1,748,12,36.197,3.435,"1,934.766",0.016
61924,"Cumblerland Land Holdings, LLC",,,,,,,,
55292,Decatur Energy Center,85,6,"1,206,017","4,643",0.063,0.004,892.387,0.002
58061,Decatur-Morgan Co LFG Recovery Project,0,2,0,0,0.000,0.349,0.000,0.000
54743,District 100 Transco Gas Pipe Line,,,,,,,,
7897,E B Harris Generating Plant,195,12,"2,422,338","9,094",0.067,0.004,825.969,0.002
26,E C Gaston,"4,495","3,271","5,670,113","110,962",1.477,1.075,"1,862.946",0.018
54550,ExxonMobil Mobile Bay Onshore,71,1,"27,046",102,1.620,0.017,614.518,0.001
60679,Fort Rucker Solar Array,,,,,,,,
7,Gadsden,144,6,"145,370",418,1.520,0.062,"1,539.311",0.002
53,Gantt,,,,,,,,
54789,Georgia-Pacific Brewton Mill,259,410,"73,618","6,352",1.139,1.803,323.380,0.014
10699,Georgia-Pacific Consr Prods LP-Naheola,264,570,"55,936","5,921",1.799,3.888,381.751,0.020
707,Goat Rock,,,,,,,,
8,Gorgas,"5,255","1,695","6,223,753","188,463",1.912,0.617,"2,264.052",0.034
10,Greene County,841,31,"766,562","3,007",1.435,0.053,"1,306.910",0.003
48,Guntersville,,,,,,,,
11,H Neely Henry Dam,,,,,,,,
6188,Harris Dam,,,,,,,,
55411,Hillabee Energy Center,123,9,"1,852,243","6,762",0.056,0.004,846.524,0.002
55241,Hog Bayou Energy Center,48,3,"508,556","1,891",0.084,0.005,894.488,0.002
12,Holt Dam,,,,,,,,
54752,International Paper Pine Hill Mill,161,439,"17,384","17,216",0.678,1.846,73.139,0.036
52140,International Paper-Prattville Mill,223,594,"24,757","13,930",0.796,2.127,88.570,0.025
54096,International Paper-Riverdale Mill,354,570,"135,672","9,519",1.169,1.885,448.351,0.016
6002,James H Miller Jr,"6,487",849,"20,155,731","627,456",0.708,0.093,"2,199.785",0.034
6131,Jones Bluff,,,,,,,,
13,Jordan Dam,,,,,,,,
6001,Joseph M Farley,,,,,,,,
62449,Kimberly Clark Mobile - CHP Plant,,,,,,,,
60583,LaFayette Solar Farm,,,,,,,,
711,Langdale,,,,,,,,
15,Lay Dam,,,,,,,,
18,Lewis Smith Dam,,,,,,,,
14,Logan Martin Dam,,,,,,,,
16,Martin Dam,,,,,,,,
7063,McIntosh (7063),101,1,"276,466","1,073",0.469,0.006,"1,278.386",0.002
533,McWilliams,233,9,"1,723,738","6,548",0.118,0.004,871.206,0.002
38,Millers Ferry,,,,,,,,
17,Mitchell Dam,,,,,,,,
50407,Mobile Energy Services LLC,117,0,"83,155","10,804",0.708,0.003,501.765,0.033
55293,Morgan Energy Center,112,9,"1,780,082","6,848",0.050,0.004,785.414,0.002
62462,Muscle Shoals,,,,,,,,
62787,Pinckard Solar,,,,,,,,
7710,Plant H. Allen Franklin,371,25,"5,019,107","18,970",0.061,0.004,819.542,0.002
55,Point A,,,,,,,,
61901,Redstone Arsenal,,,,,,,,
60058,"River Bend Solar, LLC",,,,,,,,
54763,Rock-Tenn Mill,132,30,"2,439","9,611",0.904,0.208,16.703,0.033
7698,SABIC Innovative Plastics - Burkville,34,1,"154,728",634,0.119,0.003,541.818,0.001
59710,Sand Valley Power Station,0,5,0,0,0.000,0.375,0.000,0.000
50359,Sloss Industries Corp,0,0,0,0,,,,
55440,Tenaska Central Alabama Gen Station,160,10,"1,948,660","6,672",0.078,0.005,946.659,0.002
55271,Tenaska Lindsay Hill Generating Station,57,4,"832,354","3,093",0.060,0.005,884.138,0.002
7721,Theodore Cogeneration,31,2,"487,998","1,429",0.046,0.004,736.593,0.001
19,Thurlow Dam,,,,,,,,
61749,Tom Bevill Lock and Dam Hydroelectric,,,,,,,,
54216,U S Alliance Coosa Pines,44,175,"13,771","2,908",0.577,2.282,179.552,0.019
4,Walter Bouldin Dam,,,,,,,,
55138,Walton Discover Power Facility,26,0,"10,755",41,3.502,0.008,"1,470.825",0.003
7697,Washington County Cogen (Olin),111,2,"316,700",880,0.275,0.004,782.039,0.001
20,Weiss Dam,,,,,,,,
57467,Westervelt Moundville Cogen,20,3,0,"2,015",1.043,0.144,0.000,0.053
54802,WestRock Coated Board,597,667,"167,496","25,519",1.499,1.676,420.775,0.032
49,Wheeler Dam,,,,,,,,
50,Widows Creek,,,,,,,,
6440,Wilson Dam,,,,,,,,
21,Yates Dam,,,,,,,,
54730,Yellowhammer Gas Plant,45,0,"17,825",67,4.992,0.054,"1,990.442",0.004
54311,Archer Daniels Midland Little Rock,,,,,,,,
8055,Arkansas Nuclear One,,,,,,,,
54104,Ashdown,406,"1,594","51,349","17,152",1.239,4.866,156.719,0.026
182,Beaver Dam,,,,,,,,
197,Blakely Mountain,,,,,,,,
198,Bull Shoals,,,,,,,,
202,Carl Bailey,12,2,"11,454",40,1.693,0.342,"1,613.367",0.003
166,Carpenter,,,,,,,,
167,Cecil Lynch,,,,,,,,
56505,City Water & Light - City of Jonesboro,21,0,"28,244",133,0.830,0.006,"1,130.224",0.003
50638,Clearwater Paper APP CB,50,136,"11,297","2,222",0.872,2.369,197.242,0.019
56182,Columbia Flooring Melbourne,2,0,0,308,0.738,0.148,0.000,0.055
7246,Dam 2,,,,,,,,
199,Dardanelle,,,,,,,,
187,Degray,,,,,,,,
55340,Dell Power Plant,69,5,"946,204","3,341",0.068,0.005,932.841,0.002
56489,Elkins Generating Center,10,0,"3,703",14,3.784,0.038,"1,382.144",0.003
7040,Ellis Hydro,,,,,,,,
61839,FECC Solar Benton,,,,,,,,
6138,Flint Creek Power Plant,"2,927",855,"2,954,113","99,798",2.193,0.640,"2,213.027",0.037
10050,Fourche Creek Wastewater,55,0,34,6,19.455,0.031,12.118,0.001
7825,Fulton,30,0,"63,487",243,0.582,0.006,"1,224.048",0.002
55869,Genova Arkansas I LLC,,,,,,,,
10606,Georgia-Pacific Crossett LLC,293,378,"55,558","10,460",1.239,1.598,235.074,0.022
188,Greers Ferry Lake,,,,,,,,
168,Hamilton Moses,,,,,,,,
56328,Harry D. Mattison Power Plant,17,0,"36,026",128,0.692,0.008,"1,471.809",0.003
169,Harvey Couch,,,,,,,,
55418,Hot Spring Energy Facility,133,7,"1,448,245","5,544",0.077,0.004,843.565,0.002
6641,Independence,"7,690","24,242","10,586,634","351,528",1.588,5.007,"2,186.604",0.036
56564,John W. Turk Jr. Power Plant,845,778,"4,155,577","133,729",0.404,0.372,"1,984.526",0.032
170,Lake Catherine,423,1,"209,557",771,2.928,0.007,"1,449.798",0.003
54283,Lee Creek Water Treatment Facility,,,,,,,,
171,Mabelvale,,,,,,,,
55714,Magnet Cove Generating Station,85,4,"770,816","2,813",0.092,0.004,840.179,0.002
203,McClellan,91,6,"46,335",168,2.991,0.188,"1,518.019",0.003
193,Municipal Light,,,,,,,,
7166,Murray,,,,,,,,
195,Narrows (AR),,,,,,,,
62682,Noland Wastewater Treatment Plant,,,,,,,,
196,Norfork,,,,,,,,
172,Osceola (AR),,,,,,,,
55221,Oswald Generating Station,273,1,"260,034",991,1.045,0.005,995.268,0.002
6142,Ozark,,,,,,,,
60924,Ozarks Natural Energy Community Solar,,,,,,,,
192,Paragould,,,,,,,,
8015,Paragould Reciprocating,7,0,299,1,27.668,0.032,"1,168.205",0.002
7283,Paragould Turbine,0,0,38,0,4.426,0.051,"1,619.064",0.003
55075,Pine Bluff Energy Center,132,2,"434,162","1,625",0.202,0.003,665.276,0.001
10627,Pine Bluff Mill,146,615,"10,145","9,683",0.743,3.126,51.547,0.025
56456,Plum Point Energy Station,"2,116","3,590","5,672,345","173,815",0.814,1.380,"2,180.567",0.033
174,Remmel,,,,,,,,
56079,Riceland Foods Cogeneration Plant,15,2,0,"1,135",1.503,0.150,0.000,0.056
173,Robert E Ritchie,,,,,,,,
61869,Scenic Hill Solar III,,,,,,,,
62617,Searcy Solar,,,,,,,,
59947,SR Camden,,,,,,,,
61262,Stuttgart Solar,,,,,,,,
201,Thomas Fitzhugh,115,1,"151,155",552,0.844,0.007,"1,107.920",0.002
56523,Two Pine Landfill Gas Recovery,0,3,0,0,0.000,0.401,0.000,0.000
