typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,PLANT,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,fips,state,Unnamed: 24,CAPOW_Name_Description,Plant_list_facilityname,CO2rate,NOXrate,SO2rate
ngcc,PGE_valley,12.5,7.13,7.39,7.65,5.0,13.0,6.0,6.0,2.0,5.904059041,875.0,50131,,,,,,,,,6019,CA,,AERA ENERGY LLC. (Coalinga),Coalinga Cogeneration Facility,,,
ngct,SCE,43.0,11.9,11.97,12.03,16.0,43.0,1.0,1.0,3.17,18.08219178,3010.0,55951,1,0.0,"5,140",20,0.209,0.008,"1,307.45",0.003,6071,CA,,AGUA MANSA GENERATING FACILITY,Agua Mansa Power,1.1080139999999998,0.2017317,0.0055848826
ngst,SCE,174.56,11.19,11.89,12.6,70.0,175.0,6.0,6.0,2.0,36.19631902,12219.2,315,50,4.0,"755,497","2,723",0.10400000000000001,0.008,"1,576.74",0.003,6037,CA,,Alamitos 1,AES Alamitos,2.5741584,0.16901733,0.012995383999999999
ngst,SCE,175.0,11.19,11.89,12.6,70.0,175.0,6.0,6.0,2.0,36.3190184,12250.0,315,50,4.0,"755,497","2,723",0.10400000000000001,0.008,"1,576.74",0.003,6037,CA,,Alamitos 2,AES Alamitos,2.5741584,0.16901733,0.012995383999999999
ngst,SCE,332.18,11.19,11.89,12.6,133.0,333.0,6.0,6.0,2.0,68.95705521,23252.6,315,50,4.0,"755,497","2,723",0.10400000000000001,0.008,"1,576.74",0.003,6037,CA,,Alamitos 3,AES Alamitos,2.5741584,0.16901733,0.012995383999999999
ngst,SCE,335.67,11.19,11.89,12.6,135.0,336.0,6.0,6.0,2.0,69.69325153,23496.9,315,50,4.0,"755,497","2,723",0.10400000000000001,0.008,"1,576.74",0.003,6037,CA,,Alamitos 4,AES Alamitos,2.5741584,0.16901733,0.012995383999999999
ngst,SCE,497.97,11.19,11.89,12.6,200.0,498.0,6.0,6.0,2.0,103.3128834,34857.9,315,50,4.0,"755,497","2,723",0.10400000000000001,0.008,"1,576.74",0.003,6037,CA,,Alamitos 5,AES Alamitos,2.5741584,0.16901733,0.012995383999999999
ngst,SCE,495.0,11.19,11.89,12.6,198.0,495.0,6.0,6.0,2.0,102.6993865,34650.0,315,50,4.0,"755,497","2,723",0.10400000000000001,0.008,"1,576.74",0.003,6037,CA,,Alamitos 6,AES Alamitos,2.5741584,0.16901733,0.012995383999999999
ngct,SCE,42.81,11.9,11.97,12.03,15.0,43.0,1.0,1.0,3.17,18.08219178,2996.7,7693,3,0.0,"20,815",81,0.18,0.006,"1,073.76",0.002,6059,CA,,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,1.0555981,0.23461242,0.005329389
ngct,SCE,47.0,11.9,11.97,12.03,17.0,47.0,1.0,1.0,3.17,19.726027399999996,3290.0,56474,2,0.0,"20,029",75,0.124,0.006,"1,209.12",0.002,6059,CA,,Barre Peaker,Barre Generating Station,0.93383884,0.08620628,0.0047134156
ngcc,SCE,493.63,9.91,10.17,10.43,198.0,494.0,1.0,1.0,2.0,226.93726940000002,34554.1,55295,72,6.0,"1,200,143","4,378",0.054000000000000006,0.004,890.354,0.002,6065,CA,,Blythe Energy Project,Blythe Energy,1.3384204,0.12732592,0.006756855
ngst,SCE,65.0,11.19,11.89,12.6,26.0,65.0,6.0,6.0,2.0,13.49693252,4550.0,420,,,,,,,,,6037,CA,,Broadway 3,Broadway,,,
ngcc,PGE_valley,135.0,6.64,6.9,7.16,54.0,135.0,5.0,5.0,2.0,61.99261993,9450.0,10034,9,0.0,"43,583",166,0.166,0.004,848.902,0.002,6085,CA,,CALPINE AMERICAN I COGEN (Aggregate),"Calpine Gilroy Cogen, LP",0.94050074,0.44690076,0.0047478
ngct,SCE,49.4,8.35,8.41,8.48,18.0,50.0,1.0,1.0,3.17,20.82191781,3458.0,57027,8,1.0,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 1,Canyon Power Plant,1.0543360000000002,0.09700160000000001,0.0053225355
