PLANT,unitid,CO2rate,NOXrate,SO2rate,yr,Fuel,INTER,maxgload,maxramp,minramp,state,facilityname,fipscode
315,1,2.4008248,0.26204878,0.012122261,2019,Gas,West,172.0,76.0,-86.0,CA,AES Alamitos,37
315,2,2.5690012,0.1884763,0.012972266,2019,Gas,West,167.0,76.0,-81.0,CA,AES Alamitos,37
315,3,1.9763234,0.4780681,0.0099779125,2019,Gas,West,328.0,98.0,-91.0,CA,AES Alamitos,37
315,4,2.0832446,0.1511063,0.010517916,2019,Gas,West,333.0,97.0,-92.0,CA,AES Alamitos,37
315,5,2.007142,0.28773114,0.01013303,2019,Gas,West,473.0,132.0,-137.0,CA,AES Alamitos,37
315,6,2.5741584,0.16901733,0.012995384,2019,Gas,West,502.0,139.0,-148.0,CA,AES Alamitos,37
329,1,,,,2019,Gas,West,67.0,30.0,-30.0,CA,Coolwater Generating Station,71
329,2,,,,2019,Gas,West,84.0,36.0,-35.0,CA,Coolwater Generating Station,71
329,31,,,,2019,Gas,West,125.0,57.0,-69.0,CA,Coolwater Generating Station,71
329,32,,,,2019,Gas,West,125.0,71.0,-76.0,CA,Coolwater Generating Station,71
329,41,,,,2019,Gas,West,124.0,71.0,-72.0,CA,Coolwater Generating Station,71
329,42,,,,2019,Gas,West,123.0,59.0,-68.0,CA,Coolwater Generating Station,71
330,3,,,,2019,Gas,West,343.0,155.0,-147.0,CA,El Segundo,37
330,4,,,,2019,Gas,West,342.0,145.0,-148.0,CA,El Segundo,37
330,5,0.9731864,0.04524252,0.004912958,2019,Gas,West,261.0,113.0,-84.0,CA,El Segundo,37
330,7,0.954083,0.04786788,0.004816472,2019,Gas,West,258.0,115.0,-87.0,CA,El Segundo,37
331,3,,,,2019,Gas,West,332.0,169.0,-170.0,CA,Etiwanda Generating Station,71
331,4,,,,2019,Gas,West,331.0,145.0,-148.0,CA,Etiwanda Generating Station,71
335,1,1.5539957,0.14070967,0.007846809,2019,Gas,West,229.0,96.0,-98.0,CA,AES Huntington Beach,59
335,2,1.8641281,0.16626026,0.009411728,2019,Gas,West,227.0,90.0,-92.0,CA,AES Huntington Beach,59
335,3A,,,,2019,Gas,West,218.0,67.0,-77.0,CA,AES Huntington Beach,59
335,4A,,,,2019,Gas,West,217.0,65.0,-72.0,CA,AES Huntington Beach,59
341,1,1.5567871,0.8588156,0.007854104,2019,Gas,West,65.0,48.0,-49.0,CA,Long Beach Generating Station,37
341,2,1.4701545,0.8756864,0.007417752,2019,Gas,West,65.0,47.0,-47.0,CA,Long Beach Generating Station,37
341,3,1.7866697,1.0994703,0.00900432,2019,Gas,West,65.0,49.0,-45.0,CA,Long Beach Generating Station,37
341,4,1.8101059,1.1898185,0.009151736,2019,Gas,West,65.0,47.0,-47.0,CA,Long Beach Generating Station,37
345,1,,,,2019,Gas,West,226.0,109.0,-103.0,CA,Mandalay Generating Station,111
345,2,,,,2019,Gas,West,229.0,108.0,-104.0,CA,Mandalay Generating Station,111
350,1,2.0906985,0.4613956,0.010553952,2019,Gas,West,738.0,228.0,-228.0,CA,Ormond Beach Generating Station,111
350,2,1.7295063,0.1444092,0.00873132,2019,Gas,West,758.0,211.0,-238.0,CA,Ormond Beach Generating Station,111
356,17,,,,2019,Gas,West,,,,CA,AES Redondo Beach,37
356,5,2.9513097,0.2414343,0.014902761,2019,Gas,West,165.0,67.0,-72.0,CA,AES Redondo Beach,37
356,6,3.0147955,0.24570751,0.015223724,2019,Gas,West,156.0,67.0,-69.0,CA,AES Redondo Beach,37
356,7,1.9168093,0.2443847,0.009679234,2019,Gas,West,494.0,124.0,-141.0,CA,AES Redondo Beach,37
356,8,1.8671974,0.1802899,0.009427616,2019,Gas,West,484.0,120.0,-138.0,CA,AES Redondo Beach,37
358,3-1,1.0621411,0.3447906,0.005361506,2019,Gas,West,271.0,95.0,-88.0,CA,Mountainview Generating Station,71
358,3-2,0.9869849,0.23368119,0.0049827634,2019,Gas,West,271.0,95.0,-87.0,CA,Mountainview Generating Station,71
358,4-1,1.0612165,0.41532168,0.0053574797,2019,Gas,West,271.0,91.0,-83.0,CA,Mountainview Generating Station,71
358,4-2,0.94447964,0.18857828,0.0047675385,2019,Gas,West,273.0,91.0,-84.0,CA,Mountainview Generating Station,71
377,4,,,,2019,Gas,West,21.0,2.0,-2.0,CA,Grayson Power Plant,37
377,5,1.6803366,0.46358535,0.008485458,2019,Gas,West,28.0,2.0,-2.0,CA,Grayson Power Plant,37
377,9,1.1844923,0.27986205,0.0059818937,2019,Gas,West,48.0,29.0,-27.0,CA,Grayson Power Plant,37
389,2-2,1.0896757,0.36233458,0.005501566,2019,Gas,West,105.0,20.0,-19.0,CA,El Centro,25
389,3,,,,2019,Gas,West,21.0,3.0,-3.0,CA,El Centro,25
389,3-1,0.9180515,0.04377013,0.004635541,2019,Gas,West,63.0,13.0,-13.0,CA,El Centro,25
389,3-2,0.91700387,0.073877186,0.004630258,2019,Gas,West,63.0,14.0,-13.0,CA,El Centro,25
389,4,1.6387795,1.7400546,0.008274193,2019,Gas,West,57.0,17.0,-17.0,CA,El Centro,25
399,**10A,1.2211009,0.29273832,0.0063975425,2019,Gas,West,115.0,74.0,-89.0,CA,Harbor Generating Station,37
399,**10B,1.1303251,0.26475194,0.0059046764,2019,Gas,West,116.0,80.0,-90.0,CA,Harbor Generating Station,37
399,10,1.301333,0.4377425,0.0076512736,2019,Gas,West,47.0,44.0,-42.0,CA,Harbor Generating Station,37
399,11,1.2971855,0.3821375,0.007323238,2019,Gas,West,47.0,44.0,-40.0,CA,Harbor Generating Station,37
399,12,1.4198195,0.6539896,0.007999419,2019,Gas,West,47.0,44.0,-43.0,CA,Harbor Generating Station,37
399,13,1.2807069,0.39267915,0.0070622177,2019,Gas,West,47.0,44.0,-42.0,CA,Harbor Generating Station,37
399,14,1.2477002,0.3346562,0.006877771,2019,Gas,West,47.0,44.0,-41.0,CA,Harbor Generating Station,37
400,1,1.4331592,0.044176977,0.0073709516,2019,Gas,West,208.0,58.0,-62.0,CA,Haynes Generating Station,37
