typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,facilityname,PLANT,fips,state,Unnamed: 18,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,CO2rate,NOXrate,SO2rate
ngcc,PGE_valley,12.5,7.13,7.39,7.65,5.0,13.0,6.0,6.0,2.0,5.904059041,875.0,AERA ENERGY LLC. (Coalinga),Coalinga Cogeneration Facility,50131,6019,CA,,,,,,,,,,,,
ngct,SCE,43.0,11.9,11.97,12.03,16.0,43.0,1.0,1.0,3.17,18.08219178,3010.0,AGUA MANSA GENERATING FACILITY,Agua Mansa Power,55951,6071,CA,,1,0,"5,140",20,0.209,0.008,"1,307.454",0.003,1.047485,0.2065605,0.005278
ngst,SCE,174.56,11.19,11.89,12.6,70.0,175.0,6.0,6.0,2.0,36.19631902,12219.2,Alamitos 1,AES Alamitos,315,6037,CA,,50,4,"755,497","2,723",0.10400000000000001,0.008,"1,576.744",0.003,2.073872,0.1316536,0.0104695
ngst,SCE,175.0,11.19,11.89,12.6,70.0,175.0,6.0,6.0,2.0,36.3190184,12250.0,Alamitos 2,AES Alamitos,315,6037,CA,,50,4,"755,497","2,723",0.10400000000000001,0.008,"1,576.744",0.003,2.073872,0.1316536,0.0104695
ngst,SCE,332.18,11.19,11.89,12.6,133.0,333.0,6.0,6.0,2.0,68.95705521,23252.6,Alamitos 3,AES Alamitos,315,6037,CA,,50,4,"755,497","2,723",0.10400000000000001,0.008,"1,576.744",0.003,2.073872,0.1316536,0.0104695
ngst,SCE,335.67,11.19,11.89,12.6,135.0,336.0,6.0,6.0,2.0,69.69325153,23496.9,Alamitos 4,AES Alamitos,315,6037,CA,,50,4,"755,497","2,723",0.10400000000000001,0.008,"1,576.744",0.003,2.073872,0.1316536,0.0104695
ngst,SCE,497.97,11.19,11.89,12.6,200.0,498.0,6.0,6.0,2.0,103.3128834,34857.9,Alamitos 5,AES Alamitos,315,6037,CA,,50,4,"755,497","2,723",0.10400000000000001,0.008,"1,576.744",0.003,2.073872,0.1316536,0.0104695
ngst,SCE,495.0,11.19,11.89,12.6,198.0,495.0,6.0,6.0,2.0,102.6993865,34650.0,Alamitos 6,AES Alamitos,315,6037,CA,,50,4,"755,497","2,723",0.10400000000000001,0.008,"1,576.744",0.003,2.073872,0.1316536,0.0104695
ngct,SCE,42.81,11.9,11.97,12.03,15.0,43.0,1.0,1.0,3.17,18.08219178,2996.7,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,7693,6059,CA,,3,0,"20,815",81,0.18,0.006,"1,073.758",0.002,1.09812,0.2596201,0.005543600000000001
ngct,SCE,47.0,11.9,11.97,12.03,17.0,47.0,1.0,1.0,3.17,19.726027399999996,3290.0,Barre Peaker,Barre Generating Station,56474,6059,CA,,2,0,"20,029",75,0.124,0.006,"1,209.116",0.002,0.912993,0.10946310000000001,0.0046093
