typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,PLANT,PLNOXAN,PLSO2AN,PLCO2AN,PLN2OAN,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA,fips,state,,CAPOW_Name_Description,Plant_list_facilityname
ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2,5.904059041,875,50131,,,,,,,,,6019,CA,,AERA ENERGY LLC. (Coalinga),Coalinga Cogeneration Facility
ngct,SCE,43,11.9,11.97,12.03,16,43,1,1,3.17,18.08219178,3010,55951,1,0,"5,140",20,0.209,0.008,"1,307.45",0.003,6071,CA,,AGUA MANSA GENERATING FACILITY,Agua Mansa Power
ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,315,50,4,"755,497","2,723",0.104,0.008,"1,576.74",0.003,6037,CA,,Alamitos 1,AES Alamitos
ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,315,50,4,"755,497","2,723",0.104,0.008,"1,576.74",0.003,6037,CA,,Alamitos 2,AES Alamitos
ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2,68.95705521,23252.6,315,50,4,"755,497","2,723",0.104,0.008,"1,576.74",0.003,6037,CA,,Alamitos 3,AES Alamitos
ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2,69.69325153,23496.9,315,50,4,"755,497","2,723",0.104,0.008,"1,576.74",0.003,6037,CA,,Alamitos 4,AES Alamitos
ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2,103.3128834,34857.9,315,50,4,"755,497","2,723",0.104,0.008,"1,576.74",0.003,6037,CA,,Alamitos 5,AES Alamitos
ngst,SCE,495,11.19,11.89,12.6,198,495,6,6,2,102.6993865,34650,315,50,4,"755,497","2,723",0.104,0.008,"1,576.74",0.003,6037,CA,,Alamitos 6,AES Alamitos
ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,7693,3,0,"20,815",81,0.18,0.006,"1,073.76",0.002,6059,CA,,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine
ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,56474,2,0,"20,029",75,0.124,0.006,"1,209.12",0.002,6059,CA,,Barre Peaker,Barre Generating Station
ngcc,SCE,493.63,9.91,10.17,10.43,198,494,1,1,2,226.9372694,34554.1,55295,72,6,"1,200,143","4,378",0.054,0.004,890.354,0.002,6065,CA,,Blythe Energy Project,Blythe Energy
ngst,SCE,65,11.19,11.89,12.6,26,65,6,6,2,13.49693252,4550,420,,,,,,,,,6037,CA,,Broadway 3,Broadway
ngcc,PGE_valley,135,6.64,6.9,7.16,54,135,5,5,2,61.99261993,9450,10034,9,0,"43,583",166,0.166,0.004,848.902,0.002,6085,CA,,CALPINE AMERICAN I COGEN (Aggregate),"Calpine Gilroy Cogen, LP"
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,57027,8,1,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 1,Canyon Power Plant
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,57027,8,1,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 2,Canyon Power Plant
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,57027,8,1,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 3,Canyon Power Plant
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,57027,8,1,"115,667",427,0.092,0.006,"1,271.97",0.002,6059,CA,,Canyon Power Plant Unit 4,Canyon Power Plant
ngct,SCE,48,8.02,8.08,8.15,17,48,1,1,3.17,20.2739726,3360,10169,,,,,,,,,6037,CA,,CARSON COGENERATION COMPANY,Carson Cogeneration Company
ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,56475,1,0,"10,736",40,0.109,0.007,"1,444.76",0.003,6037,CA,highlight ,Center Peaker,Center Generating Station
