typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,facilityname,PLANT,fips,state,
ngcc,PGE_valley,12.5,7.13,7.39,7.65,5,13,6,6,2,5.904059041,875,AERA ENERGY LLC. (Coalinga),Coalinga Cogeneration Facility,50131,6019,CA,
ngct,SCE,43,11.9,11.97,12.03,16,43,1,1,3.17,18.08219178,3010,AGUA MANSA GENERATING FACILITY,Agua Mansa Power,55951,6071,CA,
ngst,SCE,174.56,11.19,11.89,12.6,70,175,6,6,2,36.19631902,12219.2,Alamitos 1,AES Alamitos,315,6037,CA,
ngst,SCE,175,11.19,11.89,12.6,70,175,6,6,2,36.3190184,12250,Alamitos 2,AES Alamitos,315,6037,CA,
ngst,SCE,332.18,11.19,11.89,12.6,133,333,6,6,2,68.95705521,23252.6,Alamitos 3,AES Alamitos,315,6037,CA,
ngst,SCE,335.67,11.19,11.89,12.6,135,336,6,6,2,69.69325153,23496.9,Alamitos 4,AES Alamitos,315,6037,CA,
ngst,SCE,497.97,11.19,11.89,12.6,200,498,6,6,2,103.3128834,34857.9,Alamitos 5,AES Alamitos,315,6037,CA,
ngst,SCE,495,11.19,11.89,12.6,198,495,6,6,2,102.6993865,34650,Alamitos 6,AES Alamitos,315,6037,CA,
ngct,SCE,42.81,11.9,11.97,12.03,15,43,1,1,3.17,18.08219178,2996.7,ANAHEIM COMBUSTION TURBINE,Anaheim Combustion Turbine,7693,6059,CA,
ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,Barre Peaker,Barre Generating Station,56474,6059,CA,
ngcc,SCE,493.63,9.91,10.17,10.43,198,494,1,1,2,226.9372694,34554.1,Blythe Energy Project,Blythe Energy,55295,6065,CA,
ngst,SCE,65,11.19,11.89,12.6,26,65,6,6,2,13.49693252,4550,Broadway 3,Broadway,420,6037,CA,
ngcc,PGE_valley,135,6.64,6.9,7.16,54,135,5,5,2,61.99261993,9450,CALPINE AMERICAN I COGEN (Aggregate),"Calpine Gilroy Cogen, LP",10034,6085,CA,
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 1,Canyon Power Plant,57027,6059,CA,
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 2,Canyon Power Plant,57027,6059,CA,
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 3,Canyon Power Plant,57027,6059,CA,
ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,Canyon Power Plant Unit 4,Canyon Power Plant,57027,6059,CA,
ngct,SCE,48,8.02,8.08,8.15,17,48,1,1,3.17,20.2739726,3360,CARSON COGENERATION COMPANY,Carson Cogeneration Company,10169,6037,CA,
ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,Center Peaker,Center Generating Station,56475,6037,CA,highlight 
ngct,SDGE,35.5,19.33,19.39,19.46,8,36,1,1,3.17,15.06849315,2485,Chula Vista Energy Center,Chula Vista Energy Center,55540,6073,CA,
ngct,PGE_valley,641,5.31,5.37,5.44,225,641,1,1,3.17,270.1369863,44870,Colusa Generating Station,Colusa Generating Station,56532,6011,CA,
ngcc,PGE_bay,19,15.58,15.98,16.38,8,19,6,6,2,2.62,1330,CONTRA COSTA CARBON PLANT,Contra Costa Generating Station,228,6013,CA,
ngct,SCE,92.09,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6446.3,CPV Sentinel Unit 1,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,92.4,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6468,CPV Sentinel Unit 2,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,92.36,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6465.2,CPV Sentinel Unit 3,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,91.98,7.63,7.7,7.76,33,92,1,1,3.17,38.90410959,6438.6,CPV Sentinel Unit 4,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,91.83,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.1,CPV Sentinel Unit 5,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,92.16,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6451.2,CPV Sentinel Unit 6,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,91.84,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.8,CPV Sentinel Unit 7,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,SCE,91.56,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6409.2,CPV Sentinel Unit 8,"Sentinel Energy Center, LLC",57482,6065,CA,highlight 
ngct,PGE_bay,48,9.46,9.53,9.59,17,48,1,1,3.17,20.21917808,3360,CREED ENERGY CENTER,Creed Energy Center,55625,6095,CA,
ngct,SDGE,45.42,11.9,11.97,12.03,6,46,1,1,3.17,19.17808219,3179.4,Cuyamaca Peak Energy Plant,Cuyamaca Peak Energy,55512,6073,CA,
ngcc,PGE_bay,880,10.22,10.48,10.74,352,880,4,4,2,404.3542435,61600,DELTA ENERGY CENTER (AGGREGATE),"Delta Energy Center, LLC",55333,6013,CA,
ngcc,PGE_bay,147.8,7.86,8.12,8.38,60,148,2,2,2,67.89667897,10346,DONALD VON RAESFELD POWER PLANT,Donald Von Raesfeld,56026,6085,CA,
ngct,SDGE,48.1,8.13,8.2,8.26,16,49,1,1,3.17,20.2739726,3367,El Cajon Energy Center,El Cajon Energy Center,57001,6073,CA,
ngcc,SCE,263,9.29,9.55,9.81,106,263,1,1,2,121.0332103,18410,El Segundo Energy Center 5/6,El Segundo,330,6037,CA,
ngcc,SCE,263.68,9.29,9.55,9.81,106,264,1,1,2,121.0332103,18457.6,El Segundo Energy Center 7/8,El Segundo,330,6037,CA,
ngct,SDGE,48.71,7.63,7.7,7.76,38,49,1,1,3.17,20.54794521,3409.7,Escondido Energy Center,"Escondido Energy Center, LLC",55538,6073,CA,
ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,ETIWANDA UNIT 3,Etiwanda Generating Station,331,6071,CA,
ngst,SCE,320,11.26,11.97,12.67,128,320,6,6,2,66.3803681,22400,ETIWANDA UNIT 4,Etiwanda Generating Station,331,6071,CA,
ngct,PGE_valley,46.3,9.15,9.21,9.28,17,47,1,1,3.17,19.45205479,3241,FEATHER RIVER ENERGY CENTER,Feather River Energy Center,55847,6101,CA,
ngcc,PGE_valley,50.6,6.64,6.9,7.16,21,51,4,4,2,23.24723247,3542,FRESNO COGEN PLANT,"Fresno Cogeneration Partners, LP",10156,6019,CA,
