ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",IMPERIAL IRRIGATION DISTRICT,PUD NO. 1 OF DOUGLAS COUNTY,PUBLIC SERVICE COMPANY OF COLORADO,BONNEVILLE POWER ADMINISTRATION,NORTHWESTERN ENERGY (NWMT),SALT RIVER PROJECT,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,EL PASO ELECTRIC COMPANY,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,PUBLIC SERVICE COMPANY OF NEW MEXICO,AVISTA CORPORATION,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,TUCSON ELECTRIC POWER COMPANY,SEATTLE CITY LIGHT,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
3.29,6.290434782608696,3.86,4.0625,3.8,3.94,3.8166666666666655,4.154444444444445,3.121960515506694,13.548802231341021,3.125558895200022,4.23343784598118,3.7845254083849085,1.8652057386661327,3.5635148348061456,4.904530678022166,3.1273046126501813,2.7985843282911986,4.699516679624413,3.209235416355877,4.740633424223473,3.411872756667038,5.236116234162723,8.403623620034345,4.048143651858716,3.129694696365749,3.1226344452278703,9.08421583456992
3.29,6.290434782608696,3.86,4.0625,3.8,3.94,3.8166666666666655,4.154444444444445,3.121960515506694,13.548802231341021,3.125558895200022,4.23343784598118,3.7845254083849085,1.8652057386661327,3.5635148348061456,4.904530678022166,3.1273046126501813,2.7985843282911986,4.699516679624413,3.209235416355877,4.740633424223473,3.411872756667038,5.236116234162723,8.403623620034345,4.048143651858716,3.129694696365749,3.1226344452278703,9.08421583456992
3.472,7.333478260869565,3.75,4.455,4.193333333333333,3.745,3.76,3.891111111111112,3.034422338611203,13.8444757505295,3.085395015572892,4.472558673849132,3.8080707376504357,1.9875174101069262,3.774746639740162,5.431508610322239,3.0310519082866096,3.0247646470162994,4.897397701738342,3.4455201847339585,4.771467689018387,3.7072045234611304,5.717276467821514,8.54529875891114,4.316175751128045,2.977855359221091,3.0961616884347025,9.301841602746766
3.467,6.533478260869563,3.815,4.325,4.116666666666667,3.73,3.763333333333333,4.011111111111111,3.055072171376798,13.684891331163923,3.0842533305950828,4.3714644064731285,3.7783429614802797,1.9189288445152237,3.725933016564869,5.066103728816682,3.0590305349336036,2.9134839630838227,4.749159222251663,3.338467884033087,4.736660214825154,3.557218802304117,5.373378141003374,8.468695976733073,4.194652374275774,3.035506109920168,3.0861519329178497,9.206329351614267
2.739,5.81978260869565,3.2749999999999995,3.5875000000000004,3.353333333333333,3.345,3.27,3.4966666666666666,2.5253559042227014,13.022753937203527,2.539164259947451,3.7156867287324733,3.221671024785353,1.3202180693466943,3.0210238582395625,4.398683906802612,2.5242304890806393,2.2683940396418025,4.159918430772452,2.6828425488927126,4.17568678308073,2.8911854495067795,4.724052489037954,7.862268463613921,3.5200601912297182,2.5093881009363153,2.5425919174867597,8.562032300403196
2.739,5.81978260869565,3.2749999999999995,3.5875000000000004,3.353333333333333,3.345,3.27,3.4966666666666666,2.5253559042227014,13.022753937203527,2.539164259947451,3.7156867287324733,3.221671024785353,1.3202180693466943,3.0210238582395625,4.398683906802612,2.5242304890806393,2.2683940396418025,4.159918430772452,2.6828425488927126,4.17568678308073,2.8911854495067795,4.724052489037954,7.862268463613921,3.5200601912297182,2.5093881009363153,2.5425919174867597,8.562032300403196
2.739,5.81978260869565,3.2749999999999995,3.5875000000000004,3.353333333333333,3.345,3.27,3.4966666666666666,2.5253559042227014,13.022753937203527,2.539164259947451,3.7156867287324733,3.221671024785353,1.3202180693466943,3.0210238582395625,4.398683906802612,2.5242304890806393,2.2683940396418025,4.159918430772452,2.6828425488927126,4.17568678308073,2.8911854495067795,4.724052489037954,7.862268463613921,3.5200601912297182,2.5093881009363153,2.5425919174867597,8.562032300403196
2.793,5.393913043478261,3.1450000000000005,3.5475000000000003,3.2566666666666664,3.2700000000000005,3.1733333333333333,3.3633333333333333,2.4054501029793993,12.916460375672514,2.419020318759267,3.6116485092822295,3.1039406680635313,1.2049149797327456,3.023348484410952,4.180207077872482,2.4015653986663743,2.169044539291936,4.021600531208459,2.590238772680593,4.058314090551034,2.787210529501994,4.508028328697605,7.747921774726514,3.444630499666982,2.3837405014354767,2.4244721352761727,8.454150577350214
2.748,5.295434782608695,3.1049999999999995,3.465,3.22,3.1750000000000003,3.1133333333333333,3.282222222222222,2.3321908268631777,12.851087961562456,2.3473903989810014,3.5519742979473716,3.0410977863411053,1.1407508871424588,2.972036737358676,4.101091948112892,2.327569300287777,2.1059271374936017,3.9479200193610873,2.5289348077175733,3.9912905449574785,2.7220839752197503,4.4285587414470475,7.683691639057404,3.3835025920495987,2.307379892115617,2.3538181440361154,8.393569542097469
2.7019999999999995,4.9104347826086965,2.965,3.27,3.043333333333333,2.97,2.94,3.1366666666666667,2.164984593770021,12.67545866052831,2.1772832023073887,3.3758880672208966,2.8680837402927364,0.9626833413504321,2.8837189908704777,3.845555767452802,2.162881364934179,1.9353200393558256,3.742985766251017,2.3628073976236346,3.8160213523459507,2.5441099830113396,4.174611763975857,7.504923681844895,3.230825350398923,2.148516766592784,2.1813751719307346,8.215563240875774
