,Constraint,Bus,Time,Value
107,Node_Constraint,bus_10035,12,18.830000000000187
108,Node_Constraint,bus_10035,13,18.829999999999956
109,Node_Constraint,bus_10035,14,18.803333333333335
110,Node_Constraint,bus_10035,15,19.08166666666679
111,Node_Constraint,bus_10035,16,19.54166666666653
112,Node_Constraint,bus_10035,17,19.54166666666662
113,Node_Constraint,bus_10035,18,19.541666666666618
114,Node_Constraint,bus_10035,19,19.541666666666544
115,Node_Constraint,bus_10035,20,19.54166666666704
116,Node_Constraint,bus_10035,21,19.54166666666644
117,Node_Constraint,bus_10035,22,19.541666666666575
118,Node_Constraint,bus_10035,23,19.541666666666625
119,Node_Constraint,bus_10035,24,19.541666666666337
120,Node_Constraint,bus_10093,1,19.54166666666635
121,Node_Constraint,bus_10093,2,19.54166666666652
122,Node_Constraint,bus_10093,3,19.91
123,Node_Constraint,bus_10093,4,19.906666666666673
124,Node_Constraint,bus_10093,5,19.73111111111108
125,Node_Constraint,bus_10093,6,19.541666666666647
126,Node_Constraint,bus_10093,7,19.541666666666522
127,Node_Constraint,bus_10093,8,19.541666666666377
128,Node_Constraint,bus_10093,9,19.541666666666494
129,Node_Constraint,bus_10093,10,19.14142857142856
130,Node_Constraint,bus_10093,11,18.780000000000154
131,Node_Constraint,bus_10093,12,18.830000000000215
132,Node_Constraint,bus_10093,13,18.830000000000076
133,Node_Constraint,bus_10093,14,18.803333333333327
134,Node_Constraint,bus_10093,15,19.08166666666686
135,Node_Constraint,bus_10093,16,19.541666666666547
136,Node_Constraint,bus_10093,17,19.541666666666618
137,Node_Constraint,bus_10093,18,19.541666666666586
138,Node_Constraint,bus_10093,19,19.541666666666607
139,Node_Constraint,bus_10093,20,19.541666666666167
140,Node_Constraint,bus_10093,21,19.541666666666437
141,Node_Constraint,bus_10093,22,19.541666666666554
142,Node_Constraint,bus_10093,23,19.54166666666679
143,Node_Constraint,bus_10093,24,19.541666666666398
144,Node_Constraint,bus_10209,1,19.541666666666536
145,Node_Constraint,bus_10209,2,19.541666666666288
146,Node_Constraint,bus_10209,3,19.910000000000004
147,Node_Constraint,bus_10209,4,19.90666666666666
148,Node_Constraint,bus_10209,5,19.731111111111137
149,Node_Constraint,bus_10209,6,19.54166666666663
150,Node_Constraint,bus_10209,7,19.541666666666625
151,Node_Constraint,bus_10209,8,19.541666666666547
152,Node_Constraint,bus_10209,9,19.541666666666508
153,Node_Constraint,bus_10209,10,19.141428571428566
154,Node_Constraint,bus_10209,11,18.780000000000122
155,Node_Constraint,bus_10209,12,18.83000000000015
156,Node_Constraint,bus_10209,13,18.830000000000044
157,Node_Constraint,bus_10209,14,18.803333333333335
