BA_to_BA,Limit_MW
AZPS_CISO,1898.0
AZPS_IID,37.0
AZPS_WALC,1587.0
AZPS_LDWP,1322.0
AZPS_PACE,307.0
AZPS_TEPC,742.0
AZPS_SRP,2282.0
AZPS_PNM,726.0
AZPS_WACM,193.0
AVA_GCPD,64.0
AVA_NWMT,117.0
AVA_BPAT,87.0
AVA_IPCO,326.0
AVA_CHPD,20.0
AVA_PACW,171.0
BANC_TIDC,375.0
BANC_BPAT,0.0
BANC_CISO,1433.0
BPAT_GCPD,428.0
BPAT_NWMT,708.0
BPAT_NEVP,228.0
BPAT_PSEI,3479.0
BPAT_CISO,3325.0
BPAT_LDWP,3138.0
BPAT_IPCO,136.0
BPAT_DOPD,211.0
BPAT_TPWR,636.0
BPAT_SCL,1375.0
BPAT_BANC,2091.0
BPAT_PGE,2786.0
BPAT_CHPD,183.0
BPAT_PACW,2530.0
BPAT_AVA,1465.0
CHPD_DOPD,216.0
CHPD_BPAT,1269.0
CHPD_PSEI,316.0
CHPD_AVA,36.0
CISO_NEVP,398.0
CISO_TIDC,633.0
CISO_IID,179.0
CISO_WALC,176.0
CISO_LDWP,711.0
CISO_BPAT,1377.0
CISO_SRP,476.0
CISO_BANC,952.0
CISO_PACW,0.0
CISO_AZPS,208.0
DOPD_CHPD,245.0
DOPD_BPAT,797.0
EPE_PNM,172.0
EPE_TEPC,301.0
GCPD_PACW,343.0
GCPD_BPAT,1340.0
GCPD_PSEI,22.0
GCPD_AVA,68.0
IID_WALC,87.0
IID_CISO,504.0
IID_AZPS,73.0
IPCO_NWMT,0.0
IPCO_NEVP,391.0
IPCO_PACE,783.0
IPCO_BPAT,123.0
IPCO_PACW,1062.0
IPCO_AVA,122.0
LDWP_NEVP,1915.0
LDWP_CISO,4734.0
LDWP_WALC,0.0
LDWP_PACE,17.0
LDWP_BPAT,0.0
LDWP_AZPS,0.0
NEVP_CISO,598.0
NEVP_WALC,1145.0
NEVP_LDWP,342.0
NEVP_PACE,269.0
NEVP_BPAT,92.0
NEVP_IPCO,132.0
NWMT_WAUW,251.0
NWMT_PACE,390.0
NWMT_BPAT,1854.0
NWMT_IPCO,21.0
NWMT_AVA,193.0
PACE_NWMT,197.0
PACE_NEVP,613.0
PACE_LDWP,478.0
PACE_WACM,296.0
PACE_IPCO,2063.0
PACE_PACW,0.0
PACE_AZPS,848.0
PACW_GCPD,99.0
PACW_CISO,137.0
PACW_PACE,1758.0
PACW_IPCO,939.0
PACW_BPAT,59.0
PACW_PGE,319.0
PACW_AVA,216.0
PGE_PACW,199.0
PGE_BPAT,0.0
PNM_PSCO,0.0
PNM_SRP,0.0
PNM_TEPC,517.0
PNM_EPE,650.0
PNM_WACM,621.0
PNM_AZPS,350.0
PSCO_PNM,205.0
PSCO_WACM,95.0
PSEI_GCPD,408.0
PSEI_BPAT,0.0
PSEI_TPWR,37.0
PSEI_SCL,152.0
PSEI_CHPD,240.0
SCL_BPAT,461.0
SCL_PSEI,184.0
SRP_CISO,2736.0
SRP_WALC,196.0
SRP_TEPC,859.0
SRP_PNM,10.0
SRP_AZPS,5007.0
TEPC_WALC,0.0
TEPC_SRP,522.0
TEPC_EPE,640.0
TEPC_PNM,272.0
TEPC_AZPS,30.0
TIDC_BANC,489.0
TIDC_CISO,263.0
TPWR_BPAT,146.0
TPWR_PSEI,99.0
WACM_WAUW,76.0
WACM_WALC,706.0
WACM_PSCO,1352.0
WACM_PACE,959.0
WACM_PNM,341.0
WACM_AZPS,565.0
WALC_NEVP,646.0
WALC_CISO,481.0
WALC_IID,75.0
WALC_LDWP,2352.0
WALC_TEPC,378.0
WALC_SRP,759.0
WALC_WACM,0.0
WALC_AZPS,395.0
WAUW_NWMT,125.0
WAUW_WACM,137.0
