,SelectedNodes
0,10001
1,10022
2,10025
3,10033
4,10035
5,10093
6,10525
7,10558
8,10570
9,10600
10,10677
11,13034
12,13366
13,13415
14,13420
15,13446
16,20000
17,20007
18,20026
19,20238
20,23263
21,25160
22,28688
23,30001
24,30098
25,40001
26,40050
27,40066
28,40602
29,40691
30,50000
31,50007
32,50024
33,50196
34,50316
35,53000
36,53012
37,60000
38,60094
39,60577
40,70000
41,70009
42,70016
43,74001
44,74053
45,74104
46,74132
47,74235
48,77001
49,77094
50,77173
51,80007
52,25675
53,25439
54,28078
55,25289
56,25303
57,40004
58,40003
59,25598
60,28122
61,28365
62,25447
63,30220
64,30221
65,25714
66,21121
67,25474
68,30144
69,30146
70,25403
71,40367
72,40369
73,28549
74,28128
75,60194
76,40281
77,40279
78,25618
79,23017
80,28099
81,25375
82,30205
83,30207
84,40162
85,40160
86,25385
87,13175
88,50099
89,25595
90,23230
91,25730
92,25400
93,40391
94,40390
95,28401
96,30174
97,30172
98,60514
99,60512
100,40168
101,40169
102,28474
103,21165
104,50101
105,25284
106,30225
107,30226
108,10344
109,21140
110,25362
111,40519
112,40518
113,28060
114,40310
115,40309
116,25587
117,28302
118,80047
119,80050
120,80046
121,21129
122,40535
123,30124
124,30184
125,30182
126,40145
127,40144
128,40301
129,40299
130,10609
131,13265
132,30189
133,25455
134,28064
135,30126
136,60403
137,40534
138,40206
139,40208
140,10607
141,21497
142,40564
143,40563
144,10209
145,50077
146,50075
147,60494
148,60495
149,30190
150,11014
151,40843
152,30372
153,26097
154,13499
155,40786
156,21646
157,23377
158,40836
159,40884
160,10750
161,70153
162,25829
163,26133
164,77258
165,26012
166,60662
167,53215
168,20487
169,40878
170,70172
171,26197
172,50385
173,26163
174,53297
175,50397
176,40824
177,21596
178,20390
179,70097
180,10859
181,13684
182,10768
183,60872
184,30390
185,50360
186,10710
187,40903
188,40912
189,13693
190,26017
191,40984
192,23417
193,30451
194,29018
195,10811
196,13698
197,60686
198,13669
199,10965
200,60751
201,40934
202,25938
203,60775
204,11041
205,50448
206,28784
207,10908
208,80091
209,29027
210,13475
211,10683
212,13518
213,70125
214,40739
215,70134
216,25834
217,20428
218,26051
219,21681
220,25904
221,28850
222,28885
223,28765
224,10919
225,26145
226,26215
227,40763
228,29083
229,10944
230,60651
231,60891
232,53253
233,50443
234,40854
235,11077
236,20439
237,30342
238,28844
239,23510
240,20299
241,60629
242,28797
243,40993
244,40756
245,10930
246,26061
247,13509
248,60833
249,26157
250,28013
251,28024
252,13177
253,25576
254,21131
255,28527
256,28048
257,25490
258,60308
259,60309
260,40151
261,40154
262,25657
263,21182
264,25665
265,21108
266,40191
267,40192
268,28361
269,25096
270,28503
271,25554
272,40076
273,25659
274,40073
275,25426
276,25769
277,30116
278,30113
279,25276
280,28354
281,40401
282,40399
283,30149
284,30151
285,25268
286,13183
287,13181
288,23099
289,40516
290,40515
291,40196
292,40409
293,40410
294,28417
295,23168
296,30127
297,30128
298,40233
299,30076
