,AVA,AZPS,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
145,1,58,1,0,,0,,0,,5,1,45,12,0,2,4,,0,0,,,5,0,,,0,,
146,0,47,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
147,0,43,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
148,0,48,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
149,0,55,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
150,0,57,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
151,0,70,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
152,0,78,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
153,0,69,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
154,0,64,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
155,0,68,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
156,0,69,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
157,0,74,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
158,0,58,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
159,0,63,1,0,,64,,11,,0,0,4,0,0,0,0,,9,12,,,6,16,,,0,,
160,0,125,1,0,,1646,,67,,18,3,33,8,0,50,3,,98,135,,,157,94,,,7,,
161,6,231,8,1,,3929,,89,,62,74,176,36,1,246,26,,156,263,,,363,123,,,33,,
162,14,305,30,2,,5139,,89,,71,134,311,82,4,419,72,,168,265,,,542,148,,,34,,
163,13,369,49,1,,6282,,86,,79,129,459,124,4,484,67,,165,252,,,558,149,,,36,,
164,10,351,55,2,,6419,,86,,80,129,476,150,5,500,65,,165,205,,,550,149,,,34,,
165,11,348,69,2,,6757,,87,,82,136,444,161,5,410,57,,163,156,,,553,153,,,38,,
166,12,356,61,2,,6965,,87,,85,166,468,133,4,431,62,,159,155,,,555,153,,,31,,
167,13,348,37,2,,5590,,74,,84,168,439,80,2,283,47,,121,122,,,471,121,,,19,,
168,5,265,22,0,,1687,,26,,51,67,250,30,0,104,26,,27,27,,,241,20,,,3,,
169,0,109,8,0,,1687,,1,,9,1,39,3,0,6,58,,0,0,,,18,0,,,0,,
170,0,90,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
171,0,90,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
172,0,99,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
173,0,49,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
174,0,17,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
175,0,1,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
176,0,2,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
177,0,7,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
178,0,9,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
179,0,3,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
180,0,3,0,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
181,0,2,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
182,0,2,0,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
183,0,10,0,0,,133,,1,,0,0,4,0,0,2,0,,3,14,,,3,10,,,0,,
184,0,99,0,0,,2108,,12,,20,11,62,36,0,123,3,,72,156,,,175,121,,,21,,
185,0,234,8,0,,4268,,23,,66,79,254,165,7,448,9,,113,268,,,444,151,,,42,,
186,1,348,16,0,,5610,,33,,80,142,538,271,10,553,14,,136,268,,,519,156,,,41,,
187,2,310,16,0,,5965,,37,,86,125,639,280,8,511,29,,138,257,,,539,151,,,38,,
188,2,219,26,0,,5866,,44,,89,108,662,263,6,519,45,,143,249,,,528,150,,,36,,
189,0,227,19,1,,5731,,41,,89,114,590,263,6,500,44,,144,262,,,541,155,,,38,,
190,1,231,17,1,,5232,,38,,102,86,510,243,6,512,42,,141,266,,,542,156,,,38,,
191,1,230,13,1,,3678,,29,,81,38,356,225,3,395,29,,112,185,,,471,128,,,31,,
192,1,229,5,0,,967,,12,,51,13,132,83,0,118,12,,30,25,,,220,24,,,7,,
193,0,129,3,0,,967,,1,,7,0,22,8,0,2,3,,0,0,,,15,0,,,0,,
194,0,117,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
195,0,128,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
196,0,114,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
197,0,19,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
198,0,9,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
199,0,14,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
200,0,12,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
201,0,6,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
202,0,15,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
203,0,16,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
204,0,23,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
205,0,13,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
206,0,4,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
207,0,11,1,0,,57,,2,,0,0,4,0,0,0,0,,2,7,,,4,5,,,0,,
208,0,47,1,0,,2556,,15,,26,3,84,29,0,60,4,,62,71,,,100,19,,,7,,
209,0,108,9,1,,4966,,33,,90,24,422,214,2,219,38,,104,133,,,153,52,,,25,,
210,2,130,24,3,,5657,,48,,111,35,798,398,4,287,86,,128,167,,,331,82,,,33,,
211,0,125,47,3,,5812,,40,,116,39,837,387,7,399,68,,124,169,,,375,94,,,31,,
212,5,142,53,2,,5836,,34,,113,52,834,349,6,475,82,,124,164,,,426,68,,,24,,
213,5,182,64,2,,5728,,42,,113,59,831,358,7,534,78,,104,143,,,451,75,,,20,,
214,6,246,59,2,,5352,,52,,111,52,790,380,5,633,71,,80,89,,,473,65,,,14,,
215,2,213,41,3,,3443,,42,,101,37,676,362,2,623,48,,43,44,,,411,22,,,8,,
216,0,189,19,2,,1164,,18,,41,14,298,211,0,256,33,,9,14,,,155,4,,,4,,
217,1,101,7,0,,1164,,0,,6,2,26,56,0,8,9,,0,0,,,12,0,,,0,,
218,0,32,1,0,,0,,0,,0,0,3,72,0,0,0,,0,0,,,0,0,,,0,,
219,0,4,1,0,,0,,0,,0,0,3,72,0,0,0,,0,0,,,0,0,,,0,,
220,0,8,1,0,,0,,0,,0,0,3,72,0,0,0,,0,0,,,0,0,,,0,,
221,0,10,1,0,,0,,0,,0,0,3,72,0,0,0,,0,1,,,0,0,,,0,,
222,0,4,1,0,,0,,0,,0,0,3,72,0,0,0,,0,0,,,0,0,,,0,,
223,0,3,1,0,,0,,0,,0,0,3,72,0,0,0,,0,0,,,0,0,,,0,,
224,0,5,1,0,,0,,0,,0,0,4,62,0,0,0,,0,0,,,0,0,,,0,,
225,0,11,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
226,0,10,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
227,0,14,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
228,0,4,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
229,0,2,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
230,0,5,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
231,0,8,1,0,,32,,3,,0,0,3,0,0,0,0,,5,12,,,1,5,,,0,,
232,0,18,3,0,,2659,,15,,29,1,109,71,0,151,3,,54,110,,,40,10,,,12,,
233,0,60,11,1,,5352,,27,,87,28,510,305,1,484,41,,87,204,,,159,19,,,17,,
234,12,93,40,3,,6533,,48,,113,80,788,385,3,584,83,,125,242,,,244,23,,,23,,
235,8,120,32,3,,6757,,54,,111,137,843,372,5,463,112,,126,231,,,369,35,,,30,,
236,5,135,47,2,,7091,,50,,110,138,856,354,5,409,103,,105,220,,,396,32,,,29,,
237,0,148,53,2,,7320,,27,,111,134,849,352,6,532,113,,61,176,,,446,34,,,25,,
238,8,174,43,3,,7115,,19,,113,139,809,374,8,567,120,,36,106,,,466,19,,,21,,
239,11,285,36,3,,5721,,7,,104,157,701,370,0,433,122,,18,59,,,393,15,,,22,,
240,5,249,13,1,,1984,,4,,64,74,374,269,0,168,63,,2,9,,,219,4,,,8,,
241,0,99,4,0,,0,,0,,9,2,55,108,0,5,11,,0,0,,,23,0,,,0,,
242,0,46,0,0,,0,,0,,0,0,3,95,0,0,0,,0,0,,,0,0,,,0,,
243,0,2,0,0,,0,,0,,0,0,3,95,0,0,0,,0,0,,,0,0,,,0,,
244,0,2,0,0,,0,,0,,0,0,3,95,0,0,0,,0,0,,,0,0,,,0,,
245,0,0,0,0,,0,,0,,0,0,4,95,0,0,0,,0,0,,,0,0,,,0,,
246,0,0,0,0,,0,,0,,0,0,3,94,0,0,0,,0,0,,,0,0,,,0,,
247,0,0,0,0,,0,,0,,0,0,4,94,0,0,0,,0,0,,,0,0,,,0,,
248,0,0,0,0,,0,,0,,0,0,4,94,0,0,0,,0,0,,,0,0,,,0,,
249,0,0,0,0,,0,,0,,2,0,3,90,0,0,0,,0,0,,,0,0,,,0,,
250,0,0,0,0,,0,,0,,3,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
251,0,1,0,0,,0,,0,,3,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
252,0,0,0,0,,0,,0,,3,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
253,0,2,0,0,,0,,0,,2,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
254,0,2,0,0,,0,,0,,3,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
255,0,9,0,0,,129,,6,,2,0,4,0,0,0,0,,1,0,,,5,11,,,0,,
256,0,88,3,0,,1817,,49,,3,11,114,92,0,131,3,,24,2,,,149,63,,,11,,
257,2,201,11,0,,4024,,80,,2,84,347,295,6,424,13,,56,12,,,389,132,,,25,,
258,7,287,30,1,,5350,,88,,3,148,549,331,10,475,26,,76,35,,,523,137,,,28,,
259,11,327,57,1,,5780,,85,,2,142,744,316,8,477,47,,82,52,,,536,143,,,26,,
260,10,318,79,1,,5705,,80,,2,141,668,331,6,451,53,,101,57,,,531,141,,,24,,
261,8,249,81,1,,5382,,86,,3,130,638,322,9,485,49,,102,60,,,508,151,,,25,,
262,10,214,72,1,,4343,,85,,2,152,485,244,10,2088,44,,101,48,,,533,111,,,24,,
263,7,231,35,0,,3352,,77,,3,155,363,165,5,416,28,,68,27,,,480,108,,,25,,
264,0,193,16,0,,1731,,36,,2,68,205,48,0,260,25,,22,5,,,171,26,,,9,,
265,1,116,6,0,,1731,,1,,2,0,38,4,0,6,9,,0,0,,,12,0,,,0,,
266,0,111,1,0,,0,,0,,2,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
267,0,67,1,0,,0,,0,,2,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
268,0,11,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
269,0,43,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
270,0,25,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
271,0,7,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
272,0,4,1,0,,0,,0,,0,0,4,0,0,0,0,,0,1,,,0,0,,,0,,
273,0,11,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
274,0,5,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
275,0,2,1,0,,0,,0,,0,0,3,0,0,0,0,,0,0,,,0,0,,,0,,
276,0,8,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
277,0,8,1,0,,0,,0,,0,0,4,0,0,0,0,,0,0,,,0,0,,,0,,
