FULTON_20_hydro,MC_CALL_20_hydro,MESA_CAL_20_hydro,ROUND_MT_20_hydro,SUMMIT_20_hydro,TESLA_20_hydro,CANAD_G1_20_hydro,CMAIN_GM_20_hydro,COTWDWAP_20_hydro,COULEE_20_hydro,CRAIG_20_hydro,DALLES21_20_hydro,EMERY_20_hydro,HANFORD_20_hydro,HOOVER_20_hydro,IMPERIAL_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,MIDPOINT_20_hydro,MONTA_G1_20_hydro,NAUGHT_20_hydro,NAVAJO_2_20_hydro,NORTH_G3_20_hydro,OWENS_G_20_hydro,RNCHSECO_20_hydro,SJUAN_G4_20_hydro,WCASCADE_20_hydro
12,635.6407173,363,2661.94914,82.9461,945.0614692,3182.509068,1384.912295,314,2593,187,892.9569894,15.35416667,1139,488,132.6,734,391.6,472.6096257,139,220,337,2059.6,31.2,138,379.2,115
13.9,446.3,268,3031.54914,57.1461,1236.350911,3119.157355,1357.164008,314,2593,138,600.7569894,11.15416667,1139,488,100,1007.88917,489.4,429,139,162,251,1697.8,22,138,280,172
12.4,647.9,268,2812.368729,51,885.9509111,3095.733398,1353.487965,314,2593,138,584,8.55178571,1139,488,100,876.3368449,587.2,429,139,162,251,1336,22,138,280,229
15.4,706.0523105,268,2442.768729,51,1051.4,3329.207194,1638.365105,314,2593,138,876.2,12.75178571,1139,488,100,1243.536845,685,429,139,162,251,1697.8,22,138,280,286
12.4,907.6523105,268,2073.168729,51,701,4209.407194,2079.365105,314,3889,138,796.5123409,16.95178571,1707.8,523.5420519,100,1101.2,587.2,643.2,208,162,251,2059.6,22,138,419.8,229
9.4,1109.25231,268,1933.175086,51,701,5089.607194,2520.365105,314,5185,138,1088.712341,21.15178571,2276.6,767.7420519,100,1468.4,557.0578708,857.4,277,162,251,2421.4,22,138,559.6,286
6.4,1310.85231,401.8,2219.792365,51,1051.4,5850.823901,2961.365105,314,6481,138,796.5123409,25.35178571,2845.4,1011.942052,150.4,1101.2,459.2578708,1071.6,346,243,377,2425.136097,32.8,138,699.4,229
6,1512.45231,535.6,1967.552394,76.8,1401.8,6329.807063,3402.365105,314,7777,138,584,29.55178571,3414.2,1256.142052,200.8,734,361.4578708,1285.8,415,324,503,2786.936097,43.6,207,839.2,172
6,1714.05231,669.4,1834.575296,102.6,1752.2,5449.607063,3837,471.2,9073,207,584,33.75178571,3232.468954,1500.342052,251.2,734,263.6578708,1500,484,405,629,2425.136097,54.4,276,979,115
6,1753.9,770.4456225,1967.059325,128.4,2102.6,4569.407063,3837,336.4275302,9544.112776,276,584,34,3801.268954,1325.271106,301.6,734,196,1285.8,553,486,755,2786.936097,65.2,284.9839383,1118.8,115
6,1753.9,636.6456225,2110.555397,152.5305,1752.2,3689.207063,3837,314,10512.12492,227.130257,584,34,3471.627616,1081.071106,254.8653641,734,196,1093.21075,603,567,881,2950.076585,57.07440346,215.9839383,1218,115
6,1753.9,535.6,2221.122869,128.4,1424.833816,3990.541335,3837,314,9216.124918,164.7340398,584,34,4040.427616,836.8711057,302.459712,893.9674281,277.8614195,1148.772778,603,566.1724143,954.7153167,2588.276585,60.16794236,146.9839383,1218,115
6,1753.9,401.8,2236.529985,102.6,1074.433816,4164.768151,3837,314,7920.124918,220.1357033,584,34,4122.503429,768.2975888,252.059712,1261.167428,375.6614195,1132.503814,603,485.1724143,828.7153167,2546.375318,49.36794236,138,1218,115
6,1753.9,268,1972.846732,76.8,724.0338155,4949.216013,3837,377.9330958,6624.124918,207,584,34,3553.703429,647.4435758,201.659712,1628.367428,473.4614195,1182.617853,603,404.1724143,702.7153167,2783.2,38.56794236,207,1218,115
9,1753.9,303.0146888,2173.872628,51,1074.433816,5829.416013,3837,535.1330958,5328.124918,138,876.2,34,3414.2,891.6435758,200.8,1995.567428,571.2614195,1051.711771,603,323.1724143,576.7153167,3145,27.76794236,276,1079.493695,172
6,1753.9,436.8146888,2543.472628,76.8,1424.833816,6709.616013,3837,692.3330958,6624.124918,207,584,34,3983,1135.843576,251.2,1628.367428,473.4614195,1265.911771,603,404.1724143,702.7153167,2956.119328,38.56794236,345,1218,115
9,1753.9,570.6146888,2715.53346,102.6,1775.233816,7511.910874,3837,849.5330958,7920.124918,276,584,34,4551.8,1380.043576,301.6,1725.2,375.6614195,1480.111771,603,485.1724143,828.7153167,2788.381863,49.36794236,414,1218,115
6,1753.9,704.4146888,2456.533699,128.4,2125.633816,7161.775769,3837,1006.733096,9073,345,692.9776768,34,3983,1624.243576,352,2092.4,362,1332.518182,603,566.1724143,881,2426.581863,60.16794236,483,1089.492434,115
7.2825,1753.9,803.2,2388.391615,154.2,2102.6,6497.948209,3837,942.8,7777,414,985.1776768,34,3414.2,1659.614511,301.6,2459.6,459.8,1546.718182,603,486,755,2605.622037,65.2,414,949.6924341,158.29
10.2825,1753.9,669.4,2553.269515,128.4,1752.2,5710.727825,3837,785.6,6481,345,1277.377677,34,2845.4,1415.414511,251.2,2826.8,557.6,1760.918182,603,405,629,2967.422037,54.4,345,809.8924341,215.29
13.2825,1753.9,535.6,2488.059183,102.6,1401.8,4830.527825,3837,628.4,5185,276,1569.577677,34,2276.6,1171.214511,200.8,3194,655.4,1549.795231,603,324,503,3145,43.6,276,670.0924341,272.29
16.2825,1658.402351,401.8,2239.211381,76.8,1051.4,3950.327825,3396,471.2,3889,207,1724.251501,34,1707.8,927.0145111,150.4,2826.8,753.2,1335.595231,584.7,243,377,2783.2,32.8,207,530.2924341,329.29
19.2825,1456.802351,268,1943.902867,51,701,3503.841565,2955,314,2593,138,2016.451501,34,1139,682.8145111,100,3194,851,1121.395231,515.7,162,251,3145,22,138,390.4924341,386.29
16.2825,1255.202351,268,1632.95027,51,701,2664.81724,3006.304123,314,2593,138,1724.251501,29.8,1139,488,100,2826.8,753.2,907.1952311,446.7,162,251,2783.2,22,138,280,329.29
17.1,1053.602351,268,1442.399858,51,701,2731.81724,2565.304123,314,2593,138,1432.051501,25.6,1139,488,100,2459.6,655.4,692.9952311,377.7,162,251,2421.4,22,138,280,272.29
20.1,852.0023512,268,1811.999858,51,701,3061.51724,2124.304123,314,2593,138,1139.851501,21.4,1139,488,100,2092.4,557.6,478.7952311,308.7,162,251,2059.6,22,138,280,215.29
23.1,650.4023512,268,2181.599858,51,1051.4,3390.81724,1683.304123,314,2593,138,847.6515008,17.2,1139,488,100,1725.2,655.4,429,239.7,162,251,1697.8,22,138,280,212.3007242
26.1,658.3817659,268,2551.199858,51,1401.8,3331.087965,1651.033398,314,2593,138,1020.608271,13,1139,488,100,2092.4,753.2,429,170.7,162,251,1336,22,138,280,269.3007242
26.1,859.9817659,268,2920.799858,51,1051.4,4128.959436,2092.033398,314,2593,138,1312.808271,8.8,1166.790647,642.0273748,100,2459.6,851,429,139,162,251,1697.8,22,138,280,326.3007242
23.1,1061.581766,268,3215.5,51,701,5009.159436,2533.033398,314,3724.486911,138,1020.608271,13,1735.590647,768.1985011,100,2092.4,753.2,429,208,162,377,2059.6,22,138,419.8,269.3007242
20.1,1263.181766,268,2929.161105,51,701,5285.005894,2974.033398,314,4702.005268,138,728.4082707,17.2,2304.390647,523.9985011,100,1725.2,655.4,429,277,162,503,2421.4,22,138,559.6,212.3007242
17.1,1464.781766,268,2761.898298,51,701,6165.205894,3415.033398,314,5998.005268,138,1020.608271,21.4,2873.190647,699.4201052,100,1570.418247,557.6,429,346,243,629,2783.2,22,138,699.4,214.2960632
14.1,1666.381766,268,2852.351619,51,701,6388.310655,3837,314,7294.005268,138,728.4082707,25.6,3441.990647,880.7805437,100,1203.218247,459.8,429,405.125,281.15515,755,3145,22,138,839.2,157.2960632
11.1,1753.9,268,2841.555587,51,701,6651.78999,3837,314,7878.745303,138,600.1006498,21.4,4010.790647,929.4591657,100,836.0182471,362,429,336.125,200.15515,781.14595,3145,22,138,979,214.2960632
8.1,1753.9,268,2774.507838,51,701,6687.369122,3837,314,7131.076841,138,892.3006498,17.2,4579.590647,1065.491848,100,866.3142893,458.695825,429,267.125,162,655.14595,3145,22,138,1118.8,271.2960632
6,1753.9,268,2540.031338,51,701,6608.692696,3837,314,5835.076841,185.25,1184.50065,13,4953,934.3221528,100,1233.514289,556.495825,497.4293422,198.125,220,715,2975.305304,22,138,1218,328.2960632
6,1753.9,268,2798.451712,51,701,6347.139344,3837,432.6851924,4798,254.25,1476.70065,16.275,4953,844.0839931,100,1600.714289,585.4527501,711.6293422,258,301,589,2613.505304,22,138,1218,385.2960632
6,1753.9,268,3168.051712,51,701,5466.939344,3517.983086,589.8851924,6094,323.25,1184.50065,20.475,4384.2,651.6022587,133.50815,1499.802391,587.2,925.8293422,327,382,715,2251.705304,22,145.4625,1078.2,343
8.355,1753.9,401.8,2798.451712,76.8,915.5333333,4586.739344,3076.983086,747.0851924,7390,392.25,1383.662363,24.675,3815.4,640.1440354,183.90815,1835.6,489.4,1140.029342,396,463,841,1889.905304,32.8,214.4625,938.4,286
6,1753.9,535.6,2428.851712,102.6,1265.933333,5466.939344,3396,904.2851924,8686,461.25,1091.462363,28.875,4384.2,884.3440354,234.30815,1468.4,391.6,1354.229342,465,544,967,2064.979295,43.6,283.4625,1078.2,229
6,1753.9,669.4,2360.305212,128.4,1616.333333,6347.139344,3837,1061.485192,9982,530.25,864.5480278,33.075,4953,1128.544035,284.70815,1101.2,293.8,1568.429342,534,625,1093,2426.779295,54.4,352.4625,1218,172
6,1753.9,803.2,2185.506422,154.2,1966.733333,5466.939344,3837,1218.685192,11278,599.25,584,34,4953,1372.744035,335.10815,734,196,1782.629342,603,706,1093,2064.979295,65.2,421.4625,1218,115
6,1753.9,937,2010.408436,180,2317.133333,5467.960614,3837,1368,9982,530.25,584,34,4880.573094,1497.977668,385.50815,734,196,1568.429342,603,706,1093,2421.4,76,490.4625,1218,115
6,1753.9,880.6625,1890.107916,169.28905,2667.533333,5815.620487,3837,1234.428461,8686,461.25,584,34,4311.773094,1510.680557,335.10815,734,196,1354.229342,603,706,1093,2783.2,78.3875,421.4625,1168.3431,115
6,1753.9,746.8625,1950.912876,143.48905,2317.133333,5678.375696,3837,1077.228461,7390,392.25,584,34,3742.973094,1577.43093,284.70815,1101.2,293.8,1140.029342,534,625,1093,3145,67.5875,352.4625,1028.5431,172
6,1753.9,613.0625,2320.512876,117.68905,1966.733333,4798.175696,3674.325172,920.0284614,6094,323.25,876.2,29.8,3174.173094,1333.23093,234.30815,1468.4,391.6,925.8293422,465,544,1093,2783.2,56.7875,283.4625,888.7431,229
9,1753.9,479.2625,2690.112876,91.88905,1616.333333,3917.975696,3233.325172,762.8284614,4798,254.25,740.497369,25.6,2605.373094,1089.03093,183.90815,1835.6,489.4,711.6293422,396,463,967,2421.4,45.9875,214.4625,748.9431,286
12,1552.3,345.4625,3059.712876,66.08905,1265.933333,3355.996191,2792.325172,605.6284614,3502,185.25,1032.697369,21.4,2036.573094,844.8309297,133.50815,2202.8,587.2,497.4293422,327,382,841,2099.578532,35.1875,145.4625,609.1431,343
15,1350.7,268,3215.5,51,915.5333333,3558.681834,2351.325172,448.4284614,2593,138,1324.897369,17.2,1467.773094,600.6309297,100,2570,685,429,258,301,715,2019.469776,24.3875,138,469.3431,400
18,1149.1,268,3215.5,51,701,3613.689944,1972.331419,314,2593,138,1617.097369,13,1139,625.9457824,100,2937.2,782.8,429,189,220,589,1657.669776,22,138,329.5431,457
21,947.5,268,3215.5,51,701,3566.891599,1968.129764,314,2593,138,1909.297369,8.8,1139,789.6870762,100,3194,851,429,139,162,463,1323.990395,22,138,280,400.525
