,Generator,Time,Value
163,CENTRALE-3,20,0.0
164,CENTRALE-3,21,0.0
165,CENTRALE-3,22,15.4
166,CENTRALE-3,23,15.4
167,CENTRALE-3,24,0.0
168,CENTRALE-5,1,0.0
169,CENTRALE-5,2,0.0
170,CENTRALE-5,3,0.0
171,CENTRALE-5,4,0.0
172,CENTRALE-5,5,0.0
173,CENTRALE-5,6,0.0
174,CENTRALE-5,7,0.0
175,CENTRALE-5,8,10.0
176,CENTRALE-5,9,0.0
177,CENTRALE-5,10,0.0
178,CENTRALE-5,11,6.3274999999999935
179,CENTRALE-5,12,10.0
180,CENTRALE-5,13,0.0
181,CENTRALE-5,14,0.0
182,CENTRALE-5,15,0.0
183,CENTRALE-5,16,0.0
184,CENTRALE-5,17,10.0
185,CENTRALE-5,18,2.6324999999999985
186,CENTRALE-5,19,10.0
187,CENTRALE-5,20,0.0
188,CENTRALE-5,21,10.0
189,CENTRALE-5,22,10.0
190,CENTRALE-5,23,0.0
191,CENTRALE-5,24,0.0
192,CENTRALE-6,1,0.0
193,CENTRALE-6,2,0.0
194,CENTRALE-6,3,0.0
195,CENTRALE-6,4,0.0
196,CENTRALE-6,5,0.0
197,CENTRALE-6,6,0.0
198,CENTRALE-6,7,0.0
199,CENTRALE-6,8,0.0
200,CENTRALE-6,9,0.0
201,CENTRALE-6,10,18.6
202,CENTRALE-6,11,0.0
203,CENTRALE-6,12,0.0
204,CENTRALE-6,13,18.6
205,CENTRALE-6,14,18.6
206,CENTRALE-6,15,0.0
207,CENTRALE-6,16,0.0
208,CENTRALE-6,17,0.0
209,CENTRALE-6,18,0.0
210,CENTRALE-6,19,18.6
211,CENTRALE-6,20,0.0
212,CENTRALE-6,21,18.6
213,CENTRALE-6,22,0.0
214,CENTRALE-6,23,0.0
215,CENTRALE-6,24,0.0
216,KHAN_RUSSEY_KEO_COLBEN,1,0.0
217,KHAN_RUSSEY_KEO_COLBEN,2,0.0
218,KHAN_RUSSEY_KEO_COLBEN,3,0.0
219,KHAN_RUSSEY_KEO_COLBEN,4,0.0
220,KHAN_RUSSEY_KEO_COLBEN,5,0.0
221,KHAN_RUSSEY_KEO_COLBEN,6,0.0
222,KHAN_RUSSEY_KEO_COLBEN,7,0.0
223,KHAN_RUSSEY_KEO_COLBEN,8,0.0
224,KHAN_RUSSEY_KEO_COLBEN,9,0.0
225,KHAN_RUSSEY_KEO_COLBEN,10,0.0
226,KHAN_RUSSEY_KEO_COLBEN,11,0.0
227,KHAN_RUSSEY_KEO_COLBEN,12,0.0
228,KHAN_RUSSEY_KEO_COLBEN,13,0.0
229,KHAN_RUSSEY_KEO_COLBEN,14,0.0
230,KHAN_RUSSEY_KEO_COLBEN,15,0.0
231,KHAN_RUSSEY_KEO_COLBEN,16,0.0
232,KHAN_RUSSEY_KEO_COLBEN,17,0.0
233,KHAN_RUSSEY_KEO_COLBEN,18,0.0
234,KHAN_RUSSEY_KEO_COLBEN,19,0.0
235,KHAN_RUSSEY_KEO_COLBEN,20,0.0
236,KHAN_RUSSEY_KEO_COLBEN,21,0.0
237,KHAN_RUSSEY_KEO_COLBEN,22,0.0
238,KHAN_RUSSEY_KEO_COLBEN,23,0.0
239,KHAN_RUSSEY_KEO_COLBEN,24,0.0
240,KHAN_DANG_KOR,1,0.0
241,KHAN_DANG_KOR,2,0.0
242,KHAN_DANG_KOR,3,0.0
243,KHAN_DANG_KOR,4,0.0
244,KHAN_DANG_KOR,5,0.0
245,KHAN_DANG_KOR,6,0.0
246,KHAN_DANG_KOR,7,0.0
247,KHAN_DANG_KOR,8,0.0
248,KHAN_DANG_KOR,9,0.0
249,KHAN_DANG_KOR,10,0.0
250,KHAN_DANG_KOR,11,0.0
251,KHAN_DANG_KOR,12,0.0
252,KHAN_DANG_KOR,13,0.0
253,KHAN_DANG_KOR,14,0.0
254,KHAN_DANG_KOR,15,0.0
255,KHAN_DANG_KOR,16,0.0
256,KHAN_DANG_KOR,17,0.0
257,KHAN_DANG_KOR,18,0.0
258,KHAN_DANG_KOR,19,0.0
259,KHAN_DANG_KOR,20,0.0
260,KHAN_DANG_KOR,21,0.0
261,KHAN_DANG_KOR,22,0.0
262,KHAN_DANG_KOR,23,0.0
263,KHAN_DANG_KOR,24,0.0
264,KEANSVAY,1,0.0
265,KEANSVAY,2,0.0
266,KEANSVAY,3,0.0
267,KEANSVAY,4,0.0
268,KEANSVAY,5,0.0
269,KEANSVAY,6,0.0
270,KEANSVAY,7,0.0
271,KEANSVAY,8,0.0
272,KEANSVAY,9,0.0
273,KEANSVAY,10,0.0
274,KEANSVAY,11,0.0
275,KEANSVAY,12,0.0
276,KEANSVAY,13,0.0
277,KEANSVAY,14,0.0
278,KEANSVAY,15,0.0
279,KEANSVAY,16,0.0
280,KEANSVAY,17,0.0
281,KEANSVAY,18,0.0
282,KEANSVAY,19,0.0
283,KEANSVAY,20,0.0
284,KEANSVAY,21,0.0
285,KEANSVAY,22,0.0
286,KEANSVAY,23,0.0
287,KEANSVAY,24,0.0
288,KAMPONG_CHAM_GTS,1,0.0
289,KAMPONG_CHAM_GTS,2,0.0
290,KAMPONG_CHAM_GTS,3,0.0
291,KAMPONG_CHAM_GTS,4,0.0
292,KAMPONG_CHAM_GTS,5,0.0
293,KAMPONG_CHAM_GTS,6,0.0
294,KAMPONG_CHAM_GTS,7,0.0
295,KAMPONG_CHAM_GTS,8,10.74
296,KAMPONG_CHAM_GTS,9,10.74
297,KAMPONG_CHAM_GTS,10,0.0
298,KAMPONG_CHAM_GTS,11,0.0
299,KAMPONG_CHAM_GTS,12,10.74
300,KAMPONG_CHAM_GTS,13,0.0
301,KAMPONG_CHAM_GTS,14,10.74
302,KAMPONG_CHAM_GTS,15,10.74
303,KAMPONG_CHAM_GTS,16,10.74
304,KAMPONG_CHAM_GTS,17,0.0
305,KAMPONG_CHAM_GTS,18,0.0
306,KAMPONG_CHAM_GTS,19,10.74
307,KAMPONG_CHAM_GTS,20,0.0
308,KAMPONG_CHAM_GTS,21,0.0
