CORONADO_20_wind,MALIN_20_wind,JOHN_DAY_20_wind,DALLES21_20_wind,COULEE_20_wind,HANFORD_20_wind,WCASCADE_20_wind,CMAIN_GM_20_wind,MIDPOINT_20_wind,MONTA_G1_20_wind,BRIDGER_20_wind,VALMY_20_wind,COLOEAST_20_wind
2324.6,29.7,7.6,196.2,52.8,570.1,14.2,735,0,89.4,2918.4,407.9,594.2
2386.3,29,8.7,202,46,731,12.8,700.5,0,51.2,2907.8,340.5,636.5
2490.2,27.7,9.3,207.6,70.6,983.7,10.1,742.6,0,26.8,2891.6,340.2,624.7
2368.9,26.8,11.4,214.2,94.6,1197,17.3,918.6,0,19.6,2816,382.4,558.8
2440,27.9,10.3,222.5,94.9,1535.9,20.3,989,0,31,2715.8,416.8,657.1
2694.4,27.9,11.3,217.1,79.9,2074,22.5,1044.3,0,55.9,2709.8,398.1,736.9
2752.7,28.1,9.6,212.5,66.1,2096.2,22,1030.2,0,111.8,2419.4,402.9,788.8
2733.3,28.7,9.9,209.9,49.6,2106.8,21.5,1122.6,0,223.9,2548,238,788.5
2761,29.4,8.2,196.4,39.3,2391.6,19.9,1164.6,0,274.2,2036.8,128,843.1
2559.4,29.2,6.1,183,40.8,2158.1,19.6,1189.2,0,391.3,1931.7,18.8,633.8
2373.4,26.6,4.8,181.8,24.5,2404.2,21.7,1205.9,0,524.1,2423.4,21.6,430.3
2491.5,25.1,3.6,193.5,7.4,2369.6,16.6,1203.2,0,633.8,2153.1,118.8,123.3
2223.8,28.5,2.6,210.6,1.9,2457.9,8.9,1250.6,0,789,2741.1,219.3,155.6
1970.6,27.8,2.9,258.1,0.6,2138.8,8.5,1290.7,0,867.2,2297.6,383.3,473.8
1584.5,29.2,1.9,274.2,4.6,2052.3,9.2,1278.6,0,884.3,1626,514.1,724.2
1385.7,30,1.7,280.8,16.3,2214.6,12.5,1239.5,0,898.7,1337.7,558.6,876.4
868.8,29.9,2.8,282.3,9.6,2514.9,21.1,1143.1,0,892.1,1457.9,555.5,593.1
442.2,29.9,10.2,278.9,10.1,2295.3,24.3,1062.1,0,808.4,1847,549.8,90.7
664.4,29.9,11.4,284.6,29.9,2026.4,24.2,1120.8,0,687.7,2388.9,514.9,86.6
574.4,29.9,5.5,284.7,52.4,2251.6,24.1,1120.5,0,757.2,2497.7,318.3,388.9
583.9,29.9,5.2,280.8,32.5,2697.2,24.7,1130.6,0,776.6,2613.5,358.2,145.1
565.4,29.9,9.5,260.5,23,2742.6,23.7,993.6,0,725.9,2550.8,358.1,45.5
1007.1,29.7,1,178.4,3.4,292.6,2.4,694.2,0,158.2,2550.4,460.7,179.3
2377,29.9,3.9,233.3,4.4,658.7,7.1,819.7,0,126.4,2410.3,532,488.3
2913.9,29.8,6,220.7,11.9,1062.5,9,918.9,0,148.5,2279.6,450.6,598.6
2760.1,26.1,6.4,213.1,12.9,1456,10.8,987.3,0,188.8,1703.2,337.4,428.1
2698.3,18.9,2.4,213.2,21.3,1547.2,14.3,856.9,0,180.3,1507.9,327,612.1
2804.3,28.9,2.7,211.7,10.2,1536.3,13.2,868.2,0,287.5,1878.7,375.9,923.4
2811.9,29.3,2.9,196.4,48.8,1007.1,11.1,987.3,0,365.7,2046.3,434.6,917.8
2848,29,1.8,229.8,31.7,614.5,7.9,1104.6,0,505.1,2086.2,491.3,922.1
2557,28.6,2.4,260.1,18.1,796.3,7.2,1095.9,0,585.3,2518.5,504.5,913.5
2152.3,27,3.4,251,33.4,1066.8,6.7,1125.3,0,651.5,2488,510.2,896.4
1806,20.9,1.6,241.9,83.1,947,6.1,1049.4,0,848.3,2388.7,528.6,879.3
1218.8,13.2,0.7,243.1,83,597.1,4.2,1041.3,0,836.5,2285.8,534.6,836.6
1344.7,5.5,0.6,188.3,37.9,547.5,2.6,943.9,0,855.9,1920.2,547.2,512.5
1116.1,2.4,0.4,86.8,17.8,362.2,2.2,960.8,0,945.2,2418.4,551.2,349.4
1158.4,0.3,0.6,95.1,10.5,373.2,3.7,979.5,0,933.1,2153.5,551.1,596.1
1189.5,0,0.6,94.2,14.5,435.9,2.8,1065.1,0,911.5,2185.9,549.6,500.2
1215,0,0.5,72.2,8.1,945.4,2.5,1034.9,0,827.8,2297.9,547,260.3
1398.2,0.3,0.8,63.2,6.7,891.2,0.4,991.6,0,640.2,2264,553.6,108.6
1595.5,2.5,1.5,54.3,4.9,419.9,0.1,911,0,517,2132.6,577.3,19.2
1730.2,6.1,1.1,53.4,6,189.4,0.7,747.5,0,492.5,1871.5,566.7,6.8
1950.9,8.7,0.9,69,3.5,49.8,0.6,781.5,0,242.3,1682.2,574.7,20.5
2086.1,11.2,0.9,64.6,4.9,47,0.6,864.9,0,147.4,1299.3,573.9,76.8
2272.9,11.3,1.9,55.9,3.6,56.1,0.4,911.6,0,166.9,1401.4,567.1,131.4
2302.3,12.3,3.1,114,1.9,98.5,0.4,916.6,0,212.4,1763.9,575.2,138.1
2259.4,14.2,5.5,196.6,2.6,298.4,1.2,1014.5,0,222.7,2311.1,578.4,138.9
2428.7,13.1,7.6,188,25.6,825.9,3.2,1045.1,0,197.8,2586.8,575.4,269.9
1711.4,10.3,7.8,157.3,40,1306.1,6.6,1068,0,336.8,2908.4,573,914.2
2222.7,9.8,6.2,157,74.6,1502.2,11.2,1013.6,0,389,2877,561.4,903.4
2498.9,10.6,5.1,165.7,87.6,1600,10.1,917,0,427.7,2377.6,465.4,405.6
2663.1,20.9,6,186.4,106.7,1625.9,12.8,970.1,0,579.3,1780.7,479.5,226.5
2615.7,27.4,6.4,227.3,92.5,1887.9,18,973.8,0,581.6,1287.7,520.7,145
2506.7,28.3,3.8,224.3,89.1,2409.5,20.5,996.2,0,574.2,1217.2,480.4,231.1
2331.3,27.8,4,201.4,74.8,2652.5,20.5,1048.3,0,651.4,1601.9,452.2,373.1
1947.5,25.8,3.9,140.6,68.3,2630,18.3,1076.4,0,712.4,2249.7,419.8,510.7
1691,25,3.3,113.2,60.4,2254.3,18.8,1047,0,801.1,2576.4,401.9,417.5
1799.7,25.8,3.9,153.7,53.4,1632.4,19.2,999.7,0,937.2,2754.5,405.3,490.6
1945.1,27.7,5.4,200.5,37.1,1361.4,16.6,1039.6,0,1052.7,2958.5,357.8,653.2
2019.3,28.4,4.8,196.5,26.8,1330,13.5,1142.7,0,1056.6,2897.3,333.7,540.5
2292.4,28.1,3.9,160.5,24,1292.9,13.8,1179.5,0,978.8,2841.6,233.4,430.4
2294.8,27.2,2.9,154.6,22.4,994,13,1181.9,0,908.6,2804.5,191.8,286.4
2569.1,23.6,2.4,167.5,21.2,691.1,11.6,1167.6,0,1065.5,1780.6,217.4,809
2445.6,17,2.7,162.5,18.7,585.3,10.3,1080,0,1120.5,1679.8,148.2,742.2
1653.3,11,2.2,203.6,18.7,918.3,10.6,1081.3,0,1173.4,2502.1,95.8,527.8
1490.4,15.2,2.6,256.6,19.5,1090,8.3,1102.3,0,1198.5,2733.7,45.5,522.5
1487.3,25.8,1.4,248.8,11.6,1144.5,10.2,1063.5,0,1245.6,2687.3,30.6,431
1392.1,29.9,0.9,142.1,2.8,985.7,11.4,1001.8,0,1309.4,2681,17.7,406.4
1318.6,28.1,2.1,120.8,3.7,1148.4,5.4,992.3,0,1245.5,2517.7,10.3,466.1
1194.3,24.2,3,124.4,7.3,1686.9,4.2,981.7,0,1255.3,2035.3,3.3,468.2
926.9,26.6,4.3,129.2,23,2105.7,8.8,999.4,0,1223.4,2328,10.3,527.1
942,26.3,6.2,129.2,37.5,2126.9,17.6,922.2,0,1145.3,2409.9,15.4,568
1175.2,26.3,8.6,257.9,35.1,2411.8,18.2,991.1,0,1165.3,2529,16.5,563.9
1347.2,26.5,7.8,282.2,16.2,2802.4,16.8,1036.4,0,1254.6,2456.9,11.4,689.5
1632,26.6,8.8,281.3,21.9,2833.4,16,1133.3,0,1264.3,2419.7,13.8,722.1
1960.9,26.6,7.9,273.2,33.6,2753.4,16.5,1115.3,0,1305.3,2359.5,32.3,669.6
1728.9,27.7,8.6,257.3,36.9,2456.3,15.2,1007,0,1319.2,2508.7,46.2,449.4
1069.6,29.9,9.9,246.1,54.6,1889.6,19.2,1040.1,0,1312.3,2244.2,58.1,327.1
705,28.9,9.5,224.3,72,1419.5,19,1004.8,0,1228.3,1676.2,38.6,411.2
550.1,25.3,9.1,214.4,51.1,1106.3,18.7,1021.7,0,1084.1,2257.1,42.5,335.2
496.2,24.7,9.7,181.1,65.9,1161.9,20.6,1040.4,0,999.8,2042.9,73.3,314.2
524.2,24.6,9.1,95.8,55.1,1163,19.6,1007.6,0,971.7,1690.2,80.6,280.9
454,22.2,7.1,32.9,61.5,951,21.7,972.2,0,1052.5,1586.4,54.8,258.8
458.2,20.2,6.5,23,35.4,1185.4,21.3,964.6,0,1008,1461.8,61.3,230
478.6,19.4,6,29.2,31.2,1403.4,19,942,0,940.6,1524.7,58.2,179.3
436.1,20.5,5.7,56.3,32.8,1882.1,18.6,939.9,0,976.6,1691.1,45.9,161.3
286,17.1,5.3,91.4,28.1,2408,17.6,935.3,0,926.7,1994.7,26.4,150.9
200.9,10.6,4.9,125.6,21.2,2181.2,16.2,948.1,0,990.5,2125,23.3,135.8
1765.3,10.3,4.3,119.8,9,2083.3,14.5,1062.4,0,943,1461,19.2,302.4
2408.3,12.1,3.2,112.5,10.2,1995,10.8,1049.3,0,956.7,1593.8,9.5,185.3
2509.5,6.5,1.1,171.8,15.2,1579.1,8.9,999.9,0,948.6,2021.6,12.9,502.3
2085.6,5.5,0.5,229.5,11.8,1006.7,5.3,982.6,0,933.8,1903.4,16.9,906.8
2071.6,5.2,0.3,239.1,3.6,625.2,2.6,1011.8,0,962.9,1698.7,19.8,928.5
2278.7,6.7,0.2,247,3.7,540.7,2.5,997.8,0,940.3,1184.3,21.8,928.1
2329.2,25.9,1.9,194.8,22.3,855.1,5,1011.7,0,781.7,1176.5,57.8,924.8
1906.4,21.6,0.5,104.2,25.1,1334.5,8.6,1064.8,0,1125.7,2139.3,134.1,810
1494.4,0.7,0.8,23.3,11.2,1338.1,5.3,941.4,0,1041.1,2049.4,116.2,461.8
1080.1,7.4,0.6,39.2,6.9,592.1,5.3,926.5,0,1088.8,1810,25.1,754.4
1077.3,9.7,1.9,203.9,9.7,1709.6,10.9,986.7,0,1085.1,1696,19.9,823.3
1603.3,6.4,1.4,276.3,23,2167.2,12.3,1010.2,0,1002.6,1830.3,34.2,812
1720.9,3.6,0.7,283.1,25.7,2049.6,10.3,864.8,0,1029.6,1942.8,88.9,769.3
1931.9,9.9,0.8,269.5,12.1,1415.3,8.1,828.8,0,946.6,1736,68.5,782.4
1826.3,20.4,1,269.2,3.3,841.3,7,904.2,0,984.3,1512.3,48.1,779
1562.7,23.2,1.3,270.7,0.8,845.9,9.4,867.4,0,1049.9,1555.7,37.4,669.9
1383.1,23.2,1.4,264.7,3.2,793.3,9.9,908.8,0,1068.1,1871,51.1,593.5
1221.1,26.1,1.5,270.3,2,738.8,4.5,860.9,0,1011.4,1980.7,43.2,515.6
1175,27.9,1,264.7,0.5,1052.7,1.5,898.1,0,845.1,2076.5,21.4,509.7
1085.1,26,0.9,260.3,0.1,1198.7,0.2,994.8,0,849.1,2195.1,16.7,614
1248.9,22,0.8,266.2,0.2,1567.6,0.4,1085,0,937.1,2260.5,10.3,821.8
1073.3,19.4,1,269.7,0.7,1661.2,4.5,1095,0,906.6,2263.3,7.3,771.7
1133.9,24.6,1.2,278.9,1.5,1230.7,7.1,1092.8,0,942.5,2278.2,4.1,779.3
1128,27.6,1,280.9,5.6,1190.9,9.5,1041,0,950,2292.9,6.5,825.7
1083.7,24.2,0.6,282.9,12.2,1733.3,11.9,1012.3,0,878.7,2255.2,11,897.2
1278.6,21.3,0.5,284.6,6.6,2597,14.6,1100,0,803.1,2178.1,8.9,907.7
1485.4,18.8,0.7,284.3,4.1,2667,15.1,1114.8,0,760.9,2151.2,4.9,905.9
1476,18.5,0.7,283.7,9.2,2006.7,12.1,1079,0,752.3,2148.8,5.2,890.8
1388.5,21.2,0.7,275.3,22.3,1740.4,15.4,1051.2,0,771.3,2146.3,6.7,882.9
1256.6,19.5,0.8,202.8,37.7,1931.2,12.1,1073.2,0,759.1,2204.9,8.9,830.9
967.8,25.5,0.8,196.3,37.7,2464.5,18.5,1081.3,0,832,2256,6.4,749.2
593.6,28.6,0.7,205.9,38.5,2812.4,19.6,1063.5,0,935.2,2292.8,4.3,545.9
546.4,29.9,0.5,217.1,30.1,2697.8,15.2,1085.3,0,1051.3,2337.1,4.1,541.3
472.3,29.9,0.7,278.9,30.1,2781,9.5,1100.3,0,1136.7,2348.9,13.3,489.6
476,29.9,1.3,283.3,35.6,2765.4,8.3,1112.6,0,1200.1,2346.7,25.3,352.8
495.3,30,3,283.9,31.1,2697.8,11.8,1098.6,0,1212.8,2318.4,28.4,328.4
415.4,30,4.6,280,22.6,2512.6,10.5,1012.2,0,1216.1,2280.8,31.2,324.9
319.3,29.9,3.3,280.7,35.4,2340.4,9.1,999.5,0,1090.5,2293,30.4,291.8
249.9,30,2.6,281.3,35.4,2162.8,11.2,1054.3,0,991.7,2371.7,21.9,279.7
217.9,29.9,2.9,281.1,12.4,2069.8,11.6,1014.7,0,1021.3,2400.3,28.3,326.3
228.6,30,1.9,280.2,8.5,2260,10.6,1001.8,0,1079.4,2409.8,36.1,374.5
