IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,92.3,878.4,0
32.7,0,1653.1,96
105.4,0,2302.7,98
125.3,0,2508.1,179.8
85.8,196.3,2261.2,279.6
68.5,262,2440.5,301.4
71.2,604.4,2633.7,188.7
33.9,825.7,2216.1,83.8
16.7,131.4,59.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,579.9,98.4
0,0,890.8,55.9
7.8,0,936.9,152.5
7.9,0,1075,91.9
2.5,0,1142.6,123
6.1,0,936.5,148.9
16.4,0,804.9,342.6
25,0,571.7,133.7
60.1,0,306.8,51.3
0,0,32.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,791.9,0
0,95.9,766.4,0
7.8,0,900.7,0
7.9,0,885.9,0
5.7,0,1120.2,202.2
6.4,0,952.8,164.6
16.3,95.6,984.9,0
12.9,38.3,600.3,0
4,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,572.7,96.6
0,0,1427.2,50.5
0,0,1541.5,139.6
16.8,0,1631.7,228.5
14.1,189.4,2273.6,39.2
12,228.6,2842.6,244.2
113.8,1100,3200,357.9
151.1,1085.7,2577.9,307.2
101.8,323,441.6,72.4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,849.5,0
32.1,287.6,2953.1,198.6
124.2,1022.7,3178.3,409.1
150.5,1007.8,2725.7,233.1
128.5,726.4,2692.9,214.2
132.8,906.8,3100.4,251.9
