,Node,Time,Value
0,TTYh,1,14972.485325676585
1,TTYh,2,15081.5895175931
2,TTYh,3,15210.637973241968
3,TTYh,4,15304.33675656831
4,TTYh,5,15314.487873824763
5,TTYh,6,15214.358663472522
6,TTYh,7,14445.936778996358
7,TTYh,8,13620.01446790999
8,TTYh,9,15116.224008569712
9,TTYh,10,15162.53926415102
10,TTYh,11,13435.974558470689
11,TTYh,12,13649.08591269896
12,TTYh,13,15008.593734127475
13,TTYh,14,16503.744390999036
14,TTYh,15,14774.74981986698
15,TTYh,16,13518.862496492984
16,TTYh,17,13960.552212167891
17,TTYh,18,14159.8858684592
18,TTYh,19,13860.032366340676
19,TTYh,20,13851.292333788244
20,TTYh,21,13749.262974052985
21,TTYh,22,14095.516153129354
22,TTYh,23,14490.68099849477
23,TTYh,24,14706.529180510553
24,LRCh,1,14506.809709479403
25,LRCh,2,14615.913901395917
26,LRCh,3,14744.962357044786
27,LRCh,4,14838.661140371127
28,LRCh,5,14848.81225762758
29,LRCh,6,14748.683047275339
30,LRCh,7,13980.261162799176
31,LRCh,8,13154.338851712808
32,LRCh,9,14650.54839237253
33,LRCh,10,14696.863647953838
34,LRCh,11,12970.298942273506
35,LRCh,12,13183.410296501777
36,LRCh,13,14542.918117930292
37,LRCh,14,16038.068774801852
38,LRCh,15,14309.074203669797
39,LRCh,16,13053.186880295802
40,LRCh,17,13494.876595970709
41,LRCh,18,13694.210252262017
42,LRCh,19,13394.356750143494
43,LRCh,20,13385.616717591061
44,LRCh,21,13283.587357855802
45,LRCh,22,13629.840536932172
46,LRCh,23,14025.005382297588
47,LRCh,24,14240.853564313371
48,ATYh,1,12263.085761515604
49,ATYh,2,12372.189953432118
50,ATYh,3,12501.238409080986
51,ATYh,4,12594.93719240733
52,ATYh,5,12605.08830966378
53,ATYh,6,12504.95909931154
54,ATYh,7,11736.537214835376
55,ATYh,8,10910.614903749009
56,ATYh,9,12406.82444440873
57,ATYh,10,12453.139699990039
58,ATYh,11,10726.574994309705
59,ATYh,12,10939.686348537978
60,ATYh,13,12299.194169966493
61,ATYh,14,13794.344826838054
62,ATYh,15,12065.350255705998
63,ATYh,16,10809.462932332002
64,ATYh,17,11251.15264800691
65,ATYh,18,11450.486304298218
66,ATYh,19,11150.632802179694
67,ATYh,20,11141.892769627262
68,ATYh,21,11039.863409892003
69,ATYh,22,11386.116588968373
70,ATYh,23,11781.28143433379
71,ATYh,24,11997.129616349572
72,KIR1h,1,90.58826615252838
73,KIR1h,2,96.20584903394627
74,KIR1h,3,102.99090447266104
75,KIR1h,4,106.86893309118187
76,KIR1h,5,107.77387308421804
77,KIR1h,6,103.01893601422049
78,KIR1h,7,73.37187969696464
