,line,reactance,limit
0,MESA_CAL_230_MESA_CAL_20,0.0005,99999
1,ADELANTO_500_RINALDI_500,0.018609999999999998,99999
2,ADELANTO_500_STA_E_500,0.01668,99999
3,ADELANTO_500_VICTORVL_500,0.00159,99999
4,BELL_230_CA230_230,0.02,99999
5,BELL_500_BELL_230,0.01,99999
6,BELL_500_GARRISON_500,0.0965,99999
7,BELLOTA_230_BRIGHTON_230,0.028860000000000004,888
8,BELLOTA_230_RNCHSECO_230,0.09268,99999
9,BELLOTA_230_TESLA_230,0.028860000000000004,888
10,BENLOMND_345_BENLOMND_230,0.0181,99999
11,BENLOMND_345_CAMP_WIL_345,0.0033200000000000005,99999
12,BENLOMND_345_MONA_345,0.00238,99999
13,BENLOMND_345_TERMINAL_345,0.0022600000000000003,99999
14,BIG_EDDY_230_BELL_230,0.02,99999
15,BIG_EDDY_230_CELILO_230,0.00116,3020
16,BIG_EDDY_230_DALLES21_20,0.0005,2000
17,BIG_EDDY_500_BIG_EDDY_230,0.00735,1300
18,BIG_EDDY_500_CELILOCA_500,0.0003,3450
19,BIG_EDDY_500_WCASCADE_500,0.0082,99999
20,BORAH_230_GARRISON_230,0.0965,99999
21,BORAH_230_NAUGHTON_230,0.0965,99999
22,BORAH_345_BENLOMND_345,0.0673,99999
23,BORAH_345_BORAH_230,0.0181,99999
24,BORAH_345_BRIDGER_345,0.0046,99999
25,BRIDGER_345_BRIDGER2_230,0.0181,99999
26,BRIDGER2_230_BRIDGER_20,0.0005,99999
27,BRIDGER2_230_LARAMIE_230,0.0965,99999
28,BRIDGER2_230_NAUGHTON_230,0.07400000000000001,99999
29,BRIGHTON_230_RIO_OSO_230,0.028860000000000004,888
30,BURNS_500_MIDPOINT_500,0.026889999999999997,1732
31,CCOSTA_230_MORAGA_230,0.0127,1120
32,CCOSTA_230_NEWARK_230,0.0127,1120
33,CCOSTA_230_TESLA_230,0.028860000000000004,888
34,CCOSTA_230_VACA_DIX_230,0.0127,1120
35,CA230TO_230_CA230_230,0.02,99999
36,CAMP_WIL_345_EMERY_345,0.0537,99999
