,Constraint,Bus,Time,Value
0,Node_Constraint,CANAD_G1_20,1,99883.5668006429
1,Node_Constraint,CANAD_G1_20,2,99882.79224439403
2,Node_Constraint,CANAD_G1_20,3,99883.56467499293
3,Node_Constraint,CANAD_G1_20,4,99885.4533275003
4,Node_Constraint,CANAD_G1_20,5,99885.45708108338
5,Node_Constraint,CANAD_G1_20,6,99883.5668006429
6,Node_Constraint,CANAD_G1_20,7,99883.56680064292
7,Node_Constraint,CANAD_G1_20,8,99883.70218195114
8,Node_Constraint,CANAD_G1_20,9,99883.70218195114
9,Node_Constraint,CANAD_G1_20,10,99897.13521633035
10,Node_Constraint,CANAD_G1_20,11,99279.65033379779
11,Node_Constraint,CANAD_G1_20,12,99897.13521633035
12,Node_Constraint,CANAD_G1_20,13,99895.08667351828
13,Node_Constraint,CANAD_G1_20,14,99895.08667351826
14,Node_Constraint,CANAD_G1_20,15,99895.08667351828
15,Node_Constraint,CANAD_G1_20,16,99895.04112034747
16,Node_Constraint,CANAD_G1_20,17,99895.08652117474
17,Node_Constraint,CANAD_G1_20,18,99901.50650092616
18,Node_Constraint,CANAD_G1_20,19,99966.5742051599
19,Node_Constraint,CANAD_G1_20,20,99901.50650092616
20,Node_Constraint,CANAD_G1_20,21,99901.48320431692
21,Node_Constraint,CANAD_G1_20,22,99897.81566365017
22,Node_Constraint,CANAD_G1_20,23,99897.8131303432
23,Node_Constraint,CANAD_G1_20,24,98985.37566297493
24,Node_Constraint,CMAIN_GM_20,1,99919.24575658015
25,Node_Constraint,CMAIN_GM_20,2,99918.71402021962
26,Node_Constraint,CMAIN_GM_20,3,99920.28945569991
27,Node_Constraint,CMAIN_GM_20,4,99921.58239385662
28,Node_Constraint,CMAIN_GM_20,5,99921.5851774969
29,Node_Constraint,CMAIN_GM_20,6,99920.29111229739
30,Node_Constraint,CMAIN_GM_20,7,99920.2911122974
31,Node_Constraint,CMAIN_GM_20,8,99919.34528713078
32,Node_Constraint,CMAIN_GM_20,9,99919.34528713078
33,Node_Constraint,CMAIN_GM_20,10,99928.66134781872
34,Node_Constraint,CMAIN_GM_20,11,99482.03842644412
35,Node_Constraint,CMAIN_GM_20,12,99928.66134781872
36,Node_Constraint,CMAIN_GM_20,13,99928.17749056788
37,Node_Constraint,CMAIN_GM_20,14,99928.17749056786
38,Node_Constraint,CMAIN_GM_20,15,99928.17749056788
39,Node_Constraint,CMAIN_GM_20,16,99928.14219254893
40,Node_Constraint,CMAIN_GM_20,17,99928.17737256504
41,Node_Constraint,CMAIN_GM_20,18,99932.57487150379
42,Node_Constraint,CMAIN_GM_20,19,99977.11789576597
43,Node_Constraint,CMAIN_GM_20,20,99932.57487150379
44,Node_Constraint,CMAIN_GM_20,21,99932.55705886437
45,Node_Constraint,CMAIN_GM_20,22,99930.04598743701
46,Node_Constraint,CMAIN_GM_20,23,99930.0439929236
47,Node_Constraint,CMAIN_GM_20,24,99255.01254400196
48,Node_Constraint,COLOEAST_20,1,99962.70312732982
49,Node_Constraint,COLOEAST_20,2,99962.39883737774
50,Node_Constraint,COLOEAST_20,3,99962.42797842874
51,Node_Constraint,COLOEAST_20,4,99963.03058904997
52,Node_Constraint,COLOEAST_20,5,99963.18224782233
