,Line,Time,Value
0,MESA_CAL_230_MESA_CAL_20,1,4175.82692777323
1,MESA_CAL_230_MESA_CAL_20,2,4031.9730436505547
2,MESA_CAL_230_MESA_CAL_20,3,3926.0538658054284
3,MESA_CAL_230_MESA_CAL_20,4,3864.4904142149426
4,MESA_CAL_230_MESA_CAL_20,5,3848.851373052144
5,MESA_CAL_230_MESA_CAL_20,6,3887.299262399608
6,MESA_CAL_230_MESA_CAL_20,7,3893.3326608687485
7,MESA_CAL_230_MESA_CAL_20,8,3888.9509714413275
8,MESA_CAL_230_MESA_CAL_20,9,3994.57692821939
9,MESA_CAL_230_MESA_CAL_20,10,4074.864591129235
10,MESA_CAL_230_MESA_CAL_20,11,4109.380521446771
11,MESA_CAL_230_MESA_CAL_20,12,4127.052635348624
12,MESA_CAL_230_MESA_CAL_20,13,4026.141574522436
13,MESA_CAL_230_MESA_CAL_20,14,4029.584370863265
14,MESA_CAL_230_MESA_CAL_20,15,4011.4054781080763
15,MESA_CAL_230_MESA_CAL_20,16,4038.9435034336766
16,MESA_CAL_230_MESA_CAL_20,17,4030.9157945748752
17,MESA_CAL_230_MESA_CAL_20,18,4768.299594568542
18,MESA_CAL_230_MESA_CAL_20,19,4917.6104910485
19,MESA_CAL_230_MESA_CAL_20,20,4846.607365013985
20,MESA_CAL_230_MESA_CAL_20,21,4734.870931412238
21,MESA_CAL_230_MESA_CAL_20,22,4525.91241300741
22,MESA_CAL_230_MESA_CAL_20,23,4242.247352001294
23,MESA_CAL_230_MESA_CAL_20,24,4094.964136371596
24,ADELANTO_500_RINALDI_500,1,-65.25166004535072
25,ADELANTO_500_RINALDI_500,2,-93.6434904015922
26,ADELANTO_500_RINALDI_500,3,-90.98791197987919
27,ADELANTO_500_RINALDI_500,4,-103.35823151016984
28,ADELANTO_500_RINALDI_500,5,-108.83108081632611
29,ADELANTO_500_RINALDI_500,6,-98.84041192136465
30,ADELANTO_500_RINALDI_500,7,-105.88915499416407
31,ADELANTO_500_RINALDI_500,8,-123.11435638411376
32,ADELANTO_500_RINALDI_500,9,-102.5761695205614
33,ADELANTO_500_RINALDI_500,10,-68.66885751516804
34,ADELANTO_500_RINALDI_500,11,-42.89147344942478
35,ADELANTO_500_RINALDI_500,12,-44.34266875111968
36,ADELANTO_500_RINALDI_500,13,-51.493168991648304
37,ADELANTO_500_RINALDI_500,14,-61.533588111713804
38,ADELANTO_500_RINALDI_500,15,-61.11510048133471
39,ADELANTO_500_RINALDI_500,16,-63.479603795463504
40,ADELANTO_500_RINALDI_500,17,-37.870123428603506
41,ADELANTO_500_RINALDI_500,18,7.695058193625073
42,ADELANTO_500_RINALDI_500,19,20.581941568275624
43,ADELANTO_500_RINALDI_500,20,20.914109803310225
44,ADELANTO_500_RINALDI_500,21,10.861051020016248
45,ADELANTO_500_RINALDI_500,22,-2.6211432240097565
46,ADELANTO_500_RINALDI_500,23,-0.6027594017747333
47,ADELANTO_500_RINALDI_500,24,-73.98600140860322
48,ADELANTO_500_STA_E_500,1,-770.3686978071095
49,ADELANTO_500_STA_E_500,2,-808.954219285311
50,ADELANTO_500_STA_E_500,3,-770.8219185703022
51,ADELANTO_500_STA_E_500,4,-787.5319742794841
52,ADELANTO_500_STA_E_500,5,-795.8669181958985
53,ADELANTO_500_STA_E_500,6,-782.1437464125748
54,ADELANTO_500_STA_E_500,7,-829.1721966691831
55,ADELANTO_500_STA_E_500,8,-850.0630730617821
