,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,EL PASO ELECTRIC COMPANY,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,PUD NO. 1 OF DOUGLAS COUNTY,WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",PUBLIC SERVICE COMPANY OF NEW MEXICO,PUBLIC SERVICE COMPANY OF COLORADO,TURLOCK IRRIGATION DISTRICT,SEATTLE CITY LIGHT,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,SALT RIVER PROJECT,WESTERN AREA POWER ADMINISTRATION UGP WEST,NORTHWESTERN ENERGY (NWMT),AVISTA CORPORATION,BONNEVILLE POWER ADMINISTRATION,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",TUCSON ELECTRIC POWER COMPANY,IMPERIAL IRRIGATION DISTRICT,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,LOS ANGELES DEPARTMENT OF WATER AND POWER
2019-01-01,3.289999999999999,6.290434782608696,3.8600000000000017,4.0625,3.8000000000000003,3.94,3.8166666666666664,4.1544444444444455,4.066936935964045,4.14742087949461,4.091829580425143,4.056853814667743,4.079713125103911,4.025591671522002,4.04313245616584,4.868139814328097,4.114781164658444,4.101591766588202,3.563514834806145,4.086315028283746,4.080872806167459,4.070019604798511,4.034282793518744,4.076455941341397,3.98641925223171,4.168079480681475,4.3048779785828515,4.904530678022166
2019-01-02,3.289999999999999,6.290434782608696,3.8600000000000017,4.0625,3.8000000000000003,3.94,3.8166666666666664,4.1544444444444455,4.066936935964045,4.14742087949461,4.091829580425143,4.056853814667743,4.079713125103911,4.025591671522002,4.04313245616584,4.868139814328097,4.114781164658444,4.101591766588202,3.563514834806145,4.086315028283746,4.080872806167459,4.070019604798511,4.034282793518744,4.076455941341397,3.98641925223171,4.168079480681475,4.3048779785828515,4.904530678022166
2019-01-03,3.472,7.333478260869565,3.75,4.455,4.193333333333334,3.7449999999999997,3.7599999999999993,3.8911111111111114,4.293117254689147,4.442752646288703,4.051665700798011,4.27447958284459,3.992174948208419,4.2618764399000835,4.282253284033793,5.349300047986889,3.962941827513786,4.00533906222463,3.774746639740162,4.227990167160542,4.203184477608253,4.100853869593425,4.0578281227842705,4.049983184548229,4.2544513515010385,4.463752999869956,4.502759000696781,5.431508610322239
2019-01-04,3.467,6.533478260869563,3.8149999999999986,4.324999999999999,4.116666666666667,3.7299999999999995,3.7633333333333323,4.011111111111111,4.181836570756669,4.292766925131689,4.050524015820203,4.17896733171209,4.0128247809740145,4.154824139199213,4.181159016657789,5.005401721168748,4.020592578212863,4.033317688871623,3.7259330165648685,4.151387384982473,4.13459591201655,4.066046395400193,4.028100346614115,4.039973429031376,4.1329279746487675,4.304168580504378,4.354520521210103,5.066103728816682
2019-01-05,2.7390000000000003,5.81978260869565,3.2749999999999995,3.5874999999999995,3.353333333333334,3.3449999999999998,3.27,3.4966666666666666,3.536746647314649,3.6267335723343517,3.5054349451725715,3.5346702805010177,3.4831085138199187,3.4991988040588384,3.5253813389171342,4.356076069203327,3.4944745692290105,3.4985176430186593,3.0210238582395625,3.5449598718633224,3.535885136848021,3.505072963655768,3.4714284099191888,3.4964134136002865,3.458335791602712,3.6420311865439805,3.765279729730891,4.398683906802612
2019-01-06,2.7390000000000003,5.81978260869565,3.2749999999999995,3.5874999999999995,3.353333333333334,3.3449999999999998,3.27,3.4966666666666666,3.536746647314649,3.6267335723343517,3.5054349451725715,3.5346702805010177,3.4831085138199187,3.4991988040588384,3.5253813389171342,4.356076069203327,3.4944745692290105,3.4985176430186593,3.0210238582395625,3.5449598718633224,3.535885136848021,3.505072963655768,3.4714284099191888,3.4964134136002865,3.458335791602712,3.6420311865439805,3.765279729730891,4.398683906802612
2019-01-07,2.7390000000000003,5.81978260869565,3.2749999999999995,3.5874999999999995,3.353333333333334,3.3449999999999998,3.27,3.4966666666666666,3.536746647314649,3.6267335723343517,3.5054349451725715,3.5346702805010177,3.4831085138199187,3.4991988040588384,3.5253813389171342,4.356076069203327,3.4944745692290105,3.4985176430186593,3.0210238582395625,3.5449598718633224,3.535885136848021,3.505072963655768,3.4714284099191888,3.4964134136002865,3.458335791602712,3.6420311865439805,3.765279729730891,4.398683906802612
2019-01-08,2.793,5.393913043478261,3.1449999999999996,3.5474999999999994,3.2566666666666664,3.2700000000000005,3.1733333333333325,3.3633333333333333,3.437397146964782,3.522758652329566,3.385291003984387,3.426788557448037,3.3632027125766157,3.406595027846718,3.421343119466889,4.140051908862978,3.368826969728172,3.3758525526043943,3.0233484844109513,3.430613182975914,3.4205820472340718,3.3877002711260724,3.353698053197366,3.378293631389699,3.3829061000399756,3.535737625012968,3.6269618301668975,4.180207077872482
2019-01-09,2.748,5.295434782608695,3.1050000000000004,3.4650000000000007,3.22,3.175,3.1133333333333337,3.282222222222222,3.3742797451664486,3.4576320980473234,3.313661084206122,3.3662075221952916,3.289943436460395,3.345291062883699,3.361668908132032,4.060582321612422,3.292466360408312,3.3018564542257973,2.972036737358676,3.366383047306804,3.356417954643786,3.3206767255325174,3.2908551714749414,3.3076396401496426,3.321778192422593,3.4703652109029113,3.553281318319526,4.101091948112892
2019-01-10,2.7020000000000004,4.9104347826086965,2.9649999999999994,3.27,3.0433333333333334,2.9700000000000015,2.9399999999999995,3.1366666666666663,3.2036726470286716,3.279658105838913,3.1435538875325095,3.1882012209735966,3.1227372033672385,3.17916365278976,3.185582677405557,3.806635344141232,3.133603234885478,3.1371685188721994,2.8837189908704777,3.1876150900942957,3.178350408851759,3.145407532920989,3.1178411254265725,3.1351966680442613,3.169100950771917,3.294735909868764,3.3483470652094565,3.8455557674528027
