,line,reactance,limit
50,HUMBOLDT_115_COTWDPGE_115,0.02886,250
51,HUMBOLDT_115_HUMBOLDT_20,0.0005,99999
52,IMPRLVLY_230_IMPRLVLY_20,0.0005,99999
53,IMPRLVLY_500_IMPRLVLY_230,0.005,99999
54,JEFFERSN_230_MONTAVIS_230,0.0127,1120
55,LAKEVILE_230_VACA_DIX_230,0.02886,888
56,LITEHIPE_230_MESA_CAL_230,0.0127,2320
57,LOGAN_CR_230_VACA_DIX_230,0.16106,838
58,LOSBANOS_500_LOSBANOS_230,0.0174,840
59,LOSBANOS_500_MOSSLAND_500,0.01297,2450
60,LOSBANOS_500_TESLA_500,0.03644,2450
61,LOSBANOS_500_TRACY_500,0.013333333,1800
62,LUGO_500_MIRALOMA_500,0.0075,3600
63,LUGO_500_SERRANO_500,0.0128,3600
64,LUGO_500_VICTORVL_500,0.0041,99999
65,LUGO_500_VINCENT_500,0.01125,3600
66,MARTIN_115_POTRERO_115,0.02886,888
67,MARTIN_230_JEFFERSN_230,0.0127,1120
68,MARTIN_230_MARTIN_115,0.0299,250
69,MARTIN_230_SANMATEO_230,0.0127,1120
70,MC_CALL_230_GATES_230,0.02886,8880
71,MC_CALL_230_MC_CALL_20,0.0005,99999
72,MC_CALL_230_PANOCHE_230,0.02886,8880
73,MESA_CAL_230_MIRALOMA_230,0.05399,99999
74,MESA_CAL_230_SERRANO_230,0.02886,888
75,MESA_CAL_230_VINCENT_230,0.0395,2320
76,METCALF_230_METCALF_20,0.0005,99999
77,METCALF_230_MONTAVIS_230,0.0127,1120
78,METCALF_230_MOSSLAND_230,0.02886,888
79,METCALF_500_METCALF_230,0.0174,840
80,METCALF_500_MOSSLAND_500,0.01297,2450
81,MIDWAY_230_MIDWAY_20,0.0005,99999
82,MIDWAY_230_MORROBAY_230,0.02886,888
83,MIDWAY_500_GATES1_500,0.01,2450
84,MIDWAY_500_LOSBANOS_500,0.0147,1560
85,MIDWAY_500_MIDWAY_230,0.0119,1120
86,MIDWAY_500_MIDWAY1_500,0.009433962,2134
87,MIDWAY_500_MIDWAY3_500,0.009433962,2134
88,MIDWAY_500_MIDWAY5_500,0.009433962,2134
89,MIDWAY1_500_MIDWAY2_500,0.02659,3600
90,MIDWAY3_500_MIDWAY4_500,0.02662,3600
91,MIDWAY5_500_MIDWAY6_500,0.02517,3600
92,MIGUEL_230_MISSION_230,0.02886,8880
93,MIGUEL_230_SONOFRE_230,0.02886,8880
94,MIGUEL_500_IMPRLVLY_500,0.02524,1800
95,MIGUEL_500_MIGUEL_230,0.005,99999
96,MIRALOMA_230_SERRANO_230,0.02886,8880
97,MIRALOMA_230_SONOFRE_230,0.02886,8880
98,MIRALOMA_500_MIRALOMA_230,0.005,99999
99,MIRALOMA_500_SERRANO_500,0.00457,3600
100,MISSION_230_MISSION_20,0.0005,99999
101,MISSION_230_SONOFRE_230,0.02886,8880
102,MORAGA_230_NEWARK_230,0.02886,99999
103,MORAGA_230_PITSBURG_230,0.0127,1120
104,MORAGA_230_SOBRANTE_230,0.0127,99999
105,MORAGA_230_VACA_DIX_230,0.02886,99999
106,MORROBAY_230_MORROBAY_20,0.0005,99999
107,MOSSLAND_500_MOSSLAND_20,0.0005,99999
108,MOSSLAND_500_MOSSLAND_230,0.0174,840
109,NEWARK_230_METCALF_230,0.02886,99999
110,NEWARK_230_PITSBURG_230,0.0127,1120
111,NEWARK_230_RAVENSWD_230,0.0127,1120
112,NEWARK_230_TESLA_230,0.02886,888
113,OLINDA_500_COTWDWAP_230,0.0174,99999
114,OLINDA_500_TRACY_500,0.0111,99999
115,OLIVE_230_OLIVE_20,0.0005,99999
116,OLIVE_230_RINALDI_230,0.00434,99999
117,PANOCHE_230_GATES_230,0.02886,888
118,PANOCHE_230_LOSBANOS_230,0.02886,888
119,PANOCHE_230_MOSSLAND_230,0.02886,888
120,PARDEE_230_VINCENT_230,0.03399,2320
121,PITSBURG_230_PITSBURG_20,0.0005,99999
122,PITSBURG_230_SOBRANTE_230,0.0127,1120
123,PITSBURG_230_TESLA_230,0.02886,888
124,POTRERO_115_POTRERO_20,0.0005,99999
125,RAVENSWD_230_TESLA_230,0.02886,888
126,RINALDI_230_OWENS_G_20,0.0005,99999
127,RINALDI_230_STA_E_230,0.01583,99999
128,RINALDI_230_STA_J_230,0.00971,99999
129,RINALDI_230_SYLMARLA_230,0.00393,99999
130,RINALDI_230_VALLEY_230,0.01116,99999
131,RINALDI_500_RINALDI_230,0.01386,99999
132,RINALDI_500_VICTORVL_500,0.01884,99999
133,RIVER_230_STA_F_230,0.00366,99999
134,RIVER_230_STA_G_230,0.00586,99999
135,RNCHSECO_230_RNCHSECO_20,0.0005,99999
136,RNCHSECO_230_TRACYPMP_230,0.13702,99999
137,ROUND_MT_230_ROUND_MT_20,0.0005,99999
138,ROUND_MT_500_ROUND_MT_230,0.0174,840
139,SANMATEO_230_PITSBURG_230,0.0127,1120
140,SANMATEO_230_RAVENSWD_230,0.0127,1120
141,SANMATEO_230_SANMATEO_20,0.0005,99999
142,SERRANO_230_SONOFRE_230,0.02886,8880
143,SERRANO_500_SERRANO_230,0.005,99999
144,SOBRANTE_230_IGNACIO_230,0.02886,888
145,SOBRANTE_230_LAKEVILE_230,0.02886,888
146,SONOFRE_230_SONOFRE_20,0.0005,99999
147,STA_B1_287_STA_B_138,0.01491,99999
148,STA_B1_287_VICTORVL_287,0.07905,99999
149,STA_B2_287_STA_B_138,0.01491,99999
150,STA_B2_287_VICTORVL_287,0.07905,99999
151,STA_BLD_230_STA_B_138,0.0134,99999
152,STA_BLD_230_STA_F_230,0.01025,99999
153,STA_E_230_STA_G_230,0.01244,99999
154,STA_E_230_VALLEY_230,0.00979,99999
155,STA_E_500_STA_E_230,0.01386,99999
156,STA_F_230_STA_G_230,0.01189,99999
157,SYLMAR_S_230_EAGLROCK_230,0.0264,3070
158,SYLMAR_S_230_PARDEE_230,0.01187,3070
159,SYLMAR_S_230_SYLMARLA_230,0.00115,99999
