MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro,SUMMIT_20_hydro,CANAD_G1_20_hydro,COULEE_20_hydro,DALLES21_20_hydro,HANFORD_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,NORTH_G3_20_hydro,WCASCADE_20_hydro
764.4,63.6,1240.440717,701,1756.744789,708.9819908,281.9231851,160.3461,5617.862326,4161.219608,1769.556989,1707.8,1835.6,293.8,3145,229
630.6,52.8,1038.840717,701,1922.74914,551.7819908,212.9231851,134.5461,4737.662326,2865.219608,1477.356989,1139,1468.4,196,2783.2,172
496.8,42,837.2407173,701,2292.34914,394.5819908,143.9231851,108.7461,3857.462326,2593,1185.156989,1139,1101.2,293.8,2421.4,115
363,31.2,635.6407173,945.0614692,2661.94914,314,138,82.9461,3182.509068,2593,892.9569894,1139,734,391.6,2059.6,115
268,22,446.3,1236.350911,3031.54914,314,138,57.1461,3119.157355,2593,600.7569894,1139,1007.88917,489.4,1697.8,172
268,22,647.9,885.9509111,2812.368729,314,138,51,3095.733398,2593,584,1139,876.3368449,587.2,1336,229
268,22,706.0523105,1051.4,2442.768729,314,138,51,3329.207194,2593,876.2,1139,1243.536845,685,1697.8,286
268,22,907.6523105,701,2073.168729,314,138,51,4209.407194,3889,796.5123409,1707.8,1101.2,587.2,2059.6,229
268,22,1109.25231,701,1933.175086,314,138,51,5089.607194,5185,1088.712341,2276.6,1468.4,557.0578708,2421.4,286
401.8,32.8,1310.85231,1051.4,2219.792365,314,138,51,5850.823901,6481,796.5123409,2845.4,1101.2,459.2578708,2425.136097,229
535.6,43.6,1512.45231,1401.8,1967.552394,314,207,76.8,6329.807063,7777,584,3414.2,734,361.4578708,2786.936097,172
669.4,54.4,1714.05231,1752.2,1834.575296,471.2,276,102.6,5449.607063,9073,584,3232.468954,734,263.6578708,2425.136097,115
770.4456225,65.2,1753.9,2102.6,1967.059325,336.4275302,284.9839383,128.4,4569.407063,9544.112776,584,3801.268954,734,196,2786.936097,115
636.6456225,57.07440346,1753.9,1752.2,2110.555397,314,215.9839383,152.5305,3689.207063,10512.12492,584,3471.627616,734,196,2950.076585,115
535.6,60.16794236,1753.9,1424.833816,2221.122869,314,146.9839383,128.4,3990.541335,9216.124918,584,4040.427616,893.9674281,277.8614195,2588.276585,115
401.8,49.36794236,1753.9,1074.433816,2236.529985,314,138,102.6,4164.768151,7920.124918,584,4122.503429,1261.167428,375.6614195,2546.375318,115
268,38.56794236,1753.9,724.0338155,1972.846732,377.9330958,207,76.8,4949.216013,6624.124918,584,3553.703429,1628.367428,473.4614195,2783.2,115
303.0146888,27.76794236,1753.9,1074.433816,2173.872628,535.1330958,276,51,5829.416013,5328.124918,876.2,3414.2,1995.567428,571.2614195,3145,172
436.8146888,38.56794236,1753.9,1424.833816,2543.472628,692.3330958,345,76.8,6709.616013,6624.124918,584,3983,1628.367428,473.4614195,2956.119328,115
570.6146888,49.36794236,1753.9,1775.233816,2715.53346,849.5330958,414,102.6,7511.910874,7920.124918,584,4551.8,1725.2,375.6614195,2788.381863,115
704.4146888,60.16794236,1753.9,2125.633816,2456.533699,1006.733096,483,128.4,7161.775769,9073,692.9776768,3983,2092.4,362,2426.581863,115
803.2,65.2,1753.9,2102.6,2388.391615,942.8,414,154.2,6497.948209,7777,985.1776768,3414.2,2459.6,459.8,2605.622037,158.29
669.4,54.4,1753.9,1752.2,2553.269515,785.6,345,128.4,5710.727825,6481,1277.377677,2845.4,2826.8,557.6,2967.422037,215.29
535.6,43.6,1753.9,1401.8,2488.059183,628.4,276,102.6,4830.527825,5185,1569.577677,2276.6,3194,655.4,3145,272.29
401.8,32.8,1658.402351,1051.4,2239.211381,471.2,207,76.8,3950.327825,3889,1724.251501,1707.8,2826.8,753.2,2783.2,329.29
268,22,1456.802351,701,1943.902867,314,138,51,3503.841565,2593,2016.451501,1139,3194,851,3145,386.29
268,22,1255.202351,701,1632.95027,314,138,51,2664.81724,2593,1724.251501,1139,2826.8,753.2,2783.2,329.29
268,22,1053.602351,701,1442.399858,314,138,51,2731.81724,2593,1432.051501,1139,2459.6,655.4,2421.4,272.29
268,22,852.0023512,701,1811.999858,314,138,51,3061.51724,2593,1139.851501,1139,2092.4,557.6,2059.6,215.29
268,22,650.4023512,1051.4,2181.599858,314,138,51,3390.81724,2593,847.6515008,1139,1725.2,655.4,1697.8,212.3007242
268,22,658.3817659,1401.8,2551.199858,314,138,51,3331.087965,2593,1020.608271,1139,2092.4,753.2,1336,269.3007242
268,22,859.9817659,1051.4,2920.799858,314,138,51,4128.959436,2593,1312.808271,1166.790647,2459.6,851,1697.8,326.3007242
