MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,FULTON_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro
568.7982143,48.91071429,1753.9,6,1407.079591,2589.177422,866.012929,276
434.9982143,38.11071429,1624.129283,6,1056.679591,2625.996734,708.812929,207
301.1982143,27.31071429,1425.735358,6,706.2795907,2995.596734,551.612929,138
268,22,1224.135358,6,837.0376199,3113.82144,394.412929,138
268,22,1350.7,9,1187.43762,2744.22144,551.612929,154.790625
401.8,32.8,1552.3,7.6875,1537.83762,3113.82144,708.812929,223.790625
535.6,43.6,1753.9,10.6875,1888.23762,3215.5,866.012929,292.790625
669.4,54.4,1753.9,13.6875,2238.63762,2845.9,1023.212929,361.790625
803.2,65.2,1753.9,10.6875,2589.03762,2758.986275,1180.412929,414
669.4,54.4,1753.9,7.6875,2238.63762,2442.758956,1023.212929,345
535.6,43.6,1753.9,6,1888.23762,2812.358956,866.012929,276
401.8,32.8,1552.3,6,1537.83762,3181.958956,708.812929,207
268,22,1350.7,6,1187.43762,2812.358956,551.612929,138
268,22,1149.1,6,837.0376199,2442.758956,394.412929,138
268,22,947.5,6,701,2073.158956,314,138
268,22,745.9,6,701,1737.1,314,138
268,22,544.3,9,928.5160749,2106.7,314,138
310.7173369,22,745.9,12,1278.916075,2476.3,442.0295434,207
444.5173369,22,947.5,15,1629.316075,2845.9,599.2295434,276
578.3173369,32.8,1149.1,18,1979.716075,3215.5,756.4295434,345
712.1173369,43.6,1350.7,21,2330.116075,3215.5,913.6295434,414
845.9173369,54.4,1552.3,24,2680.516075,2845.9,1070.829543,483
979.7173369,65.2,1753.9,21,3030.916075,3110.256425,1228.029543,512.6763793
1113.517337,54.4,1753.9,20.414075,3049.4,2740.656425,1368,581.6763793
979.9845473,43.6,1753.9,17.414075,3049.4,2371.056425,1368,599
846.1845473,32.8,1753.9,14.414075,3049.4,2048.7314,1368,564.8061991
712.3845473,26.02954545,1753.9,11.414075,3049.4,2010.044703,1368,495.8061991
764.4,36.82954545,1753.9,14.1,3049.4,2379.644703,1368,426.8061991
898.2,47.62954545,1552.3,17.1,2699,2749.244703,1210.8,357.8061991
1032,58.42954545,1753.9,20.1,2906.436294,3118.844703,1368,426.8061991
1165.8,69.22954545,1753.9,23.1,3049.4,3215.5,1308.995232,495.8061991
1165.8,80.02954545,1753.9,26.1,3049.4,3215.5,1151.795232,428.7475469
1165.8,90.82954545,1652.636029,23.1,2971.55528,2996.930436,1069.078423,414
1165.8,80.02954545,1753.9,20.1,3049.4,2627.330436,1226.278423,345
1032,69.22954545,1572.654657,17.1,2909.586094,2257.730436,1368,276
898.2,58.42954545,1371.054657,14.1,2559.186094,1888.130436,1210.8,207
764.4,47.62954545,1169.454657,11.1,2208.786094,2032.926471,1053.6,138
630.6,36.82954545,967.8546569,11.1,1858.386094,1663.326471,896.4,138
496.8,26.02954545,766.2546569,8.1,1507.986094,1443.117314,739.2,138
363,22,564.6546569,11.1,1157.586094,1737.1,582,138
268,22,501.0337185,14.1,807.1860941,2106.7,424.8,138
268,22,702.6337185,17.1,1157.586094,2476.3,582,207
298.7443611,22,904.2337185,20.1,1507.986094,2845.9,739.2,276
432.5443611,32.8,1105.833718,23.1,1858.386094,3215.5,896.4,345
566.3443611,43.6,1307.433718,26.1,2208.786094,2987.104777,1053.6,414
700.1443611,54.4,1509.033718,23.16532542,2559.186094,2617.504777,1210.8,483
833.9443611,65.2,1710.633718,20.16532542,2909.586094,2474.69095,1368,552
833.1927316,54.4,1753.9,17.16532542,3049.4,2110.775328,1368,599
699.3927316,43.6,1753.9,14.16532542,3049.4,2054.330334,1368,599
565.5927316,32.8,1753.9,11.16532542,3049.4,1957.396843,1368,583.8125
630.6,43.6,1753.9,8.16532542,3049.4,1877.287266,1368,514.8125
764.4,54.4,1753.9,9.84717458,3033.448609,2134.196457,1237.868893,445.8125
898.2,65.2,1753.9,12.84717458,2683.048609,2503.796457,1080.668893,376.8125
1032,76,1753.9,15.84717458,2699,2873.396457,1210.8,345
1165.8,86.8,1753.9,18.84717458,3049.4,3215.5,1368,414
1165.8,88.64015152,1753.9,21.84717458,2699,3215.5,1210.8,345
1032,77.84015152,1753.9,24.84717458,2801.648368,3215.5,1053.6,276
898.2,67.04015152,1753.9,26.1,2451.248368,3204.062533,1060.078053,345
764.4,56.24015152,1753.9,23.1,2100.848368,2834.462533,902.8780534,276
630.6,45.44015152,1552.3,20.1,1750.448368,2464.862533,745.6780534,207
496.8,34.64015152,1350.7,17.1,1400.048368,2095.262533,588.4780534,138
363,23.84015152,1149.1,14.1,1049.648368,1938.844502,431.2780534,138
268,22,947.5,11.1,701,1849.82375,314,138
268,22,745.9,8.1,701,1813.514971,314,138
268,22,580.5393402,6,701,2103.324601,314,138
268,22,782.1393402,6,1051.4,2472.924601,471.2,138
268,32.8,983.7393402,9,1401.8,2842.524601,628.4,207
401.8,43.6,1185.33934,12,1752.2,3212.124601,785.6,276
