name,typ,node,maxcap,heat_rate,mincap,var_om,fix_om,st_cost,ramp,minup,mindn
MCGEN_1_UNIT,coal,MESA_CAL_20,97,11.76,33.95,4.2,291,6790,32.01,12,12
ULTRGN_6_UNIT,coal,MESA_CAL_20,31,11.46,10.85,4.2,93,2170,10.23,12,12
ALAMIT_7_UNIT_1,ngct,MESA_CAL_20,171,10.93,59.85,205,513,11970,171,1,1
ALAMIT_7_UNIT_2,ngct,MESA_CAL_20,177,10.63,61.95,206,531,12390,177,1,1
ALAMIT_7_UNIT_3,ngct,MESA_CAL_20,322,9.55,112.7,207,966,22540,322,1,1
ALAMIT_7_UNIT_4,ngct,MESA_CAL_20,320,9.77,112,208,960,22400,320,1,1
ALAMIT_7_UNIT_5,ngct,MESA_CAL_20,482,9.37,168.7,209,1446,33740,482,1,1
ALAMIT_7_UNIT_6,ngct,MESA_CAL_20,481,9.54,168.35,210,1443,33670,481,1,1
ALAMIT_7_UNIT_7,ngct,MESA_CAL_20,134,12.94,46.9,211,402,9380,134,1,1
ETIWND_7_UNIT_1,ngct,MESA_CAL_20,132,11.17,46.2,212,396,9240,132,1,1
ETIWND_7_UNIT_2,ngct,MESA_CAL_20,134,11.17,46.9,213,402,9380,134,1,1
ETIWND_7_UNIT_3,ngct,MESA_CAL_20,320,9.48,112,214,960,22400,320,1,1
ETIWND_7_UNIT_4,ngct,MESA_CAL_20,320,9.63,112,215,960,22400,320,1,1
ETIWND_7_UNIT_5,ngct,MESA_CAL_20,120,12.67,42,216,360,8400,120,1,1
HNTGBH_7_UNIT_1,ngct,MESA_CAL_20,215,9.76,75.25,217,645,15050,215,1,1
HNTGBH_7_UNIT_2,ngct,MESA_CAL_20,215,9.82,75.25,218,645,15050,215,1,1
HNTGBH_7_UNIT_5,ngct,MESA_CAL_20,133,12.68,46.55,219,399,9310,133,1,1
MNDALY_7_UNIT_1,ngct,MESA_CAL_20,218,9.47,76.3,220,654,15260,218,1,1
MNDALY_7_UNIT_2,ngct,MESA_CAL_20,215,9.4,75.25,221,645,15050,215,1,1
MNDALY_7_UNIT_3,ngct,MESA_CAL_20,132,12.99,46.2,222,396,9240,132,1,1
ANAHM_7_CT,ngct,MESA_CAL_20,100,10.5,35,242,300,7000,100,1,1
APPGEN_6_UNIT_1,ngct,MESA_CAL_20,128,10,44.8,243,384,8960,128,1,1
ARCOGN_2_UNITS,ngct,MESA_CAL_20,385,10.12,134.75,244,1155,26950,385,1,1
BORAX_1_UNIT_1,ngct,MESA_CAL_20,26,11.12,9.1,245,78,1820,26,1,1
BRDWAY_7_UNIT_1,ngct,MESA_CAL_20,29,12.23,10.15,246,87,2030,29,1,1
BRDWAY_7_UNIT_2,ngct,MESA_CAL_20,36,12.38,12.6,247,108,2520,36,1,1
BRDWAY_7_UNIT_3,ngct,MESA_CAL_20,65,10.67,22.75,248,195,4550,65,1,1
CARBGN_6_UNIT_1,ngct,MESA_CAL_20,27,15.5,9.45,249,81,1890,27,1,1
CENTER_2_QF,ngct,MESA_CAL_20,25,11.12,8.75,250,75,1750,25,1,1
CENTRY_6_PL1X4,ngct,MESA_CAL_20,40,10.45,14,251,120,2800,40,1,1
CHEVMN_2_UNITS,ngct,MESA_CAL_20,17,11.12,5.95,252,51,1190,17,1,1
CIMGEN_6_UNIT_1,ngct,MESA_CAL_20,24,11.12,8.4,253,72,1680,24,1,1
COLDGN_6_UNIT_1,ngct,MESA_CAL_20,31,9.3,10.85,254,93,2170,31,1,1
CWATER_7_UNIT_1,ngct,MESA_CAL_20,63,10.31,22.05,255,189,4410,63,1,1
CWATER_7_UNIT_2,ngct,MESA_CAL_20,82,10.46,28.7,256,246,5740,82,1,1
CWATER_7_UNIT_3,ngct,MESA_CAL_20,245,9.76,85.75,257,735,17150,245,1,1
CWATER_7_UNIT_4,ngct,MESA_CAL_20,246,9.76,86.1,258,738,17220,246,1,1
DELGEN_6_UNIT,ngct,MESA_CAL_20,36,11.12,12.6,259,108,2520,36,1,1
DREWS_6_PL1X4,ngct,MESA_CAL_20,40,10.45,14,260,120,2800,40,1,1
ELLIS_2_QF,ngct,MESA_CAL_20,5,11.12,1.75,261,15,350,5,1,1
ELSEGN_7_UNIT_1,ngct,MESA_CAL_20,175,10.79,61.25,262,525,12250,175,1,1
ELSEGN_7_UNIT_2,ngct,MESA_CAL_20,164,10.77,57.4,263,492,11480,164,1,1
ELSEGN_7_UNIT_3,ngct,MESA_CAL_20,337,9.56,117.95,264,1011,23590,337,1,1
ELSEGN_7_UNIT_4,ngct,MESA_CAL_20,335,9.63,117.25,265,1005,23450,335,1,1
ETIWND_2_FONTNA,ngct,MESA_CAL_20,1,11.12,0.35,266,3,70,1,1,1
ETIWND_2_QF,ngct,MESA_CAL_20,18,11.12,6.3,267,54,1260,18,1,1
GLNARM_7_UNIT_1,ngct,MESA_CAL_20,20,13.8,7,268,60,1400,20,1,1
GLNARM_7_UNIT_2,ngct,MESA_CAL_20,22,13.8,7.7,269,66,1540,22,1,1
GOLETA_6_EXGEN,ngct,MESA_CAL_20,7,11.4,2.45,270,21,490,7,1,1
HARBGN_7_UNIT_1,ngct,MESA_CAL_20,88,12.49,30.8,271,264,6160,88,1,1
HARBGN_7_PL2X3,ngct,MESA_CAL_20,18,11.12,6.3,272,54,1260,18,1,1
HIGHGV_1_UNIT_1,ngct,MESA_CAL_20,22,13.31,7.7,273,66,1540,22,1,1
HIGHGV_1_UNIT_2,ngct,MESA_CAL_20,22,14.65,7.7,274,66,1540,22,1,1
HIGHGV_1_UNIT_3,ngct,MESA_CAL_20,35,12.85,12.25,275,105,2450,35,1,1
HIGHGV_1_UNIT_4,ngct,MESA_CAL_20,31,13.64,10.85,276,93,2170,31,1,1
ICEGEN_6_UNIT,ngct,MESA_CAL_20,42,11.12,14.7,277,126,2940,42,1,1
INDIGO_1_UNIT_1,ngct,MESA_CAL_20,45,10.45,15.75,278,135,3150,45,1,1
INDIGO_1_UNIT_2,ngct,MESA_CAL_20,45,10.45,15.75,279,135,3150,45,1,1
INDIGO_1_UNIT_3,ngct,MESA_CAL_20,45,10.45,15.75,280,135,3150,45,1,1
KERRGN_1_UNIT_1,ngct,MESA_CAL_20,22,11.12,7.7,281,66,1540,22,1,1
KERRMG_1_UNIT_1,ngct,MESA_CAL_20,18,10.77,6.3,282,54,1260,18,1,1
LAFRES_6_QF,ngct,MESA_CAL_20,7,11.12,2.45,283,21,490,7,1,1
LAGBEL_6_QF,ngct,MESA_CAL_20,32,11.12,11.2,284,96,2240,32,1,1
LBEACH_2_230TOT,ngct,MESA_CAL_20,172,9.77,60.2,285,516,12040,172,1,1
LBEACH_6_66TOT,ngct,MESA_CAL_20,380,9.77,133,286,1140,26600,380,1,1
LGHTHP_6_ICEGEN,ngct,MESA_CAL_20,1,11.12,0.35,287,3,70,1,1,1
MESAS_2_QF,ngct,MESA_CAL_20,16,11.9,5.6,288,48,1120,16,1,1
MOBGEN_6_UNIT_1,ngct,MESA_CAL_20,1,14.5,0.35,289,3,70,1,1,1
MOGEN_1_UNIT,ngct,MESA_CAL_20,63,14.5,22.05,290,189,4410,63,1,1
OMAR_2_UNITS,ngct,MESA_CAL_20,255,11.12,89.25,291,765,17850,255,1,1
ORMOND_7_UNIT_1,ngct,MESA_CAL_20,725,9.53,253.75,292,2175,50750,725,1,1
ORMOND_7_UNIT_2,ngct,MESA_CAL_20,766,9.62,268.1,293,2298,53620,766,1,1
OXGEN_6_UNIT,ngct,MESA_CAL_20,56,11.12,19.6,294,168,3920,56,1,1
PADUA_6_QF,ngct,MESA_CAL_20,8,11.12,2.8,295,24,560,8,1,1
PANDOL_6_UNIT,ngct,MESA_CAL_20,44,14.49,15.4,296,132,3080,44,1,1
PROCGN_6_UNIT,ngct,MESA_CAL_20,44,11.12,15.4,297,132,3080,44,1,1
PTCHGN_6_UNIT_1,ngct,MESA_CAL_20,28,11.12,9.8,298,84,1960,28,1,1
PULPGN_6_UNIT,ngct,MESA_CAL_20,29,11.12,10.15,299,87,2030,29,1,1
RECTOR_2_KAWEAH,ngct,MESA_CAL_20,5,11.12,1.75,300,15,350,5,1,1
RECTOR_2_KAWH_1,ngct,MESA_CAL_20,1,11.12,0.35,301,3,70,1,1,1
RECTOR_2_QF,ngct,MESA_CAL_20,14,11.12,4.9,302,42,980,14,1,1
REDOND_7_UNIT_5,ngct,MESA_CAL_20,175,11.77,61.25,303,525,12250,175,1,1
REDOND_7_UNIT_6,ngct,MESA_CAL_20,175,11.77,61.25,304,525,12250,175,1,1
REDOND_7_UNIT_7,ngct,MESA_CAL_20,483,9.43,169.05,305,1449,33810,483,1,1
REDOND_7_UNIT_8,ngct,MESA_CAL_20,484,9.49,169.4,306,1452,33880,484,1,1
RHONDO_2_QF,ngct,MESA_CAL_20,2,11.12,0.7,307,6,140,2,1,1
SBERDO_2_QF,ngct,MESA_CAL_20,1,11.12,0.35,308,3,70,1,1,1
SBERDO_7_UNIT_1,ngct,MESA_CAL_20,64,10.8,22.4,309,192,4480,64,1,1
