line,reactance,limit
line_30144_30174,0.00513,29239.76608187135
line_30144_30172,0.034001638389498,4411.552122333322
line_40006_40007,0.001189,126156.4339781329
line_40369_40434,0.039086,3837.691244947039
line_40534_40563,0.034713,4321.147696828277
line_40561_40564,0.015314,9794.958861172783
line_10001_10022,0.846946019914006,177.10691882728267
line_10001_10860,1.10086445045498,136.25655723373208
line_10022_11045,1.95502443583869,76.7253837089004
line_10022_11016,0.777051726328496,193.03734219694405
line_10022_10025,1.01231233160833,148.1756127199248
line_10022_10912,0.859447763115924,174.5306770666034
line_10022_10209,0.47843074064457,313.52500426270944
line_10022_10344,1.07554698174428,139.46392165662152
line_10022_10228,0.325322115332951,461.08147257828585
line_10022_10711,0.484246130649458,309.759831841762
line_10022_10750,0.626981345584988,239.24156764193128
line_10022_10860,0.116036455752435,1292.6971875117124
line_10022_10685,1.71565599126412,87.43011464056838
line_10025_13670,1.21568864934225,123.38685573905596
line_10025_13265,1.36925059554377,109.54897554047113
line_10025_10033,0.466666740539421,321.42852054683544
line_10025_11016,1.30975747199512,114.52501948433921
line_10025_10912,1.38996779593573,107.91616930881452
line_10025_10209,0.428795655662331,349.8169769661154
line_10025_10344,0.666663243201356,225.0011554254757
line_10025_10228,0.477308685259826,314.2620376127171
line_10025_10711,0.808530970539065,185.52165033330976
line_10025_10750,1.05644954684028,141.98501049920736
line_10025_10860,0.183815049599351,816.0376439630197
line_10033_13693,0.270394108906932,554.7458138284702
line_10033_13670,0.526643742443386,284.8225240540572
line_10033_13265,0.372429724281765,402.7605484209852
line_10033_10093,0.0645727696462348,2322.9606043194776
line_10033_13181,0.632521431370121,237.146114836111
line_10033_13175,1.48223245523274,101.19870164119908
line_10033_13177,1.46170932696261,102.61958190531335
line_10033_10035,0.00631353458149022,23758.482362599912
line_10033_10209,1.64917137490558,90.9547681232267
line_10033_10344,1.92198984905211,78.04411666064587
line_10033_10228,1.76282067569831,85.09090122883893
line_10033_10860,0.677982381343293,221.24468736606923
line_10033_13504,1.1506118776289,130.36541940546402
line_10035_13693,0.344990553280467,434.7945141502309
line_10035_13670,0.819502856302569,183.03780010818954
line_10035_13265,0.528838806192082,283.64030446267554
line_10035_10093,0.394104018038098,380.610176842956
line_10035_13181,0.89781591730359,167.0721103391605
line_10035_13175,2.09157636693852,71.71624348555719
line_10035_13177,2.07560089286642,72.26822869248669
line_10035_13504,1.78448669464003,84.05778560890772
line_10093_13698,1.00086510321215,149.87034668167965
line_10093_13693,0.247049125422103,607.1666910122151
