Time,Coal_100_200,Coal_200_300,Coal_300_400,Coal_400_600,Coal_50_100,Coal_600_800,Coal_800_1000,Coal_All_n_0_100,Coal_All_n_100_200,Coal_All_n_ovr_200,Coal_below_50,Coal_ovr_1000,Gas_100_200,Gas_200_300,Gas_300_400,Gas_400_600,Gas_50_100,Gas_600_800,Gas_800_1000,Gas_All_n_0_100,Gas_All_n_100_200,Gas_All_n_ovr_200,Gas_below_50,Gas_ovr_1000,Nuclear_100_200,Nuclear_200_300,Nuclear_300_400,Nuclear_400_600,Nuclear_50_100,Nuclear_600_800,Nuclear_800_1000,Nuclear_All_n_0_100,Nuclear_All_n_100_200,Nuclear_All_n_ovr_200,Nuclear_below_50,Nuclear_ovr_1000
1,1521.2260212694998,95.74495724004498,172.25374039068,1104.4778025186502,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.3896147333,0.0,0.0,393.25,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
2,1521.2260212694998,95.74495724004498,172.25374039068,1104.4778025186502,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.3896147333,0.0,0.0,393.25,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
3,1628.8510212694998,95.74495724004498,172.25374039068,1104.4778025186502,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.4747618025,0.0,0.0,393.25,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
4,1485.3510212694998,95.74495724004498,172.25374039068,1104.4778025186502,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.4747618025,0.0,0.0,393.25,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
5,1485.3510212694998,95.74495724004498,172.25374039068,874.0472457699301,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.4747618025,0.0,0.0,393.25,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
6,1485.3510212694998,95.74495724004498,172.25374039068,874.0472457699301,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.4747618025,0.0,0.0,393.25,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
7,1485.3510212694998,95.74495724004498,172.25374039068,874.0472457699301,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.4747618025,0.0,0.0,357.5,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
8,1485.3510212694998,95.74495724004498,172.25374039068,874.0472457699301,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.4747618025,0.0,0.0,357.5,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
9,1485.3510212694998,95.74495724004498,172.25374039068,874.0472457699301,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.34569404605,0.0,0.0,357.5,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
10,1485.3510212694998,95.74495724004498,172.25374039068,874.0472457699301,275.62500002205,712.07976840858,1612.0,35.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187.34569404605,0.0,0.0,357.5,1208.2079734165,1085.920185615,59.5170731598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.7266069607997
