,AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
36,441.0,4.0,97.0,2.0,,7731.0,,44.0,,112.0,126.0,875.0,400.0,0.0,558.0,113.0,,104.0,210.0,,,502.0,88.0,,,33.0,,
37,444.0,5.0,101.0,2.0,,7885.0,,36.0,,115.0,134.0,860.0,405.0,0.0,576.0,118.0,,104.0,214.0,,,490.0,113.0,,,37.0,,
38,448.0,8.0,95.0,3.0,,7861.0,,36.0,,112.0,127.0,819.0,411.0,0.0,657.0,109.0,,81.0,220.0,,,549.0,113.0,,,39.0,,
39,423.0,8.0,93.0,3.0,,6440.0,,14.0,,107.0,139.0,681.0,406.0,0.0,602.0,86.0,,46.0,145.0,,,468.0,71.0,,,33.0,,
40,307.0,5.0,59.0,1.0,,1949.0,,3.0,,51.0,35.0,337.0,255.0,0.0,224.0,59.0,,6.0,18.0,,,231.0,14.0,,,7.0,,
41,135.0,0.0,12.0,0.0,,80.0,,0.0,,6.0,1.0,36.0,90.0,0.0,3.0,7.0,,0.0,0.0,,,12.0,0.0,,,0.0,,
42,127.0,0.0,0.0,0.0,,55.0,,0.0,,0.0,0.0,2.0,94.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
43,65.0,0.0,0.0,0.0,,57.0,,0.0,,0.0,0.0,2.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
44,25.0,0.0,0.0,0.0,,45.0,,0.0,,0.0,0.0,2.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
45,26.0,0.0,0.0,0.0,,45.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
46,29.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
47,44.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,96.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
48,39.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,95.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
49,17.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,95.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
50,11.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,51.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
51,11.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
52,6.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
53,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
54,2.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,
55,8.0,0.0,0.0,0.0,,158.0,,8.0,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,9.0,10.0,,,6.0,21.0,,,0.0,,
56,91.0,0.0,4.0,0.0,,3503.0,,59.0,,23.0,4.0,114.0,95.0,0.0,160.0,4.0,,85.0,115.0,,,194.0,117.0,,,19.0,,
57,216.0,0.0,36.0,0.0,,7105.0,,80.0,,70.0,90.0,519.0,330.0,1.0,575.0,7.0,,139.0,194.0,,,459.0,150.0,,,40.0,,
58,342.0,0.0,91.0,1.0,,7868.0,,86.0,,92.0,146.0,800.0,398.0,4.0,649.0,19.0,,154.0,208.0,,,558.0,151.0,,,38.0,,
59,389.0,1.0,105.0,1.0,,7842.0,,87.0,,100.0,133.0,850.0,407.0,5.0,602.0,32.0,,157.0,210.0,,,555.0,146.0,,,34.0,,
60,381.0,1.0,90.0,1.0,,7786.0,,86.0,,115.0,129.0,856.0,391.0,6.0,571.0,47.0,,154.0,207.0,,,542.0,146.0,,,34.0,,
61,381.0,3.0,88.0,1.0,,7850.0,,89.0,,116.0,119.0,842.0,390.0,6.0,608.0,57.0,,160.0,207.0,,,550.0,150.0,,,37.0,,
62,392.0,0.0,100.0,1.0,,7695.0,,90.0,,117.0,125.0,803.0,411.0,4.0,678.0,60.0,,157.0,213.0,,,561.0,150.0,,,35.0,,
63,390.0,1.0,56.0,1.0,,6273.0,,83.0,,103.0,105.0,674.0,394.0,1.0,633.0,42.0,,124.0,149.0,,,474.0,119.0,,,32.0,,
