,AZPS,AVA,BANC,BPAT,CHPD,CISO,DOPD,EPE,GCPD,IID,IPCO,LDWP,NEVP,NWMT,PACE,PACW,PGE,PNM,PSCO,PSEI,SCL,SRP,TEPC,TIDC,TPWR,WACM,WALC,WAUW
0,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
1,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
2,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,0.0,0.0,,,0.0,0.0,
3,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
4,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
5,2.0,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
6,0.0,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8.0,0.0,,,0.0,0.0,
7,9.0,0.0,0.0,0.0,,150.0,,12.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,13.0,14.0,,,11.0,19.0,,,0.0,0.0,
8,87.0,0.0,0.0,0.0,,2703.0,,62.0,,23.0,4.0,94.0,42.0,0.0,16.0,3.0,,157.0,137.0,,,227.0,112.0,,,10.0,8.0,
9,171.0,1.0,26.0,0.0,,5640.0,,81.0,,93.0,14.0,436.0,191.0,2.0,52.0,16.0,,241.0,257.0,,,518.0,151.0,,,24.0,14.0,
10,230.0,2.0,77.0,0.0,,6699.0,,83.0,,121.0,26.0,717.0,424.0,6.0,166.0,29.0,,244.0,215.0,,,542.0,150.0,,,36.0,20.0,
11,302.0,2.0,73.0,0.0,,6483.0,,82.0,,113.0,32.0,709.0,391.0,4.0,265.0,57.0,,241.0,159.0,,,570.0,147.0,,,36.0,18.0,
12,326.0,5.0,94.0,1.0,,6305.0,,82.0,,109.0,41.0,633.0,349.0,4.0,420.0,69.0,,233.0,118.0,,,544.0,142.0,,,27.0,21.0,
13,314.0,4.0,86.0,1.0,,5004.0,,84.0,,116.0,49.0,662.0,326.0,5.0,333.0,106.0,,226.0,105.0,,,431.0,129.0,,,35.0,20.0,
14,308.0,9.0,48.0,1.0,,6195.0,,85.0,,102.0,76.0,659.0,520.0,3.0,228.0,110.0,,197.0,88.0,,,409.0,140.0,,,33.0,18.0,
15,268.0,11.0,30.0,2.0,,4346.0,,76.0,,90.0,68.0,596.0,541.0,0.0,228.0,88.0,,115.0,71.0,,,327.0,100.0,,,28.0,20.0,
16,197.0,4.0,16.0,1.0,,1281.0,,30.0,,40.0,31.0,375.0,291.0,0.0,80.0,40.0,,18.0,10.0,,,225.0,10.0,,,8.0,16.0,
17,71.0,0.0,4.0,0.0,,41.0,,0.0,,4.0,0.0,31.0,4.0,0.0,8.0,5.0,,0.0,0.0,,,14.0,0.0,,,0.0,1.0,
18,2.0,0.0,3.0,0.0,,41.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
19,22.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,1.0,,,7.0,0.0,,,0.0,0.0,
20,24.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,9.0,0.0,,,0.0,0.0,
21,25.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.0,,,0.0,0.0,
22,23.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
23,8.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
24,3.0,0.0,3.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
25,10.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
26,27.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
27,34.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
28,19.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
29,22.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
30,7.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8.0,0.0,,,0.0,0.0,
31,8.0,0.0,1.0,0.0,,145.0,,2.0,,0.0,0.0,4.0,1.0,0.0,0.0,0.0,,2.0,6.0,,,10.0,20.0,,,0.0,0.0,
32,86.0,0.0,1.0,0.0,,3085.0,,15.0,,32.0,5.0,125.0,146.0,0.0,108.0,3.0,,32.0,42.0,,,218.0,109.0,,,11.0,11.0,
33,211.0,1.0,16.0,1.0,,5978.0,,22.0,,103.0,50.0,550.0,510.0,1.0,480.0,42.0,,71.0,98.0,,,545.0,144.0,,,31.0,24.0,
34,319.0,3.0,27.0,1.0,,6318.0,,39.0,,135.0,98.0,830.0,613.0,5.0,575.0,107.0,,86.0,163.0,,,655.0,145.0,,,56.0,24.0,
35,332.0,5.0,58.0,2.0,,6926.0,,52.0,,134.0,84.0,891.0,593.0,5.0,584.0,104.0,,128.0,191.0,,,651.0,149.0,,,56.0,23.0,
